Date,Open,High,Low,Close,Volume
2014-01-02,40.84,40.84,40.16,40.21,2.679
2014-01-03,40.34,41.02,40.24,40.72,2.61
2014-01-06,41.06,41.27,40.46,40.52,2.485
2014-01-07,40.74,41.22,40.72,41.09,2.046
2014-01-08,41.01,41.87,40.89,41.77,3.718
2014-01-09,41.77,41.97,41.39,41.78,2.457
2014-01-10,41.85,42.21,41.59,42.15,2.269
2014-01-13,42.04,42.27,41.92,42.15,4.119
2014-01-14,42.32,42.88,42.22,42.83,3.582
2014-01-15,42.79,43.18,42.63,43.16,3.265
2014-01-16,43.09,43.28,42.95,43.28,2.567
2014-01-17,43.51,43.51,43.15,43.43,2.376
2014-01-21,43.41,43.55,42.82,43.53,4.206
2014-01-22,43.51,43.79,43.43,43.58,3.872
2014-01-23,43.26,43.28,42.5,42.54,4.283
2014-01-24,42.36,42.53,41.28,41.39,3.714
2014-01-27,41.42,41.75,40.76,41.7,6.527
2014-01-28,41.85,42.12,41.42,41.56,3.545
2014-01-29,41.25,41.65,41.07,41.24,3.024
2014-01-30,41.79,43.0,41.79,42.57,5.233
2014-01-31,41.92,42.31,41.52,41.6,4.804
2014-02-03,41.6,41.83,40.11,40.16,4.095
2014-02-04,40.29,41.4,40.12,41.35,4.071
2014-02-05,41.19,41.27,40.74,41.08,3.193
2014-02-06,41.14,41.74,41.1,41.7,2.25
2014-02-07,41.82,42.54,41.58,42.5,2.75
2014-02-10,42.4,42.52,41.7,42.21,2.461
2014-02-11,42.2,42.92,42.12,42.73,2.986
2014-02-12,42.92,43.25,42.68,42.84,3.281
2014-02-13,42.53,43.19,42.47,42.98,4.324
2014-02-14,40.88,41.32,39.25,39.52,24.947
2014-02-18,39.61,40.09,39.31,39.45,9.162
2014-02-19,39.35,40.52,39.27,40.01,6.765
2014-02-20,40.16,41.16,40.09,40.98,6.471
2014-02-21,40.95,41.06,40.29,40.3,3.365
2014-02-24,40.38,40.76,40.34,40.59,3.345
2014-02-25,40.63,41.18,40.59,40.69,4.718
2014-02-26,40.76,41.22,40.59,40.84,3.356
2014-02-27,40.79,40.97,40.19,40.31,4.367
2014-02-28,40.38,40.85,40.34,40.72,3.998
2014-03-03,40.14,40.86,39.91,40.57,3.479
2014-03-04,40.93,41.49,40.76,41.33,3.973
2014-03-05,41.28,41.49,41.17,41.34,4.353
2014-03-06,41.77,42.43,41.59,42.04,7.24
2014-03-07,42.25,42.35,41.14,41.79,4.54
2014-03-10,41.7,41.73,41.2,41.6,3.584
2014-03-11,41.65,41.7,40.41,40.67,4.784
2014-03-12,40.43,40.83,40.06,40.82,2.31
2014-03-13,40.89,41.06,39.89,39.95,3.242
2014-03-14,39.78,40.04,39.51,39.66,2.44
2014-03-17,39.83,40.35,39.69,39.91,2.01
2014-03-18,40.04,40.64,39.94,40.62,1.81
2014-03-19,40.57,40.88,40.19,40.51,2.523
2014-03-20,40.44,40.72,40.17,40.56,2.528
2014-03-21,40.9,41.33,40.03,40.12,3.863
2014-03-24,40.11,40.22,39.1,39.53,2.776
2014-03-25,39.7,40.21,39.33,39.46,2.415
2014-03-26,39.63,40.05,39.46,39.46,3.58
2014-03-27,39.77,39.77,38.78,39.12,4.152
2014-03-28,39.23,39.52,38.93,39.12,2.806
2014-03-31,39.32,40.09,39.03,40.0,3.063
2014-04-01,40.2,40.5,39.94,40.31,2.923
2014-04-02,40.36,40.56,40.2,40.54,2.683
2014-04-03,40.61,40.87,40.25,40.49,2.241
2014-04-04,40.84,40.94,39.74,39.75,3.226
2014-04-07,39.74,39.81,38.58,38.88,3.613
2014-04-08,38.78,39.34,38.5,39.1,2.576
2014-04-09,39.66,39.78,38.9,39.75,2.82
2014-04-10,39.75,39.8,38.56,38.66,2.749
2014-04-11,38.4,38.66,37.66,37.75,3.624
2014-04-14,38.05,38.09,37.42,37.66,3.971
2014-04-15,37.8,38.17,37.17,37.99,3.037
2014-04-16,38.3,38.46,38.09,38.4,1.738
2014-04-17,38.44,39.26,38.35,39.09,2.883
2014-04-21,39.06,39.2,38.86,39.12,1.658
2014-04-22,39.13,39.77,39.01,39.32,2.063
2014-04-23,39.23,39.48,39.03,39.35,1.25
2014-04-24,39.51,39.71,39.03,39.54,2.525
