Date,Open,High,Low,Close,Volume
2014-01-02,25.07,25.82,25.06,25.36,8.998
2014-01-03,25.75,26.75,25.51,26.54,13.83
2014-01-06,26.62,27.2,26.6,27.03,11.271
2014-01-07,27.2,27.4,26.67,26.91,11.289
2014-01-08,26.37,27.68,26.35,27.63,15.734
2014-01-09,28.24,29.6,28.2,29.42,26.049
2014-01-10,29.05,29.83,28.75,29.35,12.808
2014-01-13,29.18,29.53,28.58,28.65,10.588
2014-01-14,28.75,29.04,28.71,28.87,10.6
2014-01-15,28.9,29.44,28.7,28.84,11.192
2014-01-16,28.94,29.39,28.7,29.34,7.034
2014-01-17,29.3,30.02,29.17,30.02,18.277
2014-01-21,30.66,30.8,30.2,30.66,10.612
2014-01-22,30.71,31.24,30.65,31.2,7.579
2014-01-23,30.65,31.46,30.62,31.35,11.395
2014-01-24,31.02,31.18,29.91,30.4,13.686
2014-01-27,30.4,30.87,28.67,30.18,16.276
2014-01-28,30.32,32.2,30.02,31.96,23.938
2014-01-29,32.24,33.4,32.1,32.98,22.684
2014-01-30,33.36,34.2,33.2,33.8,13.66
2014-01-31,33.44,34.08,33.0,33.55,12.791
2014-02-03,33.95,34.48,33.05,33.96,21.74
2014-02-04,34.04,34.38,33.58,34.05,11.179
2014-02-05,33.82,33.97,33.4,33.8,15.465
2014-02-06,33.71,34.92,33.7,34.66,13.92
2014-02-07,34.81,35.7,34.65,35.67,15.405
2014-02-10,36.1,36.15,35.38,35.58,11.107
2014-02-11,35.58,35.64,34.39,35.13,11.988
2014-02-12,34.89,35.0,34.36,34.69,9.383
2014-02-13,34.07,35.04,34.06,35.03,8.409
2014-02-14,34.85,35.18,34.22,34.41,7.297
2014-02-18,34.73,34.95,34.2,34.31,7.087
2014-02-19,34.25,35.09,34.11,34.59,7.258
2014-02-20,34.43,35.67,34.43,35.66,9.282
2014-02-21,35.78,36.45,35.75,36.17,7.821
2014-02-24,36.2,36.66,36.02,36.65,7.018
2014-02-25,36.63,37.15,36.51,37.0,8.99
2014-02-26,37.12,37.28,36.58,36.75,10.514
2014-02-27,36.88,36.95,36.34,36.56,5.657
2014-02-28,36.11,36.98,36.07,36.93,7.99
2014-03-03,36.17,36.4,35.32,36.1,9.496
2014-03-04,36.57,37.46,36.57,37.34,11.74
2014-03-05,37.6,38.03,37.51,37.86,8.794
2014-03-06,38.28,39.33,38.28,38.81,14.006
2014-03-07,39.22,39.29,38.11,39.02,10.536
2014-03-10,38.7,39.88,38.55,38.96,11.414
2014-03-11,38.65,39.26,37.95,38.08,11.302
2014-03-12,37.97,38.08,37.23,37.56,9.413
2014-03-13,37.9,37.99,35.75,36.74,11.744
2014-03-14,36.0,37.18,35.67,36.34,7.199
2014-03-17,36.62,37.77,36.53,37.7,9.235
2014-03-18,37.75,38.04,37.09,37.35,5.716
2014-03-19,37.27,37.63,36.68,37.08,3.863
2014-03-20,36.61,37.09,36.28,36.56,6.952
2014-03-21,36.76,36.82,35.91,36.11,14.111
2014-03-24,36.25,36.86,36.03,36.8,6.514
2014-03-25,36.88,38.2,36.86,37.9,10.418
2014-03-26,38.15,38.26,36.64,36.7,7.318
2014-03-27,36.62,36.77,35.02,35.77,9.542
2014-03-28,35.77,36.5,35.35,35.39,6.793
2014-03-31,35.84,36.87,35.75,36.6,8.415
2014-04-01,36.95,38.19,36.85,37.94,11.065
2014-04-02,38.24,38.9,37.48,37.71,12.511
2014-04-03,37.72,38.44,36.96,37.34,7.937
2014-04-04,37.41,37.72,36.3,36.56,8.731
2014-04-07,36.78,37.48,35.46,35.78,10.57
2014-04-08,36.0,36.22,33.62,35.98,17.409
2014-04-09,36.08,37.0,35.16,36.9,11.473
2014-04-10,36.7,37.38,34.6,35.29,16.311
2014-04-11,34.1,35.46,33.59,33.68,15.532
2014-04-14,34.0,34.77,32.77,33.37,13.465
2014-04-15,33.52,34.33,31.86,33.72,15.979
2014-04-16,34.17,35.59,33.94,35.51,15.634
2014-04-17,35.5,35.87,34.82,35.4,9.225
2014-04-21,35.08,35.79,34.86,35.67,7.189
2014-04-22,35.76,36.74,35.75,36.16,8.942
2014-04-23,37.14,37.6,36.4,37.09,14.65
2014-04-24,37.84,38.24,35.8,37.26,21.039
2014-04-25,37.0,37.11,35.91,36.0,9.574
2014-04-28,36.41,36.72,34.34,35.16,13.149
2014-04-29,35.2,35.65,34.97,35.51,8.994
2014-04-30,35.68,35.88,34.89,35.07,6.945
2014-05-01,35.86,36.7,35.47,36.39,11.498
2014-05-02,36.27,36.72,36.06,36.49,6.986
2014-05-05,36.08,36.78,35.79,36.6,5.818
2014-05-06,37.14,37.4,36.39,36.67,9.493
2014-05-07,36.53,37.31,36.31,37.22,7.8
2014-05-08,37.25,38.25,37.05,38.25,14.45
2014-05-09,37.96,38.7,37.91,38.26,9.704
2014-05-12,38.35,39.49,38.35,39.39,12.438
2014-05-13,38.95,39.74,38.85,39.31,8.68
2014-05-14,39.08,39.24,38.56,38.84,7.988
2014-05-15,38.55,38.73,37.48,38.19,10.674
2014-05-16,38.01,38.68,37.76,38.53,7.062
2014-05-19,38.49,39.16,38.1,38.57,7.164
2014-05-20,38.54,38.88,38.02,38.24,6.285
