Date,Open,High,Low,Close,Volume
2014-01-02,19.85,19.89,19.72,19.75,234.685
2014-01-03,19.75,19.77,19.3,19.32,392.468
2014-01-06,19.19,19.53,19.06,19.43,412.611
2014-01-07,19.44,19.5,19.21,19.29,317.209
2014-01-08,19.24,19.48,19.24,19.41,258.53
2014-01-09,19.53,19.53,19.12,19.16,279.149
2014-01-10,19.28,19.31,18.97,19.03,304.976
2014-01-13,18.93,19.38,18.92,19.13,378.493
2014-01-14,19.22,19.53,19.2,19.51,332.562
2014-01-15,19.77,20.01,19.7,19.91,391.639
2014-01-16,19.82,19.89,19.7,19.79,229.278
2014-01-17,19.7,19.72,19.28,19.31,426.74
2014-01-21,19.32,19.65,19.3,19.61,328.527
2014-01-22,19.68,19.9,19.56,19.7,379.985
2014-01-23,19.64,19.88,19.46,19.86,403.239
2014-01-24,19.79,19.84,19.46,19.5,429.355
2014-01-27,19.65,19.81,19.49,19.66,554.879
2014-01-28,18.17,18.39,17.93,18.09,1065.523
2014-01-29,18.0,18.12,17.81,17.88,502.81
2014-01-30,17.95,18.09,17.74,17.85,678.502
2014-01-31,17.68,17.91,17.63,17.88,464.797
2014-02-03,17.95,18.13,17.83,17.91,401.464
2014-02-04,18.07,18.19,17.96,18.17,376.681
2014-02-05,18.09,18.4,18.08,18.31,328.345
2014-02-06,18.22,18.34,18.14,18.3,257.765
2014-02-07,18.62,18.68,18.48,18.56,370.28
2014-02-10,18.52,19.0,18.5,18.89,345.559
2014-02-11,18.95,19.21,18.91,19.14,282.257
2014-02-12,19.18,19.27,19.04,19.14,308.101
2014-02-13,19.09,19.46,19.08,19.44,307.398
2014-02-14,19.37,19.5,19.33,19.43,272.924
2014-02-18,19.5,19.69,19.49,19.5,260.252
2014-02-19,19.46,19.53,19.08,19.19,313.768
2014-02-20,19.04,19.18,18.89,18.97,305.858
2014-02-21,19.03,19.09,18.74,18.76,278.785
2014-02-24,18.68,18.93,18.66,18.84,288.91
2014-02-25,18.91,18.91,18.61,18.65,231.952
2014-02-26,18.7,18.75,18.41,18.48,276.217
2014-02-27,18.47,18.89,18.43,18.85,301.882
2014-02-28,18.9,19.03,18.65,18.79,371.969
2014-03-03,18.69,18.95,18.67,18.85,238.781
2014-03-04,18.96,19.02,18.85,18.97,259.14
2014-03-05,18.96,19.1,18.9,19.01,200.063
2014-03-06,19.03,19.09,18.86,18.96,185.489
2014-03-07,18.97,19.0,18.79,18.94,220.73
2014-03-10,18.87,19.05,18.87,18.96,178.584
2014-03-11,19.12,19.24,19.02,19.15,279.224
2014-03-12,19.09,19.19,19.0,19.16,199.326
2014-03-13,19.19,19.27,18.9,18.95,257.743
2014-03-14,18.89,18.96,18.68,18.74,237.199
2014-03-17,18.85,18.93,18.78,18.81,199.545
2014-03-18,18.78,19.0,18.76,18.98,209.647
2014-03-19,19.01,19.15,18.89,18.97,224.756
2014-03-20,18.92,19.02,18.83,18.88,208.398
2014-03-21,19.0,19.06,18.8,19.03,374.046
2014-03-24,19.23,19.3,19.11,19.26,355.701
2014-03-25,19.34,19.49,19.27,19.46,282.293
2014-03-26,19.52,19.61,19.25,19.28,299.768
2014-03-27,19.29,19.34,19.11,19.19,222.032
2014-03-28,19.23,19.25,19.08,19.17,200.564
2014-03-31,19.26,19.31,19.14,19.17,168.669
2014-04-01,19.21,19.35,19.17,19.34,200.76
2014-04-02,19.37,19.41,19.3,19.38,180.421
2014-04-03,19.34,19.38,19.2,19.24,162.344
2014-04-04,19.28,19.29,18.95,18.99,275.251
2014-04-07,18.86,18.96,18.64,18.7,289.85
2014-04-08,18.76,18.79,18.52,18.69,243.888
2014-04-09,18.67,18.95,18.64,18.94,206.17
2014-04-10,18.95,19.01,18.68,18.7,239.652
2014-04-11,18.54,18.67,18.47,18.56,271.718
2014-04-14,18.64,18.65,18.47,18.63,205.674
2014-04-15,18.58,18.63,18.26,18.5,266.49
2014-04-16,18.5,18.61,18.36,18.54,214.766
2014-04-17,18.57,18.85,18.54,18.75,284.334
2014-04-21,18.76,19.0,18.71,18.97,182.549
2014-04-22,18.87,18.99,18.8,18.99,202.563
2014-04-23,18.9,18.97,18.73,18.74,394.94
2014-04-24,20.29,20.36,20.03,20.28,759.912
2014-04-25,20.16,20.43,20.14,20.43,390.275
2014-04-28,20.46,21.28,20.45,21.22,669.486
2014-04-29,21.2,21.28,21.05,21.15,337.378
2014-04-30,21.17,21.41,21.06,21.07,456.641
2014-05-01,21.14,21.24,20.94,21.12,244.048
2014-05-02,21.16,21.22,21.06,21.16,191.514
2014-05-05,21.08,21.46,21.07,21.46,287.067
2014-05-06,21.49,21.59,21.23,21.23,374.564
2014-05-07,21.26,21.33,20.99,21.15,282.864
2014-05-08,21.01,21.23,20.94,21.0,230.297
2014-05-09,20.88,20.94,20.73,20.91,291.598
2014-05-12,20.98,21.2,20.98,21.17,213.209
2014-05-13,21.14,21.23,21.1,21.21,159.737
2014-05-14,21.16,21.34,21.13,21.21,166.404
2014-05-15,21.24,21.31,21.0,21.03,230.846
2014-05-16,21.02,21.34,20.91,21.34,276.256
2014-05-19,21.35,21.69,21.33,21.59,317.755
2014-05-20,21.59,21.66,21.45,21.6,234.836
2014-05-21,21.57,21.67,21.5,21.65,196.86
2014-05-22,21.66,21.78,21.58,21.69,200.76
2014-05-23,21.69,21.95,21.66,21.93,232.21
2014-05-27,22.0,22.35,21.99,22.34,348.866
2014-05-28,22.36,22.49,22.28,22.29,315.482
2014-05-29,22.42,22.75,22.42,22.69,376.474
2014-05-30,22.78,23.01,22.46,22.61,564.021
2014-06-02,22.64,22.67,22.23,22.45,369.351
2014-06-03,22.44,22.81,22.44,22.77,292.709
2014-06-04,22.77,23.14,22.72,23.03,335.482
2014-06-05,23.08,23.19,22.95,23.12,303.806
2014-06-06,23.21,23.26,23.02,23.06,349.938
2014-06-09,23.17,23.47,22.94,23.42,301.66
2014-06-10,23.68,23.76,23.39,23.56,251.108
2014-06-11,23.53,23.69,23.37,23.47,182.724
2014-06-12,23.51,23.53,22.98,23.07,218.996
2014-06-13,23.05,23.11,22.72,22.82,218.1
2014-06-16,22.88,23.19,22.86,23.05,142.244
2014-06-17,23.08,23.17,22.95,23.02,118.904
2014-06-18,23.07,23.07,22.84,23.05,134.056
2014-06-19,23.07,23.08,22.83,22.97,142.112
2014-06-20,22.96,23.14,22.73,22.73,403.592
2014-06-23,22.83,22.91,22.65,22.71,174.776
2014-06-24,22.69,22.93,22.55,22.57,156.144
2014-06-25,22.55,22.67,22.41,22.59,147.476
2014-06-26,22.59,22.76,22.45,22.73,130.516
2014-06-27,22.7,23.0,22.69,23.0,256.116
2014-06-30,23.02,23.43,23.02,23.23,197.929
2014-07-01,23.38,23.52,23.28,23.38,152.892
2014-07-02,23.47,23.51,23.27,23.37,113.86
2014-07-03,23.42,23.52,23.3,23.51,91.567
2014-07-07,23.53,24.0,23.52,23.99,225.872
2014-07-08,24.07,24.2,23.48,23.84,260.888
2014-07-09,23.86,23.99,23.69,23.85,145.744
2014-07-10,23.44,23.89,23.38,23.76,158.744
2014-07-11,23.84,23.97,23.72,23.81,136.072
2014-07-14,23.97,24.22,23.91,24.11,171.24
2014-07-15,24.2,24.21,23.76,23.83,181.912
2014-07-16,24.24,24.27,23.68,23.69,213.585
2014-07-17,23.76,23.82,23.14,23.27,229.192
2014-07-18,23.41,23.68,23.25,23.61,199.952
2014-07-21,23.75,23.75,23.43,23.49,156.316
2014-07-22,23.67,23.72,23.53,23.68,220.788
2014-07-23,23.85,24.47,23.79,24.3,371.672
2014-07-24,24.26,24.33,24.1,24.26,182.916
2014-07-25,24.21,24.46,24.16,24.42,173.876
2014-07-28,24.45,24.81,24.39,24.75,221.272
2014-07-29,24.83,24.86,24.56,24.59,172.572
2014-07-30,24.61,24.67,24.42,24.54,132.04
2014-07-31,24.29,24.36,23.83,23.9,227.372
2014-08-01,23.73,24.16,23.7,24.03,194.044
2014-08-04,24.09,24.15,23.79,23.9,159.832
2014-08-05,23.84,23.92,23.59,23.78,223.732
2014-08-06,23.69,23.87,23.68,23.74,154.232
2014-08-07,23.73,23.99,23.52,23.62,186.844
2014-08-08,23.57,23.7,23.32,23.68,167.46
2014-08-11,23.82,24.02,23.71,24.0,146.34
2014-08-12,24.01,24.22,23.9,23.99,135.18
2014-08-13,24.04,24.31,24.01,24.31,127.664
2014-08-14,24.33,24.39,24.2,24.38,112.464
2014-08-15,24.48,24.55,24.22,24.5,195.804
2014-08-18,24.62,24.84,24.5,24.79,190.288
2014-08-19,24.85,25.17,24.83,25.13,277.596
2014-08-20,25.11,25.27,24.99,25.14,210.796
2014-08-21,25.14,25.24,25.03,25.15,133.912
2014-08-22,25.07,25.37,25.05,25.33,176.736
2014-08-25,25.45,25.54,25.32,25.39,161.08
2014-08-26,25.35,25.38,25.22,25.22,132.608
2014-08-27,25.25,25.64,25.17,25.53,209.476
2014-08-28,25.4,25.69,25.39,25.56,273.84
2014-08-29,25.72,25.73,25.55,25.62,178.38
2014-09-02,25.76,25.93,25.68,25.83,214.256
2014-09-03,25.77,25.8,24.65,24.74,501.684
2014-09-04,24.71,25.02,24.45,24.53,342.872
2014-09-05,24.7,24.85,24.58,24.74,233.828
2014-09-08,24.83,24.83,24.51,24.59,185.427
2014-09-09,24.77,25.77,24.03,24.5,759.385
2014-09-10,24.5,25.28,24.44,25.25,403.478
2014-09-11,25.1,25.36,24.91,25.36,249.412
2014-09-12,25.3,25.55,25.27,25.42,250.504
2014-09-15,25.7,25.76,25.36,25.41,245.266
2014-09-16,24.95,25.32,24.72,25.22,267.632
2014-09-17,25.32,25.45,25.15,25.4,243.706
2014-09-18,25.48,25.59,25.39,25.45,149.198
2014-09-19,25.57,25.59,25.12,25.24,283.61
2014-09-22,25.45,25.53,25.15,25.26,211.154
2014-09-23,25.15,25.74,25.14,25.66,253.609
2014-09-24,25.54,25.71,25.3,25.44,240.687
2014-09-25,25.13,25.18,24.43,24.47,400.368
2014-09-26,24.63,25.19,24.6,25.19,249.482
2014-09-29,24.66,25.11,24.66,25.03,199.065
2014-09-30,25.2,25.39,25.13,25.19,221.056
2014-10-01,25.15,25.17,24.67,24.8,205.965
2014-10-02,24.82,25.06,24.51,24.98,191.031
2014-10-03,24.86,25.05,24.76,24.91,173.878
2014-10-06,24.99,25.16,24.85,24.91,148.205
2014-10-07,24.86,25.03,24.68,24.69,168.377
2014-10-08,24.69,25.28,24.58,25.2,229.619
2014-10-09,25.39,25.59,25.15,25.25,309.506
2014-10-10,25.17,25.51,25.08,25.18,265.326
2014-10-13,25.33,25.44,24.95,24.95,214.334
2014-10-14,25.1,25.13,24.64,24.69,254.754
2014-10-15,24.49,24.79,23.8,24.39,403.734
2014-10-16,23.89,24.43,23.85,24.07,288.618
2014-10-17,24.38,24.75,24.2,24.42,272.719
2014-10-20,24.58,24.99,24.56,24.94,310.069
2014-10-21,25.75,25.75,25.32,25.62,378.496
2014-10-22,25.71,26.03,25.65,25.75,273.052
2014-10-23,26.02,26.26,25.91,26.21,284.299
2014-10-24,26.3,26.37,26.13,26.31,188.216
2014-10-27,26.21,26.37,26.17,26.28,136.751
2014-10-28,26.35,26.68,26.34,26.68,192.244
2014-10-29,26.66,26.84,26.59,26.83,210.752
2014-10-30,26.74,26.84,26.48,26.75,162.619
2014-10-31,27.0,27.01,26.8,27.0,178.557
2014-11-03,27.06,27.58,27.0,27.35,209.13
2014-11-04,27.34,27.37,26.93,27.15,166.298
2014-11-05,27.27,27.33,27.03,27.22,149.744
2014-11-06,27.15,27.2,26.95,27.17,139.874
2014-11-07,27.19,27.33,27.14,27.25,134.766
2014-11-10,27.25,27.33,27.17,27.21,108.782
2014-11-11,27.17,27.44,27.1,27.42,109.769
2014-11-12,27.34,27.86,27.34,27.81,187.77
2014-11-13,27.95,28.36,27.9,28.2,238.092
2014-11-14,28.29,28.55,27.8,28.55,176.254
2014-11-17,28.57,29.32,28.33,28.5,186.987
2014-11-18,28.49,28.92,28.47,28.87,176.896
2014-11-19,28.86,28.93,28.45,28.67,167.477
2014-11-20,28.73,29.22,28.71,29.08,173.582
2014-11-21,29.38,29.39,29.01,29.12,228.717
2014-11-24,29.21,29.69,29.16,29.66,189.803
2014-11-25,29.77,29.94,29.36,29.4,275.362
2014-11-26,29.49,29.77,29.46,29.75,163.073
2014-11-28,29.82,29.85,29.51,29.73,99.258
2014-12-01,29.7,29.81,27.82,28.77,335.256
2014-12-02,28.38,28.94,28.19,28.66,237.396
2014-12-03,28.94,29.09,28.78,28.98,172.254
2014-12-04,28.94,29.3,28.82,28.87,168.178
2014-12-05,29.0,29.02,28.66,28.75,153.276
2014-12-08,28.52,28.66,27.91,28.1,230.66
2014-12-09,27.55,28.58,27.34,28.53,240.832
2014-12-10,28.6,28.71,27.89,27.99,178.261
2014-12-11,28.07,28.45,27.83,27.91,165.607
2014-12-12,27.61,27.97,27.4,27.43,224.112
2014-12-15,27.67,27.9,26.59,27.06,268.872
2014-12-16,26.59,27.54,26.57,26.69,243.163
2014-12-17,26.78,27.46,26.7,27.35,213.647
2014-12-18,27.97,28.16,27.67,28.16,236.025
2014-12-19,28.07,28.31,27.92,27.94,353.719
2014-12-22,28.04,28.37,27.99,28.24,180.67
2014-12-23,28.31,28.33,28.11,28.14,104.114
2014-12-24,28.15,28.18,28.0,28.0,57.918
2014-12-26,28.02,28.63,28.0,28.5,134.884
2014-12-29,28.45,28.69,28.42,28.48,110.396
2014-12-30,28.41,28.48,28.03,28.13,119.526
2014-12-31,28.2,28.28,27.55,27.59,165.614
2015-01-02,27.85,27.86,26.84,27.33,212.818
2015-01-05,27.07,27.16,26.35,26.56,257.142
2015-01-06,26.64,26.86,26.16,26.57,263.188
2015-01-07,26.8,27.05,26.67,26.94,160.424
2015-01-08,27.31,28.04,27.17,27.97,237.458
2015-01-09,28.17,28.31,27.55,28.0,214.798
2015-01-12,28.15,28.16,27.2,27.31,198.603
2015-01-13,27.86,28.2,27.23,27.56,268.368
2015-01-14,27.26,27.62,27.12,27.45,195.826
2015-01-15,27.5,27.51,26.67,26.7,240.056
2015-01-16,26.76,26.9,26.3,26.5,314.053
2015-01-20,26.96,27.24,26.62,27.18,199.6
2015-01-21,27.24,27.76,27.07,27.39,194.304
2015-01-22,27.57,28.12,27.43,28.1,215.186
2015-01-23,28.08,28.44,27.88,28.25,185.859
2015-01-26,28.43,28.59,28.2,28.27,222.46
2015-01-27,28.1,28.12,27.26,27.28,382.275
2015-01-28,29.41,29.53,28.83,28.83,585.908
2015-01-29,29.08,29.8,28.89,29.73,337.746
2015-01-30,29.6,30.0,29.21,29.29,334.982
2015-02-02,29.51,29.79,29.02,29.66,250.956
2015-02-03,29.62,29.77,29.4,29.66,207.663
2015-02-04,29.62,30.13,29.58,29.89,280.599
2015-02-05,30.0,30.06,29.81,29.99,168.985
2015-02-06,30.0,30.06,29.61,29.73,174.826
2015-02-09,29.64,29.96,29.61,29.93,155.559
