Date,Open,High,Low,Close,Volume
2014-01-02,52.12,52.33,51.52,51.98,4.569
2014-01-03,52.25,52.67,51.97,52.3,4.794
2014-01-06,52.7,52.7,50.03,50.39,11.871
2014-01-07,50.84,51.21,50.3,50.49,9.72
2014-01-08,50.63,51.11,50.24,50.36,6.811
2014-01-09,50.59,51.65,49.87,51.22,6.96
2014-01-10,51.27,51.49,50.76,50.9,5.518
2014-01-13,50.66,50.74,49.64,49.83,7.055
2014-01-14,49.94,50.88,49.63,50.6,6.611
2014-01-15,50.65,50.67,50.07,50.11,4.728
2014-01-16,50.1,50.62,50.02,50.5,4.972
2014-01-17,50.64,50.66,50.01,50.06,8.607
2014-01-21,50.26,50.92,49.91,50.0,5.823
2014-01-22,49.98,50.0,48.62,49.08,8.182
2014-01-23,48.74,49.06,48.39,48.87,7.27
2014-01-24,48.42,49.1,47.77,47.79,9.198
2014-01-27,47.79,47.83,46.42,46.83,10.75
2014-01-28,47.08,48.47,47.08,47.69,12.299
2014-01-29,47.15,47.84,46.98,47.61,7.608
2014-01-30,47.97,48.88,47.9,48.31,7.67
2014-01-31,49.94,50.55,49.07,49.23,12.864
2014-02-03,49.4,49.49,47.06,47.35,10.315
2014-02-04,47.18,47.97,46.95,47.95,9.606
2014-02-05,47.76,48.07,47.16,47.73,6.987
2014-02-06,47.89,48.18,47.45,47.93,4.958
2014-02-07,48.0,49.03,47.66,48.89,6.98
2014-02-10,48.75,50.19,48.72,49.55,7.908
2014-02-11,49.41,49.97,49.04,49.66,7.218
2014-02-12,49.63,50.93,49.59,50.56,6.534
2014-02-13,50.3,50.52,49.88,50.35,4.946
2014-02-14,50.56,50.91,50.17,50.73,4.119
2014-02-18,50.64,51.56,50.56,51.46,4.985
2014-02-19,51.17,51.86,50.64,51.19,5.243
2014-02-20,51.19,52.11,50.73,51.86,6.079
2014-02-21,51.82,51.97,51.01,51.04,5.843
2014-02-24,51.01,51.56,50.83,50.85,5.693
2014-02-25,50.93,51.13,50.5,50.72,5.425
2014-02-26,49.95,50.97,49.93,50.74,5.711
2014-02-27,50.6,50.92,50.47,50.91,5.053
2014-02-28,50.84,51.96,50.51,50.91,7.096
2014-03-03,50.34,50.86,49.79,50.09,6.818
2014-03-04,50.73,51.73,50.53,51.59,6.198
2014-03-05,51.68,52.12,51.3,51.7,5.251
2014-03-06,52.04,52.77,51.97,52.04,6.529
2014-03-07,52.25,52.5,51.01,51.46,5.861
2014-03-10,51.9,51.9,50.86,51.66,3.086
2014-03-11,51.68,52.14,51.5,51.75,3.63
2014-03-12,51.46,51.74,51.07,51.64,3.925
2014-03-13,51.89,52.1,51.14,51.32,4.839
2014-03-14,51.25,51.42,50.8,51.21,5.467
2014-03-17,51.47,52.19,51.26,51.98,3.876
2014-03-18,52.08,53.22,51.97,53.1,4.712
2014-03-19,53.09,53.53,52.44,53.11,6.409
2014-03-20,52.86,53.8,52.52,53.68,6.923
2014-03-21,54.22,54.73,53.09,53.46,12.93
2014-03-24,53.53,53.62,51.35,51.36,10.161
2014-03-25,51.68,52.1,51.5,51.69,6.127
2014-03-26,52.0,52.34,51.46,51.5,5.685
2014-03-27,51.53,51.84,51.43,51.66,4.778
2014-03-28,51.83,52.13,50.89,50.98,4.208
2014-03-31,51.34,51.7,50.95,51.4,4.813
2014-04-01,51.62,52.38,51.54,52.1,4.251
2014-04-02,52.1,53.41,51.99,53.34,6.007
2014-04-03,53.35,53.83,53.21,53.5,6.841
2014-04-04,53.78,54.44,52.05,52.2,7.013
2014-04-07,51.68,52.31,49.65,50.62,9.147
2014-04-08,50.35,50.87,48.93,49.1,8.247
2014-04-09,49.49,50.76,49.26,50.63,6.018
2014-04-10,50.08,50.27,47.29,47.35,13.177
2014-04-11,46.58,47.21,45.5,46.46,11.466
2014-04-14,47.1,47.5,46.21,46.83,7.291
2014-04-15,47.42,48.09,46.76,47.86,9.531
2014-04-16,48.58,48.84,47.62,48.12,7.151
2014-04-17,47.92,48.78,47.72,48.55,6.197
2014-04-21,48.5,49.45,48.4,49.43,4.445
2014-04-22,49.49,50.42,49.35,50.01,6.613
2014-04-23,50.14,50.26,49.39,50.14,6.578
2014-04-24,50.13,50.13,49.0,49.32,6.629
2014-04-25,50.21,50.98,48.95,49.14,7.289
2014-04-28,49.55,50.92,49.5,50.87,7.932
2014-04-29,50.94,51.53,50.76,51.37,5.601
2014-04-30,51.38,52.17,51.0,52.08,7.431
2014-05-01,51.89,52.1,51.41,51.61,4.28
2014-05-02,51.41,51.72,51.0,51.18,3.341
2014-05-05,50.99,51.37,50.31,51.36,2.58
2014-05-06,51.2,51.3,50.83,50.91,3.353
2014-05-07,52.38,52.87,51.27,52.79,7.023
2014-05-08,52.69,53.09,51.96,52.15,4.092
2014-05-09,52.07,52.35,51.08,52.26,5.012
2014-05-12,52.36,52.56,52.22,52.37,3.626
2014-05-13,52.45,52.5,51.92,52.2,4.145
2014-05-14,52.23,53.0,52.08,52.87,4.878
2014-05-15,52.96,53.07,52.42,52.69,6.964
2014-05-16,52.65,52.97,52.41,52.93,5.826
2014-05-19,52.84,54.21,52.71,54.11,6.01
2014-05-20,53.86,53.93,53.31,53.54,5.021
2014-05-21,53.5,53.84,53.1,53.27,4.088
2014-05-22,53.29,54.34,52.94,53.63,4.486
2014-05-23,53.94,54.38,53.84,53.95,3.024
2014-05-27,54.2,54.2,53.78,53.99,3.816
2014-05-28,53.96,54.61,53.82,54.07,4.108
2014-05-29,54.1,54.45,53.75,54.03,2.769
2014-05-30,53.98,54.43,53.89,54.33,4.026
2014-06-02,54.43,54.95,53.91,54.15,3.635
2014-06-03,54.06,54.47,53.87,54.37,3.078
2014-06-04,53.92,54.64,53.67,54.58,3.388
2014-06-05,54.55,55.32,54.36,55.3,4.847
2014-06-06,55.32,55.4,54.89,55.1,3.45
2014-06-09,54.42,54.88,53.72,53.84,6.298
2014-06-10,53.14,54.08,52.29,53.97,8.415
2014-06-11,53.85,54.7,53.75,54.23,5.387
2014-06-12,54.22,54.25,53.46,53.66,3.942
2014-06-13,53.67,54.31,53.44,54.16,4.413
2014-06-16,54.18,54.31,53.45,54.0,4.41
2014-06-17,54.49,54.54,53.85,54.3,3.385
2014-06-18,54.27,54.61,54.0,54.57,3.337
2014-06-19,54.14,54.81,53.92,54.19,3.953
2014-06-20,55.62,55.62,53.16,53.3,13.458
2014-06-23,53.76,54.4,53.54,53.75,6.236
2014-06-24,53.74,53.95,53.43,53.59,5.484
2014-06-25,53.52,55.79,53.4,55.0,11.085
2014-06-26,55.07,56.54,54.97,56.51,10.716
2014-06-27,56.58,56.9,56.28,56.79,7.491
2014-06-30,56.51,56.89,56.1,56.44,6.23
2014-07-01,56.42,57.2,56.17,56.89,6.87
2014-07-02,57.46,58.11,56.92,58.11,6.198
2014-07-03,57.9,58.27,57.65,58.22,3.829
2014-07-07,57.91,58.15,57.39,57.4,4.736
2014-07-08,56.68,56.97,55.48,55.69,9.297
2014-07-09,55.56,55.64,54.82,55.01,11.516
2014-07-10,54.5,55.88,54.28,55.79,7.553
2014-07-11,55.34,56.6,54.48,54.96,13.587
2014-07-14,53.89,55.05,53.72,54.85,30.823
2014-07-15,54.52,54.69,53.39,53.44,16.796
2014-07-16,53.25,53.67,51.82,53.65,23.291
2014-07-17,53.21,55.0,52.88,53.52,18.699
2014-07-18,53.0,55.12,53.0,54.91,42.456
2014-07-21,54.14,54.45,53.91,54.0,22.335
2014-07-22,53.82,54.38,53.75,54.05,14.724
2014-07-23,54.48,54.81,54.07,54.48,15.011
2014-07-24,54.22,54.56,53.97,54.08,11.713
2014-07-25,54.4,54.49,53.03,53.18,11.681
2014-07-28,53.42,54.0,53.17,53.74,10.466
2014-07-29,53.55,53.66,53.24,53.43,16.172
2014-07-30,53.28,53.89,53.03,53.75,12.68
2014-07-31,53.13,53.4,52.3,52.34,15.48
2014-08-01,52.03,52.64,51.75,52.48,11.593
2014-08-04,52.58,53.4,52.37,53.29,10.456
2014-08-05,52.77,53.19,52.45,52.79,12.784
2014-08-06,51.48,52.66,51.37,52.05,18.126
2014-08-07,51.59,52.71,51.42,52.43,17.172
2014-08-08,52.72,52.89,52.29,52.82,13.118
2014-08-11,53.0,53.65,52.77,53.31,10.075
2014-08-12,53.22,53.3,52.57,52.84,8.525
2014-08-13,52.97,53.64,52.75,53.6,9.029
2014-08-14,53.62,54.23,53.53,54.19,7.96
2014-08-15,54.34,54.59,53.58,53.9,10.109
2014-08-18,54.39,54.52,53.84,54.31,7.37
2014-08-19,54.48,55.31,54.18,55.29,9.159
2014-08-20,54.82,55.18,54.69,55.06,7.612
2014-08-21,54.79,55.12,54.68,54.96,8.063
2014-08-22,54.87,55.27,54.36,55.2,9.315
2014-08-25,55.38,55.92,55.18,55.87,7.554
2014-08-26,55.68,55.94,55.64,55.75,9.31
2014-08-27,55.85,55.85,55.4,55.7,11.023
2014-08-28,55.52,55.68,55.25,55.6,7.278
2014-08-29,55.75,55.8,55.24,55.28,7.524
2014-09-02,55.43,55.53,54.96,55.07,7.355
2014-09-03,55.16,55.53,54.83,55.51,7.562
2014-09-04,55.36,55.6,55.09,55.54,10.019
2014-09-05,55.49,55.94,54.87,55.94,9.914
2014-09-08,55.78,55.95,55.37,55.57,6.569
2014-09-09,55.53,57.18,55.43,56.95,17.559
2014-09-10,56.9,57.32,56.51,57.19,8.74
2014-09-11,57.0,57.88,56.85,57.85,9.944
2014-09-12,57.85,58.77,57.74,57.88,15.556
2014-09-15,57.75,58.15,57.47,57.93,8.633
2014-09-16,57.63,58.7,57.46,58.6,9.112
2014-09-17,58.89,60.02,58.75,59.62,14.389
2014-09-18,59.6,59.65,59.1,59.45,10.98
2014-09-19,59.84,59.93,59.01,59.06,13.987
2014-09-22,59.23,59.3,58.41,58.71,9.046
2014-09-23,56.8,58.27,56.6,57.56,24.204
2014-09-24,57.66,59.35,57.61,59.05,15.764
2014-09-25,58.47,59.5,57.97,58.0,10.079
2014-09-26,58.54,59.24,58.1,59.19,15.866
2014-09-29,58.14,58.83,57.94,58.52,7.64
2014-09-30,58.26,58.81,57.73,57.76,8.599
2014-10-01,57.93,57.94,56.96,57.23,8.432
2014-10-02,57.54,57.7,56.14,56.67,8.372
2014-10-03,57.42,58.78,57.34,58.69,11.676
2014-10-06,58.59,58.99,57.66,57.81,7.36
2014-10-07,57.6,57.6,56.51,56.65,8.924
2014-10-08,56.54,58.45,56.18,58.34,10.917
2014-10-09,58.52,58.55,56.71,56.72,11.912
2014-10-10,55.99,56.67,54.95,54.97,12.109
2014-10-13,54.88,55.15,53.58,53.62,16.908
2014-10-14,53.59,54.84,53.02,54.13,14.294
2014-10-15,52.33,55.72,52.06,54.63,122.74
2014-10-16,55.8,55.9,52.84,52.9,61.237
2014-10-17,53.78,53.9,52.9,53.37,31.892
2014-10-20,52.56,54.59,52.25,54.41,17.955
2014-10-21,55.3,56.45,55.02,56.29,17.522
2014-10-22,56.96,57.45,56.26,56.9,16.048
2014-10-23,58.1,59.7,57.88,59.52,14.729
2014-10-24,59.34,60.41,59.34,60.29,10.392
2014-10-27,60.35,60.98,60.21,60.49,10.011
2014-10-28,60.76,61.13,60.44,60.93,9.412
2014-10-29,60.99,60.99,59.36,59.98,16.548
2014-10-30,60.0,61.43,59.91,61.18,11.635
2014-10-31,63.06,63.99,62.37,63.46,15.01
2014-11-03,63.66,63.9,62.94,63.25,8.251
2014-11-04,63.21,63.61,62.32,62.66,9.742
2014-11-05,63.49,63.67,62.2,62.54,6.465
2014-11-06,62.75,63.39,62.42,62.71,5.152
2014-11-07,62.31,62.33,61.31,61.5,7.003
2014-11-10,61.99,64.06,61.87,63.79,9.513
2014-11-11,63.69,64.2,63.5,63.85,5.041
2014-11-12,63.56,64.02,63.56,63.76,5.367
2014-11-13,64.25,64.79,63.4,63.63,4.51
2014-11-14,63.98,64.0,63.13,64.0,4.685
2014-11-17,64.08,65.41,64.03,65.04,7.117
2014-11-18,64.78,66.24,64.78,66.05,6.432
2014-11-19,65.88,66.15,65.22,65.5,5.711
2014-11-20,65.04,65.68,64.93,65.19,4.976
2014-11-21,66.41,67.36,65.75,67.36,9.166
2014-11-24,67.4,68.06,67.4,67.78,7.73
2014-11-25,67.64,68.21,67.15,68.06,7.551
2014-11-26,68.34,68.86,67.88,68.7,4.046
2014-11-28,69.0,69.48,68.89,69.2,2.954
2014-12-01,69.08,69.5,68.83,69.11,4.885
2014-12-02,68.88,69.49,68.65,69.27,6.492
2014-12-03,69.17,69.48,68.41,68.5,5.818
2014-12-04,68.35,69.86,68.29,69.57,7.665
2014-12-05,69.52,70.17,69.34,69.71,4.36
2014-12-08,69.81,70.76,69.35,69.42,5.452
2014-12-09,68.21,69.19,67.61,69.14,6.834
2014-12-10,69.44,69.44,67.53,67.58,8.576
2014-12-11,66.48,67.96,66.24,67.03,9.518
2014-12-12,66.53,67.17,65.01,65.27,9.216
2014-12-15,65.75,66.47,64.81,65.62,7.226
2014-12-16,65.11,66.94,64.8,65.25,8.545
2014-12-17,65.5,66.74,65.09,66.57,5.935
2014-12-18,67.86,68.01,67.2,67.92,7.185
2014-12-19,67.69,68.62,66.84,67.71,12.631
2014-12-22,68.04,68.25,66.83,66.97,12.877
2014-12-23,67.23,67.32,64.02,64.35,12.123
2014-12-24,64.75,66.95,64.75,66.21,4.706
2014-12-26,66.51,67.24,66.51,66.98,4.158
2014-12-29,66.58,67.37,66.42,67.14,3.873
2014-12-30,66.77,67.16,66.02,66.3,5.569
2014-12-31,66.72,67.1,65.35,65.44,3.917
2015-01-02,65.44,66.4,65.44,65.89,5.086
2015-01-05,65.5,66.1,63.88,64.65,8.007
