Date,Open,High,Low,Close,Volume
2014-01-02,59.06,59.53,58.94,59.29,2.746
2014-01-03,59.19,59.69,59.11,59.16,1.589
2014-01-06,58.06,58.77,58.01,58.12,3.754
2014-01-07,58.26,59.05,58.06,58.97,2.964
2014-01-08,59.12,59.28,58.46,58.9,3.456
2014-01-09,58.99,59.53,58.72,59.09,2.427
2014-01-10,59.35,59.63,58.95,59.53,1.829
2014-01-13,59.28,59.44,58.41,58.6,2.929
2014-01-14,58.68,60.53,58.63,60.37,4.18
2014-01-15,60.44,61.81,60.4,61.68,4.22
2014-01-16,61.59,61.98,61.26,61.63,3.748
2014-01-17,61.02,61.6,60.8,61.37,3.314
2014-01-21,61.5,61.79,60.7,60.85,3.199
2014-01-22,60.93,61.81,60.7,61.77,3.594
2014-01-23,61.18,61.43,60.32,60.88,2.671
2014-01-24,60.3,60.44,59.09,59.09,2.851
2014-01-27,58.11,58.88,57.86,58.36,5.258
2014-01-28,57.98,59.46,57.88,59.11,3.53
2014-01-29,58.61,59.18,58.17,58.46,3.585
2014-01-30,59.12,59.9,59.02,59.39,2.768
2014-01-31,58.15,59.54,58.09,59.19,3.113
2014-02-03,59.08,59.26,57.32,58.09,6.649
2014-02-04,58.48,59.74,57.65,59.72,3.593
2014-02-05,59.54,61.02,59.27,61.0,5.123
2014-02-06,60.7,61.65,60.65,61.34,2.898
2014-02-07,61.58,63.24,61.3,62.88,4.822
2014-02-10,62.73,63.8,62.52,63.78,2.833
2014-02-11,64.48,64.88,63.66,63.97,4.648
2014-02-12,64.21,65.15,64.09,65.14,3.138
2014-02-13,64.84,67.11,64.83,67.04,3.607
2014-02-14,67.48,68.49,67.0,68.34,6.232
2014-02-18,68.62,69.1,68.0,68.66,3.758
2014-02-19,68.45,69.43,67.68,67.99,3.994
2014-02-20,68.19,68.66,67.7,68.48,3.162
2014-02-21,67.82,68.44,67.55,68.22,3.61
2014-02-24,68.54,69.28,68.0,68.77,2.812
2014-02-25,68.71,68.76,67.63,68.01,3.566
2014-02-26,67.73,68.95,67.65,67.82,3.066
2014-02-27,67.9,70.08,67.82,69.92,4.724
2014-02-28,70.25,71.11,67.83,68.63,5.729
2014-03-03,68.06,68.15,67.14,67.86,3.395
2014-03-04,68.6,69.04,68.5,68.6,5.426
2014-03-05,68.79,69.03,68.52,68.9,3.07
2014-03-06,69.14,69.42,68.85,68.92,3.059
2014-03-07,69.21,69.31,67.97,68.52,2.5
2014-03-10,68.68,68.68,67.31,68.04,3.033
2014-03-11,68.19,68.6,67.25,67.47,3.345
2014-03-12,67.06,68.1,66.75,68.06,2.434
2014-03-13,68.48,68.83,66.63,67.08,2.871
2014-03-14,67.7,67.7,66.87,67.19,3.007
2014-03-17,67.89,69.35,67.73,68.17,3.932
2014-03-18,67.66,70.24,67.52,68.52,11.438
2014-03-19,69.01,69.01,66.15,67.63,7.683
2014-03-20,67.55,69.08,67.44,68.49,5.28
2014-03-21,69.06,69.06,66.91,67.14,5.477
2014-03-24,67.22,67.48,64.77,65.24,5.906
2014-03-25,65.75,66.74,65.06,65.81,4.246
2014-03-26,66.1,66.39,63.88,63.9,4.714
2014-03-27,63.6,65.16,63.05,64.53,5.557
2014-03-28,64.71,65.61,64.15,64.88,4.02
2014-03-31,64.87,65.95,64.62,65.74,3.214
2014-04-01,65.9,66.22,65.44,65.93,3.398
2014-04-02,66.07,66.31,65.12,65.48,2.587
2014-04-03,65.5,65.5,62.17,62.45,6.984
2014-04-04,62.92,62.92,61.1,61.32,6.157
2014-04-07,61.2,61.2,59.63,60.47,6.271
2014-04-08,60.53,62.25,60.11,61.82,6.71
2014-04-09,62.0,63.69,61.56,63.46,6.427
2014-04-10,63.05,63.45,61.27,61.49,5.648
2014-04-11,60.89,61.75,60.02,60.5,5.931
2014-04-14,61.18,61.66,60.55,61.39,3.234
2014-04-15,61.5,62.29,60.5,62.11,3.599
2014-04-16,62.27,63.14,62.25,63.04,3.371
2014-04-17,62.96,64.23,62.53,64.04,3.746
2014-04-21,64.0,64.46,63.56,64.3,2.077
2014-04-22,64.06,64.74,63.76,64.48,3.855
2014-04-23,64.23,64.58,63.78,64.39,2.864
2014-04-24,64.89,65.0,62.93,63.22,3.961
2014-04-25,62.92,63.03,61.56,61.61,4.288
2014-04-28,61.84,62.17,59.62,60.4,4.376
2014-04-29,60.57,60.93,59.91,60.91,3.532
2014-04-30,60.87,61.8,60.63,61.69,3.722
2014-05-01,61.69,63.1,61.31,62.59,2.839
2014-05-02,62.86,62.97,61.53,61.56,2.365
2014-05-05,61.2,61.98,60.88,61.44,2.07
2014-05-06,61.15,61.35,59.34,59.44,3.913
2014-05-07,59.56,59.68,57.15,58.63,7.061
2014-05-08,58.34,60.61,57.9,59.08,3.825
2014-05-09,59.14,59.61,58.17,59.59,3.608
2014-05-12,59.77,61.05,59.74,60.7,2.864
2014-05-13,60.81,60.97,60.14,60.81,2.938
2014-05-14,59.95,61.35,59.95,60.88,2.498
2014-05-15,60.71,60.95,59.56,60.2,5.699
2014-05-16,60.65,61.69,59.93,61.64,3.651
2014-05-19,61.27,62.84,61.26,62.2,2.818
2014-05-20,62.12,62.45,61.42,61.71,1.865
2014-05-21,61.73,62.66,61.53,62.47,1.414
2014-05-22,62.29,63.46,61.91,63.15,1.815
2014-05-23,63.33,64.48,62.84,64.3,2.282
2014-05-27,64.64,65.49,64.61,65.25,2.151
2014-05-28,65.43,65.48,64.79,64.84,2.198
2014-05-29,64.93,65.82,64.93,65.45,2.061
2014-05-30,65.75,65.75,64.17,64.54,2.444
2014-06-02,64.54,65.04,63.68,64.64,1.428
2014-06-03,64.19,64.46,63.49,64.09,3.01
2014-06-04,64.1,64.73,63.62,64.17,2.676
2014-06-05,64.3,65.62,63.93,65.47,2.042
2014-06-06,65.99,67.32,65.69,66.91,3.624
2014-06-09,66.7,67.38,66.59,66.93,1.34
2014-06-10,66.69,67.19,66.46,66.96,1.559
2014-06-11,66.9,67.5,66.66,67.46,1.608
2014-06-12,67.23,67.46,66.28,66.56,1.94
2014-06-13,66.7,66.95,66.25,66.82,2.981
2014-06-16,66.8,67.79,66.52,67.62,4.37
2014-06-17,67.36,68.0,66.86,67.54,6.654
2014-06-18,73.82,74.69,72.1,73.08,11.377
2014-06-19,73.17,73.57,72.24,72.95,4.413
2014-06-20,73.04,73.15,72.55,72.61,3.904
2014-06-23,72.74,73.16,72.29,72.89,2.354
2014-06-24,72.95,73.28,72.18,72.38,2.949
2014-06-25,72.27,72.76,72.12,72.44,2.219
2014-06-26,72.44,72.9,72.18,72.85,2.075
2014-06-27,72.62,72.77,71.76,72.0,7.316
2014-06-30,72.43,72.74,71.96,72.36,2.771
2014-07-01,72.09,73.99,71.8,73.01,4.718
2014-07-02,72.65,73.24,72.6,72.76,2.682
2014-07-03,72.95,73.71,72.68,73.57,1.396
2014-07-07,73.07,73.42,72.58,72.68,1.768
2014-07-08,72.59,72.87,70.87,71.14,2.789
2014-07-09,71.11,71.97,71.11,71.57,1.75
2014-07-10,70.46,72.08,70.31,71.7,1.853
2014-07-11,71.73,72.44,71.05,72.26,1.931
2014-07-14,72.55,73.26,72.46,72.88,1.862
2014-07-15,72.8,73.11,71.87,72.29,2.753
2014-07-16,72.55,72.87,72.19,72.38,1.513
2014-07-17,72.11,72.47,71.31,71.39,2.032
2014-07-18,71.9,72.58,71.35,72.55,2.857
2014-07-21,72.5,72.65,71.7,71.96,1.906
2014-07-22,72.13,72.83,71.91,72.26,1.77
2014-07-23,72.34,72.55,71.48,72.04,1.874
2014-07-24,72.3,72.9,72.2,72.8,2.414
2014-07-25,72.54,73.15,72.23,72.62,1.997
2014-07-28,72.39,73.02,71.84,72.7,1.722
2014-07-29,72.7,73.25,72.24,72.27,1.916
2014-07-30,72.5,72.7,71.47,71.89,2.668
2014-07-31,71.31,71.54,69.01,69.25,3.822
2014-08-01,69.01,69.55,68.52,68.94,2.109
2014-08-04,68.95,69.24,68.35,68.77,3.037
2014-08-05,68.3,69.55,68.29,68.97,3.457
2014-08-06,68.73,69.07,68.22,68.23,2.456
2014-08-07,68.69,68.88,67.57,67.83,2.292
2014-08-08,68.08,68.64,67.74,68.39,1.573
2014-08-11,68.5,69.18,68.28,68.97,2.197
2014-08-12,68.61,68.99,68.2,68.79,1.919
2014-08-13,69.12,69.97,68.36,69.79,1.882
2014-08-14,69.89,70.07,69.59,70.05,1.319
2014-08-15,70.88,70.91,69.58,70.07,4.312
2014-08-18,70.44,71.1,70.39,71.06,1.707
2014-08-19,71.09,72.08,71.06,72.05,1.998
2014-08-20,71.78,72.0,70.75,71.02,3.395
2014-08-21,71.07,71.9,70.83,71.73,1.887
2014-08-22,71.89,72.29,71.55,72.04,1.444
2014-08-25,72.44,72.57,71.63,71.82,1.709
2014-08-26,71.79,72.25,71.5,71.53,1.848
2014-08-27,71.53,72.09,71.37,71.55,1.706
2014-08-28,71.23,71.72,70.86,71.37,1.063
2014-08-29,71.77,72.1,71.4,71.9,1.66
2014-09-02,72.06,72.59,71.84,72.1,2.161
2014-09-03,72.55,72.8,71.99,72.43,1.971
2014-09-04,72.63,73.2,72.26,72.46,1.976
2014-09-05,72.6,73.13,72.41,73.13,1.736
2014-09-08,72.87,73.55,72.81,73.39,1.374
2014-09-09,73.58,73.58,72.34,72.42,1.648
2014-09-10,72.25,72.75,71.84,72.33,2.214
2014-09-11,72.03,72.57,71.78,72.42,1.709
2014-09-12,72.4,72.49,70.8,70.98,3.146
2014-09-15,70.63,70.96,69.37,70.27,3.868
2014-09-16,70.01,70.96,69.19,70.73,5.965
2014-09-17,68.03,69.09,67.16,67.3,9.463
2014-09-18,67.28,68.15,67.1,67.91,5.174
2014-09-19,68.12,68.2,66.35,66.94,6.79
2014-09-22,66.7,67.22,65.79,67.2,4.122
2014-09-23,67.11,68.07,66.85,67.79,4.414
2014-09-24,67.77,69.25,67.6,69.03,3.88
2014-09-25,68.85,69.02,67.53,67.71,3.623
2014-09-26,67.49,68.42,67.42,68.36,2.287
2014-09-29,67.69,69.49,67.55,69.22,3.38
2014-09-30,69.49,69.5,68.53,69.19,2.887
2014-10-01,69.13,69.13,67.51,67.54,4.651
2014-10-02,67.83,67.95,66.15,67.06,3.937
2014-10-03,67.59,68.67,67.59,68.4,2.874
2014-10-06,68.56,68.8,67.45,67.67,1.586
2014-10-07,67.4,67.63,65.93,65.96,3.308
2014-10-08,66.0,68.09,65.41,67.99,3.562
2014-10-09,67.83,67.96,65.48,65.66,3.377
2014-10-10,65.37,65.58,63.29,63.29,4.641
2014-10-13,63.01,63.35,61.53,61.68,4.822
2014-10-14,62.17,62.3,60.69,60.88,4.19
2014-10-15,59.61,62.65,58.51,62.19,8.334
2014-10-16,60.72,63.72,60.72,62.86,6.64
2014-10-17,63.46,65.13,63.46,64.52,6.541
2014-10-20,64.25,64.73,63.7,64.68,4.266
2014-10-21,64.84,66.56,64.51,66.43,3.223
2014-10-22,66.31,66.49,64.99,65.04,2.363
2014-10-23,65.62,66.4,65.17,65.92,1.784
2014-10-24,66.26,67.08,65.5,67.01,1.392
2014-10-27,66.84,67.34,66.31,67.03,1.491
2014-10-28,67.45,68.51,67.2,68.37,1.951
2014-10-29,68.21,68.81,67.52,67.93,2.054
2014-10-30,67.23,68.61,67.23,68.57,1.896
2014-10-31,69.89,70.25,69.27,70.12,2.949
2014-11-03,69.93,70.27,69.66,69.91,1.889
2014-11-04,69.95,71.1,69.75,71.07,2.996
2014-11-05,71.53,72.04,70.89,71.37,6.147
2014-11-06,71.59,72.37,71.37,72.1,2.345
2014-11-07,72.35,72.4,71.44,71.6,4.303
2014-11-10,71.63,72.0,71.18,71.7,2.389
2014-11-11,71.81,72.0,71.4,71.7,1.876
2014-11-12,71.35,71.73,71.26,71.41,1.582
2014-11-13,71.65,72.08,71.3,71.72,2.561
2014-11-14,71.7,72.0,71.35,71.42,2.47
2014-11-17,70.98,71.25,69.87,69.97,3.443
2014-11-18,69.86,71.08,69.86,70.83,2.833
2014-11-19,71.01,71.06,70.42,70.82,2.194
2014-11-20,70.33,70.55,70.02,70.44,2.25
2014-11-21,72.0,72.55,71.18,71.32,4.554
2014-11-24,71.52,71.55,70.73,71.22,1.821
2014-11-25,71.2,72.52,71.2,72.0,2.843
2014-11-26,72.08,73.0,71.74,72.98,1.468
2014-11-28,73.13,74.1,73.05,73.68,0.978
2014-12-01,73.64,73.97,73.2,73.75,2.023
2014-12-02,74.0,74.0,73.08,73.47,1.844
2014-12-03,73.64,73.64,72.89,73.18,1.569
2014-12-04,73.09,73.23,72.4,73.03,1.415
2014-12-05,73.16,73.25,72.36,72.4,3.062
2014-12-08,72.4,72.78,71.6,72.05,1.63
2014-12-09,71.34,71.66,70.68,71.57,2.866
2014-12-10,71.56,71.97,69.74,69.85,2.568
2014-12-11,70.1,71.14,69.66,69.74,5.075
2014-12-12,74.17,77.56,73.71,76.02,12.614
2014-12-15,75.66,76.13,72.84,73.04,9.697
2014-12-16,72.87,73.8,72.31,72.32,4.051
2014-12-17,72.5,74.57,72.16,74.0,4.181
2014-12-18,75.41,75.54,74.6,74.89,6.914
2014-12-19,75.0,75.24,73.99,74.45,6.97
2014-12-22,74.38,75.14,74.38,74.5,3.815
2014-12-23,74.65,75.0,74.29,74.38,1.938
2014-12-24,74.49,74.93,74.37,74.74,1.205
2014-12-26,74.74,75.17,74.42,74.67,1.084
2014-12-29,74.56,74.58,74.0,74.13,0.925
2014-12-30,73.63,73.86,72.75,73.08,1.582
2014-12-31,73.4,74.21,72.65,72.7,1.359
2015-01-02,72.7,73.2,71.89,72.34,2.349
2015-01-05,72.21,72.43,71.57,71.98,2.403
2015-01-06,71.95,72.1,69.88,70.53,2.895
2015-01-07,70.77,71.29,70.42,71.11,2.378
2015-01-08,71.4,73.06,71.31,72.92,2.624
2015-01-09,72.89,73.13,71.63,71.84,1.73
2015-01-12,72.13,72.26,70.75,71.12,1.338
2015-01-13,71.95,72.96,69.95,70.59,2.104
2015-01-14,69.88,70.4,68.98,69.99,1.927
2015-01-15,71.71,71.75,70.16,70.29,2.839
2015-01-16,70.03,71.85,70.03,71.73,2.375
2015-01-20,71.79,71.99,70.58,71.49,1.612
2015-01-21,71.16,71.89,70.37,71.54,1.788
2015-01-22,71.9,73.65,70.9,73.48,2.178
2015-01-23,73.44,74.4,73.06,74.06,1.852
2015-01-26,72.61,73.15,71.68,72.74,3.594
2015-01-27,71.71,72.36,71.06,71.46,1.799
2015-01-28,71.54,71.84,70.07,70.25,2.281
2015-01-29,70.03,71.82,69.78,71.64,2.538
2015-01-30,71.32,71.67,70.06,70.13,2.332
2015-02-02,70.44,71.2,69.04,71.11,2.382
2015-02-03,71.54,71.97,71.0,71.92,1.556
2015-02-04,71.79,72.62,71.78,72.28,2.165
2015-02-05,72.47,73.18,72.32,73.1,1.439
2015-02-06,73.18,73.62,72.24,72.54,1.367
2015-02-09,72.09,72.98,72.04,72.33,1.628
2015-02-10,72.94,73.19,72.11,72.76,1.696
2015-02-11,72.78,73.14,72.35,73.01,1.601
2015-02-12,73.6,74.76,73.31,74.59,2.244
2015-02-13,74.98,76.62,74.77,76.51,3.819
2015-02-17,76.67,77.22,76.31,77.13,1.987
2015-02-18,77.02,78.0,76.8,77.73,1.683
2015-02-19,77.42,77.94,77.2,77.73,1.556
2015-02-20,77.76,78.56,77.2,78.55,1.627
2015-02-23,78.65,78.69,77.79,78.1,1.456
2015-02-24,78.03,78.03,77.08,77.68,1.954
2015-02-25,77.76,78.44,77.47,78.07,1.256
2015-02-26,78.32,79.07,78.02,78.96,1.546
2015-02-27,79.24,80.3,78.93,79.1,3.116
2015-03-02,79.14,79.79,78.72,79.79,1.498
2015-03-03,79.63,79.99,78.97,78.99,1.616
2015-03-04,78.71,78.74,77.13,77.63,2.394
2015-03-05,77.6,78.71,77.3,78.62,1.85
2015-03-06,78.19,78.5,77.05,77.55,2.537
2015-03-09,77.76,78.24,77.43,77.93,2.011
2015-03-10,77.25,77.29,75.99,76.01,2.622
2015-03-11,75.91,76.78,75.68,76.01,1.692
2015-03-12,76.14,77.44,75.97,77.4,1.683
2015-03-13,77.18,78.06,76.62,77.62,2.203
2015-03-16,78.21,78.59,77.8,78.33,1.851
2015-03-17,78.22,79.87,78.18,79.66,5.719
2015-03-18,75.5,78.32,74.75,76.89,10.509
2015-03-19,76.48,77.38,75.29,77.14,3.519
2015-03-20,77.67,77.96,76.81,77.36,3.578
2015-03-23,77.11,77.3,76.34,76.35,1.754
2015-03-24,76.11,76.42,75.38,75.45,2.783
2015-03-25,75.5,75.59,73.12,73.13,3.445
2015-03-26,72.43,73.36,72.12,72.97,2.965
2015-03-27,72.72,73.46,72.56,73.31,2.085
