Date,Open,High,Low,Close,Volume
2014-01-02,49.52,49.75,49.04,49.28,2.799
2014-01-03,49.27,49.79,49.14,49.61,1.645
2014-01-06,49.35,49.5,49.15,49.33,2.165
2014-01-07,49.49,49.78,49.34,49.59,1.338
2014-01-08,49.71,49.9,49.38,49.71,1.202
2014-01-09,49.45,49.63,49.19,49.52,2.471
2014-01-10,49.43,49.59,49.14,49.53,2.072
2014-01-13,49.21,49.55,48.66,48.87,2.99
2014-01-14,48.93,50.02,48.89,49.71,2.88
2014-01-15,49.75,50.33,49.73,50.02,2.121
2014-01-16,50.48,50.5,49.73,49.82,2.885
2014-01-17,49.57,49.94,49.21,49.38,3.104
2014-01-21,49.95,50.12,49.46,49.98,2.228
2014-01-22,49.86,50.54,49.76,50.37,1.66
2014-01-23,50.22,50.31,49.33,49.41,2.236
2014-01-24,49.39,49.39,48.21,48.25,2.628
2014-01-27,48.32,48.72,48.11,48.22,1.888
2014-01-28,48.17,48.75,48.11,48.51,1.777
2014-01-29,48.32,48.91,48.1,48.27,1.994
2014-01-30,48.87,49.12,48.42,48.89,1.385
2014-01-31,48.34,48.73,48.07,48.27,1.928
2014-02-03,48.23,48.35,47.14,47.26,2.892
2014-02-04,47.7,47.75,47.23,47.69,2.333
2014-02-05,47.43,48.01,47.27,47.85,2.589
2014-02-06,48.01,48.68,47.86,48.35,1.798
2014-02-07,48.58,48.97,48.26,48.97,1.822
2014-02-10,48.78,49.32,48.75,49.22,1.459
2014-02-11,49.31,49.89,49.19,49.75,1.231
2014-02-12,49.96,50.19,49.72,49.89,1.802
2014-02-13,49.69,50.7,49.63,50.69,2.125
2014-02-14,50.42,50.99,50.27,50.77,2.168
2014-02-18,50.44,51.34,50.44,51.23,3.937
2014-02-19,51.9,52.38,51.41,51.57,4.08
2014-02-20,51.72,51.87,51.01,51.4,3.741
2014-02-21,51.37,51.6,51.09,51.12,1.97
2014-02-24,51.29,51.61,50.95,50.96,2.096
2014-02-25,50.99,51.04,50.49,50.8,2.206
2014-02-26,50.67,51.36,50.56,50.84,1.579
2014-02-27,50.81,51.2,50.75,51.03,1.395
2014-02-28,51.15,51.15,50.48,50.82,2.141
2014-03-03,50.58,50.78,50.23,50.58,1.31
2014-03-04,50.94,51.42,50.86,51.2,1.647
2014-03-05,51.26,51.28,50.86,51.24,1.057
2014-03-06,51.29,51.62,51.08,51.57,1.249
2014-03-07,51.77,51.83,51.26,51.83,2.847
2014-03-10,51.85,51.9,51.55,51.8,1.823
2014-03-11,51.85,51.93,51.37,51.52,1.465
2014-03-12,51.18,51.73,51.13,51.73,1.49
2014-03-13,51.94,51.94,50.19,50.45,2.162
2014-03-14,50.25,50.85,50.03,50.09,1.724
2014-03-17,50.26,50.93,50.26,50.68,2.297
2014-03-18,50.87,51.55,50.71,51.44,1.744
2014-03-19,51.44,51.68,51.18,51.6,2.126
2014-03-20,51.44,53.26,51.2,53.23,4.522
2014-03-21,53.74,54.31,53.0,53.24,6.904
2014-03-24,53.17,53.77,52.74,53.61,3.019
2014-03-25,53.87,54.33,53.28,53.29,3.611
2014-03-26,53.51,53.73,52.75,52.75,2.616
2014-03-27,52.78,53.16,52.38,52.58,1.198
2014-03-28,52.85,53.29,52.62,52.84,1.242
2014-03-31,53.03,53.38,52.87,53.14,1.732
2014-04-01,53.5,54.1,53.22,54.08,2.046
2014-04-02,54.07,54.28,53.75,54.06,1.946
2014-04-03,54.16,54.4,53.79,53.98,1.603
2014-04-04,54.24,54.37,52.81,52.92,2.273
2014-04-07,52.97,53.85,52.84,53.12,2.231
2014-04-08,52.99,54.01,52.99,53.96,2.136
2014-04-09,54.16,54.33,53.7,54.3,1.418
2014-04-10,54.15,54.36,52.48,52.49,1.906
2014-04-11,52.43,52.93,52.07,52.09,2.104
2014-04-14,52.65,52.75,52.06,52.46,1.486
2014-04-15,52.4,53.29,52.23,53.18,2.281
2014-04-16,53.15,53.15,51.34,52.15,3.05
2014-04-17,52.09,53.19,52.07,52.85,2.052
2014-04-21,53.07,53.18,52.56,52.9,0.787
2014-04-22,52.86,53.42,52.59,53.3,1.113
2014-04-23,53.28,53.57,53.09,53.29,0.956
2014-04-24,53.9,54.37,53.56,53.7,2.437
2014-04-25,53.02,53.15,51.02,51.42,3.307
2014-04-28,51.21,51.91,50.07,50.99,2.244
2014-04-29,50.67,51.42,50.67,51.19,1.351
2014-04-30,50.98,51.35,50.56,51.29,1.762
2014-05-01,51.38,51.53,50.77,50.82,1.529
2014-05-02,50.94,51.83,50.79,51.41,2.033
2014-05-05,50.99,51.5,50.87,51.18,0.674
2014-05-06,51.25,51.31,50.74,50.74,1.732
