Date,Open,High,Low,Close,Volume
2014-01-02,43.22,43.29,42.79,42.99,2.754
2014-01-03,43.1,43.38,42.88,43.19,2.276
2014-01-06,43.42,43.58,43.12,43.28,4.183
2014-01-07,43.37,43.37,42.41,42.85,4.542
2014-01-08,42.76,42.87,42.21,42.36,4.462
2014-01-09,42.51,42.56,41.66,42.16,4.444
2014-01-10,42.41,42.56,41.93,41.98,5.537
2014-01-13,42.01,42.1,41.44,41.53,6.369
2014-01-14,41.73,42.39,41.57,42.33,7.294
2014-01-15,42.43,42.82,42.1,42.45,4.656
2014-01-16,42.51,42.63,41.23,41.25,7.134
2014-01-17,41.3,41.43,40.94,41.01,6.667
2014-01-21,41.28,41.49,41.01,41.37,4.209
2014-01-22,41.51,42.35,41.44,42.25,5.183
2014-01-23,41.91,42.01,40.82,40.84,5.52
2014-01-24,40.6,40.84,39.53,39.57,5.738
2014-01-27,39.88,40.17,39.28,39.36,5.666
2014-01-28,39.47,40.14,39.43,40.07,4.097
2014-01-29,39.62,39.85,38.96,39.22,5.241
2014-01-30,39.59,39.69,39.17,39.51,3.987
2014-01-31,39.09,39.73,39.02,39.48,4.334
2014-02-03,39.28,39.82,38.77,38.91,7.878
2014-02-04,39.81,39.84,38.06,38.23,7.341
2014-02-05,38.75,38.83,37.92,38.66,8.799
2014-02-06,38.82,39.26,38.74,39.11,5.759
2014-02-07,39.6,39.98,39.15,39.89,6.598
2014-02-10,39.81,40.25,39.51,40.11,6.796
2014-02-11,40.12,40.55,39.76,40.53,6.508
2014-02-12,40.43,40.83,40.28,40.65,7.035
2014-02-13,40.5,40.9,40.22,40.67,3.071
2014-02-14,40.71,40.97,40.51,40.78,3.791
2014-02-18,40.66,40.91,40.47,40.53,4.296
2014-02-19,40.5,40.53,39.89,39.95,4.449
2014-02-20,39.95,40.26,39.86,40.12,3.71
2014-02-21,40.11,40.17,39.78,39.99,3.92
2014-02-24,40.1,40.67,39.99,40.16,3.499
2014-02-25,40.25,40.75,40.15,40.39,3.407
2014-02-26,40.49,40.67,40.28,40.39,2.649
2014-02-27,40.32,40.54,39.79,39.89,5.1
2014-02-28,39.9,40.8,39.87,40.6,4.38
2014-03-03,40.14,40.19,39.53,39.88,5.022
2014-03-04,40.29,40.93,40.29,40.7,3.666
2014-03-05,40.66,40.88,40.37,40.67,2.791
2014-03-06,40.7,41.1,40.6,40.94,3.845
2014-03-07,41.14,41.54,40.99,41.33,3.008
2014-03-10,41.61,42.45,41.61,42.45,5.695
2014-03-11,42.52,42.77,42.32,42.45,4.258
2014-03-12,42.14,43.18,42.09,42.93,5.485
2014-03-13,43.03,43.21,42.38,42.4,3.984
2014-03-14,42.26,42.71,42.19,42.51,3.792
2014-03-17,42.78,43.08,42.44,42.56,4.392
2014-03-18,42.69,43.0,42.51,42.93,2.202
2014-03-19,42.93,43.22,42.31,42.66,3.514
2014-03-20,42.58,42.79,42.28,42.7,2.43
2014-03-21,43.08,43.09,42.43,42.67,8.359
2014-03-24,42.82,42.99,42.18,42.3,2.587
2014-03-25,42.54,42.64,42.22,42.41,3.606
2014-03-26,42.48,43.05,42.43,42.7,3.909
2014-03-27,42.8,43.16,42.61,43.1,3.247
2014-03-28,43.28,43.6,42.94,43.21,2.773
2014-03-31,43.24,43.57,43.07,43.39,3.295
2014-04-01,43.42,43.74,43.22,43.43,3.014
2014-04-02,42.62,43.52,41.72,43.43,3.279
2014-04-03,43.47,43.58,42.83,43.15,4.172
2014-04-04,43.59,43.66,43.03,43.05,4.416
2014-04-07,43.03,43.75,43.02,43.6,4.277
2014-04-08,43.54,43.8,43.17,43.53,4.164
2014-04-09,43.56,44.46,43.36,44.38,4.605
2014-04-10,44.45,44.74,44.04,44.17,5.185
2014-04-11,44.26,44.45,44.08,44.41,5.346
2014-04-14,44.55,44.81,44.36,44.69,4.175
2014-04-15,44.71,44.73,43.87,44.27,4.402
2014-04-16,44.54,45.02,44.44,45.02,2.762
2014-04-17,44.86,45.34,44.8,45.04,4.12
2014-04-21,45.02,45.4,44.82,44.89,2.221
2014-04-22,44.85,44.95,44.56,44.61,2.594
2014-04-23,44.68,44.96,44.68,44.73,2.64
2014-04-24,44.82,44.93,44.46,44.63,2.124
2014-04-25,44.6,44.72,44.24,44.42,2.287
2014-04-28,44.6,44.63,44.06,44.38,4.318
2014-04-29,43.12,43.64,42.66,43.23,7.795
2014-04-30,43.17,43.89,42.95,43.73,5.914
2014-05-01,43.74,43.78,43.18,43.24,3.122
2014-05-02,43.31,43.76,43.04,43.55,3.06
2014-05-05,43.3,43.52,43.02,43.41,2.288
2014-05-06,43.24,43.39,43.02,43.14,3.462
2014-05-07,43.17,44.34,43.17,44.27,4.257
2014-05-08,44.18,44.52,43.87,44.07,3.364
2014-05-09,44.09,44.52,44.09,44.39,2.209
2014-05-12,44.6,44.74,44.34,44.67,2.405
2014-05-13,44.44,44.66,44.26,44.31,2.285
2014-05-14,44.33,44.4,43.83,43.85,2.219
2014-05-15,43.8,43.88,43.43,43.53,2.654
2014-05-16,43.53,43.88,43.49,43.82,1.936
2014-05-19,43.82,43.96,43.69,43.89,2.018
2014-05-20,43.85,43.89,43.17,43.33,2.168
2014-05-21,43.41,43.9,43.41,43.86,2.294
2014-05-22,42.93,44.02,42.9,43.65,1.657
2014-05-23,43.7,43.87,43.38,43.56,2.034
2014-05-27,43.65,44.36,43.62,44.32,2.4
2014-05-28,44.32,44.55,44.21,44.29,1.851
2014-05-29,44.39,44.69,44.35,44.64,1.727
2014-05-30,44.56,44.98,44.56,44.94,2.011
2014-06-02,44.89,45.05,44.76,44.85,2.295
2014-06-03,44.73,44.94,44.29,44.35,2.483
2014-06-04,44.37,44.54,44.13,44.31,2.288
2014-06-05,44.31,45.0,44.22,44.97,2.506
2014-06-06,44.83,45.37,44.83,45.18,2.46
2014-06-09,45.01,45.29,45.0,45.14,1.872
2014-06-10,44.95,45.18,44.74,45.14,2.078
2014-06-11,44.84,45.0,44.62,44.66,2.23
2014-06-12,44.54,44.65,43.41,43.47,3.651
2014-06-13,43.53,43.88,43.43,43.84,2.274
2014-06-16,43.76,44.32,43.68,44.22,2.668
2014-06-17,44.31,44.52,44.1,44.41,2.311
2014-06-18,44.25,44.5,43.72,44.43,3.327
2014-06-19,44.54,45.21,44.34,45.12,3.026
2014-06-20,45.21,45.38,44.77,44.87,3.059
2014-06-23,44.98,45.16,44.82,44.98,2.033
2014-06-24,44.86,44.92,44.23,44.28,2.156
2014-06-25,44.14,44.32,43.8,43.89,2.432
2014-06-26,43.89,44.11,43.74,43.93,1.834
2014-06-27,43.81,43.95,43.51,43.82,2.734
2014-06-30,43.77,44.33,43.69,44.11,4.05
2014-07-01,44.29,44.94,44.15,44.85,2.765
2014-07-02,44.93,45.35,44.81,45.32,2.638
2014-07-03,45.35,45.95,45.29,45.77,3.147
2014-07-07,45.26,46.72,45.26,46.5,4.67
2014-07-08,46.54,46.65,45.94,45.94,6.03
2014-07-09,46.0,46.6,45.96,46.15,3.884
2014-07-10,45.74,47.5,45.68,47.35,5.795
2014-07-11,47.15,48.04,46.84,47.85,4.815
2014-07-14,48.06,48.33,47.9,48.07,3.463
2014-07-15,47.96,48.22,47.49,47.54,4.049
2014-07-16,47.87,47.97,47.68,47.76,2.748
2014-07-17,47.75,47.9,47.31,47.32,2.565
2014-07-18,47.49,48.2,47.43,48.1,2.395
