Date,Open,High,Low,Close,Volume
2014-01-02,70.39,70.63,69.69,70.11,2.239
2014-01-03,70.42,71.44,70.24,70.88,2.219
2014-01-06,70.77,71.09,69.7,70.07,1.748
2014-01-07,70.22,71.13,70.14,70.92,1.567
2014-01-08,70.5,70.89,70.16,70.54,2.13
2014-01-09,72.87,72.87,70.7,70.79,1.646
2014-01-10,71.17,71.21,70.2,70.54,1.679
2014-01-13,70.48,70.53,69.22,69.4,2.378
2014-01-14,69.63,70.26,69.31,70.19,1.83
2014-01-15,70.24,70.8,69.98,70.32,2.307
2014-01-16,70.27,70.47,69.98,70.07,1.196
2014-01-17,69.82,70.54,69.75,70.21,3.122
2014-01-21,70.61,70.94,70.07,70.52,1.649
2014-01-22,70.6,70.87,70.27,70.57,1.486
2014-01-23,71.93,72.43,69.24,69.63,1.633
2014-01-24,69.19,69.2,67.57,67.58,2.401
2014-01-27,67.03,68.07,67.03,67.16,1.976
2014-01-28,67.06,67.78,66.91,67.63,1.776
2014-01-29,67.11,67.81,66.88,67.19,1.866
2014-01-30,67.56,68.17,67.03,67.87,1.593
2014-01-31,66.73,67.73,66.67,67.25,2.12
2014-02-03,67.26,67.41,64.78,65.04,3.624
2014-02-04,68.41,68.41,63.13,65.8,4.45
2014-02-05,67.01,67.01,63.82,64.56,3.263
2014-02-06,64.49,65.26,64.18,65.14,2.685
2014-02-07,65.32,65.81,64.93,65.75,1.929
2014-02-10,66.27,66.38,64.82,65.36,2.287
2014-02-11,65.07,65.76,64.98,65.55,2.873
2014-02-12,66.35,66.64,65.67,66.36,4.587
2014-02-13,66.07,66.97,66.02,66.91,2.309
2014-02-14,66.51,67.16,66.11,66.96,1.945
2014-02-18,67.12,67.23,66.51,67.16,2.042
2014-02-19,66.76,67.57,66.65,66.86,1.826
2014-02-20,66.94,67.51,66.6,67.17,1.418
2014-02-21,67.41,67.59,66.83,66.9,2.227
2014-02-24,67.0,68.02,66.9,67.43,1.967
2014-02-25,67.59,67.81,66.97,67.61,1.77
2014-02-26,68.0,68.06,67.44,67.97,2.613
2014-02-27,67.71,68.39,67.69,68.24,2.288
2014-02-28,68.38,68.89,67.78,68.29,2.678
2014-03-03,67.65,67.77,67.01,67.31,1.996
2014-03-04,68.22,68.94,68.09,68.88,2.941
2014-03-05,68.48,68.64,68.02,68.24,1.895
2014-03-06,68.38,68.68,68.17,68.51,1.529
2014-03-07,68.88,69.3,68.6,68.97,1.83
2014-03-10,69.0,69.11,68.28,68.67,1.932
2014-03-11,68.78,68.88,68.14,68.39,1.556
2014-03-12,67.84,68.28,67.6,68.21,1.903
2014-03-13,68.29,68.45,67.33,67.59,3.154
2014-03-14,68.08,68.31,67.44,68.09,2.632
2014-03-17,68.41,68.92,68.23,68.91,2.947
2014-03-18,68.81,69.39,68.73,69.35,1.994
2014-03-19,69.43,69.43,68.31,68.74,1.577
2014-03-20,68.35,68.94,68.18,68.78,1.344
2014-03-21,69.65,69.7,68.04,68.26,5.282
2014-03-24,68.36,68.48,66.87,67.12,2.233
2014-03-25,67.33,67.9,66.98,67.32,1.823
2014-03-26,67.69,67.82,66.9,66.9,1.612
2014-03-27,66.77,67.36,66.33,67.31,2.466
