Date,Open,High,Low,Close,Volume
2014-01-02,49.33,49.74,48.88,49.25,2.488
2014-01-03,49.11,49.5,48.78,48.9,1.934
2014-01-06,48.98,49.29,48.29,48.55,1.856
2014-01-07,48.89,50.1,48.63,49.68,2.002
2014-01-08,49.5,50.55,49.05,50.24,2.047
2014-01-09,50.82,51.68,50.74,51.08,3.716
2014-01-10,51.14,51.48,50.64,51.47,2.183
2014-01-13,52.0,52.7,51.31,51.57,4.562
2014-01-14,51.65,52.74,51.29,52.64,2.876
2014-01-15,52.83,53.62,52.8,53.29,3.241
2014-01-16,53.22,53.73,52.98,53.6,2.403
2014-01-17,53.63,53.73,53.04,53.24,2.123
2014-01-21,53.42,54.18,53.03,53.3,2.153
2014-01-22,53.18,53.5,52.31,52.37,3.108
2014-01-23,52.68,52.68,51.71,51.86,3.593
2014-01-24,51.65,51.65,50.25,50.44,4.245
2014-01-27,50.63,50.95,49.33,50.59,3.641
2014-01-28,50.48,51.29,50.46,51.24,1.819
2014-01-29,50.76,51.0,49.61,49.65,2.729
2014-01-30,51.55,51.9,50.71,51.52,4.046
2014-01-31,50.77,51.63,50.7,51.25,2.155
2014-02-03,51.01,51.49,48.93,49.33,4.32
2014-02-04,49.79,50.38,49.63,50.12,2.032
2014-02-05,49.87,50.11,49.37,49.96,1.699
2014-02-06,49.89,51.11,49.7,50.96,1.827
2014-02-07,51.05,52.19,50.82,51.99,2.65
2014-02-10,51.84,52.49,51.75,52.28,2.341
2014-02-11,52.55,53.09,52.3,52.92,1.961
2014-02-12,52.93,53.88,52.76,53.77,3.002
2014-02-13,53.51,54.49,53.39,54.13,3.033
2014-02-14,53.94,54.97,53.94,54.17,3.345
2014-02-18,54.17,54.86,53.8,54.52,2.751
2014-02-19,54.52,55.17,54.37,54.47,2.31
2014-02-20,54.37,54.98,53.6,54.9,1.847
2014-02-21,55.1,55.55,54.62,55.4,2.535
2014-02-24,55.4,55.98,54.45,54.47,4.213
2014-02-25,54.45,54.77,54.03,54.66,2.481
2014-02-26,54.82,55.03,53.89,54.72,3.835
2014-02-27,57.2,58.68,53.72,54.28,11.609
2014-02-28,54.1,54.16,51.89,52.48,6.954
2014-03-03,51.32,51.72,50.59,51.67,6.329
2014-03-04,52.32,53.53,52.05,53.5,3.84
2014-03-05,53.15,53.7,52.99,53.44,2.134
2014-03-06,53.6,53.94,53.42,53.74,2.274
2014-03-07,53.68,53.92,53.25,53.61,1.478
2014-03-10,53.61,53.65,52.57,52.59,1.839
2014-03-11,52.66,53.26,52.52,52.81,2.126
2014-03-12,52.59,52.61,51.63,52.34,1.982
2014-03-13,52.62,52.73,50.13,50.47,4.005
2014-03-14,50.52,51.03,50.32,50.47,2.812
2014-03-17,50.88,51.74,50.69,51.28,1.957
2014-03-18,51.38,52.47,51.3,52.43,1.679
2014-03-19,52.66,52.9,50.86,51.05,3.825
2014-03-20,50.91,51.79,50.78,51.61,2.717
2014-03-21,52.07,52.07,50.04,50.04,3.863
2014-03-24,50.11,50.49,49.14,49.74,2.705
2014-03-25,49.87,50.75,49.46,49.78,2.556
2014-03-26,49.85,50.37,48.63,48.68,2.974
2014-03-27,48.6,48.6,47.91,48.28,4.611
2014-03-28,48.44,48.96,47.92,48.34,2.211
2014-03-31,48.78,49.7,48.69,49.18,2.896
2014-04-01,48.86,50.12,48.48,50.07,2.834
2014-04-02,50.1,50.29,49.43,49.58,2.069
2014-04-03,49.71,49.9,48.18,48.31,2.878
2014-04-04,48.85,49.14,46.54,47.32,5.314
2014-04-07,47.08,47.5,46.19,46.59,2.27
2014-04-08,46.68,47.44,46.27,47.15,3.128
2014-04-09,47.48,48.59,47.22,48.49,3.075
2014-04-10,48.44,48.44,45.89,45.97,4.298
2014-04-11,45.34,45.85,44.76,45.19,8.207
2014-04-14,45.74,46.34,45.27,45.83,2.463
2014-04-15,46.09,46.88,45.22,46.82,3.222
2014-04-16,47.26,47.64,46.63,47.55,2.051
2014-04-17,47.39,48.89,47.13,48.49,3.303
2014-04-21,48.64,48.87,48.06,48.4,3.048
2014-04-22,48.4,49.38,48.23,49.01,1.743
2014-04-23,48.65,48.95,47.93,48.23,1.625
2014-04-24,48.73,48.9,47.22,47.72,2.241
2014-04-25,47.63,48.08,46.93,47.0,2.369
2014-04-28,47.79,48.22,46.07,46.62,3.471
2014-04-29,46.8,47.59,46.5,47.57,1.884
2014-04-30,47.4,48.02,47.11,48.02,1.625
2014-05-01,47.84,48.94,47.81,48.42,2.324
2014-05-02,48.47,48.7,47.54,47.68,2.144
2014-05-05,47.61,47.86,47.08,47.52,1.389
2014-05-06,47.31,47.61,46.97,47.03,1.691
2014-05-07,47.07,47.23,46.09,46.76,2.015
2014-05-08,46.68,47.79,46.24,46.82,1.937
2014-05-09,46.77,47.0,46.11,46.85,0.962
2014-05-12,47.04,48.93,47.0,48.61,3.27
2014-05-13,48.79,49.05,48.17,48.32,2.172
2014-05-14,48.55,48.95,48.03,48.07,1.75
2014-05-15,48.05,48.23,47.07,47.82,3.48
2014-05-16,50.45,52.07,49.61,51.67,7.929
2014-05-19,51.22,52.5,51.22,51.55,2.842
2014-05-20,51.64,51.72,50.53,51.07,2.182
2014-05-21,51.24,51.63,50.58,50.93,2.375
2014-05-22,50.97,51.7,50.77,51.51,1.589
2014-05-23,51.68,52.06,51.15,52.0,1.153
2014-05-27,52.05,52.75,51.89,52.47,1.591
2014-05-28,52.58,52.65,51.56,51.72,1.957
2014-05-29,51.88,52.77,51.74,52.69,2.477
2014-05-30,52.79,52.79,52.07,52.37,1.827
2014-06-02,52.45,52.75,51.73,52.52,1.597
2014-06-03,52.5,53.18,52.25,53.15,2.434
2014-06-04,52.88,53.24,52.74,53.03,1.243
2014-06-05,52.95,53.74,52.83,53.72,1.417
2014-06-06,54.0,55.43,53.92,54.87,2.314
2014-06-09,54.66,54.87,54.17,54.51,2.13
2014-06-10,54.27,54.58,53.95,54.08,1.163
2014-06-11,53.8,54.11,53.54,54.09,0.992
2014-06-12,53.86,54.41,53.67,53.85,1.148
2014-06-13,54.12,54.45,53.77,54.25,1.766
2014-06-16,53.87,54.88,53.87,54.58,1.585
2014-06-17,54.15,55.0,54.15,54.63,1.942
2014-06-18,55.0,57.17,54.99,56.96,4.854
2014-06-19,56.78,57.17,55.67,56.31,1.978
2014-06-20,56.37,56.37,55.86,56.19,1.87
2014-06-23,56.12,56.43,55.84,56.17,0.886
2014-06-24,56.11,56.49,55.71,55.8,1.067
2014-06-25,55.8,56.0,55.45,55.62,1.579
2014-06-26,55.88,56.26,55.44,56.25,1.069
2014-06-27,55.63,56.43,55.63,56.4,1.132
2014-06-30,56.2,56.69,55.82,56.38,2.249
2014-07-01,56.07,57.3,55.97,57.13,2.33
2014-07-02,56.78,57.59,56.76,56.83,1.362
2014-07-03,57.03,57.28,56.84,56.88,0.842
2014-07-07,56.76,56.8,55.84,55.93,1.376
2014-07-08,56.05,56.2,54.54,55.64,2.107
2014-07-09,55.89,55.98,55.25,55.63,1.098
2014-07-10,55.37,55.99,54.78,55.44,1.709
2014-07-11,55.55,55.71,55.0,55.57,1.227
