Date,Open,High,Low,Close,Volume
2014-01-02,36.05,36.11,35.47,35.53,1.394
2014-01-03,35.63,35.69,35.22,35.4,1.206
2014-01-06,35.7,35.82,35.42,35.76,2.838
2014-01-07,35.81,36.25,35.81,36.22,1.654
2014-01-08,36.14,36.19,35.8,35.94,1.618
2014-01-09,36.02,36.09,35.86,36.04,1.226
2014-01-10,36.17,36.66,35.99,36.52,2.107
2014-01-13,36.44,36.57,36.04,36.23,1.363
2014-01-14,36.25,36.49,36.16,36.31,1.42
2014-01-15,36.31,36.4,35.93,35.95,1.352
2014-01-16,35.95,36.19,35.89,36.17,1.057
2014-01-17,36.2,36.25,36.08,36.15,0.826
2014-01-21,36.32,36.66,36.24,36.64,0.914
2014-01-22,36.68,36.84,36.46,36.63,1.688
2014-01-23,36.47,36.59,36.23,36.47,1.414
2014-01-24,36.35,36.54,35.91,35.91,1.788
2014-01-27,35.99,36.42,35.88,36.25,2.037
2014-01-28,36.28,36.55,36.2,36.53,1.117
2014-01-29,36.43,36.74,36.33,36.62,1.613
2014-01-30,36.71,37.29,36.64,37.26,1.21
2014-01-31,37.07,37.94,36.85,37.84,2.72
2014-02-03,37.85,38.34,37.59,37.66,3.281
2014-02-04,37.8,37.8,37.1,37.22,3.733
2014-02-05,37.18,37.21,36.74,36.93,2.168
2014-02-06,36.93,37.21,36.78,37.17,1.439
2014-02-07,37.29,37.47,37.17,37.44,1.225
2014-02-10,37.34,37.67,37.0,37.67,1.243
2014-02-11,37.6,38.19,37.56,38.14,1.262
2014-02-12,38.1,38.25,37.97,38.04,0.814
2014-02-13,37.93,38.4,37.85,38.39,1.349
2014-02-14,38.34,38.65,38.25,38.63,0.762
2014-02-18,38.74,39.03,38.66,38.89,1.224
2014-02-19,38.78,39.0,38.16,38.27,2.192
2014-02-20,38.42,38.9,38.27,38.81,2.454
2014-02-21,41.0,42.24,39.92,40.88,5.258
2014-02-24,40.98,41.56,40.86,40.9,3.494
2014-02-25,40.44,40.88,40.38,40.49,2.362
2014-02-26,40.59,40.67,40.28,40.44,1.246
2014-02-27,40.41,40.7,40.03,40.15,1.298
2014-02-28,40.23,40.62,40.16,40.41,1.147
2014-03-03,40.33,40.6,40.13,40.36,1.696
2014-03-04,40.7,40.99,40.66,40.9,2.015
2014-03-05,40.84,40.88,40.48,40.59,1.322
2014-03-06,40.64,40.75,40.16,40.3,1.073
2014-03-07,40.29,40.38,39.59,39.89,4.071
2014-03-10,39.46,39.76,39.41,39.65,1.649
2014-03-11,39.66,39.74,39.3,39.65,1.317
2014-03-12,39.64,40.2,39.57,40.19,1.371
2014-03-13,40.22,40.88,40.15,40.84,1.988
2014-03-14,40.82,41.26,40.68,41.14,1.636
2014-03-17,41.2,41.31,40.88,41.14,1.774
2014-03-18,41.16,41.35,41.02,41.1,1.768
2014-03-19,41.15,41.28,40.22,40.49,1.356
2014-03-20,39.82,40.19,39.43,40.13,2.751
2014-03-21,40.32,40.77,40.24,40.48,3.327
2014-03-24,40.48,40.74,40.14,40.55,1.596
2014-03-25,40.61,40.69,40.28,40.51,1.625
2014-03-26,40.55,40.84,40.24,40.26,1.284
2014-03-27,40.23,40.54,39.99,40.51,1.256
2014-03-28,40.48,40.83,40.38,40.8,1.331
2014-03-31,41.0,41.47,40.82,41.2,1.35
2014-04-01,41.12,41.13,40.51,40.76,1.452
