Date,Open,High,Low,Close,Volume
2014-01-02,46.98,47.06,46.04,46.13,2.752
2014-01-03,46.25,46.42,45.8,46.11,2.419
2014-01-06,46.14,46.36,45.92,46.08,2.224
2014-01-07,46.12,46.49,46.06,46.38,1.79
2014-01-08,46.33,46.42,45.94,46.1,2.552
2014-01-09,46.2,46.31,46.0,46.28,1.925
2014-01-10,46.59,47.59,46.58,47.2,2.992
2014-01-13,47.04,47.17,46.46,46.67,2.752
2014-01-14,46.7,46.82,46.38,46.51,2.192
2014-01-15,46.51,46.58,46.27,46.45,1.743
2014-01-16,46.45,46.67,46.34,46.58,1.594
2014-01-17,46.68,46.79,46.43,46.77,2.18
2014-01-21,46.93,47.36,46.93,47.34,1.848
2014-01-22,47.35,47.59,47.23,47.52,2.142
2014-01-23,47.45,47.65,47.15,47.63,3.335
2014-01-24,47.46,47.69,46.77,46.77,3.719
2014-01-27,46.81,47.39,46.61,47.18,3.434
2014-01-28,47.25,47.52,47.06,47.51,2.319
2014-01-29,47.33,47.97,47.27,47.59,3.303
2014-01-30,47.68,48.42,47.67,48.24,2.793
2014-01-31,47.95,48.98,47.82,48.81,4.221
2014-02-03,48.93,49.39,48.21,48.31,5.002
2014-02-04,48.57,48.61,48.05,48.5,4.266
2014-02-05,48.34,48.37,47.79,47.95,3.38
2014-02-06,47.43,47.62,47.23,47.6,3.646
2014-02-07,47.75,48.06,47.61,48.03,2.486
2014-02-10,47.93,48.28,47.53,48.25,3.114
2014-02-11,48.19,48.79,48.15,48.64,2.199
2014-02-12,48.54,48.98,48.41,48.98,2.707
2014-02-13,48.81,49.74,48.75,49.7,2.802
2014-02-14,49.56,50.12,49.41,50.11,2.31
2014-02-18,50.16,50.5,50.09,50.39,3.078
2014-02-19,50.25,50.76,50.08,50.15,2.345
2014-02-20,50.08,50.76,49.8,50.34,3.152
2014-02-21,50.37,50.89,50.36,50.56,2.98
2014-02-24,50.6,50.87,50.05,50.07,2.823
2014-02-25,50.18,50.57,49.93,50.06,2.399
2014-02-26,50.29,50.56,50.02,50.27,2.034
2014-02-27,50.22,50.38,49.61,49.8,2.967
2014-02-28,49.91,50.43,49.89,50.2,2.665
2014-03-03,49.97,50.2,49.64,49.72,2.024
2014-03-04,50.1,50.33,49.88,50.05,2.508
2014-03-05,50.11,50.3,49.62,49.68,2.045
2014-03-06,49.77,49.89,49.19,49.25,2.104
2014-03-07,49.08,49.38,48.63,49.33,2.484
2014-03-10,49.32,49.58,48.97,49.21,2.498
2014-03-11,49.31,49.36,48.56,48.7,3.522
2014-03-12,48.63,49.51,48.57,49.5,2.038
2014-03-13,49.55,50.1,49.41,49.91,2.395
2014-03-14,49.9,50.38,49.76,50.11,1.993
2014-03-17,50.21,50.4,49.83,50.29,2.324
2014-03-18,50.41,50.49,50.06,50.16,2.13
2014-03-19,50.17,50.26,48.88,48.94,4.187
2014-03-20,48.83,48.95,48.31,48.75,3.756
2014-03-21,48.95,49.61,48.69,48.89,5.435
2014-03-24,48.86,49.29,48.73,48.76,4.29
2014-03-25,48.85,49.47,48.53,49.37,4.703
2014-03-26,49.43,49.65,49.19,49.32,2.936
2014-03-27,49.28,49.95,48.99,49.8,4.253
2014-03-28,49.82,50.17,49.65,50.0,2.668
2014-03-31,50.18,50.95,50.0,50.66,3.277
2014-04-01,50.77,50.81,50.17,50.4,3.006
2014-04-02,50.37,50.56,49.99,50.41,2.76
2014-04-03,50.5,50.75,50.31,50.57,1.962
2014-04-04,50.78,51.4,50.61,50.78,2.778
2014-04-07,50.9,51.31,50.68,50.69,2.786
2014-04-08,50.78,51.5,50.35,51.41,2.909
2014-04-09,51.43,51.62,50.95,51.54,3.132
2014-04-10,51.6,51.9,50.96,50.99,3.935
2014-04-11,51.11,51.47,50.86,50.9,3.052
2014-04-14,51.26,51.43,50.8,51.28,2.863
2014-04-15,51.32,52.35,51.25,52.32,3.916
2014-04-16,52.27,52.5,52.02,52.5,2.526
2014-04-17,52.35,52.6,51.63,51.73,2.165
2014-04-21,51.58,52.16,51.43,51.65,2.344
2014-04-22,51.65,51.82,51.22,51.67,2.783
2014-04-23,51.75,52.36,51.7,51.9,3.055
2014-04-24,52.06,52.76,51.64,52.33,4.579
2014-04-25,53.09,53.58,52.64,53.38,4.546
2014-04-28,53.6,54.52,53.6,54.44,4.753
2014-04-29,54.45,54.64,53.81,53.88,4.461
2014-04-30,53.99,54.43,53.76,53.81,3.727
2014-05-01,53.99,54.06,53.17,53.87,3.305
2014-05-02,53.64,53.64,52.42,52.83,3.823
2014-05-05,52.8,53.39,52.7,53.36,2.988
2014-05-06,53.23,53.35,52.84,52.85,2.974
2014-05-07,52.47,53.52,52.36,53.5,3.367
2014-05-08,53.49,53.57,52.87,53.06,3.11
2014-05-09,53.07,53.26,52.28,52.32,3.482
2014-05-12,52.49,52.51,51.6,51.76,3.598
2014-05-13,51.98,52.27,51.81,52.23,2.94
2014-05-14,52.23,52.88,52.18,52.36,2.721
2014-05-15,52.37,52.57,51.95,52.02,2.302
2014-05-16,52.13,52.72,51.86,52.7,3.116
2014-05-19,52.59,52.61,51.01,51.02,4.099
2014-05-20,51.1,51.53,50.82,50.96,3.391
2014-05-21,51.06,51.24,50.88,51.11,1.665
2014-05-22,51.17,51.72,51.11,51.49,1.813
2014-05-23,51.44,51.71,51.32,51.41,1.597
2014-05-27,52.13,52.92,52.04,52.7,5.164
2014-05-28,52.66,52.99,52.35,52.94,3.654
2014-05-29,53.06,53.11,52.4,52.79,3.226
2014-05-30,52.77,53.4,52.76,53.35,2.757
2014-06-02,53.2,53.6,53.04,53.48,2.34
2014-06-03,53.54,54.2,53.36,53.94,4.483
2014-06-04,53.74,54.04,53.66,53.99,2.754
2014-06-05,53.54,54.42,53.54,54.17,2.778
2014-06-06,54.5,54.53,54.03,54.07,1.602
2014-06-09,53.92,53.99,53.37,53.49,2.24
2014-06-10,53.48,53.79,53.27,53.46,2.508
2014-06-11,53.4,53.48,52.5,52.53,2.742
2014-06-12,52.46,52.76,51.6,52.59,2.369
2014-06-13,52.52,52.94,52.17,52.78,1.61
2014-06-16,52.74,53.71,52.72,53.09,2.415
2014-06-17,52.82,52.99,52.29,52.81,1.821
2014-06-18,52.92,54.14,52.85,54.12,3.583
2014-06-19,54.26,54.99,54.15,54.9,3.078
2014-06-20,54.9,54.95,54.44,54.48,2.506
2014-06-23,54.53,54.57,54.07,54.45,1.794
2014-06-24,54.25,54.82,54.25,54.65,1.96
2014-06-25,54.54,55.24,54.45,55.12,2.184
2014-06-26,55.13,55.13,54.83,55.0,2.535
2014-06-27,54.98,55.41,54.75,55.33,2.644
2014-06-30,55.43,55.94,55.16,55.77,2.343
2014-07-01,55.83,55.91,55.19,55.21,1.807
2014-07-02,55.11,55.19,53.74,54.17,2.731
2014-07-03,53.81,53.84,53.19,53.76,2.021
2014-07-07,53.54,54.11,53.54,53.77,2.563
2014-07-08,53.84,54.59,53.84,54.55,3.12
2014-07-09,54.79,54.94,54.3,54.71,2.652
2014-07-10,54.5,54.89,54.5,54.8,2.153
2014-07-11,54.75,54.95,54.13,54.31,1.986
2014-07-14,54.39,54.56,53.53,53.6,3.134
2014-07-15,53.58,54.19,53.58,53.93,2.701
2014-07-16,54.04,54.27,53.75,54.21,2.045
2014-07-17,54.16,54.26,53.48,53.48,2.043
2014-07-18,53.73,54.45,53.54,54.39,1.936
2014-07-21,54.32,54.36,53.61,54.04,2.036
2014-07-22,54.24,54.32,53.94,54.05,1.214
2014-07-23,54.06,54.23,53.9,53.97,1.785
2014-07-24,53.96,54.05,53.73,54.01,2.193
2014-07-25,54.25,54.72,52.92,53.22,3.062
2014-07-28,53.14,54.66,53.03,54.65,2.908
2014-07-29,54.8,54.89,54.07,54.09,2.07
2014-07-30,54.11,54.23,52.57,53.0,2.89
2014-07-31,52.76,52.93,51.96,51.99,2.51
2014-08-01,52.0,52.81,51.96,52.31,2.606
2014-08-04,52.2,52.2,50.48,51.4,5.778
2014-08-05,51.28,51.56,50.7,50.84,2.881
2014-08-06,50.3,50.33,49.06,49.28,5.967
2014-08-07,49.49,50.15,49.49,49.84,2.914
2014-08-08,49.85,50.56,49.85,50.52,2.812
2014-08-11,50.52,50.84,50.27,50.34,1.943
2014-08-12,50.11,50.68,50.11,50.41,2.445
2014-08-13,50.53,50.94,50.42,50.77,2.732
2014-08-14,50.78,51.26,50.78,51.14,2.182
2014-08-15,51.16,51.62,51.14,51.42,2.453
2014-08-18,51.44,51.85,51.37,51.47,2.581
2014-08-19,51.63,52.21,51.49,52.2,2.26
2014-08-20,52.13,52.44,51.92,52.38,2.068
2014-08-21,52.46,52.97,52.42,52.8,2.428
2014-08-22,52.7,52.87,52.06,52.54,2.323
2014-08-25,52.85,53.02,52.58,52.95,1.214
2014-08-26,53.02,53.29,52.21,52.26,1.549
2014-08-27,52.3,53.18,52.3,53.15,2.317
2014-08-28,52.95,53.4,52.9,53.32,1.744
2014-08-29,53.39,53.71,53.23,53.7,1.526
2014-09-02,53.66,53.73,52.75,52.88,2.37
2014-09-03,53.09,53.53,53.0,53.36,1.715
2014-09-04,53.3,53.41,52.75,53.0,2.261
2014-09-05,53.24,53.87,53.04,53.86,2.236
2014-09-08,53.83,53.86,53.33,53.53,1.892
2014-09-09,53.25,53.4,52.78,52.99,2.498
2014-09-10,53.02,53.17,52.68,52.99,2.187
2014-09-11,53.02,53.63,52.96,53.54,2.041
2014-09-12,53.32,53.38,52.3,52.48,2.058
2014-09-15,52.52,52.93,52.42,52.69,1.758
2014-09-16,52.73,53.79,52.64,53.63,2.176
2014-09-17,53.82,53.88,53.05,53.32,2.06
2014-09-18,53.32,53.45,52.53,52.74,1.705
2014-09-19,52.86,53.36,52.71,53.28,2.386
2014-09-22,53.13,53.27,52.75,52.97,1.213
2014-09-23,52.9,52.98,52.54,52.56,2.023
2014-09-24,52.67,52.72,52.22,52.47,2.151
