Date,Open,High,Low,Close,Volume
2014-01-02,14.51,14.56,14.19,14.27,3.987
2014-01-03,14.28,14.35,14.11,14.2,4.105
2014-01-06,14.34,14.45,14.13,14.34,5.067
2014-01-07,14.36,14.8,14.36,14.59,10.597
2014-01-08,14.54,14.61,14.21,14.3,6.992
2014-01-09,14.36,14.54,14.27,14.46,5.36
2014-01-10,14.5,14.7,14.48,14.53,4.808
2014-01-13,14.45,14.51,14.21,14.26,4.807
2014-01-14,14.27,14.45,14.18,14.44,4.268
2014-01-15,14.45,14.47,14.23,14.3,5.268
2014-01-16,14.28,14.37,14.18,14.31,4.247
2014-01-17,14.36,14.44,14.27,14.3,3.438
2014-01-21,14.46,14.55,14.28,14.43,4.684
2014-01-22,14.43,14.59,14.39,14.47,3.384
2014-01-23,14.35,14.4,14.06,14.19,5.266
2014-01-24,14.13,14.13,13.54,13.72,12.288
2014-01-27,13.72,13.75,13.42,13.64,8.703
2014-01-28,13.65,13.97,13.62,13.97,5.337
2014-01-29,13.8,13.96,13.68,13.75,7.127
2014-01-30,13.8,13.97,13.73,13.95,3.185
2014-01-31,13.78,14.1,13.71,14.06,7.542
2014-02-03,14.06,14.22,13.68,13.71,5.421
2014-02-04,13.76,13.89,13.62,13.83,4.36
2014-02-05,13.74,13.92,13.58,13.84,3.564
2014-02-06,13.85,13.99,13.79,13.96,3.389
2014-02-07,14.0,14.1,13.92,14.06,3.439
2014-02-10,14.02,14.11,13.82,14.05,3.095
2014-02-11,14.05,14.49,14.03,14.33,4.94
2014-02-12,14.33,14.36,14.17,14.31,4.656
2014-02-13,14.21,14.6,14.2,14.49,3.641
2014-02-14,14.44,14.62,14.42,14.62,2.872
2014-02-18,14.65,14.94,14.62,14.76,4.366
2014-02-19,14.67,14.81,14.36,14.41,6.898
2014-02-20,14.37,14.76,14.37,14.52,5.707
2014-02-21,14.53,14.78,14.46,14.63,4.393
2014-02-24,14.62,14.68,14.23,14.27,9.062
2014-02-25,14.26,14.39,14.15,14.29,4.972
2014-02-26,14.17,14.37,14.02,14.17,9.411
2014-02-27,14.08,14.1,13.74,13.78,10.288
2014-02-28,13.8,13.86,13.57,13.65,9.203
2014-03-03,13.58,13.94,13.55,13.86,7.896
2014-03-04,13.9,14.09,13.88,13.95,5.669
2014-03-05,13.91,14.05,13.88,14.04,4.722
2014-03-06,14.04,14.14,13.91,13.99,5.779
2014-03-07,13.99,14.06,13.86,14.05,6.19
2014-03-10,14.03,14.03,13.84,13.84,5.844
2014-03-11,13.85,13.87,13.54,13.61,5.952
2014-03-12,13.54,13.85,13.53,13.84,3.456
