Date,Open,High,Low,Close,Volume
2014-01-02,33.31,33.35,32.9,32.98,3.829
2014-01-03,33.04,33.27,33.03,33.08,2.558
2014-01-06,33.1,33.14,32.16,32.44,8.488
2014-01-07,32.51,32.76,32.44,32.54,3.826
2014-01-08,32.49,32.58,32.21,32.31,3.452
2014-01-09,32.35,32.42,32.04,32.13,4.624
2014-01-10,32.29,32.63,32.05,32.58,3.674
2014-01-13,32.42,32.51,32.0,32.05,4.82
2014-01-14,32.19,32.4,32.11,32.35,3.556
2014-01-15,32.35,32.56,32.34,32.47,4.04
2014-01-16,32.4,32.58,32.28,32.42,3.317
2014-01-17,32.4,32.74,32.31,32.35,4.289
2014-01-21,32.46,32.64,32.21,32.42,4.355
2014-01-22,32.43,32.49,32.12,32.2,2.792
2014-01-23,32.1,32.15,31.63,31.78,4.045
2014-01-24,31.65,31.81,31.15,31.15,6.344
2014-01-27,31.09,31.28,30.67,30.9,5.637
2014-01-28,30.92,31.27,30.92,31.23,3.576
2014-01-29,30.87,31.42,30.86,31.06,4.996
2014-01-30,31.27,31.67,31.23,31.6,3.148
2014-01-31,31.12,31.67,31.01,31.39,4.407
2014-02-03,31.43,31.46,30.34,30.36,6.068
2014-02-04,30.49,30.82,30.41,30.74,4.873
2014-02-05,30.95,31.16,30.23,30.88,5.432
2014-02-06,30.8,31.0,30.68,30.86,4.344
2014-02-07,30.89,31.4,30.74,31.34,4.629
2014-02-10,31.25,31.5,31.08,31.22,3.748
2014-02-11,31.21,31.31,30.9,31.2,4.7
2014-02-12,31.17,31.48,31.15,31.38,3.236
2014-02-13,31.09,31.41,31.0,31.4,2.607
2014-02-14,31.33,31.62,31.33,31.57,2.959
2014-02-18,31.55,31.58,31.42,31.51,2.779
2014-02-19,31.37,31.83,31.2,31.22,3.171
2014-02-20,31.28,31.53,31.17,31.46,3.058
2014-02-21,31.49,31.5,31.07,31.16,4.745
2014-02-24,31.13,31.44,31.13,31.15,3.762
2014-02-25,31.17,31.42,31.08,31.26,3.655
2014-02-26,31.39,31.5,31.2,31.3,2.961
2014-02-27,31.25,31.7,31.25,31.69,3.061
2014-02-28,31.69,32.24,31.69,32.04,5.069
2014-03-03,31.68,32.15,31.5,32.01,4.238
2014-03-04,32.29,32.64,32.22,32.56,4.276
2014-03-05,32.49,32.54,32.29,32.51,2.857
2014-03-06,32.56,32.81,32.54,32.61,2.712
2014-03-07,32.78,33.01,32.65,32.81,2.731
2014-03-10,32.81,32.94,32.6,32.77,2.188
2014-03-11,32.83,32.83,32.37,32.47,3.019
2014-03-12,32.31,32.53,32.25,32.44,2.013
2014-03-13,32.54,32.6,32.01,32.09,3.056
2014-03-14,32.03,32.29,31.95,32.06,2.366
2014-03-17,32.22,32.31,31.83,31.91,3.529
2014-03-18,32.01,32.29,31.99,32.15,2.21
2014-03-19,32.17,32.22,31.5,31.68,4.303
2014-03-20,31.61,31.83,31.47,31.6,5.772
2014-03-21,31.67,31.77,31.47,31.49,11.588
2014-03-24,31.61,31.75,31.34,31.34,4.403
2014-03-25,31.53,31.69,31.42,31.47,3.707
2014-03-26,31.68,31.72,31.34,31.35,3.985
