Date,Open,High,Low,Close,Volume
2014-01-02,50.81,51.3,50.47,50.71,9.196
2014-01-03,50.67,51.23,50.61,50.92,7.277
2014-01-06,51.55,51.58,50.48,50.52,9.264
2014-01-07,50.67,51.37,50.61,51.21,9.061
2014-01-08,51.23,51.93,51.02,51.81,9.961
2014-01-09,51.88,52.29,51.71,52.11,8.165
2014-01-10,52.21,52.34,51.68,52.22,8.604
2014-01-13,52.07,52.47,51.4,51.46,9.258
2014-01-14,51.66,51.96,51.33,51.76,5.626
2014-01-15,52.02,52.34,51.0,52.11,5.929
2014-01-16,52.07,52.1,51.32,51.5,6.214
2014-01-17,51.4,51.55,50.8,50.89,7.156
2014-01-21,51.17,51.42,50.18,50.58,8.217
2014-01-22,50.8,51.07,50.11,50.29,9.958
2014-01-23,50.02,50.02,48.71,49.21,10.797
2014-01-24,48.78,49.15,47.85,47.86,11.843
2014-01-27,48.02,48.59,46.81,47.29,17.878
2014-01-28,48.56,49.13,48.1,48.46,13.378
2014-01-29,48.12,48.53,47.8,47.95,9.845
2014-01-30,48.45,49.09,48.44,48.88,7.203
2014-01-31,48.01,48.59,47.77,47.96,12.707
2014-02-03,48.0,48.24,46.8,46.88,12.99
2014-02-04,46.87,48.09,46.85,47.62,9.051
2014-02-05,47.28,47.89,47.02,47.64,8.655
2014-02-06,47.82,48.28,47.56,47.72,9.026
2014-02-07,48.15,49.05,47.64,49.01,9.368
2014-02-10,49.02,49.26,48.62,48.88,5.928
2014-02-11,48.9,49.31,48.26,49.0,10.56
2014-02-12,49.25,49.72,48.83,49.04,10.449
2014-02-13,48.75,49.74,48.3,49.59,11.816
2014-02-14,48.9,49.23,48.0,48.98,26.846
2014-02-18,49.15,50.43,49.0,50.17,14.941
2014-02-19,49.96,50.23,49.18,49.25,10.267
2014-02-20,49.2,49.47,48.91,49.22,9.825
2014-02-21,49.23,49.3,48.98,48.98,10.719
2014-02-24,49.1,49.8,49.0,49.45,10.042
2014-02-25,49.45,49.46,48.81,49.01,9.343
2014-02-26,48.99,49.01,48.28,48.72,13.39
