Date,Open,High,Low,Close,Volume
2014-01-02,46.67,46.89,46.09,46.15,0.484
2014-01-03,46.11,46.34,46.05,46.16,0.282
2014-01-06,46.29,46.41,45.89,46.12,0.639
2014-01-07,46.69,47.4,46.69,47.35,1.152
2014-01-08,47.27,47.27,46.77,47.2,0.767
2014-01-09,47.27,47.98,47.22,47.98,0.849
2014-01-10,48.07,48.41,47.43,48.06,0.902
2014-01-13,47.84,48.01,47.44,47.67,0.895
2014-01-14,47.81,48.36,47.66,48.34,0.725
2014-01-15,48.34,48.72,48.18,48.71,0.816
2014-01-16,48.56,48.79,48.42,48.78,0.698
2014-01-17,48.77,48.84,48.4,48.51,0.419
2014-01-21,48.87,49.06,48.51,49.01,0.696
2014-01-22,49.03,49.46,48.91,49.39,0.638
2014-01-23,49.23,49.32,48.34,48.44,0.737
2014-01-24,48.33,48.42,47.25,47.25,0.935
2014-01-27,47.28,47.4,46.45,46.46,0.997
2014-01-28,47.02,47.55,46.83,47.44,1.418
2014-01-29,45.0,47.33,44.65,47.0,1.096
2014-01-30,47.26,47.26,46.32,46.55,0.837
2014-01-31,46.06,46.47,45.58,46.23,0.719
2014-02-03,46.08,46.32,44.37,44.38,1.117
2014-02-04,44.45,44.66,44.02,44.48,0.966
2014-02-05,44.4,44.86,44.21,44.74,0.681
2014-02-06,44.84,45.05,44.53,44.58,0.726
2014-02-07,44.75,45.34,44.7,45.32,0.458
2014-02-10,45.25,45.38,45.05,45.25,0.551
2014-02-11,45.25,45.9,45.15,45.69,0.34
2014-02-12,45.66,45.8,45.14,45.26,0.651
2014-02-13,45.0,45.64,44.97,45.61,0.427
2014-02-14,45.54,45.76,45.3,45.61,0.322
2014-02-18,45.56,46.02,45.33,45.77,0.388
2014-02-19,45.59,45.9,45.49,45.61,0.48
2014-02-20,45.58,46.13,45.47,46.06,0.347
2014-02-21,46.03,46.22,45.76,45.83,0.389
2014-02-24,45.83,46.05,45.46,45.46,0.645
2014-02-25,45.48,45.8,45.26,45.62,0.438
2014-02-26,45.75,45.95,45.46,45.65,0.625
2014-02-27,45.63,46.05,45.31,45.96,0.444
2014-02-28,45.64,46.29,45.64,46.2,0.631
2014-03-03,45.78,46.16,45.53,46.11,0.542
2014-03-04,46.5,46.96,46.25,46.93,0.544
2014-03-05,46.88,46.93,46.61,46.84,0.339
2014-03-06,46.96,47.28,46.72,47.22,0.383
2014-03-07,47.41,47.52,46.92,47.04,0.462
2014-03-10,46.98,47.31,46.92,47.26,0.626
2014-03-11,47.31,47.43,46.92,46.99,0.355
2014-03-12,46.75,47.07,46.7,46.87,0.479
2014-03-13,46.97,46.97,46.23,46.36,0.604
2014-03-14,46.35,46.82,46.35,46.45,0.447
2014-03-17,46.58,47.1,46.51,46.98,0.468
2014-03-18,47.08,47.26,46.92,47.21,0.562
2014-03-19,47.03,47.21,46.53,46.75,0.396
2014-03-20,46.67,47.01,46.53,47.01,0.596
2014-03-21,47.37,47.76,46.98,47.05,1.974
2014-03-24,47.3,47.56,46.98,47.1,0.537
2014-03-25,47.2,47.65,46.92,47.12,0.432
2014-03-26,47.37,47.49,47.0,47.03,0.774
2014-03-27,49.38,49.38,46.54,46.7,0.28
2014-03-28,46.78,47.16,46.68,46.88,0.249
2014-03-31,47.29,47.63,47.11,47.58,0.422
2014-04-01,47.57,47.89,47.34,47.89,0.523
2014-04-02,48.07,48.33,47.85,48.21,0.89
2014-04-03,48.24,48.38,47.93,48.0,0.648
2014-04-04,48.1,48.14,46.73,46.84,0.903
2014-04-07,46.63,46.77,44.45,44.69,1.8
2014-04-08,44.71,44.9,43.5,43.59,1.66
2014-04-09,43.53,44.58,42.97,44.28,2.427
2014-04-10,44.39,44.51,43.3,43.66,2.808
2014-04-11,43.29,44.88,43.26,44.38,16.607
2014-04-14,44.7,44.9,44.34,44.74,2.157
2014-04-15,45.01,45.27,44.08,45.02,2.092
2014-04-16,45.29,45.4,44.86,45.27,1.516
2014-04-17,45.29,45.29,44.97,45.17,1.614
2014-04-21,45.13,45.38,44.75,45.19,1.57
2014-04-22,45.33,45.48,45.0,45.04,1.354
2014-04-23,45.05,45.25,44.84,44.95,0.853
2014-04-24,45.04,45.2,44.52,44.67,1.293
2014-04-25,44.53,44.64,44.14,44.48,1.27
2014-04-28,44.74,45.02,44.23,44.64,1.197
2014-04-29,44.65,44.94,44.46,44.56,1.811
2014-04-30,44.48,45.13,44.28,45.02,2.262
2014-05-01,45.11,45.5,44.83,45.08,1.13
2014-05-02,45.03,45.24,44.55,44.65,0.766
2014-05-05,44.53,45.0,44.14,44.75,0.586
2014-05-06,44.64,44.7,44.33,44.37,0.682
2014-05-07,44.4,44.71,44.18,44.64,1.034
2014-05-08,44.64,45.3,44.58,45.04,2.016
2014-05-09,44.98,45.44,44.86,45.42,0.942
2014-05-12,45.62,46.0,45.45,45.86,0.839
2014-05-13,45.88,45.98,45.62,45.64,0.664
2014-05-14,45.6,45.6,45.08,45.18,0.53
2014-05-15,44.99,45.03,44.52,44.95,0.782
2014-05-16,45.0,45.51,44.86,45.33,1.044
2014-05-19,45.3,45.48,45.12,45.3,0.892
2014-05-20,45.48,45.97,45.24,45.4,1.176
2014-05-21,45.28,45.91,45.14,45.85,0.834
2014-05-22,45.89,46.32,45.82,45.89,1.03
2014-05-23,45.91,46.08,45.83,45.95,0.916
2014-05-27,46.09,46.2,45.91,46.1,0.868
2014-05-28,46.1,46.18,45.82,45.87,1.571
2014-05-29,47.68,47.68,45.76,45.96,0.858
2014-05-30,45.95,45.98,45.71,45.83,0.992
2014-06-02,45.93,46.24,45.76,46.16,0.802
2014-06-03,46.11,46.31,45.89,46.04,0.475
2014-06-04,45.68,46.27,45.68,46.22,0.602
2014-06-05,46.17,46.41,45.88,45.89,1.007
2014-06-06,45.97,46.22,45.77,45.93,0.734
2014-06-09,45.97,46.19,45.77,45.88,0.758
2014-06-10,45.84,45.99,45.56,45.65,0.614
2014-06-11,45.52,45.97,45.5,45.91,0.436
2014-06-12,45.79,45.8,45.47,45.7,0.425
2014-06-13,45.7,45.92,45.33,45.44,0.515
2014-06-16,45.48,45.67,45.24,45.56,0.511
2014-06-17,45.57,46.09,45.3,45.95,0.825
2014-06-18,45.92,46.5,45.79,46.38,0.592
2014-06-19,46.45,46.46,46.14,46.26,0.482
2014-06-20,46.14,46.61,46.06,46.4,1.554
2014-06-23,46.49,46.67,46.29,46.48,0.64
2014-06-24,46.4,47.03,46.35,46.67,1.004
2014-06-25,46.62,47.06,46.53,46.75,1.008
2014-06-26,46.82,46.82,46.05,46.36,0.662
2014-06-27,46.25,46.69,46.04,46.4,0.64
2014-06-30,46.43,46.62,46.31,46.6,0.554
2014-07-01,46.56,47.24,46.49,47.21,1.088
2014-07-02,47.09,47.25,46.5,46.6,0.425
2014-07-03,46.71,46.86,46.5,46.77,0.307
2014-07-07,46.62,46.73,46.38,46.52,0.524
2014-07-08,46.45,46.54,46.19,46.35,0.664
2014-07-09,46.37,46.72,46.36,46.69,0.511
2014-07-10,46.14,46.75,46.04,46.58,0.547
2014-07-11,46.41,46.88,46.41,46.78,0.533
2014-07-14,46.9,46.98,46.48,46.61,0.523
2014-07-15,46.48,46.71,46.31,46.53,0.363
2014-07-16,46.7,46.76,46.15,46.27,0.895
2014-07-17,46.27,46.57,45.97,46.06,0.634
2014-07-18,46.27,46.55,46.06,46.44,0.573
2014-07-21,46.38,46.39,46.12,46.24,0.296
2014-07-22,46.35,46.7,46.33,46.46,0.46
2014-07-23,46.61,46.76,46.38,46.65,0.268
2014-07-24,46.68,46.92,46.61,46.64,0.51
2014-07-25,46.51,46.59,45.62,45.64,0.866
2014-07-28,45.6,45.9,45.35,45.82,0.62
2014-07-29,45.79,46.09,45.1,45.1,0.81
2014-07-30,45.5,46.48,45.3,45.85,1.496
2014-07-31,45.59,45.86,44.98,45.0,1.023
2014-08-01,44.9,45.24,44.56,44.71,0.936
2014-08-04,45.22,45.22,44.64,44.78,0.556
2014-08-05,44.72,44.83,44.22,44.35,0.636
2014-08-06,44.22,44.88,44.22,44.83,0.798
2014-08-07,44.82,45.16,44.8,44.94,0.952
2014-08-08,44.94,44.98,44.74,44.97,0.921
2014-08-11,45.05,45.34,44.99,45.14,0.374
2014-08-12,45.1,45.47,45.01,45.18,0.36
2014-08-13,45.38,45.64,45.21,45.61,0.419
2014-08-14,45.61,45.85,45.61,45.81,0.399
2014-08-15,46.06,46.08,45.4,45.62,0.411
2014-08-18,45.86,46.36,45.71,46.3,0.694
2014-08-19,46.32,46.49,46.22,46.26,0.594
2014-08-20,46.2,46.44,46.18,46.35,0.409
2014-08-21,46.29,46.72,46.25,46.69,0.455
2014-08-22,46.66,47.0,46.53,46.75,0.699
2014-08-25,47.0,47.22,46.78,46.99,0.471
2014-08-26,47.08,47.31,47.04,47.12,0.385
2014-08-27,47.09,47.27,47.06,47.13,0.534
2014-08-28,46.97,47.27,46.86,47.09,0.434
2014-08-29,47.24,47.38,46.93,47.23,0.49
2014-09-02,47.34,47.95,46.98,47.07,1.026
2014-09-03,46.94,46.94,46.57,46.68,0.491
2014-09-04,46.69,46.89,46.36,46.46,0.417
2014-09-05,46.47,46.78,46.15,46.3,0.541
2014-09-08,46.24,46.56,45.97,46.56,0.618
2014-09-09,46.45,46.47,45.94,46.06,0.622
2014-09-10,46.16,46.39,45.87,46.22,0.706
2014-09-11,45.96,46.19,45.87,46.03,0.714
2014-09-12,45.92,46.0,45.58,45.73,0.862
2014-09-15,45.76,45.81,45.4,45.57,0.623
2014-09-16,45.45,45.66,45.03,45.43,0.927
2014-09-17,45.6,45.7,45.32,45.51,0.542
2014-09-18,45.68,45.8,45.44,45.46,0.597
2014-09-19,45.32,45.64,44.91,45.2,1.665
2014-09-22,45.11,45.12,44.69,44.79,1.348
2014-09-23,44.58,45.02,44.47,44.78,1.29
2014-09-24,44.87,45.5,44.68,45.46,1.071
2014-09-25,45.32,45.32,44.76,44.76,0.864
2014-09-26,44.95,45.49,44.86,45.45,0.694
2014-09-29,45.09,45.25,44.86,45.07,0.522
2014-09-30,45.1,45.47,45.0,45.36,1.13
2014-10-01,45.36,45.36,44.65,44.82,1.149
2014-10-02,44.76,44.99,44.45,44.76,0.577
2014-10-03,45.11,45.62,44.98,45.48,0.551
2014-10-06,45.67,45.87,45.29,45.76,0.9
2014-10-07,45.48,45.64,44.94,44.95,0.822
2014-10-08,44.9,45.34,44.65,45.33,0.631
2014-10-09,45.16,45.37,44.69,44.82,1.083
2014-10-10,44.87,45.19,44.39,44.81,1.129
2014-10-13,44.77,45.01,44.03,44.17,1.164
2014-10-14,44.43,44.59,44.1,44.3,0.878
2014-10-15,43.79,44.56,43.44,44.14,1.559
2014-10-16,43.48,44.02,43.36,43.89,1.154
2014-10-17,44.27,44.69,43.93,44.62,0.458
2014-10-20,44.46,44.88,44.46,44.88,0.473
2014-10-21,45.0,45.26,44.81,45.26,0.712
2014-10-22,45.42,45.63,45.19,45.3,0.66
2014-10-23,45.66,45.68,45.27,45.37,0.614
2014-10-24,45.43,45.85,45.4,45.8,0.475
2014-10-27,45.68,46.15,45.58,45.97,0.546
2014-10-28,46.21,46.47,45.88,46.25,1.108
2014-10-29,46.19,47.47,46.02,47.41,1.491
2014-10-30,47.28,47.43,46.69,47.06,0.832
2014-10-31,47.5,47.82,47.28,47.7,0.94
2014-11-03,47.9,48.07,47.6,47.93,0.959
2014-11-04,47.86,48.12,47.71,47.91,0.723
2014-11-05,48.1,48.2,47.75,48.18,0.758
2014-11-06,48.19,48.23,47.93,48.08,1.018
2014-11-07,48.13,48.3,47.84,48.1,1.121
2014-11-10,48.0,48.38,47.99,48.26,0.944
2014-11-11,48.32,48.32,47.97,48.18,0.633
2014-11-12,48.03,48.09,47.77,47.9,0.848
2014-11-13,48.03,48.33,47.88,47.92,0.482
2014-11-14,47.86,48.02,47.6,47.74,0.37
2014-11-17,47.74,48.12,47.51,47.92,0.526
2014-11-18,47.84,48.19,47.59,47.81,0.626
2014-11-19,47.71,47.88,47.41,47.73,0.314
2014-11-20,47.46,47.9,47.46,47.81,0.313
2014-11-21,48.16,48.23,47.72,47.85,0.506
2014-11-24,48.03,48.04,47.71,47.97,0.578
2014-11-25,48.09,48.18,47.84,48.06,0.332
2014-11-26,48.12,48.12,47.89,48.04,0.279
2014-11-28,48.23,48.54,47.89,47.95,0.322
2014-12-01,47.84,47.91,47.59,47.63,0.401
2014-12-02,47.68,48.03,47.63,47.98,0.49
2014-12-03,48.01,48.2,47.48,48.15,0.648
2014-12-04,48.11,48.65,48.02,48.65,0.602
2014-12-05,48.7,49.09,48.53,48.63,0.675
2014-12-08,48.66,49.24,48.14,48.84,1.122
2014-12-09,48.09,48.74,47.98,48.47,0.911
2014-12-10,48.22,48.37,47.55,47.61,0.777
2014-12-11,47.87,48.33,47.69,47.8,0.607
2014-12-12,47.41,47.72,47.0,47.02,0.52
2014-12-15,47.16,47.57,46.42,46.57,0.59
2014-12-16,46.45,46.89,46.2,46.28,0.957
2014-12-17,46.44,46.93,46.08,46.91,0.976
2014-12-18,47.37,47.5,47.15,47.43,0.979
2014-12-19,47.48,47.75,47.29,47.42,1.427
2014-12-22,47.57,47.59,47.23,47.59,0.588
2014-12-23,47.86,47.87,47.46,47.48,0.476
2014-12-24,47.51,47.62,47.36,47.45,0.217
2014-12-26,47.68,47.76,47.43,47.48,0.258
2014-12-29,47.39,47.86,47.24,47.51,0.392
2014-12-30,47.47,47.89,47.42,47.84,0.312
2014-12-31,47.95,47.99,47.05,47.08,0.405
2015-01-02,47.25,47.49,46.54,46.98,0.54
2015-01-05,46.67,46.83,46.36,46.7,0.744
2015-01-06,46.67,46.95,46.27,46.61,0.932
2015-01-07,46.87,47.12,46.48,47.06,0.644
2015-01-08,47.3,48.04,47.17,47.88,0.804
2015-01-09,47.84,47.88,47.18,47.23,0.436
2015-01-12,47.16,47.47,46.75,47.08,0.453
2015-01-13,47.51,48.11,46.87,47.31,0.677
2015-01-14,46.84,47.17,46.52,46.98,0.396
2015-01-15,46.96,47.44,46.66,46.7,0.551
2015-01-16,46.16,46.45,45.75,46.18,1.586
2015-01-20,46.2,46.48,45.4,45.58,0.792
2015-01-21,45.52,45.74,45.06,45.34,0.653
2015-01-22,45.64,46.17,45.37,46.17,0.804
2015-01-23,46.15,46.33,45.49,45.51,0.624
2015-01-26,45.58,45.7,45.23,45.7,0.812
2015-01-27,45.41,45.73,45.14,45.32,0.58
2015-01-28,45.55,45.79,44.85,44.93,1.207
2015-01-29,45.02,45.17,44.49,45.09,0.754
2015-01-30,44.98,45.12,44.41,44.43,0.871
2015-02-02,44.5,45.16,44.24,45.16,0.997
2015-02-03,45.2,45.7,44.95,45.63,1.179
2015-02-04,45.9,46.84,45.81,46.32,1.325
2015-02-05,46.21,46.56,46.0,46.45,0.879
2015-02-06,46.46,46.77,46.17,46.32,0.726
2015-02-09,46.11,46.11,45.66,46.0,0.873
2015-02-10,46.0,46.43,45.93,46.24,0.64
2015-02-11,46.04,46.82,46.04,46.82,0.584
2015-02-12,46.99,47.26,46.79,47.23,0.864
2015-02-13,47.16,47.52,46.88,47.5,0.723
2015-02-17,48.07,48.17,47.55,48.0,1.297
2015-02-18,47.95,48.36,47.77,48.34,1.173
2015-02-19,48.25,48.71,48.24,48.5,1.435
2015-02-20,48.4,48.58,48.14,48.55,0.608
2015-02-23,48.43,48.46,47.54,47.87,0.692
2015-02-24,47.72,48.09,47.17,47.6,1.471
2015-02-25,47.48,47.61,47.19,47.28,0.791
2015-02-26,47.35,47.39,47.11,47.32,0.551
2015-02-27,47.27,47.41,46.98,46.99,0.811
2015-03-02,46.75,46.98,46.6,46.95,0.712
2015-03-03,46.8,47.01,46.76,46.81,0.599
2015-03-04,46.6,46.82,46.49,46.54,0.622
2015-03-05,46.5,46.73,46.19,46.46,0.879
2015-03-06,46.38,46.68,45.77,45.81,0.685
2015-03-09,45.85,46.18,45.85,46.08,1.176
2015-03-10,45.77,46.19,45.63,45.64,1.19
2015-03-11,45.82,46.21,45.56,46.17,0.97
2015-03-12,46.41,46.96,46.41,46.92,0.683
2015-03-13,46.98,47.07,46.27,46.5,0.451
2015-03-16,46.7,47.48,46.59,47.44,1.027
2015-03-17,47.34,47.53,47.06,47.48,0.906
2015-03-18,47.3,48.01,47.08,47.74,0.751
2015-03-19,47.51,47.78,47.38,47.59,0.726
2015-03-20,47.68,47.84,47.49,47.64,2.299
2015-03-23,47.77,47.78,47.4,47.4,0.684
2015-03-24,47.39,47.56,47.02,47.06,0.522
2015-03-25,47.22,47.22,46.31,46.31,0.608
2015-03-26,46.24,46.92,46.08,46.63,0.849
2015-03-27,46.56,46.89,46.43,46.8,0.615
2015-03-30,47.11,47.72,47.0,47.41,0.727
2015-03-31,47.12,47.12,46.68,46.75,1.092
2015-04-01,46.75,46.94,46.3,46.73,0.845
2015-04-02,46.6,46.97,46.37,46.86,0.847
2015-04-06,46.5,47.4,46.5,47.13,0.775
2015-04-07,47.18,47.25,46.81,46.83,0.564
2015-04-08,46.84,47.34,46.74,47.34,0.453
2015-04-09,47.21,47.5,46.96,47.37,0.554
2015-04-10,47.32,47.86,47.32,47.65,0.5
2015-04-13,47.69,47.74,47.27,47.71,0.446
2015-04-14,47.62,47.98,47.36,47.94,0.493
2015-04-15,48.0,48.07,47.73,47.78,0.721
2015-04-16,47.77,48.21,47.71,47.98,0.753
2015-04-17,47.72,47.72,47.11,47.66,0.993
2015-04-20,47.75,48.03,47.71,47.91,0.822
2015-04-21,47.98,48.14,47.4,47.66,0.911
2015-04-22,47.66,47.71,47.21,47.71,0.466
2015-04-23,47.48,48.02,47.48,47.76,1.004
2015-04-24,47.58,49.11,47.54,49.06,1.855
2015-04-27,49.06,49.08,48.43,48.53,1.212
2015-04-28,48.45,48.96,48.33,48.67,1.391
2015-04-29,48.34,48.74,48.19,48.55,1.146
2015-04-30,48.43,48.47,47.71,47.83,1.145
2015-05-01,48.01,48.33,47.88,47.92,0.608
2015-05-04,47.98,48.11,47.65,47.71,0.628
2015-05-05,47.5,47.75,46.85,47.19,1.715
2015-05-06,47.19,47.52,46.87,47.5,0.83
2015-05-07,47.62,47.89,47.39,47.74,0.757
2015-05-08,48.16,48.26,47.85,47.86,0.801
2015-05-11,47.68,48.14,47.65,47.83,0.893
2015-05-12,47.55,47.96,47.19,47.79,0.54
