Date,Open,High,Low,Close,Volume
2014-01-02,63.38,63.6,62.6,63.14,0.549
2014-01-03,63.24,63.34,62.78,63.25,0.402
2014-01-06,63.37,63.37,62.39,63.11,0.843
2014-01-07,63.53,63.96,62.9,63.54,0.663
2014-01-08,63.64,64.9,63.64,64.87,1.126
2014-01-09,65.55,66.38,65.0,65.83,1.037
2014-01-10,65.87,66.51,65.42,66.49,0.93
2014-01-13,66.29,66.56,65.48,65.75,0.745
2014-01-14,65.82,66.62,65.5,66.61,0.536
2014-01-15,66.63,67.31,66.63,66.74,0.444
2014-01-16,66.69,66.86,66.16,66.37,0.342
2014-01-17,66.39,66.39,65.74,66.0,0.382
2014-01-21,66.19,66.49,65.91,66.15,0.42
2014-01-22,66.54,66.77,66.0,66.3,0.254
2014-01-23,65.93,66.24,65.22,65.52,0.39
2014-01-24,65.29,65.29,63.23,63.31,0.758
2014-01-27,63.27,64.17,62.66,63.59,0.55
2014-01-28,63.69,63.78,62.57,63.2,0.717
2014-01-29,63.83,66.53,63.23,65.25,1.61
2014-01-30,65.27,65.64,64.18,64.62,0.723
2014-01-31,64.06,65.1,64.01,64.18,0.647
2014-02-03,64.48,64.54,62.15,62.23,1.335
2014-02-04,63.18,63.18,61.88,62.21,1.088
2014-02-05,62.1,62.61,60.92,62.49,0.82
2014-02-06,62.55,63.04,62.3,62.88,0.41
2014-02-07,63.1,63.57,62.83,63.48,0.338
2014-02-10,63.15,64.11,63.15,63.71,0.356
2014-02-11,63.6,64.45,63.46,64.1,0.377
2014-02-12,64.08,64.59,64.08,64.47,0.452
2014-02-13,64.16,65.07,63.6,64.81,0.392
2014-02-14,64.87,65.48,64.59,65.26,0.245
2014-02-18,65.39,65.39,64.32,64.48,0.452
2014-02-19,64.5,65.15,64.36,64.41,0.749
2014-02-20,64.45,64.75,64.36,64.44,0.554
2014-02-21,64.58,64.84,63.82,63.91,0.667
2014-02-24,63.92,64.13,63.59,63.84,0.514
2014-02-25,63.99,64.66,63.59,64.28,0.481
2014-02-26,65.66,65.66,64.32,65.56,0.566
2014-02-27,65.38,65.67,65.07,65.58,0.274
2014-02-28,65.49,66.47,65.35,65.99,0.381
2014-03-03,65.23,66.25,65.16,65.74,0.73
2014-03-04,66.17,67.25,65.85,66.04,1.408
2014-03-05,66.1,66.38,65.67,66.04,0.365
2014-03-06,66.18,66.96,66.17,66.58,0.246
2014-03-07,66.78,66.99,66.19,66.55,0.405
2014-03-10,66.3,66.7,65.55,65.97,0.467
2014-03-11,65.46,66.11,65.45,65.54,0.48
2014-03-12,64.84,65.21,64.64,65.01,0.616
2014-03-13,65.04,65.42,64.12,64.2,0.607
2014-03-14,64.04,64.8,63.44,63.53,0.603
2014-03-17,64.07,64.51,63.61,64.35,0.461
2014-03-18,64.54,64.82,64.18,64.76,0.437
2014-03-19,64.81,65.07,64.08,64.3,0.241
