Date,Open,High,Low,Close,Volume
2014-01-02,44.08,44.18,43.27,43.65,0.993
2014-01-03,43.57,44.32,43.17,43.96,0.378
2014-01-06,43.97,43.98,43.37,43.68,0.598
2014-01-07,42.16,43.98,42.16,43.87,1.371
2014-01-08,44.02,44.36,43.4,43.88,1.407
2014-01-09,43.89,44.25,43.84,44.13,1.094
2014-01-10,44.17,46.08,44.02,45.73,2.009
2014-01-13,45.7,47.44,45.2,47.04,2.278
2014-01-14,47.16,47.89,46.91,47.8,2.338
2014-01-15,47.97,49.19,47.26,47.5,1.733
2014-01-16,47.28,47.68,47.04,47.4,1.179
2014-01-17,47.52,48.24,47.0,48.0,1.572
2014-01-21,49.38,49.38,47.94,48.17,1.57
2014-01-22,48.11,49.16,48.08,48.51,0.682
2014-01-23,48.68,48.68,47.58,47.72,0.868
2014-01-24,47.62,47.71,45.83,46.84,1.418
2014-01-27,45.2,48.0,45.2,46.6,0.718
2014-01-28,46.77,47.88,46.77,47.73,0.722
2014-01-29,47.35,48.48,47.13,47.78,0.801
2014-01-30,47.91,49.63,47.83,49.42,1.247
2014-01-31,49.25,49.96,49.03,49.35,2.011
2014-02-03,49.35,49.94,47.2,47.44,1.185
2014-02-04,47.44,48.48,47.32,48.05,0.891
2014-02-05,47.84,48.65,47.15,47.6,0.823
2014-02-06,47.5,49.27,47.5,49.24,1.168
2014-02-07,49.33,50.27,49.33,49.94,1.838
2014-02-10,49.99,50.12,49.45,49.84,0.763
2014-02-11,49.73,50.41,49.33,49.89,1.446
2014-02-12,49.92,51.0,49.73,50.0,1.405
2014-02-13,49.98,50.44,49.59,50.12,0.695
2014-02-14,50.15,50.25,49.59,49.63,0.892
2014-02-18,49.72,50.86,49.72,50.11,2.748
2014-02-19,49.84,50.34,49.03,49.16,1.076
2014-02-20,50.23,52.78,49.1,51.52,2.624
2014-02-21,51.75,52.79,51.75,52.37,2.199
2014-02-24,52.36,53.11,52.36,52.86,0.668
2014-02-25,53.0,54.58,52.93,54.56,1.118
2014-02-26,54.83,55.78,54.18,54.66,1.88
2014-02-27,54.69,55.53,54.21,55.35,1.14
2014-02-28,55.09,55.32,53.82,54.35,1.198
2014-03-03,54.67,54.93,53.08,53.49,0.66
2014-03-04,53.71,55.0,53.48,54.0,1.19
2014-03-05,53.9,54.31,53.38,53.95,0.395
2014-03-06,53.99,54.1,53.04,53.19,0.617
2014-03-07,53.44,53.78,52.59,53.39,0.776
2014-03-10,53.2,53.67,52.24,53.29,1.155
2014-03-11,53.49,54.8,53.45,54.5,0.875
2014-03-12,54.42,54.74,52.77,54.28,1.256
2014-03-13,54.46,54.71,53.13,53.6,0.946
2014-03-14,53.62,53.95,53.25,53.3,1.072
2014-03-17,53.44,53.83,52.93,52.96,1.012
2014-03-18,52.95,53.49,52.71,53.28,0.881
2014-03-19,53.18,54.0,52.92,53.28,0.645
2014-03-20,53.41,54.22,52.82,54.17,0.628
2014-03-21,54.38,54.81,53.74,53.81,1.357
2014-03-24,54.0,54.23,53.04,53.47,0.896
2014-03-25,53.7,53.9,53.17,53.21,0.708
2014-03-26,53.32,53.5,52.01,52.04,0.691
2014-03-27,51.87,51.97,51.19,51.45,0.493
2014-03-28,51.62,52.44,51.54,52.16,0.346
2014-03-31,52.38,52.58,51.91,52.17,0.335
2014-04-01,52.44,54.06,52.29,53.92,0.594
2014-04-02,53.92,54.81,53.59,54.67,0.5
2014-04-03,54.77,55.0,54.58,54.95,0.428
