Date,Open,High,Low,Close,Volume
2014-01-02,17.69,17.69,17.37,17.55,7.786
2014-01-03,17.54,17.7,17.47,17.51,6.773
2014-01-06,17.5,17.51,17.22,17.29,9.976
2014-01-07,17.37,17.43,17.26,17.37,8.133
2014-01-08,17.4,17.45,17.18,17.42,8.026
2014-01-09,17.42,17.5,17.32,17.4,8.838
2014-01-10,17.37,17.51,17.33,17.47,7.97
2014-01-13,17.39,17.5,17.25,17.32,9.143
2014-01-14,17.34,17.74,17.3,17.63,12.187
2014-01-15,17.72,18.08,17.69,17.93,11.834
2014-01-16,17.87,17.89,17.61,17.63,6.961
2014-01-17,17.56,17.68,17.42,17.55,9.461
2014-01-21,17.62,17.69,17.47,17.61,5.754
2014-01-22,17.69,17.72,17.56,17.66,5.77
2014-01-23,17.51,17.56,17.4,17.53,8.232
2014-01-24,17.25,17.42,17.07,17.17,19.67
2014-01-27,17.13,17.21,16.64,16.72,15.391
2014-01-28,16.68,16.83,16.56,16.75,9.864
2014-01-29,16.68,16.83,16.62,16.73,8.984
2014-01-30,16.92,16.93,16.68,16.78,10.336
2014-01-31,16.41,16.85,16.4,16.82,20.152
2014-02-03,16.6,16.83,16.55,16.76,24.873
2014-02-04,16.78,16.85,16.65,16.78,18.623
2014-02-05,16.69,16.96,16.64,16.89,16.304
2014-02-06,16.91,17.18,16.88,17.05,7.92
2014-02-07,17.07,17.23,16.93,17.18,12.577
2014-02-10,17.2,17.3,17.11,17.25,7.729
2014-02-11,17.34,17.97,17.2,17.78,23.03
2014-02-12,17.79,18.09,17.76,17.91,18.138
2014-02-13,17.79,19.0,17.73,18.87,31.62
2014-02-14,18.72,19.09,18.49,18.96,22.146
2014-02-18,18.88,18.96,18.71,18.85,13.689
2014-02-19,18.84,18.99,18.65,18.75,13.025
2014-02-20,18.75,19.0,18.72,18.99,16.166
2014-02-21,19.12,19.24,18.91,19.1,14.79
2014-02-24,19.25,19.38,19.07,19.07,13.389
2014-02-25,19.13,19.13,18.75,19.02,12.105
2014-02-26,19.0,19.41,18.94,19.1,14.863
2014-02-27,19.0,19.07,18.85,19.01,12.154
2014-02-28,19.03,19.04,18.79,18.96,14.746
2014-03-03,18.7,18.89,18.55,18.71,9.2
2014-03-04,18.96,19.02,18.65,18.84,11.363
2014-03-05,18.8,19.19,18.7,19.17,17.568
2014-03-06,19.18,19.38,19.11,19.38,13.37
2014-03-07,19.49,19.67,19.41,19.64,16.734
2014-03-10,19.71,19.71,19.27,19.38,11.603
2014-03-11,19.4,19.5,19.07,19.13,12.202
2014-03-12,19.1,19.52,18.92,19.51,10.189
2014-03-13,19.58,19.67,18.77,18.88,19.391
2014-03-14,18.82,18.97,18.71,18.72,13.072
2014-03-17,18.88,19.07,18.85,18.98,6.793
2014-03-18,18.98,19.39,18.89,19.37,10.686
2014-03-19,19.36,19.76,19.26,19.47,16.492
2014-03-20,19.46,20.2,19.38,20.19,27.536
2014-03-21,20.2,20.81,20.12,20.17,25.86
2014-03-24,20.45,20.46,19.79,20.1,15.1
2014-03-25,20.25,20.4,20.02,20.36,13.019
2014-03-26,20.45,20.63,19.86,19.86,16.214
2014-03-27,19.86,20.02,19.64,19.69,12.45
2014-03-28,19.75,20.29,19.69,20.18,12.616
2014-03-31,20.24,20.65,20.18,20.42,13.094
2014-04-01,20.37,20.64,20.24,20.62,16.01
2014-04-02,20.66,20.84,20.53,20.79,11.897
2014-04-03,20.85,21.16,20.73,20.84,19.373
2014-04-04,20.99,21.03,20.16,20.25,15.098
2014-04-07,20.22,20.25,19.88,20.03,10.206
2014-04-08,19.99,20.19,19.78,19.85,12.649
2014-04-09,19.97,20.04,19.77,19.99,9.54
2014-04-10,19.96,19.99,19.03,19.09,19.609
2014-04-11,19.05,19.48,18.85,19.12,12.163
2014-04-14,19.23,19.38,18.86,19.02,6.574
2014-04-15,19.07,19.15,18.3,18.86,28.433
2014-04-16,18.7,18.93,18.44,18.92,16.948
2014-04-17,18.89,19.07,18.7,18.99,10.239
2014-04-21,19.08,19.18,18.82,19.14,10.506
2014-04-22,19.03,19.54,19.03,19.36,11.168
2014-04-23,19.36,19.5,19.2,19.25,9.063
2014-04-24,19.45,19.59,19.19,19.37,11.861
2014-04-25,18.99,19.14,18.37,18.62,20.504
2014-04-28,18.75,18.89,18.27,18.67,11.939
2014-04-29,18.81,19.17,18.71,19.07,13.964
2014-04-30,18.95,19.08,18.69,19.06,17.912
2014-05-01,19.11,19.29,18.86,18.88,17.221
2014-05-02,18.91,19.11,18.84,18.96,10.285
2014-05-05,18.79,19.08,18.7,18.97,9.133
2014-05-06,18.89,19.09,18.77,18.86,10.169
2014-05-07,18.87,19.01,18.66,18.99,11.925
2014-05-08,18.8,19.63,18.76,19.32,21.343
2014-05-09,19.35,19.45,19.14,19.31,14.06
2014-05-12,19.43,19.58,19.34,19.47,13.121
2014-05-13,19.43,19.47,18.9,19.11,20.5
2014-05-14,19.08,19.15,18.89,18.95,14.985
2014-05-15,18.9,18.97,18.48,18.69,15.802
2014-05-16,19.4,20.29,19.4,20.21,38.231
2014-05-19,20.05,20.41,19.88,20.12,16.278
2014-05-20,19.97,20.14,19.66,19.87,13.315
2014-05-21,19.86,20.07,19.84,20.0,7.643
2014-05-22,19.94,20.19,19.86,19.89,9.347
2014-05-23,20.01,20.12,19.91,20.04,7.17
2014-05-27,20.18,20.58,19.95,20.58,20.049
2014-05-28,20.63,20.64,20.33,20.54,13.817
2014-05-29,20.58,20.58,20.24,20.28,16.088
2014-05-30,20.3,20.3,20.09,20.19,10.101
2014-06-02,19.99,20.53,19.97,20.52,10.808
2014-06-03,20.6,21.45,20.51,21.42,33.319
2014-06-04,21.46,21.92,21.31,21.56,22.877
2014-06-05,21.6,21.9,21.41,21.78,21.007
2014-06-06,21.91,21.91,21.65,21.82,7.831
2014-06-09,21.83,22.1,21.83,21.91,8.643
2014-06-10,21.89,21.91,21.74,21.89,9.403
2014-06-11,21.87,22.06,21.75,21.89,10.332
2014-06-12,21.8,22.01,21.59,21.75,10.858
2014-06-13,21.91,22.42,21.85,22.37,13.397
2014-06-16,22.35,22.54,22.19,22.35,7.918
2014-06-17,22.27,22.61,22.14,22.49,11.2
2014-06-18,22.52,22.52,22.13,22.37,13.137
