Date,Open,High,Low,Close,Volume
2014-01-02,52.43,52.52,51.9,52.09,0.57
2014-01-03,52.09,52.6,52.01,52.17,0.673
2014-01-06,52.6,52.73,51.69,51.88,0.659
2014-01-07,52.0,52.5,51.78,52.1,1.032
2014-01-08,52.14,52.25,51.64,51.98,0.944
2014-01-09,52.23,52.24,51.82,52.19,0.909
2014-01-10,52.25,52.55,51.88,52.53,0.594
2014-01-13,52.29,52.6,51.54,51.66,0.605
2014-01-14,51.74,52.25,51.4,52.24,0.781
2014-01-15,52.22,52.85,52.22,52.76,0.609
2014-01-16,52.69,53.16,52.52,52.6,0.817
2014-01-17,52.35,52.54,51.82,52.02,1.186
2014-01-21,52.36,52.49,51.57,52.12,1.039
2014-01-22,51.93,52.32,51.79,52.09,0.549
2014-01-23,51.84,51.93,51.11,51.37,0.725
2014-01-24,50.82,51.17,49.62,49.63,1.32
2014-01-27,49.88,50.1,49.36,49.39,1.466
2014-01-28,49.57,50.18,49.5,49.9,1.57
2014-01-29,50.46,50.66,48.59,49.74,2.043
2014-01-30,50.22,50.36,49.81,50.06,0.965
2014-01-31,49.52,49.84,49.27,49.42,0.841
2014-02-03,49.6,49.72,47.63,47.66,1.226
2014-02-04,47.78,48.29,47.39,48.09,1.453
2014-02-05,47.92,48.12,47.53,47.94,1.155
2014-02-06,48.01,48.9,48.01,48.75,0.835
2014-02-07,49.1,49.71,48.97,49.66,0.628
2014-02-10,49.63,49.74,49.12,49.44,0.717
2014-02-11,49.63,50.15,49.45,50.02,0.712
2014-02-12,50.22,50.84,50.12,50.72,0.781
2014-02-13,50.36,51.25,50.16,51.22,0.768
2014-02-14,51.16,51.42,50.92,51.38,0.615
2014-02-18,51.55,51.72,51.12,51.45,1.276
2014-02-19,51.35,51.95,51.35,51.61,1.329
2014-02-20,51.62,52.37,51.62,52.26,0.895
2014-02-21,52.29,52.72,52.18,52.35,1.102
2014-02-24,52.5,53.37,52.4,52.86,0.725
2014-02-25,52.79,53.47,52.72,52.89,0.786
2014-02-26,53.0,53.17,52.57,52.69,0.836
2014-02-27,52.67,53.03,52.57,53.0,0.75
2014-02-28,53.08,53.57,52.84,53.24,0.57
2014-03-03,52.77,52.96,52.18,52.61,0.55
2014-03-04,53.19,53.8,53.19,53.73,0.641
2014-03-05,53.81,53.99,53.57,53.62,0.611
2014-03-06,53.8,53.92,53.55,53.75,0.473
2014-03-07,53.93,54.4,53.77,54.15,0.716
2014-03-10,53.96,54.08,53.38,53.62,0.71
2014-03-11,53.66,53.76,52.75,52.97,0.516
2014-03-12,52.53,53.26,52.12,53.23,0.804
2014-03-13,53.48,53.68,52.49,52.73,0.899
2014-03-14,52.58,53.16,52.5,52.62,0.706
2014-03-17,53.01,53.71,52.97,53.65,0.516
2014-03-18,53.68,53.96,53.65,53.9,0.437
2014-03-19,53.91,53.96,52.6,53.02,0.745
2014-03-20,52.76,53.16,52.72,53.03,0.697
2014-03-21,53.51,53.78,52.9,52.92,1.425
2014-03-24,53.04,53.21,52.16,52.49,0.57
2014-03-25,52.82,53.14,52.41,52.68,0.951
2014-03-26,52.86,53.17,51.73,51.73,0.903
2014-03-27,51.59,51.82,51.18,51.32,0.729
2014-03-28,51.29,51.68,51.18,51.33,1.03
2014-03-31,51.76,51.89,51.21,51.49,1.42
2014-04-01,51.72,52.52,51.43,52.51,0.927
2014-04-02,52.51,53.09,52.49,52.84,0.732
2014-04-03,53.0,53.06,52.34,52.69,0.733
2014-04-04,53.0,53.0,51.39,51.4,0.829
2014-04-07,51.29,51.3,50.35,50.49,0.976
2014-04-08,50.45,50.97,50.06,50.63,1.097
2014-04-09,50.9,51.07,50.51,50.77,1.279
2014-04-10,50.81,51.16,49.65,49.7,0.981
2014-04-11,49.58,50.6,49.5,50.32,1.61
2014-04-14,50.89,51.23,50.08,50.56,1.056
2014-04-15,50.75,50.99,49.77,50.76,0.858
