Date,Open,High,Low,Close,Volume
2014-01-02,114.58,114.81,113.42,113.88,0.784
2014-01-03,113.86,114.84,113.41,113.9,0.98
2014-01-06,114.55,115.72,112.77,113.6,2.009
2014-01-07,113.82,115.11,113.63,114.57,1.572
2014-01-08,115.04,116.73,114.75,115.8,1.944
2014-01-09,116.24,116.82,115.15,115.51,1.924
2014-01-10,115.71,115.84,114.37,115.06,1.154
2014-01-13,114.93,115.33,112.89,113.18,1.203
2014-01-14,113.62,114.29,113.12,114.21,1.392
2014-01-15,114.39,114.66,113.7,114.36,1.238
2014-01-16,114.29,114.36,113.57,113.66,0.992
2014-01-17,113.48,114.26,113.0,113.37,1.155
2014-01-21,113.92,114.62,113.19,114.14,1.24
2014-01-22,114.51,114.95,113.75,114.77,1.008
2014-01-23,114.11,114.12,111.03,111.24,1.613
2014-01-24,110.18,110.9,106.7,106.79,1.53
2014-01-27,106.89,107.38,104.19,104.92,2.067
2014-01-28,105.68,106.72,105.27,106.54,1.722
2014-01-29,104.98,106.13,104.83,105.02,1.055
2014-01-30,105.93,107.02,105.81,106.43,0.805
2014-01-31,104.45,106.76,104.01,105.64,1.629
2014-02-03,105.65,105.97,101.29,101.47,1.872
2014-02-04,101.81,103.68,101.64,103.54,1.323
2014-02-05,106.32,108.8,103.07,103.43,2.293
2014-02-06,103.72,105.73,103.48,105.64,1.292
2014-02-07,106.13,107.71,105.4,107.61,1.879
2014-02-10,107.36,107.58,105.36,105.9,1.555
2014-02-11,105.59,107.28,105.36,107.21,1.38
2014-02-12,106.99,107.63,106.56,106.98,0.962
2014-02-13,106.15,107.53,105.77,107.33,0.955
2014-02-14,107.22,107.75,106.58,107.09,0.866
2014-02-18,107.94,108.77,107.5,107.99,0.987
2014-02-19,107.82,109.3,106.49,106.66,1.075
2014-02-20,106.72,107.07,105.49,106.2,1.21
2014-02-21,106.81,107.7,106.43,106.81,0.826
2014-02-24,106.5,109.23,106.36,108.28,1.09
2014-02-25,107.82,108.2,106.98,107.37,0.929
2014-02-26,107.64,107.98,106.44,106.62,1.074
2014-02-27,106.57,108.75,106.25,108.63,1.132
2014-02-28,108.4,110.09,108.1,108.99,1.182
2014-03-03,107.22,108.23,106.85,107.75,0.975
2014-03-04,109.41,110.63,109.15,110.28,1.314
2014-03-05,110.19,110.66,109.55,109.85,1.082
2014-03-06,110.37,111.51,110.17,110.84,1.098
2014-03-07,111.31,113.29,111.31,112.65,1.384
2014-03-10,112.37,112.73,111.48,112.05,0.815
2014-03-11,112.17,112.6,110.64,110.92,0.88
2014-03-12,109.87,110.92,109.5,110.9,1.076
2014-03-13,111.63,111.95,108.94,109.16,1.179
2014-03-14,108.97,109.7,108.08,108.25,1.032
2014-03-17,109.28,109.79,108.78,108.96,1.198
2014-03-18,109.02,109.89,108.94,109.3,0.747
