Date,Open,High,Low,Close,Volume
2014-01-02,79.51,79.74,78.85,79.45,1.701
2014-01-03,79.33,80.04,79.32,79.68,1.79
2014-01-06,79.86,80.28,79.39,80.19,2.427
2014-01-07,80.07,81.39,80.04,81.3,2.57
2014-01-08,81.36,82.28,80.93,81.94,2.469
2014-01-09,82.27,82.31,81.63,82.1,2.084
2014-01-10,82.38,82.87,82.22,82.64,2.094
2014-01-13,82.33,82.75,81.96,82.14,1.88
2014-01-14,82.52,82.77,82.18,82.66,1.957
2014-01-15,82.7,83.64,82.65,83.26,1.773
2014-01-16,83.29,83.63,82.65,83.27,1.302
2014-01-17,83.53,83.68,82.88,83.15,2.637
2014-01-21,83.47,83.94,82.98,83.63,1.584
2014-01-22,83.69,84.65,83.42,83.42,2.14
2014-01-23,83.17,84.14,82.61,83.28,3.797
2014-01-24,82.45,82.98,78.77,79.62,7.207
2014-01-27,79.76,80.56,78.6,79.25,2.615
2014-01-28,79.25,80.67,79.18,80.56,2.189
2014-01-29,80.01,80.13,79.14,79.56,2.991
2014-01-30,80.03,81.8,80.03,81.18,2.179
2014-01-31,80.49,81.43,80.02,80.88,2.398
2014-02-03,80.74,81.01,78.67,78.83,3.04
2014-02-04,79.16,79.49,78.38,79.14,2.202
2014-02-05,78.95,79.63,78.8,79.01,1.455
2014-02-06,79.22,79.79,78.83,79.76,1.931
2014-02-07,80.1,80.7,79.39,80.38,2.222
2014-02-10,80.48,81.59,80.4,81.52,2.134
2014-02-11,81.55,82.0,80.98,81.92,1.372
2014-02-12,81.82,81.93,81.03,81.79,1.11
2014-02-13,81.31,82.91,81.16,82.49,1.485
2014-02-14,82.57,83.35,82.52,83.2,1.088
2014-02-18,83.3,83.56,82.62,83.53,1.67
2014-02-19,83.32,84.35,83.32,83.75,1.827
2014-02-20,83.63,84.58,83.12,84.51,1.829
2014-02-21,84.51,84.9,83.93,84.05,2.852
2014-02-24,84.06,84.52,82.92,82.98,3.106
2014-02-25,83.7,83.7,79.76,80.16,5.612
2014-02-26,80.56,81.41,80.08,80.83,2.996
2014-02-27,80.88,81.58,80.86,81.46,2.252
2014-02-28,81.48,81.65,80.73,81.47,2.651
2014-03-03,81.08,81.54,80.71,81.46,1.735
2014-03-04,81.92,82.03,81.29,81.54,2.593
2014-03-05,81.55,81.56,80.33,80.8,2.809
2014-03-06,80.98,82.43,80.9,81.92,2.184
2014-03-07,81.92,81.92,80.29,81.31,1.809
2014-03-10,81.09,81.49,80.48,81.18,1.294
2014-03-11,81.06,81.86,80.81,81.7,1.55
2014-03-12,81.25,81.54,80.52,80.84,2.458
2014-03-13,81.01,81.24,80.27,80.35,2.444
2014-03-14,80.11,81.06,80.05,80.39,1.696
2014-03-17,80.78,81.99,80.78,81.74,2.481
2014-03-18,81.8,82.29,81.5,81.8,1.464
2014-03-19,81.86,82.99,80.3,80.68,1.997
2014-03-20,80.55,81.27,80.11,81.23,1.816
2014-03-21,81.84,81.93,80.77,81.07,3.506
2014-03-24,81.43,81.86,80.17,80.9,2.143
2014-03-25,81.59,81.85,81.02,81.71,1.988
2014-03-26,81.86,82.42,80.74,80.81,2.478
2014-03-27,80.7,81.08,80.01,80.67,1.89
2014-03-28,80.98,82.62,80.91,82.13,2.468
2014-03-31,82.57,82.99,81.68,81.87,1.959
2014-04-01,81.98,82.09,80.9,81.61,2.415
2014-04-02,81.5,82.33,81.13,81.27,2.162
2014-04-03,81.35,81.62,80.7,81.25,1.527
2014-04-04,81.71,81.75,80.1,80.73,2.884
2014-04-07,80.8,81.77,80.61,80.67,3.475
2014-04-08,80.68,81.68,80.17,81.5,2.991
2014-04-09,81.65,82.0,80.91,81.87,1.974
2014-04-10,81.85,82.34,81.23,81.55,2.492
2014-04-11,81.24,81.55,80.54,80.55,2.284
2014-04-14,81.0,81.66,80.61,81.31,1.63
2014-04-15,81.3,81.86,80.86,81.68,1.714
2014-04-16,82.27,82.5,81.94,82.38,1.609
2014-04-17,82.49,83.13,82.32,82.65,1.826
2014-04-21,82.89,83.09,82.31,83.09,1.473
2014-04-22,83.04,84.13,82.86,83.93,2.176
2014-04-23,83.66,84.1,83.18,84.03,1.478
2014-04-24,84.25,84.27,83.08,83.56,4.173
2014-04-25,83.31,83.59,82.93,83.08,1.064
2014-04-28,83.34,83.8,82.81,83.46,1.639
2014-04-29,83.69,83.83,82.89,83.0,1.664
2014-04-30,83.07,83.77,82.95,83.52,2.238
2014-05-01,84.05,86.52,83.7,86.23,3.442
2014-05-02,86.07,88.0,85.95,87.0,2.788
2014-05-05,86.74,88.82,86.62,88.4,2.769
2014-05-06,87.54,87.7,87.14,87.2,2.792
2014-05-07,88.33,88.88,87.59,88.35,2.843
