Date,Open,High,Low,Close,Volume
2014-01-02,19.94,19.97,19.7,19.9,42.756
2014-01-03,19.91,20.14,19.81,19.82,44.204
2014-01-06,19.79,19.85,19.42,19.68,63.412
2014-01-07,19.75,19.92,19.71,19.9,38.32
2014-01-08,19.92,20.15,19.8,20.1,46.33
2014-01-09,20.19,20.34,19.92,20.05,42.06
2014-01-10,20.13,20.19,19.69,19.88,53.59
2014-01-13,19.9,19.99,19.42,19.55,56.898
2014-01-14,19.61,19.93,19.56,19.88,46.802
2014-01-15,19.95,19.97,19.63,19.79,53.566
2014-01-16,19.68,19.96,19.47,19.79,52.024
2014-01-17,19.71,20.17,19.68,19.98,90.102
2014-01-21,20.15,20.39,20.08,20.35,62.442
2014-01-22,20.4,20.4,20.1,20.23,41.21
2014-01-23,20.05,20.31,19.89,19.99,60.508
2014-01-24,19.91,20.01,19.36,19.38,89.168
2014-01-27,19.52,19.7,19.02,19.31,78.736
2014-01-28,19.37,19.74,19.36,19.72,57.89
2014-01-29,19.61,19.64,19.16,19.21,67.646
2014-01-30,19.69,20.31,19.39,20.15,209.478
2014-01-31,18.59,18.77,17.89,17.93,323.096
2014-02-03,17.95,18.04,17.0,17.31,205.616
2014-02-04,17.48,17.7,17.2,17.4,96.258
2014-02-05,17.3,17.47,16.89,17.32,88.708
2014-02-06,17.37,17.74,17.37,17.73,66.714
2014-02-07,17.95,18.09,17.62,18.05,86.61
2014-02-10,18.08,18.25,17.97,18.04,68.994
2014-02-11,18.09,18.18,17.81,18.09,64.442
2014-02-12,17.82,17.89,17.32,17.46,131.754
2014-02-13,17.39,17.86,17.33,17.86,83.5
2014-02-14,17.97,17.97,17.67,17.87,70.404
2014-02-18,17.76,17.79,17.47,17.68,99.96
2014-02-19,17.63,17.73,17.31,17.37,83.362
2014-02-20,17.44,17.52,17.22,17.49,69.856
2014-02-21,17.62,17.71,17.34,17.34,84.2
2014-02-24,17.26,17.65,17.16,17.59,72.894
2014-02-25,17.65,18.05,17.58,17.92,74.728
2014-02-26,17.99,18.24,17.86,17.99,72.442
2014-02-27,17.86,18.03,17.77,18.01,62.098
2014-02-28,18.03,18.29,17.85,18.1,77.64
2014-03-03,17.94,18.05,17.72,17.99,55.966
2014-03-04,18.19,18.28,18.12,18.19,54.088
2014-03-05,18.21,18.64,18.19,18.62,76.966
2014-03-06,18.7,18.77,18.44,18.61,58.532
2014-03-07,18.73,18.75,18.48,18.6,45.596
2014-03-10,18.63,18.64,18.35,18.53,42.116
2014-03-11,18.55,18.64,18.36,18.44,44.922
2014-03-12,18.32,18.56,18.18,18.53,44.332
2014-03-13,18.83,19.16,18.4,18.58,136.58
2014-03-14,18.64,18.93,18.58,18.69,88.044
2014-03-17,18.79,18.94,18.74,18.75,46.06
2014-03-18,18.87,18.95,18.75,18.94,49.67
2014-03-19,18.94,18.95,18.47,18.66,52.934
2014-03-20,18.53,18.65,18.31,18.45,51.17
2014-03-21,18.55,18.64,17.92,18.03,108.282
2014-03-24,18.0,18.08,17.43,17.59,97.47
2014-03-25,17.7,17.95,17.44,17.74,88.914
2014-03-26,17.86,17.88,17.17,17.17,82.414
2014-03-27,17.16,17.2,16.54,16.92,115.328
2014-03-28,17.0,17.35,16.8,16.91,79.736
2014-03-31,17.12,17.31,16.7,16.82,85.95
2014-04-01,16.9,17.22,16.9,17.15,72.002
2014-04-02,17.3,17.42,17.02,17.1,89.51
2014-04-03,17.09,17.12,16.42,16.68,127.986
2014-04-04,16.76,16.77,15.78,16.15,250.692
2014-04-07,16.05,16.25,15.66,15.89,141.548
2014-04-08,16.09,16.4,15.92,16.35,131.552
2014-04-09,16.42,16.61,16.12,16.59,101.132
2014-04-10,16.53,16.55,15.82,15.86,122.534
2014-04-11,15.7,15.82,15.48,15.59,145.75
2014-04-14,15.88,16.02,15.56,15.8,85.87
2014-04-15,15.84,15.91,15.27,15.8,107.972
2014-04-16,16.06,16.2,15.74,16.18,85.698
2014-04-17,15.99,16.43,15.99,16.25,85.984
2014-04-21,16.2,16.56,16.12,16.54,59.988
2014-04-22,16.6,16.88,16.45,16.47,74.232
2014-04-23,16.65,16.66,16.17,16.23,72.092
2014-04-24,16.48,16.87,16.15,16.86,185.874
2014-04-25,15.81,15.82,15.14,15.19,323.604
2014-04-28,15.2,15.22,14.4,14.83,289.596
2014-04-29,14.82,15.09,14.52,15.02,130.186
2014-04-30,14.9,15.23,14.9,15.21,81.772
2014-05-01,15.21,15.52,15.2,15.39,86.572
2014-05-02,15.52,15.66,15.22,15.4,79.902
2014-05-05,15.32,15.51,15.25,15.5,50.398
2014-05-06,15.48,15.49,14.85,14.87,93.646
2014-05-07,14.78,14.82,14.33,14.64,140.304
2014-05-08,14.54,14.79,14.36,14.42,76.964
2014-05-09,14.53,14.68,14.22,14.61,81.26
2014-05-12,14.72,15.17,14.71,15.14,74.592
2014-05-13,15.13,15.28,15.04,15.23,70.198
2014-05-14,15.12,15.23,14.83,14.88,66.466
2014-05-15,14.9,14.96,14.52,14.76,85.902
2014-05-16,14.64,14.94,14.58,14.89,72.736
2014-05-19,14.79,14.95,14.69,14.84,45.684
2014-05-20,14.85,15.22,14.84,15.06,81.914
2014-05-21,15.11,15.3,15.08,15.25,68.176
2014-05-22,15.25,15.43,15.15,15.25,51.536
2014-05-23,15.27,15.62,15.24,15.61,61.058
2014-05-27,15.72,15.73,15.37,15.54,97.242
2014-05-28,15.48,15.69,15.37,15.51,54.52
2014-05-29,15.52,15.74,15.51,15.69,47.31
2014-05-30,15.72,15.73,15.38,15.63,85.204
2014-06-02,15.63,15.63,15.35,15.44,44.068
2014-06-03,15.29,15.4,15.25,15.36,47.584
2014-06-04,15.34,15.48,15.19,15.34,42.142
2014-06-05,15.4,16.4,15.35,16.18,155.934
2014-06-06,16.25,16.54,16.25,16.48,104.88
2014-06-09,16.58,16.65,16.28,16.38,64.244
2014-06-10,16.38,16.77,16.38,16.62,73.268
2014-06-11,16.8,17.04,16.69,16.76,88.736
2014-06-12,16.78,16.78,16.23,16.3,85.526
2014-06-13,16.35,16.47,16.18,16.31,55.296
2014-06-16,16.24,16.43,16.18,16.38,48.996
2014-06-17,16.38,16.57,16.26,16.28,58.482
2014-06-18,16.4,16.79,16.25,16.72,128.03
2014-06-19,16.76,16.94,16.3,16.35,106.412
2014-06-20,16.39,16.41,16.02,16.21,121.08
2014-06-23,16.17,16.38,16.07,16.36,52.096
2014-06-24,16.38,16.49,16.14,16.21,52.532
2014-06-25,16.22,16.41,16.09,16.37,46.556
2014-06-26,16.42,16.43,16.11,16.28,53.99
2014-06-27,16.29,16.33,16.16,16.23,48.324
2014-06-30,16.25,16.35,16.11,16.24,53.426
2014-07-01,16.29,16.66,16.25,16.62,63.472
2014-07-02,16.66,16.84,16.58,16.64,53.626
2014-07-03,16.74,16.92,16.65,16.87,38.886
