Date,Open,High,Low,Close,Volume
2014-01-02,85.82,85.97,85.16,85.48,2.565
2014-01-03,85.8,86.73,85.38,85.54,2.259
2014-01-06,85.76,86.47,85.12,86.31,2.316
2014-01-07,86.42,87.91,86.13,87.9,2.812
2014-01-08,87.56,87.58,86.36,86.65,2.713
2014-01-09,86.49,87.0,85.43,86.09,2.142
2014-01-10,85.95,86.46,85.64,86.2,2.389
2014-01-13,85.95,86.41,84.06,84.29,2.584
2014-01-14,84.5,85.82,84.5,85.69,3.454
2014-01-15,85.85,86.04,84.26,84.44,2.97
2014-01-16,84.25,85.95,83.75,85.9,3.188
2014-01-17,85.9,85.9,84.28,84.31,2.859
2014-01-21,84.78,85.23,84.31,84.49,2.091
2014-01-22,84.76,85.22,83.36,84.53,2.445
2014-01-23,84.17,84.74,83.23,83.59,2.154
2014-01-24,83.4,83.55,82.13,82.42,3.191
2014-01-27,81.93,82.0,80.62,81.18,3.541
2014-01-28,81.02,82.63,81.0,81.99,2.213
2014-01-29,81.33,81.91,80.8,81.02,2.01
2014-01-30,81.69,81.7,80.67,81.28,1.453
2014-01-31,80.3,80.95,79.84,80.26,2.426
2014-02-03,80.26,80.63,78.69,78.73,3.194
2014-02-04,79.24,79.55,78.46,78.5,3.155
2014-02-05,78.69,78.83,77.31,78.02,3.694
2014-02-06,78.33,80.09,78.29,79.92,2.432
2014-02-07,80.46,81.62,80.26,81.4,3.512
2014-02-10,81.46,81.59,80.28,80.75,2.164
2014-02-11,80.08,81.8,79.18,81.38,2.874
2014-02-12,81.78,81.98,81.1,81.28,2.318
2014-02-13,79.53,81.17,78.53,80.96,5.583
2014-02-14,81.15,83.82,81.05,83.39,4.384
2014-02-18,83.42,83.76,82.53,83.32,3.365
2014-02-19,83.26,85.29,82.81,84.07,3.749
2014-02-20,84.17,84.58,83.74,84.36,2.835
2014-02-21,84.91,85.95,84.53,84.56,3.571
2014-02-24,85.01,85.83,84.25,84.33,3.861
2014-02-25,84.06,84.06,82.24,83.09,3.983
2014-02-26,83.01,83.1,79.78,79.82,6.76
2014-02-27,79.61,79.85,79.08,79.59,4.271
2014-02-28,79.71,80.14,79.05,79.29,5.019
2014-03-03,79.0,80.78,78.98,79.86,4.065
2014-03-04,80.24,80.77,79.51,80.48,3.578
2014-03-05,80.17,80.37,78.83,79.01,3.976
2014-03-06,79.04,79.85,78.76,79.52,3.458
2014-03-07,79.98,80.26,79.6,80.05,2.126
2014-03-10,79.85,80.61,79.55,80.5,2.782
2014-03-11,80.49,81.26,79.36,79.55,2.188
2014-03-12,78.94,79.67,78.7,79.19,2.445
2014-03-13,79.22,79.58,78.58,78.99,2.52
2014-03-14,79.03,79.36,78.4,79.23,2.449
2014-03-17,79.5,79.76,79.0,79.37,1.569
2014-03-18,79.35,80.48,79.23,80.04,2.448
2014-03-19,80.16,80.24,79.0,79.33,1.946
2014-03-20,79.33,80.21,78.84,80.05,1.806
2014-03-21,80.66,81.39,80.29,80.71,4.36
2014-03-24,80.89,81.39,80.63,80.77,2.204
2014-03-25,81.32,81.99,81.21,81.93,3.133
2014-03-26,82.24,82.49,81.39,81.46,2.575
2014-03-27,81.58,82.48,81.17,82.08,2.516
2014-03-28,82.33,83.36,82.04,83.02,3.21
2014-03-31,83.84,83.9,82.4,82.95,2.507
2014-04-01,82.79,83.82,82.7,83.76,3.551
2014-04-02,83.47,84.48,83.27,84.23,2.001
2014-04-03,84.31,85.41,84.2,85.36,2.835
2014-04-04,85.85,86.32,85.16,85.47,3.032
2014-04-07,85.0,85.19,83.83,84.09,3.07
2014-04-08,84.43,85.5,84.0,85.18,2.978
2014-04-09,84.63,84.75,82.59,83.65,4.315
2014-04-10,83.24,84.08,82.72,82.72,3.385
2014-04-11,82.43,83.11,81.9,82.09,2.919
2014-04-14,82.92,83.0,81.87,82.57,3.018
2014-04-15,82.65,83.81,82.24,83.33,3.774
2014-04-16,84.09,84.69,83.16,84.17,3.401
2014-04-17,83.97,85.19,83.74,85.11,4.798
2014-04-21,85.0,85.82,84.75,85.8,3.19
2014-04-22,85.38,86.4,84.78,86.2,3.001
2014-04-23,86.14,88.32,86.1,87.58,5.507
2014-04-24,87.79,88.39,87.38,87.96,2.631
2014-04-25,87.46,87.87,86.43,87.28,3.53
2014-04-28,87.37,87.55,86.09,86.81,2.862
2014-04-29,87.5,88.69,87.47,87.83,2.487
2014-04-30,87.25,87.44,86.45,86.8,3.681
2014-05-01,86.77,87.23,86.36,87.04,3.636
2014-05-02,87.0,87.82,86.77,86.96,1.834
2014-05-05,86.53,87.25,86.33,86.96,2.573
2014-05-06,87.02,87.59,86.42,86.42,3.548
2014-05-07,87.05,88.13,86.57,87.76,3.872
2014-05-08,88.58,89.97,86.83,88.03,3.996
2014-05-09,88.5,89.59,87.84,88.89,4.973
2014-05-12,89.2,90.1,88.9,90.04,3.362
2014-05-13,90.31,90.69,89.81,90.02,2.214
2014-05-14,90.05,90.32,89.79,89.87,2.701
2014-05-15,89.86,89.86,88.18,88.92,3.45
2014-05-16,88.84,89.15,88.0,88.78,4.01
2014-05-19,88.34,89.85,88.21,89.33,3.649
2014-05-20,89.0,90.3,88.95,89.73,2.314
2014-05-21,90.04,90.38,89.44,90.29,1.74
2014-05-22,90.26,90.8,89.86,90.34,2.098
2014-05-23,90.33,90.61,90.06,90.18,3.204
2014-05-27,90.36,90.79,89.77,90.36,1.93
2014-05-28,90.62,91.96,90.62,91.76,4.467
2014-05-29,91.95,93.24,91.72,93.06,4.41
2014-05-30,92.59,93.4,92.22,93.22,3.762
2014-06-02,93.09,93.33,92.43,92.64,1.866
2014-06-03,92.19,92.52,91.53,92.0,3.466
2014-06-04,91.93,92.86,91.93,92.5,2.19
2014-06-05,92.68,93.36,92.31,93.17,1.914
2014-06-06,92.85,94.79,92.75,94.31,4.11
2014-06-09,94.29,95.61,93.89,94.65,4.059
2014-06-10,94.46,95.17,94.16,95.05,2.533
2014-06-11,94.68,95.6,94.51,95.41,2.331
2014-06-12,95.78,97.15,95.75,96.31,3.205
2014-06-13,96.87,97.74,96.51,97.66,2.778
2014-06-16,97.9,98.27,97.52,98.2,2.466
2014-06-17,97.74,98.26,97.32,98.0,3.183
2014-06-18,98.04,99.72,97.9,99.6,3.067
2014-06-19,99.13,100.4,98.98,100.02,3.091
2014-06-20,100.19,100.84,99.73,100.69,4.328
2014-06-23,101.48,102.34,101.0,101.6,3.985
2014-06-24,101.62,101.72,98.51,98.85,3.273
2014-06-25,99.1,99.55,98.19,99.38,3.206
2014-06-26,99.61,99.7,98.72,99.69,1.948
2014-06-27,99.47,99.85,98.96,99.76,2.012
2014-06-30,99.81,101.98,99.69,100.62,3.728
2014-07-01,100.95,101.44,100.14,100.51,1.955
2014-07-02,100.0,100.5,99.4,99.85,2.02
2014-07-03,99.85,100.22,99.4,100.03,1.086
2014-07-07,100.46,100.46,98.83,99.05,1.945
2014-07-08,98.59,99.43,98.29,98.46,2.622
2014-07-09,98.5,99.75,98.47,99.65,1.953
2014-07-10,98.42,99.62,97.88,99.22,2.203
2014-07-11,98.72,99.09,97.37,97.4,2.192
2014-07-14,97.93,98.91,97.92,98.55,1.949
2014-07-15,97.99,98.8,97.32,97.94,2.603
2014-07-16,98.5,99.9,98.46,99.87,2.526
2014-07-17,100.0,101.5,98.81,98.91,2.913
2014-07-18,99.04,99.24,98.2,98.58,2.144
2014-07-21,98.42,98.69,97.81,98.56,1.442
2014-07-22,103.72,104.0,102.22,103.12,5.865
2014-07-23,102.98,103.51,101.47,103.48,3.97
2014-07-24,103.36,103.37,102.38,102.6,3.708
2014-07-25,102.24,103.44,101.16,101.85,1.317
2014-07-28,101.39,101.94,100.64,101.27,1.803
2014-07-29,100.99,101.96,100.71,101.32,1.935
2014-07-30,102.19,102.65,100.75,101.29,2.321
2014-07-31,103.08,104.57,101.9,102.66,6.19
2014-08-01,102.35,102.69,99.75,100.32,4.28
2014-08-04,99.88,102.6,99.7,102.29,3.957
2014-08-05,101.71,101.71,98.45,99.38,4.065
2014-08-06,98.91,101.67,98.88,99.95,2.387
2014-08-07,100.44,100.66,97.91,98.57,2.903
2014-08-08,98.99,100.7,98.64,100.38,1.895
2014-08-11,100.4,101.11,99.71,99.87,1.888
2014-08-12,99.58,99.86,98.0,98.47,2.691
2014-08-13,98.79,100.0,98.29,98.6,2.302
2014-08-14,99.05,99.34,97.68,97.94,2.862
2014-08-15,98.44,99.11,97.87,98.68,3.568
2014-08-18,99.31,99.87,97.6,98.5,2.694
2014-08-19,98.83,99.89,98.83,99.27,2.442
2014-08-20,99.34,100.47,98.65,100.34,2.447
2014-08-21,100.02,101.42,99.56,101.13,1.884
2014-08-22,100.95,100.95,99.71,99.82,1.657
2014-08-25,100.12,101.66,100.03,101.43,1.758
2014-08-26,101.5,102.55,101.41,101.55,2.037
2014-08-27,101.66,102.29,101.02,101.53,1.643
2014-08-28,101.45,101.87,101.04,101.37,2.164
2014-08-29,100.81,102.03,100.81,101.83,3.026
2014-09-02,101.82,101.91,99.56,100.16,2.35
2014-09-03,101.33,102.0,100.26,100.36,2.138
2014-09-04,100.21,100.87,98.1,98.76,2.218
2014-09-05,98.26,99.7,98.26,99.53,2.535
2014-09-08,98.8,98.86,97.35,97.93,2.199
2014-09-09,97.9,98.59,96.64,97.11,2.749
2014-09-10,96.74,97.36,95.91,97.28,2.609
2014-09-11,96.1,97.67,95.81,97.63,2.088
2014-09-12,97.25,97.5,96.08,96.24,1.622
2014-09-15,95.92,97.32,95.22,97.12,1.859
2014-09-16,97.27,98.75,97.13,97.82,2.295
2014-09-17,98.27,98.57,97.33,97.5,3.595
2014-09-18,97.88,98.27,96.54,97.01,1.909
2014-09-19,97.55,97.97,96.51,96.51,2.566
2014-09-22,96.09,96.42,94.25,94.52,2.598
2014-09-23,94.47,95.97,94.3,95.06,1.648
2014-09-24,94.39,95.53,92.9,94.85,2.817
2014-09-25,95.03,95.14,93.31,93.31,1.893
2014-09-26,93.36,95.17,92.95,94.62,1.508
2014-09-29,93.33,94.92,92.98,94.68,1.824
2014-09-30,94.41,94.67,92.84,93.87,3.647
2014-10-01,93.59,93.87,90.77,91.05,4.988
2014-10-02,90.06,90.13,87.68,88.74,5.087
2014-10-03,88.77,89.06,86.77,86.95,4.517
2014-10-06,87.41,87.41,85.76,86.19,6.632
2014-10-07,85.46,86.55,84.15,84.21,3.126
2014-10-08,83.77,85.46,82.97,85.43,3.927
2014-10-09,84.8,85.19,81.79,81.88,3.215
2014-10-10,81.48,82.14,79.31,79.91,4.893
2014-10-13,79.9,80.72,75.83,75.93,5.008
2014-10-14,76.41,77.27,74.14,74.4,4.404
2014-10-15,72.51,72.89,69.28,72.67,10.105
2014-10-16,70.83,74.53,70.66,73.23,6.223
2014-10-17,74.4,75.31,72.72,72.85,6.392
2014-10-20,73.05,73.32,71.76,72.93,4.548
2014-10-21,73.61,75.65,73.54,75.53,4.279
2014-10-22,75.48,76.27,73.82,73.87,3.858
2014-10-23,74.81,76.87,74.63,76.08,4.557
2014-10-24,75.84,76.11,74.59,75.81,2.238
2014-10-27,74.52,74.52,72.47,73.05,4.163
2014-10-28,73.57,75.69,72.9,75.24,4.256
2014-10-29,75.96,77.23,75.69,76.39,3.289
2014-10-30,75.35,76.4,74.59,75.81,2.754
2014-10-31,75.89,77.28,74.59,77.2,3.614
2014-11-03,78.02,78.65,76.16,76.4,5.192
2014-11-04,75.42,76.0,73.58,74.21,5.463
2014-11-05,75.66,76.16,74.27,75.56,3.965
2014-11-06,73.98,75.48,72.74,75.44,4.764
2014-11-07,75.8,76.7,75.16,76.52,4.094
2014-11-10,77.17,77.57,74.56,75.1,3.84
2014-11-11,75.39,75.72,74.11,75.41,2.557
2014-11-12,74.99,75.36,73.65,73.7,2.73
2014-11-13,73.3,73.57,70.94,72.07,4.142
2014-11-14,72.31,73.64,71.55,73.35,4.154
2014-11-17,73.0,73.02,71.59,72.09,4.766
2014-11-18,71.79,72.68,71.21,72.07,3.275
2014-11-19,72.4,72.4,71.41,72.05,4.645
2014-11-20,72.24,74.39,71.92,74.24,4.668
2014-11-21,75.8,76.31,74.73,75.7,4.971
2014-11-24,75.45,75.93,74.44,75.81,5.174
2014-11-25,76.0,76.15,73.2,73.36,3.869
2014-11-26,73.09,73.22,71.95,72.24,2.976
2014-11-28,68.34,68.39,63.73,64.09,5.685
2014-12-01,63.41,63.93,62.0,63.81,7.309
2014-12-02,62.64,64.41,62.64,63.11,7.967
2014-12-03,63.59,65.58,63.12,64.3,6.206
2014-12-04,63.36,64.19,62.78,63.25,5.597
2014-12-05,62.49,62.86,60.12,61.64,7.447
2014-12-08,60.86,60.9,57.3,57.43,7.955
2014-12-09,57.1,59.32,56.66,58.84,8.809
2014-12-10,57.42,58.62,56.8,57.78,10.394
2014-12-11,57.57,58.94,56.86,57.04,5.949
2014-12-12,56.1,57.97,55.8,56.44,8.017
2014-12-15,57.01,57.46,55.08,55.2,9.217
2014-12-16,54.34,59.09,54.34,56.71,6.711
2014-12-17,57.14,61.14,56.98,60.2,6.59
2014-12-18,62.32,62.6,59.56,62.15,7.964
2014-12-19,62.88,64.92,62.23,64.82,6.797
2014-12-22,63.69,64.35,62.64,63.74,5.468
2014-12-23,64.4,65.72,64.12,65.43,3.66
2014-12-24,64.62,64.64,62.9,64.05,2.01
2014-12-26,64.63,64.96,63.52,63.96,1.683
2014-12-29,64.46,64.95,63.25,63.64,3.403
2014-12-30,63.31,63.73,62.38,62.97,2.522
2014-12-31,62.33,63.46,61.35,62.67,3.146
2015-01-02,62.18,64.26,61.51,63.83,3.364
2015-01-05,62.17,62.51,59.6,59.91,4.813
2015-01-06,59.74,61.23,58.73,59.26,4.549
2015-01-07,60.31,60.42,57.91,58.6,4.612
2015-01-08,59.39,61.4,58.71,60.87,3.656
2015-01-09,61.33,61.39,59.81,60.69,3.585
2015-01-12,59.6,59.6,57.77,58.46,4.841
2015-01-13,58.63,59.32,57.9,58.46,4.046
2015-01-14,57.46,59.68,57.44,59.53,4.503
2015-01-15,61.02,61.2,59.56,60.0,5.434
2015-01-16,60.6,62.6,60.31,62.25,4.769
2015-01-20,61.0,61.2,59.17,60.16,4.361
2015-01-21,60.88,62.63,60.27,62.32,2.716
2015-01-22,62.69,63.77,61.41,63.76,4.532
2015-01-23,63.44,65.15,62.81,62.88,5.481
2015-01-26,63.44,64.86,62.41,64.47,3.501
2015-01-27,64.0,65.32,63.41,64.59,3.329
2015-01-28,64.04,64.04,60.93,61.12,5.693
2015-01-29,61.72,61.99,59.73,61.23,4.088
2015-01-30,60.3,63.07,59.86,62.57,5.588
2015-02-02,64.03,66.23,63.68,66.23,4.332
2015-02-03,67.39,68.43,67.05,68.06,5.681
2015-02-04,66.68,68.24,66.01,67.31,6.045
2015-02-05,68.01,69.07,67.59,68.37,3.798
2015-02-06,68.63,68.82,67.36,68.33,5.016
2015-02-09,68.7,69.02,67.18,67.22,4.41
2015-02-10,66.9,66.9,64.03,66.25,7.653
2015-02-11,64.75,65.01,63.2,64.75,6.324
2015-02-12,65.98,67.57,63.82,64.58,7.348
2015-02-13,65.86,67.09,65.16,67.05,5.851
2015-02-17,66.5,66.84,65.5,66.79,4.555
2015-02-18,65.8,67.23,65.43,65.75,6.854
2015-02-19,63.53,66.79,63.23,66.63,5.818
2015-02-20,66.68,67.25,65.81,66.22,4.509
2015-02-23,65.27,66.44,64.84,66.22,4.102
2015-02-24,66.91,67.42,66.4,66.91,2.786
2015-02-25,67.05,68.0,66.48,67.83,2.746
2015-02-26,67.19,67.19,65.27,65.74,3.953
2015-02-27,66.0,66.31,65.42,65.84,4.08
2015-03-02,65.46,65.86,64.54,65.79,3.883
2015-03-03,66.1,67.3,65.89,66.72,3.388
2015-03-04,66.54,66.78,65.5,66.53,2.987
2015-03-05,66.66,66.66,65.15,65.43,3.79
2015-03-06,64.71,65.45,62.69,63.13,6.165
2015-03-09,63.03,63.21,61.4,61.41,3.259
2015-03-10,60.52,61.27,60.15,60.15,3.294
2015-03-11,60.19,61.46,59.83,61.16,3.452
2015-03-12,61.53,61.55,60.07,60.17,3.322
2015-03-13,59.46,59.52,58.2,59.36,3.566
2015-03-16,58.75,67.0,57.57,59.83,3.818
2015-03-17,59.52,59.76,58.65,59.09,2.412
2015-03-18,58.65,61.93,58.18,61.5,3.217
2015-03-19,60.1,60.63,59.38,59.88,2.816
2015-03-20,60.16,61.2,59.55,59.55,6.724
2015-03-23,59.57,60.44,58.67,58.68,3.309
2015-03-24,58.91,59.25,58.21,59.03,3.565
2015-03-25,59.64,60.26,58.88,59.83,3.069
2015-03-26,60.98,61.4,59.58,59.81,3.517
2015-03-27,59.3,60.05,58.88,59.41,3.374
2015-03-30,60.3,61.18,59.97,60.83,3.16
2015-03-31,59.86,60.82,59.75,60.33,2.741
2015-04-01,60.93,61.61,60.54,60.63,2.449
2015-04-02,60.23,61.59,60.14,61.44,2.276
2015-04-06,61.85,65.0,61.6,64.84,4.578
2015-04-07,64.76,66.58,64.35,65.44,4.025
2015-04-08,65.98,66.59,64.86,65.25,4.311
2015-04-09,65.47,67.0,65.41,66.47,3.849
2015-04-10,66.8,68.17,66.61,67.84,3.526
2015-04-13,68.03,68.28,67.02,67.51,3.271
2015-04-14,68.0,69.95,67.98,69.81,3.334
2015-04-15,70.09,71.87,70.0,71.4,4.533
2015-04-16,70.86,71.77,70.33,70.81,3.321
2015-04-17,70.22,70.82,69.69,70.38,2.8
2015-04-20,70.4,71.58,70.26,70.67,2.366
2015-04-21,70.67,70.8,68.22,68.37,2.402
