Date,Open,High,Low,Close,Volume
2014-01-02,22.18,22.2,21.86,21.93,1.767
2014-01-03,21.94,22.08,21.91,22.01,1.534
2014-01-06,22.11,22.11,21.79,21.81,1.568
2014-01-07,21.91,22.09,21.83,21.96,1.22
2014-01-08,21.96,22.17,21.91,22.08,1.708
2014-01-09,22.14,22.36,22.11,22.35,2.124
2014-01-10,22.3,22.5,22.13,22.33,1.538
2014-01-13,22.28,22.66,22.19,22.3,3.017
2014-01-14,22.43,23.1,22.43,23.1,3.46
2014-01-15,23.02,23.07,22.8,23.01,2.813
2014-01-16,23.01,23.02,22.83,22.97,1.455
2014-01-17,23.01,23.07,22.9,23.02,1.891
2014-01-21,23.02,23.1,22.66,22.76,4.244
2014-01-22,22.76,23.1,22.46,22.77,3.378
2014-01-23,22.66,22.75,22.08,22.12,3.32
2014-01-24,22.08,22.08,21.47,21.47,2.703
2014-01-27,21.48,21.58,21.33,21.33,3.573
2014-01-28,21.38,21.58,21.37,21.52,4.391
2014-01-29,21.27,21.5,21.25,21.41,4.634
2014-01-30,21.52,21.74,21.46,21.67,3.106
2014-01-31,21.38,21.8,21.34,21.72,3.19
2014-02-03,21.7,21.73,21.15,21.17,4.012
2014-02-04,21.18,21.28,21.03,21.24,2.769
2014-02-05,21.15,21.4,21.1,21.33,2.198
2014-02-06,21.29,21.76,21.29,21.67,2.506
2014-02-07,21.72,21.86,21.61,21.84,2.2
2014-02-10,21.82,21.87,21.61,21.76,1.485
2014-02-11,21.75,22.05,21.75,21.99,1.712
2014-02-12,22.03,22.15,21.97,22.07,1.288
2014-02-13,21.89,22.17,21.85,22.14,1.12
2014-02-14,22.16,22.17,21.96,22.07,1.882
2014-02-18,22.09,22.25,22.05,22.21,1.664
2014-02-19,22.11,22.42,22.09,22.14,1.86
2014-02-20,22.14,22.27,21.99,22.24,1.265
2014-02-21,22.24,22.33,22.0,22.04,2.291
2014-02-24,22.13,22.43,22.12,22.23,1.922
2014-02-25,22.18,22.27,22.02,22.08,1.369
2014-02-26,22.11,22.15,21.72,21.77,3.063
2014-02-27,21.7,21.98,21.68,21.9,3.288
2014-02-28,21.92,22.08,21.83,22.0,2.382
2014-03-03,21.88,22.03,21.69,21.94,2.052
2014-03-04,22.17,22.54,22.14,22.5,2.418
2014-03-05,22.46,22.51,22.3,22.33,1.53
2014-03-06,22.33,22.6,22.26,22.56,2.253
2014-03-07,22.63,22.79,22.53,22.6,1.512
2014-03-10,22.49,22.69,22.1,22.62,2.144
2014-03-11,22.69,22.79,22.34,22.46,2.118
2014-03-12,22.34,22.67,22.29,22.64,2.532
2014-03-13,22.69,22.88,22.51,22.56,2.614
2014-03-14,22.5,22.77,22.48,22.62,2.096
2014-03-17,22.74,22.97,22.71,22.81,1.428
2014-03-18,22.81,23.0,22.74,22.94,1.667
2014-03-19,22.86,23.02,22.65,22.78,1.826
2014-03-20,22.61,22.92,22.49,22.92,1.951
2014-03-21,23.12,23.41,23.0,23.31,6.408
2014-03-24,23.19,23.31,23.06,23.12,4.718
2014-03-25,23.11,23.34,23.07,23.18,1.704
2014-03-26,23.33,23.38,22.87,22.87,2.127
2014-03-27,22.95,22.95,22.68,22.69,2.687
2014-03-28,22.76,23.08,22.64,22.91,1.629
2014-03-31,23.04,23.08,22.63,22.91,6.29
2014-04-01,22.98,23.06,22.81,23.06,2.498
2014-04-02,23.08,23.55,23.03,23.5,2.518
2014-04-03,23.47,23.48,23.24,23.43,1.894
2014-04-04,23.53,23.85,23.16,23.18,2.514
2014-04-07,23.09,23.16,22.76,22.87,1.87
2014-04-08,22.85,22.99,22.68,22.93,2.272
2014-04-09,22.93,23.33,22.88,23.28,2.678
2014-04-10,23.3,23.35,22.75,22.76,1.857
2014-04-11,22.7,22.91,22.59,22.63,2.689
2014-04-14,22.88,22.89,22.58,22.81,1.156
2014-04-15,22.86,23.03,22.62,22.84,2.422
2014-04-16,23.05,23.37,22.92,23.34,1.745
2014-04-17,23.32,23.6,23.21,23.53,1.784
2014-04-21,23.53,23.75,23.49,23.59,1.968
2014-04-22,23.55,23.81,23.52,23.75,2.823
2014-04-23,23.98,23.99,23.49,23.88,2.694
2014-04-24,24.03,24.12,23.92,24.08,7.606
2014-04-25,24.08,24.08,23.55,23.68,2.737
2014-04-28,23.84,23.89,23.42,23.68,3.544
2014-04-29,23.7,23.8,23.64,23.75,3.798
2014-04-30,23.74,23.87,23.58,23.84,2.762
2014-05-01,23.87,24.15,23.75,24.08,2.915
2014-05-02,24.04,24.13,23.89,23.93,1.918
2014-05-05,23.83,24.17,23.72,24.14,2.156
2014-05-06,24.06,24.12,23.82,23.83,3.678
2014-05-07,23.87,23.93,23.53,23.92,2.631
2014-05-08,23.88,24.12,23.8,23.88,2.626
2014-05-09,23.88,24.04,23.64,24.0,2.587
2014-05-12,24.07,24.25,23.98,24.16,3.086
2014-05-13,24.1,24.22,24.0,24.03,1.78
2014-05-14,24.04,24.04,23.86,23.89,1.427
2014-05-15,23.89,23.92,23.56,23.7,2.598
2014-05-16,23.65,23.9,23.62,23.87,2.836
2014-05-19,23.77,24.01,23.75,23.94,1.415
2014-05-20,23.92,23.97,23.61,23.65,2.384
2014-05-21,23.8,23.84,23.65,23.79,1.3
2014-05-22,23.67,23.95,23.67,23.86,1.23
2014-05-23,23.79,23.97,23.77,23.93,2.318
2014-05-27,23.99,24.03,23.84,23.88,1.59
2014-05-28,23.8,23.92,23.75,23.83,2.733
2014-05-29,23.88,24.0,23.79,23.98,1.534
2014-05-30,23.97,24.06,23.85,23.95,1.763
2014-06-02,23.99,24.23,23.89,24.21,1.951
2014-06-03,24.09,24.16,23.9,24.12,1.788
2014-06-04,24.04,24.11,23.98,24.02,1.11
2014-06-05,24.06,24.28,24.02,24.22,2.466
2014-06-06,24.32,24.48,24.27,24.4,2.566
2014-06-09,24.3,24.69,24.25,24.55,2.082
2014-06-10,24.46,24.49,24.36,24.42,1.424
2014-06-11,24.33,24.55,24.25,24.51,1.238
2014-06-12,24.28,24.47,24.17,24.25,1.428
2014-06-13,24.28,24.34,24.13,24.2,1.112
2014-06-16,24.16,24.28,24.05,24.12,0.969
2014-06-17,24.06,24.28,24.0,24.19,1.453
2014-06-18,24.19,24.26,23.95,24.25,2.531
2014-06-19,24.27,24.4,24.17,24.35,1.868
2014-06-20,24.42,24.47,24.31,24.37,2.494
2014-06-23,24.36,24.41,24.25,24.27,1.074
2014-06-24,24.24,24.3,24.01,24.04,1.462
2014-06-25,24.0,24.1,23.91,24.03,1.848
2014-06-26,24.03,24.05,23.73,23.89,1.415
2014-06-27,23.83,24.13,23.83,24.07,1.634
2014-06-30,24.06,24.1,23.95,24.08,1.626
