Date,Open,High,Low,Close,Volume
2014-01-02,49.99,50.29,49.41,49.81,0.891
2014-01-03,49.91,50.19,49.51,49.68,1.064
2014-01-06,50.13,50.18,49.33,49.69,1.565
2014-01-07,50.08,50.76,49.81,50.58,3.675
2014-01-08,50.67,51.21,50.47,50.93,3.479
2014-01-09,50.98,51.28,50.33,50.81,2.162
2014-01-10,51.11,51.63,51.06,51.53,2.206
2014-01-13,51.25,51.8,50.28,50.46,1.593
2014-01-14,51.03,52.0,50.24,51.95,2.788
2014-01-15,52.15,52.79,51.53,52.31,3.619
2014-01-16,52.15,52.42,51.78,52.15,1.349
2014-01-17,52.22,52.67,52.13,52.56,3.238
2014-01-21,52.88,53.09,52.51,52.81,3.877
2014-01-22,52.92,53.16,52.51,53.02,2.568
2014-01-23,52.6,52.75,51.85,52.22,2.185
2014-01-24,52.03,52.23,50.13,50.23,2.106
2014-01-27,50.45,50.59,49.58,49.95,1.86
2014-01-28,50.24,50.52,49.87,50.33,2.277
2014-01-29,50.03,50.44,49.93,50.15,2.619
2014-01-30,50.6,51.42,50.41,51.11,3.233
2014-01-31,50.22,51.28,50.11,51.04,2.134
2014-02-03,51.19,51.24,49.42,49.56,3.645
2014-02-04,49.66,50.54,48.8,50.3,2.756
2014-02-05,49.92,51.16,49.91,51.11,4.328
2014-02-06,51.29,51.82,51.0,51.59,2.857
2014-02-07,51.79,52.33,51.63,52.31,1.599
2014-02-10,52.19,52.54,51.99,52.46,1.16
2014-02-11,52.56,52.95,52.37,52.78,2.288
2014-02-12,53.19,53.9,53.08,53.72,2.662
2014-02-13,53.26,53.97,53.07,53.79,2.474
2014-02-14,53.64,53.91,53.44,53.75,1.768
2014-02-18,54.01,54.69,53.58,54.47,2.337
2014-02-19,54.38,55.0,54.29,54.61,2.928
2014-02-20,54.6,55.26,54.49,55.08,3.0
2014-02-21,55.34,55.47,55.08,55.25,2.389
2014-02-24,55.31,55.98,55.23,55.75,2.312
2014-02-25,55.62,56.14,55.45,55.69,4.927
2014-02-26,55.88,56.3,55.62,56.01,1.716
2014-02-27,55.93,55.95,55.36,55.83,2.614
2014-02-28,55.89,56.23,55.39,55.8,2.481
2014-03-03,55.2,55.78,54.79,55.55,2.403
2014-03-04,56.33,56.45,55.98,56.01,2.142
2014-03-05,56.09,56.42,54.89,55.16,3.186
2014-03-06,55.44,56.22,55.43,56.13,2.955
2014-03-07,56.25,56.45,55.72,55.85,1.601
2014-03-10,55.79,56.21,55.78,56.04,2.939
2014-03-11,56.16,56.93,56.05,56.81,3.931
2014-03-12,56.56,56.85,55.89,56.3,3.232
2014-03-13,56.46,56.5,54.92,55.12,2.592
2014-03-14,55.09,55.34,54.43,54.46,2.285
2014-03-17,54.96,55.79,54.96,55.76,2.453
2014-03-18,55.98,56.67,55.93,56.59,1.651
2014-03-19,56.76,56.85,55.83,56.29,1.741
2014-03-20,56.14,56.73,55.97,56.59,1.705
2014-03-21,57.12,57.12,55.67,55.86,2.418
2014-03-24,56.15,56.33,54.99,55.53,1.61
2014-03-25,56.04,56.09,54.78,54.84,2.537
2014-03-26,55.11,55.75,54.58,54.8,1.784
2014-03-27,54.79,55.17,54.39,55.05,1.898
2014-03-28,55.16,56.08,55.04,55.94,1.808
2014-03-31,56.44,57.01,56.33,56.88,2.242
2014-04-01,57.11,58.5,56.96,58.26,5.146
2014-04-02,58.45,59.09,58.41,58.77,4.333
2014-04-03,58.36,58.8,58.26,58.45,2.955
2014-04-04,58.76,58.79,56.66,56.84,1.985
2014-04-07,56.71,56.72,54.95,55.26,2.706
2014-04-08,55.1,55.54,54.28,55.41,3.275
2014-04-09,55.67,57.29,55.62,57.24,2.501
2014-04-10,57.07,57.44,55.74,55.85,2.883
2014-04-11,55.64,55.73,54.37,54.4,3.57
2014-04-14,55.05,55.09,54.28,55.0,1.972
2014-04-15,55.27,55.68,53.92,55.04,3.115
2014-04-16,55.76,55.97,55.07,55.24,4.183
2014-04-17,55.21,56.74,55.11,56.33,2.148
2014-04-21,57.15,57.15,55.98,56.87,1.064
2014-04-22,57.06,57.85,56.77,57.69,1.664
2014-04-23,57.67,57.95,57.31,57.63,1.888
2014-04-24,58.35,59.09,56.41,57.28,2.414
2014-04-25,56.92,57.0,55.35,55.73,2.356
2014-04-28,55.88,56.07,54.28,55.17,2.355
2014-04-29,55.52,55.76,55.0,55.52,1.69
2014-04-30,55.42,56.08,55.0,56.03,1.514
2014-05-01,55.96,56.87,55.9,56.24,1.524
2014-05-02,56.33,57.31,56.31,56.9,1.561
2014-05-05,56.62,56.98,56.08,56.94,1.285
2014-05-06,56.85,56.94,56.26,56.39,0.772
2014-05-07,56.53,56.92,55.93,56.6,1.382
2014-05-08,56.63,57.06,55.62,55.87,1.631
2014-05-09,55.83,56.05,55.12,56.03,1.266
2014-05-12,56.09,56.54,55.95,56.49,1.425
2014-05-13,56.69,56.83,56.37,56.55,0.93
2014-05-14,56.53,56.66,56.05,56.14,1.059
2014-05-15,56.09,56.12,54.68,55.29,1.411
2014-05-16,54.94,55.5,54.64,55.34,1.282
2014-05-19,55.67,56.45,55.62,55.93,2.901
2014-05-20,55.75,56.57,55.57,56.06,2.006
2014-05-21,56.22,56.91,56.22,56.61,1.32
2014-05-22,56.69,57.06,56.52,56.89,1.217
2014-05-23,57.07,58.77,56.98,58.68,2.45
2014-05-27,59.08,59.33,58.79,59.01,1.92
2014-05-28,59.0,59.04,58.18,58.2,2.365
2014-05-29,58.34,58.66,57.84,58.01,1.692
2014-05-30,57.89,58.33,57.66,57.89,2.128
2014-06-02,57.95,58.12,57.25,57.7,1.416
2014-06-03,57.27,58.77,57.27,58.42,1.519
2014-06-04,58.13,58.96,57.79,58.69,2.033
2014-06-05,58.79,59.46,58.42,59.1,2.202
2014-06-06,59.56,59.74,59.14,59.3,1.904
2014-06-09,59.15,59.5,58.77,58.88,1.396
2014-06-10,58.75,59.15,58.47,58.63,2.041
2014-06-11,58.27,58.43,57.68,58.04,1.712
2014-06-12,57.87,58.08,56.36,56.45,1.872
2014-06-13,56.59,57.31,56.53,56.99,2.4
2014-06-16,56.73,57.14,56.4,56.76,2.096
2014-06-17,56.82,56.92,56.4,56.67,1.83
2014-06-18,56.64,57.0,56.07,56.96,1.561
2014-06-19,57.34,57.35,56.35,56.48,2.021
2014-06-20,56.61,56.79,56.4,56.48,3.073
2014-06-23,56.63,56.63,55.92,56.03,3.132
2014-06-24,56.06,56.97,56.01,56.62,4.071
2014-06-25,56.42,57.33,56.35,57.0,3.091
2014-06-26,56.97,57.34,56.18,57.13,3.514
2014-06-27,56.83,57.75,56.62,57.42,20.803
2014-06-30,57.32,57.96,57.02,57.62,4.777
2014-07-01,57.9,58.64,57.9,58.52,3.942
2014-07-02,58.39,58.74,58.34,58.57,3.26
2014-07-03,58.91,59.21,58.71,58.86,1.425
2014-07-07,58.75,58.75,58.13,58.34,2.14
2014-07-08,58.15,58.26,57.51,58.16,2.798
2014-07-09,58.21,58.68,57.95,58.47,2.064
2014-07-10,57.63,58.6,57.62,58.23,3.234
2014-07-11,58.12,58.6,58.12,58.31,1.324
2014-07-14,58.68,58.83,58.36,58.47,1.869
2014-07-15,58.37,58.77,57.81,58.3,1.576
2014-07-16,58.57,58.57,57.83,57.9,1.953
2014-07-17,57.54,58.17,56.98,57.11,2.203
2014-07-18,57.26,57.6,56.97,57.51,2.029
2014-07-21,57.43,57.69,57.15,57.27,1.86
2014-07-22,57.62,58.09,57.54,57.8,2.04
2014-07-23,57.92,58.1,57.49,57.63,1.115
2014-07-24,57.71,58.15,57.38,57.52,1.156
2014-07-25,57.39,57.76,57.27,57.66,1.396
2014-07-28,57.78,57.91,57.33,57.8,1.731
2014-07-29,57.9,58.18,56.92,56.96,2.025
2014-07-30,57.08,57.2,56.35,56.65,2.759
