Date,Open,High,Low,Close,Volume
2014-01-02,63.34,64.11,62.93,63.73,0.403
2014-01-03,63.76,64.88,63.59,64.4,0.361
2014-01-06,64.45,65.09,64.06,64.16,0.447
2014-01-07,64.23,64.77,63.75,64.34,0.311
2014-01-08,64.31,64.62,63.65,64.2,0.245
2014-01-09,64.52,64.55,63.62,64.12,0.329
2014-01-10,64.52,64.89,63.99,64.75,0.394
2014-01-13,64.65,64.91,64.21,64.42,0.298
2014-01-14,64.68,65.3,64.67,65.04,0.399
2014-01-15,65.36,65.97,65.31,65.84,0.235
2014-01-16,65.89,66.19,65.45,66.01,0.399
2014-01-17,66.41,66.47,65.92,66.22,0.965
2014-01-21,66.41,67.79,66.2,67.55,0.641
2014-01-22,67.76,68.41,67.76,68.34,1.097
2014-01-23,68.05,68.95,67.97,68.7,0.76
2014-01-24,68.66,68.87,67.88,68.06,0.44
2014-01-27,67.66,68.28,67.23,67.76,0.541
2014-01-28,67.83,68.8,67.83,68.5,0.425
2014-01-29,68.09,68.66,67.84,68.5,0.652
2014-01-30,68.89,69.44,68.34,69.25,0.408
2014-01-31,68.66,70.52,68.49,70.13,0.684
2014-02-03,70.57,70.57,69.01,69.5,1.172
2014-02-04,68.48,70.38,67.53,70.15,1.095
2014-02-05,70.23,70.57,69.9,70.23,0.79
2014-02-06,70.36,71.21,70.2,71.08,0.435
2014-02-07,71.23,71.64,70.55,70.73,0.481
2014-02-10,70.62,71.75,70.51,71.66,0.568
2014-02-11,71.54,71.93,71.13,71.15,0.568
2014-02-12,71.33,71.63,70.63,71.24,0.422
2014-02-13,70.88,72.03,70.7,71.64,0.306
2014-02-14,71.53,72.16,71.43,72.01,0.226
2014-02-18,72.09,72.53,71.77,72.53,0.323
2014-02-19,72.3,73.41,72.29,72.58,0.389
2014-02-20,72.65,73.32,71.63,72.09,0.605
2014-02-21,72.23,73.11,71.66,72.9,0.633
2014-02-24,72.91,73.5,72.33,72.34,0.464
2014-02-25,72.41,73.3,72.28,72.8,0.328
2014-02-26,73.07,73.27,72.57,72.61,0.353
2014-02-27,72.68,73.09,72.03,72.53,0.231
2014-02-28,72.53,72.89,72.37,72.45,0.756
2014-03-03,72.03,73.15,72.0,72.84,0.501
2014-03-04,73.46,74.11,73.23,74.09,0.501
2014-03-05,73.96,74.34,72.95,73.69,0.466
2014-03-06,73.91,73.91,72.91,73.3,0.29
2014-03-07,73.13,73.2,71.88,72.46,0.379
2014-03-10,72.33,72.51,71.7,71.99,0.378
2014-03-11,72.27,73.69,72.27,73.28,0.373
2014-03-12,73.11,73.67,73.02,73.21,0.45
2014-03-13,73.3,73.3,72.54,73.07,0.267
2014-03-14,73.01,73.65,72.86,72.97,0.204
2014-03-17,73.33,73.73,72.92,73.57,0.462
2014-03-18,73.42,73.81,73.09,73.72,0.358
2014-03-19,73.83,74.24,71.9,71.94,0.26
2014-03-20,71.92,72.2,71.0,72.18,0.386
2014-03-21,72.2,73.4,72.2,73.16,0.616
2014-03-24,73.17,73.64,71.99,72.5,0.344
2014-03-25,72.79,73.48,72.22,72.58,0.243
2014-03-26,72.67,72.81,71.41,71.46,0.389
2014-03-27,70.73,71.39,70.09,71.28,0.225
2014-03-28,71.32,72.38,71.27,72.02,0.238
2014-03-31,72.2,73.04,71.32,72.56,0.278
2014-04-01,71.81,72.24,70.97,71.9,0.839
2014-04-02,71.84,72.46,71.44,72.37,0.432
2014-04-03,72.25,72.61,71.99,72.41,0.527
2014-04-04,72.79,72.96,72.22,72.53,0.276
2014-04-07,72.63,73.86,72.58,73.36,0.408
2014-04-08,73.33,73.74,72.88,73.02,0.433
2014-04-09,73.09,73.35,72.5,72.83,0.195
2014-04-10,72.96,73.22,71.37,71.48,0.374
2014-04-11,71.42,72.06,71.03,71.15,0.388
2014-04-14,71.58,72.56,71.15,72.46,0.398
2014-04-15,72.51,73.74,72.04,73.68,0.356
2014-04-16,73.9,74.39,73.44,73.98,0.446
2014-04-17,73.69,73.87,73.09,73.28,0.302
2014-04-21,73.22,73.96,73.0,73.43,0.226
2014-04-22,73.58,73.85,72.98,73.61,0.261
2014-04-23,73.65,74.01,73.27,73.59,0.677
2014-04-24,73.91,74.17,73.42,74.01,0.454
2014-04-25,73.55,73.97,73.2,73.37,0.185
2014-04-28,73.55,73.95,73.03,73.68,0.374
2014-04-29,73.9,74.15,73.08,73.48,0.229
2014-04-30,73.53,73.86,73.19,73.82,0.24
2014-05-01,73.76,73.86,72.89,73.57,0.386
2014-05-02,73.47,74.67,73.44,74.3,0.26
2014-05-05,73.96,74.5,73.83,74.25,0.321
2014-05-06,73.0,74.69,73.0,74.68,0.56
2014-05-07,74.89,75.44,74.22,74.77,0.494
2014-05-08,74.73,75.66,74.6,74.74,0.384
2014-05-09,74.8,75.25,74.49,74.97,0.29
2014-05-12,75.19,75.64,74.9,75.29,0.284
2014-05-13,75.37,76.07,74.68,75.0,0.207
2014-05-14,75.08,75.52,74.42,75.24,0.281
2014-05-15,75.05,75.44,74.29,75.43,0.293
2014-05-16,75.27,75.99,74.97,75.98,0.161
2014-05-19,76.05,76.3,75.46,75.66,0.257
2014-05-20,75.58,76.02,75.06,75.17,0.271
2014-05-21,75.36,75.64,74.76,74.98,0.171
2014-05-22,74.97,75.29,74.53,74.61,0.218
2014-05-23,74.85,75.41,74.49,75.2,0.265
2014-05-27,75.24,75.31,74.26,74.85,0.591
2014-05-28,74.79,74.93,74.18,74.86,0.455
2014-05-29,75.02,75.53,74.71,75.47,0.189
2014-05-30,75.45,76.28,75.27,76.09,0.522
2014-06-02,75.92,77.08,75.81,76.89,0.348
2014-06-03,76.86,77.15,76.42,76.99,0.242
2014-06-04,76.86,77.19,76.52,77.02,0.227
2014-06-05,77.13,78.36,76.9,78.3,0.36
2014-06-06,78.38,78.69,77.6,77.78,0.33
2014-06-09,77.81,78.07,76.96,77.18,0.211
2014-06-10,77.07,77.34,76.37,76.65,0.255
2014-06-11,76.6,76.94,76.1,76.4,0.226
2014-06-12,76.25,76.98,75.74,76.91,0.45
2014-06-13,77.1,77.3,76.31,76.73,0.214
2014-06-16,76.75,77.14,76.21,76.56,0.2
2014-06-17,76.66,77.16,76.42,76.86,0.362
2014-06-18,76.83,77.52,76.75,77.37,0.246
2014-06-19,77.52,77.83,77.2,77.5,0.255
2014-06-20,77.49,77.58,76.48,76.94,0.666
2014-06-23,77.04,77.4,76.73,76.78,0.22
2014-06-24,76.86,77.15,76.58,76.94,0.242
2014-06-25,76.98,77.37,76.82,77.13,0.225
2014-06-26,76.43,76.43,75.9,76.32,0.203
2014-06-27,76.28,77.08,75.74,77.06,0.442
2014-06-30,76.91,77.65,76.76,77.64,0.551
2014-07-01,77.89,78.15,77.15,77.83,0.728
2014-07-02,77.58,78.09,77.08,77.9,0.38
2014-07-03,77.69,77.71,76.98,77.36,0.269
2014-07-07,77.08,77.65,77.07,77.35,0.222
2014-07-08,77.48,77.65,77.22,77.54,0.22
2014-07-09,77.52,77.96,76.94,77.49,0.246
2014-07-10,77.09,78.13,77.04,77.87,0.31
2014-07-11,78.04,78.15,77.61,77.98,0.208
2014-07-14,78.21,78.37,77.61,78.16,0.284
2014-07-15,78.3,78.43,77.68,78.22,0.209
2014-07-16,78.41,78.47,77.64,78.2,0.328
2014-07-17,77.89,78.24,77.65,77.69,0.186
2014-07-18,77.69,78.68,77.69,78.67,0.43
2014-07-21,78.55,78.78,78.11,78.69,0.238
2014-07-22,79.02,79.44,78.83,79.4,0.442
2014-07-23,79.45,79.54,79.18,79.25,0.217
2014-07-24,79.43,79.73,79.08,79.32,0.263
2014-07-25,79.16,79.4,78.81,78.87,0.424
2014-07-28,78.84,79.44,78.6,79.28,0.319
2014-07-29,79.09,79.25,77.66,78.5,0.613
2014-07-30,79.01,79.01,77.83,78.48,0.394
2014-07-31,77.22,79.08,76.98,78.6,0.767
2014-08-01,78.45,78.96,78.04,78.07,0.76
2014-08-04,78.14,78.14,77.15,77.81,0.464
2014-08-05,77.71,77.84,76.86,77.12,0.36
2014-08-06,76.98,77.77,76.96,77.57,0.435
2014-08-07,77.59,77.89,76.98,77.28,0.314
2014-08-08,77.3,77.67,76.82,77.63,0.27
2014-08-11,77.89,78.11,77.48,77.65,0.258
2014-08-12,77.87,78.05,77.47,77.88,0.377
2014-08-13,77.98,78.78,77.98,78.59,0.378
2014-08-14,78.31,78.91,78.22,78.39,0.348
2014-08-15,78.79,78.79,77.87,78.08,0.399
2014-08-18,78.53,79.58,78.43,79.55,0.519
2014-08-19,79.79,79.87,79.18,79.75,0.291
2014-08-20,79.87,80.49,79.27,80.3,0.37
2014-08-21,80.48,80.65,79.75,80.2,0.315
2014-08-22,80.01,80.37,79.07,79.31,0.224
2014-08-25,79.71,80.0,78.66,78.95,0.193
2014-08-26,78.93,79.29,78.88,78.95,0.251
2014-08-27,79.18,79.25,78.76,78.93,0.203
2014-08-28,78.91,79.17,78.53,78.82,0.221
2014-08-29,78.83,79.18,78.72,79.06,0.398
2014-09-02,79.21,79.54,78.82,79.12,0.604
2014-09-03,79.39,79.64,79.23,79.59,0.393
2014-09-04,79.53,79.86,79.19,79.42,0.441
2014-09-05,79.47,80.23,79.19,79.88,0.515
2014-09-08,79.63,80.13,79.62,79.77,0.246
2014-09-09,79.63,79.63,79.03,79.03,0.495
2014-09-10,78.83,79.06,78.15,78.22,0.482
2014-09-11,78.29,78.92,78.08,78.8,0.379
2014-09-12,78.56,78.57,76.14,76.61,0.537
2014-09-15,76.57,77.09,76.0,76.24,0.674
2014-09-16,76.08,76.69,75.92,76.38,0.542
2014-09-17,76.68,77.35,76.11,76.28,0.502
2014-09-18,76.33,76.36,75.16,75.31,0.728
2014-09-19,75.42,75.8,75.18,75.18,0.755
2014-09-22,75.18,75.23,74.35,74.38,0.416
2014-09-23,74.26,74.39,73.39,73.4,0.586
2014-09-24,73.38,74.05,73.08,73.81,0.875
2014-09-25,73.76,74.13,73.37,74.0,0.704
2014-09-26,73.33,74.44,72.91,74.34,0.525
2014-09-29,74.52,74.58,73.69,74.58,0.537
2014-09-30,74.75,74.8,73.73,73.75,0.523
2014-10-01,73.67,74.32,73.53,74.16,0.554
2014-10-02,74.0,74.5,73.44,73.92,0.374
2014-10-03,74.33,74.48,73.59,74.13,0.323
2014-10-06,74.21,74.76,74.02,74.45,0.352
2014-10-07,74.2,74.86,74.01,74.21,0.316
2014-10-08,74.33,76.32,74.05,76.31,0.59
2014-10-09,76.18,77.49,76.18,76.9,0.651
2014-10-10,77.11,77.92,76.74,77.54,0.703
2014-10-13,77.61,78.56,77.21,78.31,0.539
2014-10-14,78.55,80.43,78.31,79.95,0.747
2014-10-15,79.6,80.61,78.52,79.99,1.297
2014-10-16,79.56,80.44,78.64,80.29,0.898
2014-10-17,81.0,81.0,79.21,80.06,0.605
2014-10-20,80.07,80.8,79.82,80.74,0.357
2014-10-21,81.06,81.72,80.74,81.69,0.38
2014-10-22,81.67,82.45,81.55,81.89,0.246
2014-10-23,82.42,82.77,81.98,82.52,0.424
2014-10-24,82.46,82.9,81.66,82.21,0.502
2014-10-27,82.14,82.65,81.97,82.39,0.473
2014-10-28,82.61,82.67,81.86,82.32,0.457
2014-10-29,82.22,82.42,81.44,81.87,0.488
2014-10-30,81.62,82.52,81.38,82.49,0.39
2014-10-31,82.36,83.46,82.32,83.0,0.59
2014-11-03,83.24,83.82,82.57,83.79,0.665
2014-11-04,83.89,84.23,82.75,83.37,0.383
2014-11-05,83.7,84.05,82.8,83.11,0.481
2014-11-06,82.91,83.36,82.24,82.47,0.332
2014-11-07,82.49,82.93,81.95,82.38,0.328
2014-11-10,82.25,83.8,82.25,83.74,0.288
2014-11-11,83.78,84.14,82.91,83.48,0.233
2014-11-12,83.32,83.53,82.62,82.75,0.312
2014-11-13,82.99,83.4,82.83,83.27,0.402
2014-11-14,83.08,83.43,82.16,82.32,0.24
2014-11-17,82.47,83.05,82.41,82.94,0.234
2014-11-18,83.1,83.17,82.51,83.12,0.455
2014-11-19,82.97,83.16,82.41,82.57,0.352
