Date,Open,High,Low,Close,Volume
2014-01-02,92.62,92.82,92.02,92.36,0.647
2014-01-03,92.36,92.57,91.91,92.04,1.084
2014-01-06,91.06,91.09,89.99,90.15,0.745
2014-01-07,88.97,89.6,88.81,89.39,0.84
2014-01-08,89.28,89.73,88.96,89.63,0.785
2014-01-09,90.76,90.76,89.66,90.14,0.824
2014-01-10,90.28,91.07,90.08,91.07,0.76
2014-01-13,90.08,90.77,90.05,90.36,1.158
2014-01-14,90.2,91.41,90.13,91.19,1.125
2014-01-15,90.29,90.75,89.1,89.44,1.522
2014-01-16,86.57,86.67,84.84,85.22,2.775
2014-01-17,83.69,84.48,83.28,84.4,3.13
2014-01-21,85.3,87.28,84.88,87.15,3.92
2014-01-22,91.43,92.29,90.15,91.29,3.541
2014-01-23,90.17,90.17,87.28,88.39,2.32
2014-01-24,90.04,90.09,87.48,87.59,2.351
2014-01-27,88.44,88.51,87.05,87.62,1.932
2014-01-28,87.88,88.1,86.35,86.44,1.368
2014-01-29,85.6,86.72,85.35,85.65,1.256
2014-01-30,87.21,87.35,85.03,85.23,1.62
2014-01-31,83.8,85.14,83.76,84.63,0.828
2014-02-03,85.46,85.74,83.93,84.56,1.137
2014-02-04,84.33,84.82,83.92,84.09,1.074
2014-02-05,84.77,85.49,84.19,85.16,0.854
2014-02-06,86.23,87.06,86.19,86.84,0.568
2014-02-07,86.68,87.61,86.39,87.56,0.761
2014-02-10,87.42,87.66,87.05,87.54,0.299
2014-02-11,87.93,89.61,87.92,89.61,0.375
2014-02-12,88.67,88.9,87.86,87.93,1.205
2014-02-13,87.65,88.61,87.53,88.47,1.824
2014-02-14,89.02,89.21,88.6,89.18,1.176
2014-02-18,89.95,89.98,89.04,89.68,3.077
2014-02-19,89.46,89.5,88.17,88.2,1.899
2014-02-20,88.93,89.06,88.1,88.88,1.397
2014-02-21,89.63,89.69,88.55,88.91,0.605
2014-02-24,89.39,90.22,89.33,89.34,0.491
2014-02-25,88.33,88.44,86.57,86.63,1.35
2014-02-26,86.69,87.09,85.46,85.92,1.408
2014-02-27,86.26,86.38,85.02,86.02,1.547
2014-02-28,87.04,87.27,85.65,86.14,1.534
2014-03-03,85.01,86.17,84.82,86.0,4.306
2014-03-04,88.67,89.43,88.29,89.38,3.451
2014-03-05,89.28,89.88,89.19,89.87,0.926
2014-03-06,90.33,91.79,90.31,91.53,1.348
2014-03-07,91.29,91.35,90.66,91.13,1.267
2014-03-10,90.72,90.98,90.05,90.68,1.5
2014-03-11,90.22,91.18,89.82,90.3,1.097
2014-03-12,90.12,90.96,89.88,90.94,1.047
2014-03-13,91.41,91.58,89.45,89.83,1.543
2014-03-14,89.1,90.24,89.1,89.48,2.438
2014-03-17,90.43,90.92,90.4,90.63,1.192
2014-03-18,90.6,91.74,90.54,91.72,0.52
2014-03-19,91.74,92.28,90.45,90.99,0.57
2014-03-20,90.3,92.54,90.25,92.48,0.869
2014-03-21,93.79,93.83,92.2,92.39,1.046
2014-03-24,92.34,92.54,90.72,91.11,0.852
2014-03-25,91.59,92.26,90.76,91.98,1.166
2014-03-26,93.22,93.35,92.25,92.28,0.675
2014-03-27,92.66,92.92,91.83,91.97,0.544
2014-03-28,92.1,92.46,91.55,91.83,0.341
2014-03-31,92.9,93.55,92.62,93.36,0.626
2014-04-01,93.48,93.78,93.06,93.57,0.863
2014-04-02,92.74,93.37,92.45,93.21,0.442
2014-04-03,92.89,93.1,92.05,92.17,0.547
2014-04-04,92.39,92.71,90.5,90.82,0.665
2014-04-07,91.13,91.2,89.82,89.97,0.753
2014-04-08,89.91,90.7,89.25,89.56,1.194
2014-04-09,91.14,92.49,90.66,92.4,0.864
2014-04-10,92.61,92.63,89.58,89.89,1.506
2014-04-11,87.76,88.43,86.74,87.33,2.11
2014-04-14,86.58,87.3,85.95,86.57,1.415
2014-04-15,86.09,86.58,84.73,85.14,2.003
2014-04-16,80.31,82.35,79.94,82.23,5.649
2014-04-17,81.82,82.38,81.35,81.65,1.79
2014-04-21,81.81,82.31,81.04,81.65,0.857
2014-04-22,81.85,82.27,81.59,81.68,0.82
2014-04-23,81.5,82.97,81.45,82.0,1.469
2014-04-24,83.62,84.45,83.26,84.17,1.352
2014-04-25,83.25,83.26,81.42,81.68,1.68
2014-04-28,82.18,82.67,81.43,82.34,0.816
2014-04-29,82.51,82.8,82.09,82.12,0.975
2014-04-30,82.14,82.65,81.28,81.39,0.729
2014-05-01,81.25,81.7,80.8,81.35,0.813
2014-05-02,80.85,81.55,80.68,80.88,1.186
2014-05-05,80.07,80.71,79.9,80.25,0.492
2014-05-06,80.26,80.54,79.66,79.9,1.033
2014-05-07,80.91,81.26,80.17,80.46,0.99
2014-05-08,80.6,81.72,80.41,80.9,1.008
2014-05-09,80.94,80.94,80.11,80.32,0.534
2014-05-12,81.59,82.24,81.37,82.16,0.619
2014-05-13,81.71,81.72,81.0,81.23,0.394
2014-05-14,81.36,81.47,80.95,80.99,0.487
