Date,Open,High,Low,Close,Volume
2014-01-02,45.34,45.52,44.45,44.67,0.422
2014-01-03,44.62,45.0,44.4,44.74,0.647
2014-01-06,44.71,44.74,44.16,44.19,0.299
2014-01-07,44.4,45.51,44.3,45.18,0.46
2014-01-08,45.27,45.51,44.92,45.42,0.569
2014-01-09,45.57,45.8,45.32,45.65,0.301
2014-01-10,45.78,46.21,45.66,45.81,0.374
2014-01-13,45.79,45.84,45.04,45.24,0.233
2014-01-14,45.34,45.63,45.08,45.62,0.189
2014-01-15,45.72,45.72,45.46,45.7,0.22
2014-01-16,45.59,45.94,45.43,45.84,0.278
2014-01-17,45.89,46.39,45.77,46.23,0.459
2014-01-21,46.51,47.12,46.29,47.08,0.284
2014-01-22,47.23,47.45,47.01,47.26,0.239
2014-01-23,47.09,47.59,46.97,47.54,0.351
2014-01-24,47.41,47.51,46.89,46.89,0.322
2014-01-27,47.01,47.14,46.56,46.57,0.528
2014-01-28,46.66,46.82,46.48,46.77,0.257
2014-01-29,46.43,47.13,46.17,46.6,0.234
2014-01-30,46.84,47.61,46.61,47.54,0.209
2014-01-31,47.18,48.38,47.06,48.01,0.335
2014-02-03,47.99,48.06,46.51,46.71,1.096
2014-02-04,46.8,46.89,46.13,46.8,0.698
2014-02-05,46.05,46.59,45.63,46.28,0.509
2014-02-06,46.43,47.11,46.32,47.08,0.333
2014-02-07,47.24,47.76,46.92,47.19,0.412
2014-02-10,47.19,47.62,46.87,47.41,0.599
2014-02-11,46.61,46.61,45.26,45.47,2.298
2014-02-12,44.5,45.37,44.26,45.08,7.73
2014-02-13,45.09,46.0,45.08,45.86,1.019
2014-02-14,45.87,45.88,45.3,45.53,0.568
2014-02-18,45.52,45.8,45.38,45.66,0.555
2014-02-19,45.53,45.72,44.91,44.94,0.518
2014-02-20,44.56,45.3,44.51,45.3,0.569
2014-02-21,45.25,45.63,45.14,45.56,0.657
2014-02-24,45.72,46.16,45.59,45.66,0.94
2014-02-25,45.8,45.93,45.4,45.83,1.222
2014-02-26,45.95,46.06,45.36,45.46,0.607
2014-02-27,45.38,45.82,45.24,45.71,0.669
2014-02-28,45.77,46.42,45.55,46.1,0.749
2014-03-03,45.87,46.23,45.74,45.91,0.651
2014-03-04,46.36,46.61,46.26,46.47,0.855
2014-03-05,46.6,46.6,45.93,45.99,0.562
2014-03-06,46.1,46.18,45.7,45.78,0.414
2014-03-07,45.81,45.88,45.13,45.47,0.598
2014-03-10,45.58,45.62,45.26,45.49,0.583
2014-03-11,45.41,45.47,44.84,45.06,0.585
2014-03-12,44.91,45.32,44.91,45.32,0.571
2014-03-13,45.5,46.02,45.34,45.94,0.968
2014-03-14,45.98,46.39,45.9,46.3,0.615
2014-03-17,46.52,46.78,46.25,46.78,0.465
2014-03-18,46.83,47.07,46.75,46.91,0.46
2014-03-19,47.13,47.21,46.27,46.48,0.429
2014-03-20,46.47,46.47,45.83,45.99,0.418
2014-03-21,46.18,46.81,46.02,46.12,1.081
2014-03-24,46.32,46.78,45.74,46.11,0.301
2014-03-25,46.05,46.31,45.53,45.91,0.462
2014-03-26,46.22,46.22,45.77,45.8,0.366
2014-03-27,45.78,46.09,45.72,45.94,0.288
2014-03-28,45.96,46.12,45.79,46.07,0.315
2014-03-31,46.36,47.2,46.22,47.13,0.575
2014-04-01,47.23,47.23,46.42,46.94,0.734
2014-04-02,46.92,47.67,46.55,47.4,0.504
2014-04-03,47.55,47.99,47.37,47.79,0.649
2014-04-04,47.93,48.36,47.63,47.65,0.546
2014-04-07,47.6,48.0,47.36,47.65,0.926
