Date,Open,High,Low,Close,Volume
2014-01-02,52.85,52.88,51.89,52.65,1.454
2014-01-03,52.45,52.96,51.96,52.85,1.166
2014-01-06,52.8,53.4,52.43,52.49,1.263
2014-01-07,52.82,53.06,52.49,52.99,1.336
2014-01-08,53.11,53.92,52.86,53.78,2.297
2014-01-09,54.0,54.17,52.76,53.23,1.234
2014-01-10,53.94,54.02,52.87,53.3,1.669
2014-01-13,53.62,53.78,52.39,52.64,1.394
2014-01-14,53.32,55.84,52.74,55.27,3.486
2014-01-15,55.68,57.18,55.52,56.97,2.719
2014-01-16,56.76,56.96,55.15,55.43,2.408
2014-01-17,55.26,56.42,55.23,56.14,3.118
2014-01-21,56.61,56.82,55.88,56.11,1.66
2014-01-22,56.2,57.18,55.85,57.15,2.553
2014-01-23,56.73,57.15,55.74,56.05,1.555
2014-01-24,55.7,55.99,54.15,54.49,1.743
2014-01-27,54.62,55.25,53.74,54.45,2.103
2014-01-28,54.4,54.8,52.96,54.72,2.522
2014-01-29,53.94,55.94,53.37,54.07,2.397
2014-01-30,54.82,55.27,54.09,55.05,1.199
2014-01-31,53.83,55.29,53.83,54.64,1.578
2014-02-03,54.8,55.17,52.96,53.26,1.142
2014-02-04,53.51,54.16,53.1,54.01,1.349
2014-02-05,53.72,54.73,53.19,53.98,0.902
2014-02-06,53.99,55.87,53.62,55.2,1.805
2014-02-07,55.47,56.84,55.13,56.57,1.704
2014-02-10,56.19,56.48,55.57,56.31,1.235
2014-02-11,56.2,58.16,56.19,58.07,1.734
2014-02-12,58.2,59.8,58.2,58.94,2.586
2014-02-13,57.43,59.51,57.38,59.08,2.261
2014-02-14,57.5,58.38,57.44,58.08,2.818
2014-02-18,58.51,58.51,57.73,58.37,1.587
2014-02-19,58.19,58.42,57.49,57.7,1.46
2014-02-20,58.04,59.03,57.7,59.0,2.228
2014-02-21,59.43,59.5,58.4,58.55,1.8
2014-02-24,58.51,59.99,58.51,59.57,2.067
2014-02-25,60.0,60.0,58.39,59.0,2.693
2014-02-26,60.0,63.49,59.97,61.9,4.912
2014-02-27,61.19,62.22,60.78,61.38,1.646
2014-02-28,61.15,61.97,60.79,61.7,1.522
2014-03-03,61.15,62.47,60.85,61.74,1.534
2014-03-04,62.5,64.1,62.28,63.35,3.676
2014-03-05,63.16,64.23,62.94,63.08,2.466
2014-03-06,63.29,63.91,63.05,63.64,1.216
2014-03-07,63.95,63.95,62.45,62.75,1.513
2014-03-10,62.93,63.42,62.47,62.8,1.352
2014-03-11,62.98,63.65,61.81,62.02,1.619
2014-03-12,61.77,63.31,60.45,63.18,2.36
2014-03-13,63.4,64.5,62.04,62.68,3.538
2014-03-14,62.77,63.25,62.21,62.68,1.394
2014-03-17,63.03,63.99,62.76,63.41,1.397
2014-03-18,63.25,64.01,62.79,63.82,1.311
2014-03-19,64.01,64.88,63.79,64.41,1.756
2014-03-20,64.32,65.39,64.3,65.31,1.997
2014-03-21,65.64,65.83,63.64,63.9,2.327
2014-03-24,64.03,64.36,62.35,63.16,2.481
2014-03-25,63.69,64.98,63.28,64.0,1.614
2014-03-26,64.39,64.88,62.12,62.81,2.841
2014-03-27,62.77,63.11,61.84,62.78,2.525
2014-03-28,62.99,64.68,62.87,64.11,1.433
2014-03-31,64.5,65.33,64.24,64.41,1.482
2014-04-01,64.55,65.26,64.22,65.05,2.196
2014-04-02,64.74,65.31,63.84,64.64,2.098
2014-04-03,64.74,65.58,63.47,63.93,2.159
2014-04-04,64.56,64.74,60.04,61.8,3.883
2014-04-07,61.0,61.94,58.83,60.36,4.327
2014-04-08,60.62,60.98,60.05,60.17,2.206
2014-04-09,61.04,62.56,61.04,62.47,1.926
2014-04-10,62.55,62.55,59.62,59.86,2.04
2014-04-11,59.27,59.96,58.46,58.53,2.19
2014-04-14,58.45,59.57,58.11,58.82,1.942
2014-04-15,59.06,59.36,57.27,58.94,2.501
2014-04-16,59.46,59.46,58.11,59.31,1.792
2014-04-17,59.34,61.66,58.92,60.89,1.909
2014-04-21,60.97,62.18,60.82,61.89,1.256
2014-04-22,61.61,63.79,61.61,63.44,2.283
2014-04-23,63.98,64.61,63.78,64.6,2.698
2014-04-24,65.43,65.48,63.54,65.38,2.752
2014-04-25,64.85,65.03,62.19,62.34,1.927
2014-04-28,62.91,62.92,60.32,60.78,3.071
2014-04-29,60.98,61.55,60.01,60.92,2.166
2014-04-30,61.1,63.67,60.37,63.5,2.538
2014-05-01,62.92,64.9,62.58,63.49,1.886
2014-05-02,64.72,64.99,63.18,64.27,1.341
2014-05-05,63.87,64.45,63.02,64.25,1.353
2014-05-06,67.93,68.08,66.25,67.34,12.78
2014-05-07,67.75,68.61,66.35,66.81,56.028
2014-05-08,66.81,68.93,66.71,67.95,5.37
2014-05-09,67.92,68.56,66.68,67.41,3.87
2014-05-12,67.93,69.18,67.41,69.13,2.739
2014-05-13,69.27,69.34,68.56,68.76,2.302
2014-05-14,68.54,69.6,67.55,68.51,3.024
2014-05-15,68.67,68.95,67.11,67.93,3.209
2014-05-16,68.09,68.93,67.32,68.48,5.204
2014-05-19,69.1,69.41,68.14,68.32,3.779
2014-05-20,68.36,68.38,66.92,67.52,2.908
2014-05-21,67.52,68.44,67.37,68.41,1.69
2014-05-22,68.43,69.22,67.88,68.68,1.568
2014-05-23,69.12,70.61,68.73,70.55,3.202
2014-05-27,71.03,71.28,70.32,70.93,3.164
2014-05-28,70.55,70.75,69.84,70.1,3.493
2014-05-29,70.48,70.85,69.81,70.79,2.757
2014-05-30,71.85,72.0,69.41,70.67,3.894
2014-06-02,71.21,72.0,70.6,71.64,2.66
2014-06-03,71.33,72.08,70.84,71.45,2.231
2014-06-04,71.26,71.86,71.14,71.61,1.938
2014-06-05,71.51,72.0,71.23,71.87,2.729
2014-06-06,72.28,72.35,71.24,71.63,1.587
2014-06-09,71.88,72.5,71.47,71.79,1.742
2014-06-10,71.75,72.25,71.5,71.86,1.641
2014-06-11,71.67,72.39,71.35,71.75,2.494
2014-06-12,71.34,72.04,71.2,71.76,1.36
2014-06-13,72.18,72.45,70.91,71.42,1.351
2014-06-16,71.47,71.94,70.6,70.88,1.567
2014-06-17,70.59,71.62,70.59,71.48,1.382
2014-06-18,71.58,71.88,70.55,71.22,1.383
2014-06-19,71.13,71.32,70.34,70.93,1.273
2014-06-20,71.16,71.95,70.87,71.57,2.183
2014-06-23,71.61,71.96,70.79,71.24,1.335
2014-06-24,71.78,72.3,70.63,70.67,1.53
2014-06-25,70.58,71.7,70.06,71.63,1.283
2014-06-26,71.72,71.87,70.38,70.96,0.813
2014-06-27,70.74,71.17,70.25,70.94,1.694
2014-06-30,70.92,72.07,70.92,72.07,1.777
2014-07-01,72.48,74.13,72.35,74.03,2.143
2014-07-02,73.58,74.6,73.58,74.32,1.608
2014-07-03,74.67,75.37,74.41,75.18,0.799
2014-07-07,75.43,75.55,74.43,74.53,1.907
2014-07-08,74.33,74.5,72.1,73.39,1.917
2014-07-09,73.66,74.23,73.09,74.23,0.98
2014-07-10,72.07,73.54,72.05,73.15,1.548
2014-07-11,73.27,73.48,72.67,73.2,1.252
2014-07-14,74.57,74.9,73.41,74.04,1.224
2014-07-15,74.01,74.38,72.69,73.42,1.456
2014-07-16,73.11,74.38,72.75,73.65,1.518
2014-07-17,73.26,73.67,71.66,71.9,1.782
2014-07-18,72.74,75.26,72.61,75.0,3.395
2014-07-21,74.52,75.5,74.49,75.42,1.537
2014-07-22,75.58,76.44,75.3,75.39,2.4
2014-07-23,75.7,75.71,73.59,73.63,2.445
2014-07-24,73.7,73.89,72.27,72.51,2.068
