Date,Open,High,Low,Close,Volume
2014-01-02,50.09,50.19,49.45,49.61,0.646
2014-01-03,49.73,49.85,49.42,49.55,0.77
2014-01-06,49.79,50.0,49.33,49.43,0.976
2014-01-07,49.51,49.78,49.34,49.62,1.21
2014-01-08,49.75,49.87,49.26,49.46,1.17
2014-01-09,49.85,50.64,49.85,49.88,1.555
2014-01-10,50.46,51.14,50.43,50.88,1.615
2014-01-13,50.58,51.12,50.19,50.36,0.841
2014-01-14,50.39,51.27,50.38,51.27,0.809
2014-01-15,51.28,51.37,50.97,51.26,0.674
2014-01-16,51.32,51.32,50.54,51.23,1.042
2014-01-17,51.31,51.34,50.89,51.15,0.592
2014-01-21,51.53,51.63,50.84,51.31,0.645
2014-01-22,51.5,52.17,51.4,52.14,1.019
2014-01-23,51.7,51.76,50.7,51.24,0.988
2014-01-24,50.78,50.99,49.11,49.13,1.04
2014-01-27,49.17,49.21,48.37,48.91,1.197
2014-01-28,48.91,49.35,48.81,49.27,0.657
2014-01-29,48.8,49.76,48.65,48.93,0.912
2014-01-30,49.51,49.85,48.72,49.72,0.879
2014-01-31,48.36,49.51,47.9,49.27,1.353
2014-02-03,49.44,49.9,47.74,47.81,1.274
2014-02-04,48.11,48.3,47.41,47.58,1.081
2014-02-05,47.19,47.36,46.25,46.99,1.384
2014-02-06,46.93,47.63,46.84,47.58,0.786
2014-02-07,47.85,48.06,47.32,47.89,0.983
2014-02-10,47.98,49.15,47.82,49.06,1.266
2014-02-11,49.25,49.5,47.83,49.24,0.927
2014-02-12,49.29,49.71,49.11,49.26,1.148
2014-02-13,48.96,49.5,48.75,49.45,0.749
2014-02-14,49.41,49.71,49.19,49.4,0.608
2014-02-18,49.49,49.63,49.2,49.52,0.446
2014-02-19,49.49,50.05,49.15,49.24,0.644
2014-02-20,49.34,49.5,48.91,49.3,0.628
2014-02-21,49.4,49.4,48.86,48.89,0.593
2014-02-24,48.97,49.17,48.64,48.79,0.819
