Date,Open,High,Low,Close,Volume
2014-01-02,15.84,15.84,14.89,15.38,1.277
2014-01-03,15.32,15.74,15.32,15.67,0.569
2014-01-06,15.79,15.92,15.29,15.64,0.997
2014-01-07,15.62,15.91,15.45,15.91,0.839
2014-01-08,16.51,18.57,16.5,17.93,5.363
2014-01-09,17.97,18.12,17.42,17.79,1.278
2014-01-10,17.79,18.88,17.5,18.68,2.79
2014-01-13,18.66,18.68,17.34,17.49,2.173
2014-01-14,17.64,18.14,17.45,18.07,1.258
2014-01-15,18.12,18.19,17.65,17.94,0.842
2014-01-16,17.94,18.07,17.5,17.57,0.977
2014-01-17,17.6,17.79,17.32,17.67,0.938
2014-01-21,17.75,18.6,17.6,17.79,1.405
2014-01-22,17.86,18.12,17.35,18.0,1.071
2014-01-23,17.9,17.98,17.53,17.71,0.658
2014-01-24,17.35,17.52,16.6,16.74,1.582
2014-01-27,16.78,16.88,16.09,16.52,0.979
2014-01-28,16.53,16.97,16.3,16.65,1.124
2014-01-29,16.41,16.6,15.8,15.89,1.05
2014-01-30,16.12,16.52,16.0,16.3,1.026
2014-01-31,16.08,16.32,15.93,16.06,0.709
2014-02-03,16.75,17.52,16.63,16.9,3.023
2014-02-04,16.98,17.13,16.46,16.83,8.404
2014-02-05,16.62,16.7,15.76,16.52,2.143
2014-02-06,16.47,17.09,16.41,16.72,1.251
2014-02-07,16.76,17.2,16.66,16.78,0.842
2014-02-10,16.84,16.92,16.33,16.91,1.131
2014-02-11,16.94,17.16,16.66,16.91,0.999
2014-02-12,16.87,17.08,16.6,16.79,0.618
2014-02-13,16.62,17.23,16.4,17.13,0.781
2014-02-14,17.08,17.19,16.85,17.09,0.501
2014-02-18,17.11,18.48,17.01,18.08,2.042
2014-02-19,18.12,19.0,18.12,18.56,2.36
2014-02-20,18.64,19.06,17.82,19.02,1.77
2014-02-21,19.14,19.38,18.61,18.8,1.524
2014-02-24,18.9,19.47,18.9,19.07,1.354
2014-02-25,19.19,19.54,19.01,19.1,1.669
2014-02-26,20.0,20.01,18.07,18.93,4.202
2014-02-27,18.97,20.83,18.75,20.5,3.027
2014-02-28,20.0,20.11,19.01,19.23,2.84
2014-03-03,19.11,19.79,18.8,19.56,1.212
2014-03-04,19.83,20.39,19.83,20.28,1.388
2014-03-05,20.29,20.44,19.54,19.87,1.494
2014-03-06,19.83,19.95,19.51,19.65,0.698
2014-03-07,19.8,19.85,18.72,18.89,1.552
2014-03-10,18.91,19.52,18.65,19.5,1.193
2014-03-11,19.57,19.58,18.8,18.91,1.098
2014-03-12,18.95,19.19,18.58,18.65,0.842
2014-03-13,18.72,18.83,18.0,18.3,0.947
2014-03-14,18.3,18.49,18.09,18.33,0.846
2014-03-17,18.35,18.6,18.11,18.31,0.75
2014-03-18,18.31,18.86,18.27,18.5,0.843
2014-03-19,18.55,18.79,18.06,18.23,0.943
2014-03-20,18.14,18.42,18.0,18.09,0.86
2014-03-21,18.2,18.48,18.09,18.11,1.153
2014-03-24,18.15,18.25,17.37,17.85,1.06
2014-03-25,17.99,18.95,17.87,18.91,1.804
2014-03-26,19.27,19.73,18.82,18.85,1.834
2014-03-27,18.76,18.9,18.13,18.27,0.894
2014-03-28,18.26,18.63,18.15,18.32,0.484
2014-03-31,18.45,18.61,18.18,18.29,1.245
2014-04-01,18.4,19.17,18.4,18.99,1.097
2014-04-02,19.01,19.09,18.45,18.65,0.972
2014-04-03,18.65,18.79,18.18,18.34,0.784
2014-04-04,18.45,18.5,17.51,17.62,1.261
2014-04-07,17.55,17.73,16.82,17.06,1.224
2014-04-08,17.0,17.28,16.63,17.03,0.845
2014-04-09,17.03,17.41,16.86,17.34,0.719
2014-04-10,17.34,17.4,16.2,16.43,0.948
2014-04-11,16.16,17.17,16.16,16.74,1.217
2014-04-14,16.95,17.24,16.49,16.78,0.861
2014-04-15,16.86,17.57,16.78,17.3,1.206
2014-04-16,17.48,17.83,17.27,17.79,1.116
2014-04-17,17.79,17.94,17.39,17.88,1.249
2014-04-21,17.86,17.93,17.36,17.7,0.919
2014-04-22,17.74,18.42,17.68,18.23,0.737
2014-04-23,18.24,18.6,18.17,18.26,0.848
2014-04-24,18.3,18.44,17.71,18.19,0.81
2014-04-25,18.07,18.07,17.52,17.71,0.8
2014-04-28,17.85,17.93,16.51,16.78,1.168
2014-04-29,16.84,17.2,16.62,17.08,0.951
2014-04-30,17.02,17.19,15.33,16.15,1.734
2014-05-01,15.99,16.12,15.09,15.25,2.363
2014-05-02,15.25,15.34,14.1,14.13,2.86
2014-05-05,14.12,14.59,13.82,14.41,1.385
2014-05-06,14.28,14.28,13.18,13.2,1.704
2014-05-07,13.2,13.39,12.55,13.13,2.596
2014-05-08,13.05,13.5,13.01,13.14,1.828
2014-05-09,13.12,13.39,13.03,13.26,1.177
2014-05-12,13.6,14.31,13.5,14.06,1.821
2014-05-13,14.17,14.24,13.55,13.64,0.883
2014-05-14,13.58,13.61,12.97,13.01,1.416
2014-05-15,12.93,13.13,12.62,13.05,1.009
2014-05-16,13.03,13.33,12.82,13.32,1.075
2014-05-19,13.2,13.66,13.11,13.52,0.894
2014-05-20,13.48,13.48,12.76,12.87,1.096
2014-05-21,12.91,13.09,12.82,13.06,0.58
2014-05-22,13.06,13.16,12.97,13.08,0.411
2014-05-23,13.06,13.38,12.99,13.35,0.602
2014-05-27,13.43,13.61,13.33,13.48,0.574
2014-05-28,13.39,13.61,13.19,13.27,0.583
2014-05-29,13.41,13.56,13.23,13.52,0.605
2014-05-30,13.52,13.57,13.23,13.27,0.654
2014-06-02,13.28,13.36,13.04,13.32,0.574
2014-06-03,13.19,13.32,12.98,13.0,0.614
2014-06-04,12.96,13.19,12.87,13.05,0.466
2014-06-05,13.22,13.37,12.95,13.36,0.631
2014-06-06,13.42,13.64,13.29,13.35,0.476
2014-06-09,13.31,13.66,13.26,13.53,0.802
2014-06-10,13.42,14.65,13.18,14.28,2.538
2014-06-11,14.1,14.23,13.7,13.91,1.007
2014-06-12,13.9,14.08,13.51,14.03,0.68
2014-06-13,14.09,14.09,13.62,13.87,0.485
2014-06-16,13.84,13.96,13.65,13.78,0.494
2014-06-17,13.83,14.19,13.65,14.07,0.723
2014-06-18,14.08,14.12,13.81,13.86,0.462
2014-06-19,14.0,14.0,13.62,13.7,0.624
2014-06-20,13.74,14.25,13.57,13.85,1.853
2014-06-23,13.82,13.82,13.57,13.7,0.611
2014-06-24,13.6,13.73,13.36,13.43,0.797
2014-06-25,13.36,13.49,13.18,13.46,0.533
2014-06-26,13.45,13.53,13.14,13.29,0.408
2014-06-27,13.22,13.42,13.13,13.39,0.65
2014-06-30,13.31,13.32,12.99,13.3,1.2
2014-07-01,13.35,13.74,13.2,13.5,1.125
2014-07-02,13.48,13.69,13.22,13.28,0.493
2014-07-03,13.31,13.36,13.11,13.18,0.271
2014-07-07,13.1,13.17,12.86,12.89,0.686
2014-07-08,12.88,13.02,11.97,12.0,2.098
2014-07-09,12.09,12.36,11.27,11.37,2.496
2014-07-10,11.19,11.29,10.81,11.24,1.856
2014-07-11,11.26,11.48,11.0,11.2,0.959
2014-07-14,11.32,11.4,11.14,11.21,0.986
2014-07-15,11.22,11.29,10.81,10.88,1.581
2014-07-16,10.96,10.97,10.7,10.78,1.032
2014-07-17,10.68,10.79,10.46,10.5,1.423
2014-07-18,10.5,11.4,10.5,11.36,1.994
2014-07-21,11.29,11.55,11.06,11.46,0.888
2014-07-22,11.51,11.72,11.43,11.53,0.59
2014-07-23,11.57,11.57,11.22,11.23,0.515
2014-07-24,11.24,11.6,11.24,11.44,0.735
2014-07-25,11.35,11.75,11.3,11.49,0.899
2014-07-28,11.48,11.62,11.19,11.31,0.567
