Date,Open,High,Low,Close,Volume
2014-01-02,90.9,91.08,89.38,89.45,5.112
2014-01-03,89.15,90.08,88.63,89.74,3.888
2014-01-06,89.7,90.25,89.38,89.7,2.845
2014-01-07,90.17,90.7,89.01,89.36,4.04
2014-01-08,88.66,89.64,88.66,89.41,3.88
2014-01-09,89.89,89.93,88.07,88.88,3.469
2014-01-10,89.26,89.56,88.1,88.55,2.902
2014-01-13,88.52,89.0,86.88,86.99,5.641
2014-01-14,87.08,87.45,86.07,87.12,4.778
2014-01-15,87.46,88.53,87.08,88.25,4.495
2014-01-16,88.0,88.24,87.26,87.78,3.326
2014-01-17,91.83,93.62,90.55,90.97,14.99
2014-01-21,91.97,92.71,89.64,90.59,7.955
2014-01-22,90.64,91.42,90.62,91.13,3.849
2014-01-23,90.49,90.49,88.68,89.17,5.261
2014-01-24,88.56,89.37,86.66,86.95,6.289
2014-01-27,87.15,87.77,85.71,85.72,5.651
2014-01-28,85.85,87.18,85.6,86.64,4.109
2014-01-29,86.29,86.9,85.43,85.55,3.358
2014-01-30,86.45,86.98,86.07,86.62,4.259
2014-01-31,85.28,85.91,84.91,85.02,4.778
2014-02-03,84.99,85.42,82.77,82.86,5.77
2014-02-04,83.19,84.71,82.63,84.0,5.38
2014-02-05,83.51,84.12,82.95,83.72,3.26
2014-02-06,84.5,85.76,84.32,85.69,5.432
2014-02-07,85.96,87.17,85.78,87.0,4.495
2014-02-10,87.83,88.96,87.5,88.34,5.388
2014-02-11,88.36,88.84,88.17,88.58,3.602
2014-02-12,88.69,89.05,88.4,89.02,2.489
2014-02-13,88.37,88.98,88.01,88.9,2.76
2014-02-14,88.86,89.27,88.26,89.0,2.672
2014-02-18,88.8,89.14,88.29,89.02,3.592
2014-02-19,88.89,90.32,88.75,88.84,4.332
2014-02-20,88.8,89.23,88.12,89.01,4.412
2014-02-21,89.06,89.41,88.56,88.75,3.809
2014-02-24,88.79,90.43,88.79,89.92,3.261
2014-02-25,90.0,90.37,89.15,89.91,2.915
2014-02-26,90.16,90.69,89.21,89.73,4.84
