Date,Open,High,Low,Close,Volume
2014-01-02,15.69,16.16,15.68,16.1,148.71
2014-01-03,16.27,16.5,16.23,16.41,129.922
2014-01-06,16.63,16.73,16.56,16.66,114.431
2014-01-07,16.77,16.79,16.45,16.5,110.605
2014-01-08,16.67,16.69,16.52,16.58,101.036
2014-01-09,16.67,16.93,16.61,16.83,100.947
2014-01-10,16.75,16.79,16.61,16.77,87.454
2014-01-13,16.79,16.8,16.4,16.43,90.025
2014-01-14,16.54,16.77,16.53,16.77,97.787
2014-01-15,17.23,17.42,17.11,17.15,329.333
2014-01-16,17.09,17.14,16.99,17.08,163.613
2014-01-17,17.2,17.22,16.99,17.01,96.232
2014-01-21,17.08,17.16,16.87,17.01,118.269
2014-01-22,17.08,17.15,17.0,17.15,68.114
2014-01-23,17.07,17.09,16.74,16.86,123.766
2014-01-24,16.67,16.72,16.45,16.45,112.899
2014-01-27,16.37,16.54,16.06,16.31,134.873
2014-01-28,16.45,16.76,16.37,16.73,92.891
2014-01-29,16.55,16.85,16.49,16.68,130.027
2014-01-30,16.81,16.99,16.77,16.93,91.028
2014-01-31,16.72,16.98,16.61,16.75,139.432
2014-02-03,16.77,16.88,16.3,16.35,159.981
2014-02-04,16.49,16.56,16.26,16.35,125.337
2014-02-05,16.31,16.45,16.15,16.4,110.576
2014-02-06,16.45,16.73,16.44,16.69,110.029
2014-02-07,16.82,16.88,16.63,16.82,122.571
2014-02-10,16.71,16.73,16.6,16.72,95.792
2014-02-11,16.73,16.92,16.64,16.88,92.618
2014-02-12,16.87,16.91,16.65,16.75,96.949
2014-02-13,16.65,16.82,16.63,16.75,95.757
2014-02-14,16.74,16.76,16.65,16.7,100.684
2014-02-18,16.7,16.74,16.47,16.47,121.779
2014-02-19,16.38,16.45,16.18,16.2,137.734
2014-02-20,16.22,16.36,16.18,16.3,107.426
2014-02-21,16.29,16.49,16.25,16.29,106.237
2014-02-24,16.3,16.63,16.3,16.53,102.91
2014-02-25,16.5,16.56,16.32,16.34,81.457
2014-02-26,16.36,16.4,16.13,16.33,89.832
2014-02-27,16.27,16.49,16.21,16.49,71.314
2014-02-28,16.49,16.65,16.35,16.53,126.252
2014-03-03,16.3,16.41,16.19,16.3,87.527
2014-03-04,16.48,16.74,16.43,16.73,100.85
2014-03-05,16.79,17.31,16.78,17.25,207.18
2014-03-06,17.42,17.63,17.31,17.35,138.079
2014-03-07,17.54,17.59,17.25,17.33,109.547
2014-03-10,17.27,17.47,17.25,17.47,81.733
2014-03-11,17.51,17.52,17.25,17.27,90.183
2014-03-12,17.18,17.33,17.07,17.28,83.309
2014-03-13,17.34,17.47,17.07,17.16,100.876
2014-03-14,17.08,17.22,16.76,16.8,131.297
2014-03-17,16.98,17.17,16.97,17.11,79.942
2014-03-18,17.14,17.22,17.07,17.19,67.402
2014-03-19,17.16,17.49,17.12,17.44,105.006
2014-03-20,17.44,18.0,17.43,17.92,167.049
2014-03-21,18.03,18.03,17.56,17.56,155.721
2014-03-24,17.62,17.65,17.3,17.37,118.5
2014-03-25,17.49,17.58,17.2,17.21,98.349
2014-03-26,17.38,17.4,17.18,17.18,97.574
2014-03-27,17.28,17.49,16.83,17.01,175.14
2014-03-28,17.09,17.15,16.85,16.98,79.91
2014-03-31,17.15,17.27,17.12,17.2,62.116
