Date,Open,High,Low,Close,Volume
2014-01-02,25.62,25.81,25.57,25.7,1.235
2014-01-03,25.74,25.94,25.72,25.83,0.86
2014-01-06,25.83,25.91,25.54,25.73,1.52
2014-01-07,25.78,26.06,25.78,26.02,1.31
2014-01-08,25.98,26.1,25.9,26.02,1.179
2014-01-09,26.1,26.23,25.9,26.08,1.358
2014-01-10,26.17,26.17,25.83,25.97,1.013
2014-01-13,25.88,25.95,25.35,25.39,1.747
2014-01-14,25.39,25.61,25.39,25.6,1.495
2014-01-15,25.64,25.72,25.42,25.49,1.195
2014-01-16,25.49,25.5,25.33,25.48,1.022
2014-01-17,25.57,25.57,25.25,25.26,1.335
2014-01-21,25.36,25.41,25.09,25.28,1.882
2014-01-22,25.35,25.41,25.21,25.38,1.325
2014-01-23,25.3,25.39,24.89,25.0,1.642
2014-01-24,24.84,24.91,24.29,24.3,1.663
2014-01-27,24.35,24.83,24.22,24.26,2.423
2014-01-28,24.3,24.36,24.06,24.14,2.579
2014-01-29,23.94,24.72,23.88,24.53,3.253
2014-01-30,25.9,26.37,25.35,25.8,5.11
2014-01-31,25.48,25.89,25.38,25.59,3.364
2014-02-03,25.65,26.02,25.56,25.58,4.389
2014-02-04,25.69,25.78,25.11,25.59,4.138
2014-02-05,25.48,25.98,25.15,25.83,3.344
2014-02-06,25.83,26.01,25.66,26.0,2.677
2014-02-07,25.99,26.43,25.92,26.4,2.457
2014-02-10,26.34,26.67,26.32,26.63,2.243
2014-02-11,26.57,27.09,26.52,26.97,1.899
2014-02-12,27.02,27.16,26.86,26.92,2.726
2014-02-13,26.78,27.43,26.75,27.24,2.211
2014-02-14,27.22,27.42,27.15,27.32,2.999
2014-02-18,27.3,27.58,27.27,27.43,2.47
2014-02-19,27.33,27.78,27.33,27.45,1.76
2014-02-20,27.44,27.56,27.23,27.38,2.061
2014-02-21,27.44,27.68,27.33,27.46,4.474
2014-02-24,27.46,27.68,27.42,27.44,1.361
2014-02-25,27.43,27.49,27.28,27.35,1.289
2014-02-26,27.45,27.65,27.39,27.48,1.195
2014-02-27,27.43,27.65,27.4,27.65,1.462
2014-02-28,27.65,27.92,27.64,27.78,1.199
2014-03-03,27.47,27.7,27.4,27.62,1.427
2014-03-04,27.9,28.0,27.76,28.0,2.277
2014-03-05,28.0,28.0,27.81,27.88,1.266
2014-03-06,28.01,28.12,27.9,27.98,1.266
2014-03-07,28.06,28.17,27.92,28.05,2.221
2014-03-10,27.99,28.09,27.73,27.76,1.351
2014-03-11,27.79,27.84,27.47,27.54,2.228
2014-03-12,27.37,27.5,27.2,27.28,2.072
2014-03-13,27.38,27.59,27.14,27.27,2.391
2014-03-14,27.24,27.43,26.99,27.01,3.553
2014-03-17,27.11,27.31,27.07,27.26,1.406
2014-03-18,27.32,27.44,27.23,27.3,1.388
2014-03-19,27.31,27.42,26.86,27.0,1.748
2014-03-20,26.88,27.02,26.8,26.86,1.914
2014-03-21,27.06,27.16,26.81,27.02,4.203
2014-03-24,27.06,27.15,26.62,26.72,1.668
2014-03-25,26.8,26.95,26.7,26.78,1.44
2014-03-26,26.87,26.94,26.62,26.66,1.675
2014-03-27,26.6,26.84,26.45,26.8,1.542
2014-03-28,26.86,27.1,26.75,26.99,1.054
2014-03-31,27.05,27.45,26.99,27.41,2.306
2014-04-01,27.49,27.54,27.31,27.53,1.496
2014-04-02,27.48,27.75,27.33,27.7,1.542
2014-04-03,27.81,27.82,27.55,27.65,1.242
2014-04-04,27.83,28.15,27.46,27.59,1.821
2014-04-07,27.5,27.59,27.13,27.2,1.859
2014-04-08,27.23,27.51,27.14,27.4,1.397
