Date,Open,High,Low,Close,Volume
2014-01-02,37.77,37.85,37.5,37.58,3.811
2014-01-03,37.69,37.84,37.51,37.64,3.287
2014-01-06,37.93,37.99,37.5,37.71,5.819
2014-01-07,37.59,38.01,37.44,37.91,6.519
2014-01-08,37.9,38.05,37.77,38.03,5.918
2014-01-09,38.12,38.18,37.73,38.14,7.226
2014-01-10,38.13,38.14,37.87,38.03,5.714
2014-01-13,37.91,38.38,37.91,38.08,7.405
2014-01-14,38.1,38.2,37.69,37.84,7.386
2014-01-15,37.9,37.97,37.46,37.93,5.158
2014-01-16,37.68,38.28,37.68,38.06,4.779
2014-01-17,38.0,38.09,37.76,37.98,5.524
2014-01-21,38.04,38.1,37.6,37.78,5.929
2014-01-22,37.82,38.08,37.74,37.88,6.214
2014-01-23,38.27,38.42,37.47,37.48,8.218
2014-01-24,37.22,37.33,36.56,36.74,7.593
2014-01-27,36.81,37.13,36.78,36.87,7.012
2014-01-28,36.94,37.33,36.88,37.21,5.471
2014-01-29,37.12,37.54,36.94,37.15,6.681
2014-01-30,37.35,37.71,37.18,37.63,6.947
2014-01-31,37.27,37.36,37.07,37.1,8.118
2014-02-03,37.13,37.2,36.09,36.15,8.861
2014-02-04,36.2,36.43,36.09,36.37,4.999
2014-02-05,36.27,36.72,36.22,36.56,4.839
2014-02-06,36.69,36.76,36.41,36.44,6.554
2014-02-07,36.55,37.05,36.47,36.88,5.663
2014-02-10,36.81,37.15,36.75,37.1,3.843
2014-02-11,37.1,37.85,37.02,37.72,4.387
2014-02-12,37.84,37.93,37.51,37.54,4.631
2014-02-13,37.46,37.67,37.27,37.62,4.174
2014-02-14,37.42,37.65,37.39,37.52,4.533
2014-02-18,37.72,37.81,37.49,37.64,4.333
2014-02-19,37.49,38.04,37.49,37.54,4.603
2014-02-20,37.53,37.85,37.53,37.67,4.727
2014-02-21,37.69,38.0,37.55,37.64,7.19
2014-02-24,37.74,38.1,37.72,37.74,4.831
2014-02-25,37.73,37.73,37.25,37.29,4.704
2014-02-26,37.28,37.87,37.22,37.59,7.504
2014-02-27,37.56,37.75,36.97,37.42,6.653
2014-02-28,37.48,37.88,37.35,37.75,7.114
2014-03-03,37.43,37.54,37.08,37.42,5.227
2014-03-04,37.68,37.72,37.48,37.5,6.784
2014-03-05,37.23,37.26,36.76,36.9,7.865
2014-03-06,36.94,36.99,36.66,36.7,5.94
2014-03-07,36.82,36.88,36.61,36.66,7.913
2014-03-10,36.66,36.85,36.4,36.77,6.479
2014-03-11,36.76,37.08,36.56,36.8,5.651
2014-03-12,36.68,36.88,36.62,36.73,4.009
2014-03-13,36.81,36.84,36.34,36.38,3.219
2014-03-14,36.29,36.53,36.09,36.12,4.985
2014-03-17,36.04,36.47,36.03,36.12,5.007
2014-03-18,36.2,36.69,36.16,36.56,6.526
2014-03-19,36.62,36.91,36.51,36.62,4.898
2014-03-20,36.55,36.86,36.41,36.85,5.652
2014-03-21,37.11,37.28,36.62,36.78,8.354
2014-03-24,36.8,36.86,36.13,36.32,6.522
2014-03-25,36.4,37.16,36.37,37.15,7.679
2014-03-26,37.29,38.43,37.15,38.07,15.006
2014-03-27,41.11,41.11,39.48,39.54,36.805
2014-03-28,39.78,40.06,39.34,39.57,12.233
2014-03-31,39.61,40.08,39.43,39.97,6.646
2014-04-01,40.12,40.17,39.61,40.02,6.544
