Date,Open,High,Low,Close,Volume
2014-01-02,30.22,30.27,29.6,29.86,0.88
2014-01-03,29.95,30.12,29.84,29.97,0.641
2014-01-06,30.09,30.09,29.7,29.71,1.082
2014-01-07,29.79,30.02,29.68,29.91,1.122
2014-01-08,29.86,29.94,29.38,29.63,1.883
2014-01-09,29.7,29.95,29.6,29.88,1.418
2014-01-10,30.02,30.2,29.93,30.08,0.925
2014-01-13,30.22,31.49,30.22,31.29,2.181
2014-01-14,31.36,31.45,31.13,31.28,1.897
2014-01-15,31.26,31.53,31.04,31.52,1.125
2014-01-16,31.73,32.17,31.59,32.09,1.994
2014-01-17,32.13,32.3,31.66,31.68,2.214
2014-01-21,31.96,32.09,31.74,32.01,1.197
2014-01-22,31.97,32.06,31.65,31.81,1.481
2014-01-23,31.72,31.77,31.44,31.57,0.954
2014-01-24,31.46,31.61,31.1,31.1,1.015
2014-01-27,31.1,31.56,31.05,31.34,1.568
2014-01-28,31.36,31.96,31.35,31.83,1.346
2014-01-29,30.1,31.6,30.1,31.2,1.412
2014-01-30,31.29,31.6,30.91,31.22,1.794
2014-01-31,30.8,31.1,30.55,30.8,1.709
2014-02-03,30.75,30.98,30.22,30.41,2.052
2014-02-04,30.68,30.72,30.38,30.69,1.246
2014-02-05,30.59,30.74,30.32,30.34,1.232
2014-02-06,30.4,30.88,30.31,30.86,0.8
2014-02-07,30.95,31.45,30.82,31.43,1.106
2014-02-10,31.37,31.5,31.04,31.42,0.964
2014-02-11,31.41,31.79,31.26,31.77,1.341
2014-02-12,31.99,32.08,31.74,31.98,1.167
2014-02-13,31.84,32.27,31.74,32.24,0.856
2014-02-14,32.12,32.44,32.04,32.38,1.105
2014-02-18,32.44,32.6,32.26,32.45,0.916
2014-02-19,32.31,32.72,32.26,32.41,0.756
2014-02-20,32.42,32.8,32.13,32.62,0.866
2014-02-21,32.63,32.7,32.44,32.67,1.062
2014-02-24,32.9,33.31,32.67,33.24,1.282
2014-02-25,33.44,33.64,33.22,33.56,2.036
2014-02-26,33.64,33.88,33.16,33.2,1.292
2014-02-27,33.16,33.51,33.08,33.37,0.975
2014-02-28,33.41,33.65,33.23,33.52,0.92
2014-03-03,33.39,33.5,33.05,33.27,0.939
2014-03-04,33.6,33.8,33.54,33.72,1.416
2014-03-05,34.62,35.33,34.4,34.84,1.944
2014-03-06,34.94,35.3,34.73,35.28,1.197
2014-03-07,35.4,35.49,34.96,35.24,1.158
2014-03-10,35.24,35.34,35.06,35.26,0.953
2014-03-11,35.41,35.41,35.01,35.18,0.816
2014-03-12,34.98,35.14,34.74,35.02,1.061
2014-03-13,35.17,35.2,34.59,34.8,0.838
2014-03-14,34.75,35.18,34.75,34.85,0.89
2014-03-17,34.96,35.34,34.86,35.34,0.965
2014-03-18,35.33,35.59,35.23,35.55,0.962
2014-03-19,35.64,35.94,35.36,35.62,1.308
2014-03-20,35.48,35.81,35.26,35.78,1.089
2014-03-21,36.1,36.46,35.78,35.9,2.55
2014-03-24,35.96,36.14,35.2,35.2,1.928
2014-03-25,35.33,35.61,35.2,35.3,1.301
2014-03-26,35.4,35.98,35.21,35.52,1.206
2014-03-27,35.39,35.82,35.2,35.52,1.666
2014-03-28,35.54,35.87,35.36,35.58,0.86
2014-03-31,35.69,35.92,35.52,35.88,1.271
2014-04-01,36.11,36.11,35.64,35.87,0.869
2014-04-02,35.86,36.1,35.6,35.73,1.486
2014-04-03,35.8,35.88,35.52,35.74,1.937
2014-04-04,35.95,36.12,35.38,35.49,1.07
2014-04-07,35.6,35.6,35.3,35.33,1.026
2014-04-08,35.33,35.68,35.23,35.61,0.983
2014-04-09,35.81,36.2,35.66,36.19,1.533
2014-04-10,36.18,36.41,35.62,35.69,1.315
2014-04-11,35.6,35.91,34.94,34.97,1.576
2014-04-14,35.1,35.34,34.42,34.69,2.063
2014-04-15,34.86,34.86,34.18,34.8,1.524
2014-04-16,35.12,35.48,34.89,35.48,0.848
2014-04-17,35.33,35.68,35.12,35.57,2.914
2014-04-21,35.6,35.87,35.41,35.6,0.656
2014-04-22,35.48,35.67,35.17,35.31,1.047
2014-04-23,35.37,35.39,35.04,35.16,0.947
2014-04-24,35.26,35.62,35.18,35.44,1.607
2014-04-25,35.44,35.61,35.2,35.48,0.95
2014-04-28,35.66,35.86,35.33,35.77,0.947
2014-04-29,35.92,36.27,35.67,35.93,1.148
2014-04-30,35.89,35.93,35.51,35.89,0.909
2014-05-01,35.81,36.04,35.59,35.94,0.632
2014-05-02,35.86,36.25,35.77,36.22,0.881
2014-05-05,36.18,36.56,35.97,36.48,0.987
2014-05-06,36.28,36.37,35.85,35.91,1.357
2014-05-07,35.96,36.3,35.94,36.25,0.722
2014-05-08,36.21,36.42,35.97,36.07,0.552
2014-05-09,36.0,36.22,35.84,36.18,0.685
2014-05-12,36.32,36.5,36.13,36.23,0.785
2014-05-13,36.23,36.42,36.18,36.35,0.822
2014-05-14,36.4,36.64,36.3,36.54,0.95
2014-05-15,36.42,36.56,36.04,36.16,0.826
2014-05-16,36.16,36.91,36.14,36.86,0.788
2014-05-19,36.82,36.9,36.58,36.61,0.604
2014-05-20,36.61,36.73,36.12,36.16,0.774
2014-05-21,36.22,36.65,36.16,36.6,0.751
2014-05-22,36.6,36.99,36.4,36.75,0.709
2014-05-23,36.82,36.82,36.4,36.57,0.628
2014-05-27,36.51,36.9,36.51,36.8,0.501
2014-05-28,36.88,36.89,36.5,36.52,0.611
2014-05-29,36.55,37.02,36.55,36.91,0.541
2014-05-30,36.91,37.12,36.84,37.07,0.972
2014-06-02,37.37,37.91,36.97,37.44,1.111
2014-06-03,37.53,37.61,37.09,37.16,1.667
2014-06-04,37.17,37.33,36.84,37.26,1.454
2014-06-05,37.26,37.9,36.88,37.87,1.215
2014-06-06,37.89,37.94,37.52,37.8,1.085
2014-06-09,37.67,37.9,37.25,37.35,1.204
2014-06-10,37.24,37.58,37.23,37.47,1.159
2014-06-11,37.53,37.69,37.37,37.57,0.615
2014-06-12,37.53,37.8,37.34,37.54,0.638
2014-06-13,37.5,37.75,37.36,37.46,0.451
2014-06-16,37.36,37.58,37.36,37.53,1.072
2014-06-17,37.47,37.67,37.26,37.59,0.572
2014-06-18,37.6,38.41,37.46,38.39,0.962
2014-06-19,38.37,38.67,38.32,38.66,0.876
2014-06-20,38.86,38.86,38.36,38.56,1.359
2014-06-23,38.46,38.58,38.04,38.14,0.756
2014-06-24,38.0,38.04,37.76,37.77,0.773
2014-06-25,37.77,38.0,37.62,37.9,0.674
2014-06-26,37.88,37.94,37.53,37.6,0.541
2014-06-27,37.47,37.77,37.4,37.7,0.764
2014-06-30,37.63,38.25,37.54,37.67,1.097
2014-07-01,37.79,38.11,37.72,37.95,1.038
2014-07-02,37.87,38.13,37.61,37.76,0.778
2014-07-03,37.73,38.04,37.7,37.77,0.887
2014-07-07,37.8,38.23,37.74,38.13,0.83
2014-07-08,38.15,38.26,37.66,37.69,0.951
2014-07-09,37.84,37.84,37.54,37.64,0.807
2014-07-10,37.34,37.62,37.21,37.52,0.487
2014-07-11,37.6,37.66,37.26,37.54,0.456
2014-07-14,37.79,37.8,37.41,37.57,0.525
2014-07-15,37.5,37.6,37.28,37.34,0.791
2014-07-16,37.37,37.37,37.04,37.12,0.702
2014-07-17,37.0,37.14,36.61,36.66,0.437
2014-07-18,36.82,37.32,36.54,37.07,0.775
2014-07-21,36.82,36.96,36.62,36.81,0.558
2014-07-22,36.8,37.26,36.72,37.12,0.796
2014-07-23,37.12,37.24,36.82,36.86,0.614
2014-07-24,37.03,37.03,36.66,36.79,0.792
2014-07-25,36.66,36.99,36.45,36.58,0.756
2014-07-28,36.53,36.72,35.8,36.12,1.423
2014-07-29,36.06,36.49,36.0,36.02,1.12
2014-07-30,36.06,36.11,35.21,35.27,1.387
2014-07-31,35.24,35.27,34.59,34.66,1.632
2014-08-01,34.65,35.29,34.6,35.02,1.348
2014-08-04,34.98,35.42,34.98,35.35,1.121
2014-08-05,35.18,35.62,35.12,35.36,1.214
2014-08-06,35.29,36.25,35.29,36.23,1.346
2014-08-07,36.38,36.4,35.91,36.13,1.019
2014-08-08,36.3,36.68,35.94,36.66,0.786
2014-08-11,36.47,36.99,36.01,36.82,1.17
2014-08-12,36.78,36.82,36.62,36.74,0.952
2014-08-13,36.96,36.96,36.54,36.71,0.727
2014-08-14,36.74,37.04,36.74,36.96,0.832
2014-08-15,37.15,37.26,36.7,37.12,0.819
2014-08-18,37.2,37.27,37.0,37.18,0.619
2014-08-19,37.15,37.34,37.08,37.2,0.977
2014-08-20,37.21,37.24,36.95,37.08,0.614
2014-08-21,37.08,37.41,37.08,37.1,0.94
2014-08-22,37.02,37.3,36.83,36.97,1.126
2014-08-25,37.31,37.41,37.06,37.36,1.104
2014-08-26,37.36,37.45,36.84,36.9,1.514
2014-08-27,36.56,37.06,36.5,36.82,0.736
2014-08-28,36.6,36.83,36.35,36.61,1.097
2014-08-29,36.78,37.11,36.56,37.06,1.146
2014-09-02,37.02,37.32,36.8,36.88,1.051
