Date,Open,High,Low,Close,Volume
2014-01-02,81.71,82.28,81.56,81.92,0.369
2014-01-03,81.68,81.68,80.95,81.25,0.625
2014-01-06,81.59,81.87,80.94,81.09,1.25
2014-01-07,81.19,81.88,81.15,81.65,0.968
2014-01-08,81.4,81.82,81.11,81.33,0.695
2014-01-09,81.6,81.84,80.94,81.23,0.714
2014-01-10,81.33,82.0,81.0,81.45,0.56
2014-01-13,81.05,81.58,80.97,81.06,0.712
2014-01-14,80.9,82.23,80.81,81.81,0.647
2014-01-15,82.06,82.06,81.37,81.58,0.875
2014-01-16,81.5,81.66,80.72,81.47,0.963
2014-01-17,81.36,81.74,81.01,81.3,0.503
2014-01-21,81.36,81.48,80.77,81.34,0.661
2014-01-22,81.8,81.8,80.82,81.09,0.658
2014-01-23,80.67,81.47,79.98,80.1,1.004
2014-01-24,79.75,79.85,77.63,77.64,1.255
2014-01-27,77.34,77.92,76.38,77.03,1.516
2014-01-28,77.02,77.71,76.68,77.47,0.931
2014-01-29,77.05,77.19,75.91,75.95,0.885
2014-01-30,76.08,76.8,75.64,76.64,0.681
2014-01-31,76.02,76.37,75.71,75.76,0.666
2014-02-03,75.59,76.16,74.31,74.43,0.974
2014-02-04,74.58,74.81,73.26,73.51,1.764
2014-02-05,73.47,74.78,73.12,74.26,1.372
2014-02-06,74.29,75.36,74.29,75.12,0.863
2014-02-07,75.28,76.12,74.93,75.19,0.834
2014-02-10,75.08,75.38,74.27,74.62,1.042
2014-02-11,75.01,76.47,74.58,76.4,1.041
2014-02-12,75.93,76.42,75.43,75.93,1.0
2014-02-13,75.85,77.42,75.0,77.36,2.136
2014-02-14,77.24,78.82,76.69,78.62,1.651
2014-02-18,78.52,78.92,78.11,78.31,0.929
2014-02-19,78.12,78.69,77.9,78.4,1.084
2014-02-20,78.3,79.59,78.17,79.14,1.034
2014-02-21,79.14,79.58,79.0,79.37,1.491
2014-02-24,79.4,80.74,79.4,79.88,1.177
2014-02-25,79.75,80.57,79.62,80.01,0.914
2014-02-26,80.0,80.64,79.84,80.04,0.813
2014-02-27,79.79,79.96,79.15,79.49,0.985
2014-02-28,79.46,79.9,79.04,79.61,0.967
2014-03-03,78.89,78.9,77.96,78.43,1.208
2014-03-04,79.35,79.44,78.53,78.82,1.282
2014-03-05,78.63,78.79,77.77,78.38,1.068
2014-03-06,78.46,80.39,78.11,80.25,1.441
2014-03-07,80.27,80.69,79.55,79.98,1.015
2014-03-10,79.71,80.59,79.62,80.55,0.943
2014-03-11,80.49,80.6,78.77,79.1,1.095
2014-03-12,78.39,79.48,78.24,78.41,1.24
2014-03-13,78.57,79.04,77.98,78.0,1.071
2014-03-14,77.97,78.78,77.84,78.16,0.775
2014-03-17,78.25,79.0,78.1,78.5,0.836
2014-03-18,78.51,79.11,78.31,79.04,0.74
2014-03-19,79.22,79.22,77.95,78.14,0.534
2014-03-20,77.87,78.63,77.7,78.28,0.645
2014-03-21,78.49,79.05,78.2,78.35,1.145
2014-03-24,78.5,78.74,77.78,77.96,0.556
2014-03-25,78.41,78.9,77.97,78.16,0.708
2014-03-26,78.62,78.85,77.47,77.5,0.884
2014-03-27,77.75,78.56,77.29,78.23,0.959
2014-03-28,78.8,79.23,78.42,78.98,0.657
2014-03-31,79.37,79.52,78.78,79.51,0.698
2014-04-01,79.61,79.81,78.93,79.56,0.719
2014-04-02,79.52,80.06,78.78,79.47,0.897
2014-04-03,79.47,79.53,78.44,79.49,0.816
2014-04-04,79.66,79.81,77.97,78.2,1.247
2014-04-07,78.03,78.88,77.5,78.04,1.08
2014-04-08,78.36,80.54,78.0,79.99,2.151
2014-04-09,80.2,81.0,79.51,80.36,0.804
2014-04-10,80.05,81.03,79.23,79.4,0.727
2014-04-11,79.19,79.25,78.09,78.25,0.679
2014-04-14,78.83,79.8,78.43,79.26,0.597
2014-04-15,79.35,79.86,78.81,79.58,0.842
2014-04-16,80.01,81.13,79.89,81.12,0.931
2014-04-17,81.05,81.21,80.11,80.25,0.723
2014-04-21,80.21,80.21,79.47,79.99,0.395
2014-04-22,79.97,80.29,79.53,80.11,0.83
2014-04-23,80.2,80.82,80.07,80.77,0.522
2014-04-24,80.81,81.36,80.31,80.77,0.565
2014-04-25,80.74,81.5,80.16,81.38,0.745
2014-04-28,81.75,81.75,79.62,79.88,0.699
2014-04-29,79.95,80.86,79.81,79.81,0.833
2014-04-30,79.85,80.53,79.35,79.65,1.602
2014-05-01,77.65,77.7,75.09,75.34,3.52
2014-05-02,75.35,76.51,75.15,76.4,1.826
2014-05-05,76.04,76.18,75.22,75.57,1.487
2014-05-06,75.52,76.01,75.23,75.48,1.01
2014-05-07,75.77,77.14,75.53,77.1,1.395
2014-05-08,77.02,77.48,76.33,76.76,0.98
2014-05-09,77.27,77.7,76.73,76.94,0.939
2014-05-12,77.12,77.95,77.12,77.55,0.711
2014-05-13,77.64,77.85,77.27,77.6,1.03
2014-05-14,77.36,77.87,77.06,77.54,0.956
2014-05-15,77.23,77.24,76.08,76.3,0.681
2014-05-16,76.3,76.83,76.14,76.69,0.562
2014-05-19,76.55,76.64,76.14,76.58,0.826
2014-05-20,76.65,77.07,76.32,77.01,1.043
2014-05-21,77.43,77.43,76.4,76.46,0.793
2014-05-22,76.17,76.54,75.46,75.5,0.691
2014-05-23,75.69,76.1,75.41,75.73,0.722
2014-05-27,75.67,76.15,75.47,75.88,0.686
2014-05-28,75.94,76.95,75.72,76.54,1.218
2014-05-29,76.99,78.35,76.66,77.53,1.309
2014-05-30,77.5,78.07,77.26,77.71,1.048
2014-06-02,77.8,77.95,76.99,77.01,0.734
2014-06-03,76.72,77.24,76.61,76.68,0.982
2014-06-04,76.62,76.65,75.0,75.37,1.524
2014-06-05,75.64,76.29,75.18,76.12,0.702
2014-06-06,76.1,76.8,76.1,76.6,0.422
2014-06-09,76.39,76.93,76.19,76.33,0.432
2014-06-10,76.06,76.43,75.82,76.22,0.611
2014-06-11,76.18,76.49,75.75,75.81,0.73
2014-06-12,75.9,76.1,74.98,75.11,0.872
2014-06-13,75.1,75.31,74.74,74.97,0.472
2014-06-16,74.99,75.1,74.7,74.97,0.46
2014-06-17,74.95,75.49,74.59,75.36,0.473
2014-06-18,75.27,75.55,74.4,75.52,0.544
