Date,Open,High,Low,Close,Volume
2014-01-02,54.98,55.42,53.84,54.07,3.475
2014-01-03,54.15,54.45,53.43,53.59,3.195
2014-01-06,53.95,53.96,53.02,53.4,2.94
2014-01-07,52.75,52.86,52.26,52.79,4.494
2014-01-08,52.87,52.87,51.67,52.21,5.122
2014-01-09,52.5,52.5,51.39,51.82,3.258
2014-01-10,51.0,53.13,50.8,53.06,8.785
2014-01-13,53.47,53.47,52.24,52.55,6.2
2014-01-14,52.07,53.24,52.07,53.04,4.329
2014-01-15,53.33,53.51,52.74,53.5,4.901
2014-01-16,53.5,53.76,53.19,53.73,5.072
2014-01-17,53.96,54.2,53.66,54.14,6.108
2014-01-21,55.14,56.9,55.0,56.73,10.04
2014-01-22,56.82,57.0,55.92,56.78,4.145
2014-01-23,56.34,57.01,56.34,56.94,6.77
2014-01-24,56.48,57.05,55.94,56.43,6.222
2014-01-27,56.39,56.75,55.89,56.25,4.921
2014-01-28,55.61,56.4,55.29,56.24,6.431
2014-01-29,55.64,56.03,55.08,55.81,5.998
2014-01-30,56.75,57.34,56.61,57.0,5.766
2014-01-31,56.16,57.16,55.96,56.64,5.699
2014-02-03,56.75,56.89,55.89,56.2,5.276
2014-02-04,56.46,57.15,56.2,57.05,4.874
2014-02-05,56.96,57.13,56.45,57.01,5.567
2014-02-06,57.08,58.37,57.0,58.16,6.248
2014-02-07,58.06,59.7,58.06,59.51,7.906
2014-02-10,59.41,59.57,58.9,59.07,4.334
2014-02-11,59.18,61.06,59.18,60.49,6.016
2014-02-12,60.59,61.73,59.58,59.69,6.889
2014-02-13,59.44,60.25,59.2,59.77,6.419
2014-02-14,59.81,60.36,59.63,59.68,5.074
2014-02-18,59.97,61.43,59.77,61.17,4.632
2014-02-19,60.92,61.88,60.59,60.7,4.528
2014-02-20,60.9,61.5,60.51,61.23,3.666
2014-02-21,61.34,61.47,60.73,61.02,3.339
2014-02-24,62.34,63.53,62.09,63.08,6.327
2014-02-25,62.7,62.72,61.51,62.3,3.633
