Date,Open,High,Low,Close,Volume
2014-01-02,7.18,7.6,7.14,7.53,1.022
2014-01-03,7.5,7.87,7.5,7.63,0.666
2014-01-06,7.65,7.88,7.61,7.65,0.701
2014-01-07,7.66,7.75,7.4,7.41,0.314
2014-01-08,7.39,7.53,7.25,7.41,0.388
2014-01-09,7.43,7.56,7.31,7.53,0.268
2014-01-10,7.55,7.84,7.55,7.73,0.411
2014-01-13,7.71,7.75,7.53,7.61,0.349
2014-01-14,7.6,7.92,7.47,7.85,0.362
2014-01-15,7.91,7.91,7.7,7.73,0.4
2014-01-16,7.67,8.04,7.57,7.97,0.408
2014-01-17,7.96,7.96,7.74,7.75,0.345
2014-01-21,7.77,7.88,7.75,7.84,0.322
2014-01-22,7.82,8.23,7.77,8.22,0.685
2014-01-23,8.21,8.42,7.99,8.42,0.664
2014-01-24,8.38,8.38,7.81,8.0,0.693
2014-01-27,8.0,8.13,7.61,7.93,0.649
2014-01-28,7.93,8.14,7.9,8.12,0.489
2014-01-29,8.01,8.08,7.7,7.92,0.456
2014-01-30,7.99,8.16,7.94,8.1,0.346
2014-01-31,7.95,8.21,7.89,8.05,0.734
2014-02-03,8.01,8.23,7.5,7.59,0.55
2014-02-04,7.66,7.75,7.54,7.58,0.293
2014-02-05,7.56,7.65,7.45,7.51,0.441
2014-02-06,7.54,7.83,7.54,7.7,0.248
2014-02-07,7.74,7.9,7.64,7.67,0.264
2014-02-10,7.63,7.67,7.46,7.56,0.368
2014-02-11,7.56,7.71,7.49,7.67,0.216
2014-02-12,7.69,8.1,7.69,8.06,0.456
2014-02-13,8.01,8.24,7.83,8.12,0.491
2014-02-14,8.12,8.21,8.01,8.16,0.467
2014-02-18,8.21,8.31,8.0,8.21,0.629
2014-02-19,8.2,8.27,8.04,8.15,0.6
2014-02-20,8.2,8.25,7.92,8.21,0.729
2014-02-21,8.24,8.84,7.79,8.74,1.237
2014-02-24,8.15,8.66,8.15,8.41,0.96
2014-02-25,8.38,8.64,8.37,8.6,0.691
2014-02-26,8.64,8.68,8.47,8.51,0.484
2014-02-27,8.45,9.0,8.45,8.84,1.151
2014-02-28,8.87,8.99,8.61,8.61,0.492
2014-03-03,8.51,8.58,8.28,8.49,0.462
2014-03-04,8.58,8.99,8.58,8.64,0.49
2014-03-05,8.65,8.74,8.5,8.68,0.343
2014-03-06,8.71,8.86,8.62,8.7,0.335
2014-03-07,8.73,8.85,8.53,8.6,0.223
2014-03-10,8.56,8.66,8.42,8.57,0.354
2014-03-11,8.56,8.76,8.37,8.47,0.309
2014-03-12,8.37,8.5,8.29,8.47,0.322
2014-03-13,8.5,8.5,8.04,8.18,0.584
2014-03-14,8.12,8.26,8.08,8.26,0.295
2014-03-17,8.3,8.48,8.14,8.19,0.426
2014-03-18,8.18,8.59,8.18,8.59,0.344
2014-03-19,8.64,8.73,8.34,8.48,0.286
2014-03-20,8.47,8.55,8.3,8.49,0.309
2014-03-21,8.55,8.55,8.19,8.19,0.394
2014-03-24,8.24,8.4,8.09,8.32,0.624
2014-03-25,8.37,8.58,8.37,8.49,0.433
2014-03-26,8.59,8.68,8.0,8.0,0.481
2014-03-27,7.97,8.11,7.88,7.97,0.435
2014-03-28,7.94,8.23,7.93,8.04,0.303
2014-03-31,8.65,9.16,8.37,9.1,2.066
2014-04-01,9.12,9.25,9.03,9.07,0.622
2014-04-02,9.1,9.11,8.91,8.99,0.511
2014-04-03,9.0,9.11,8.8,9.07,0.465
2014-04-04,9.15,9.4,8.84,8.91,0.686
2014-04-07,8.9,8.92,8.49,8.69,0.439
2014-04-08,8.7,8.73,8.53,8.56,0.269
2014-04-09,8.56,8.77,8.54,8.76,0.445
2014-04-10,8.77,8.77,8.38,8.46,0.549
2014-04-11,8.39,8.6,8.26,8.42,0.393
2014-04-14,8.48,8.66,8.43,8.5,0.574
2014-04-15,8.51,8.62,8.16,8.39,0.47
