Date,Open,High,Low,Close,Volume
2014-01-02,315.38,315.38,310.47,312.8,0.396
2014-01-03,311.95,315.99,310.42,314.17,0.443
2014-01-06,316.28,317.65,312.38,314.07,0.502
2014-01-07,314.12,319.63,314.12,316.96,0.423
2014-01-08,317.68,319.34,315.05,316.86,0.689
2014-01-09,317.32,318.92,314.01,316.08,0.473
2014-01-10,315.74,319.0,311.37,314.94,0.518
2014-01-13,313.51,315.78,305.88,306.47,0.789
2014-01-14,308.0,311.21,306.37,310.52,0.608
2014-01-15,311.43,313.43,309.08,312.75,1.044
2014-01-16,324.31,326.0,313.48,317.78,1.526
2014-01-17,319.85,322.59,315.52,316.72,1.024
2014-01-21,318.8,320.3,317.0,318.77,0.669
2014-01-22,319.99,324.74,318.72,323.89,1.001
2014-01-23,320.53,322.26,315.33,315.57,1.136
2014-01-24,313.72,313.72,302.9,303.11,1.046
2014-01-27,306.61,307.63,299.2,299.95,1.134
2014-01-28,301.0,304.2,299.73,303.69,1.064
2014-01-29,301.84,302.96,298.24,299.21,0.747
2014-01-30,301.43,307.11,301.43,305.44,0.689
2014-01-31,301.0,304.93,296.0,300.47,0.92
2014-02-03,297.05,298.74,284.78,286.39,1.584
2014-02-04,286.77,292.56,286.28,289.75,0.918
2014-02-05,290.85,294.38,286.04,289.27,0.918
2014-02-06,291.31,295.64,290.4,294.87,0.858
2014-02-07,297.0,300.0,295.1,299.87,0.865
2014-02-10,297.82,302.04,296.74,301.03,0.735
2014-02-11,301.0,306.5,300.01,305.15,0.764
2014-02-12,304.81,307.49,302.18,303.51,0.66
2014-02-13,298.99,305.76,296.13,304.54,0.55
2014-02-14,304.48,306.59,302.73,303.03,0.664
2014-02-18,303.31,306.76,303.0,305.96,0.514
2014-02-19,303.27,307.94,300.13,300.49,0.592
2014-02-20,300.39,301.95,297.5,300.52,0.606
2014-02-21,300.6,302.29,298.8,299.0,0.568
2014-02-24,298.95,304.55,298.94,302.59,0.635
2014-02-25,302.11,303.8,299.55,300.2,0.716
2014-02-26,300.29,301.46,295.88,297.63,0.681
2014-02-27,297.73,306.63,297.68,305.81,0.792
2014-02-28,305.77,308.9,303.4,304.84,0.887
2014-03-03,300.76,301.61,297.8,300.35,0.683
2014-03-04,304.25,308.84,304.01,307.22,0.733
2014-03-05,305.74,307.9,305.0,307.08,0.54
2014-03-06,308.8,312.21,307.28,311.11,0.737
2014-03-07,314.24,314.24,309.49,310.79,0.76
2014-03-10,310.67,310.99,306.63,308.47,0.81
2014-03-11,309.14,310.96,307.61,308.79,0.846
2014-03-12,306.07,308.9,304.53,308.88,0.555
2014-03-13,310.44,311.25,298.67,299.25,1.028
2014-03-14,298.77,301.09,295.71,295.71,0.718
2014-03-17,298.02,302.11,297.62,298.71,0.746
2014-03-18,300.11,301.75,299.16,301.08,0.41
2014-03-19,301.32,301.6,295.95,298.4,0.668
2014-03-20,296.98,302.5,296.67,300.99,0.646
2014-03-21,302.68,304.2,299.09,301.86,1.333
2014-03-24,301.81,303.92,298.61,302.58,0.883
2014-03-25,304.34,307.82,301.56,307.6,0.908
2014-03-26,311.58,313.36,308.34,309.25,0.963
2014-03-27,309.5,310.74,305.55,306.5,0.665
2014-03-28,309.4,313.92,308.41,310.89,0.702
2014-03-31,314.46,315.71,312.79,314.48,0.652
2014-04-01,316.12,317.15,312.81,316.89,0.758
2014-04-02,317.01,321.46,315.44,318.55,0.586
2014-04-03,319.61,319.61,313.45,314.64,0.554
2014-04-04,319.55,320.02,308.24,308.92,0.876
2014-04-07,309.72,310.53,303.16,303.89,0.833
2014-04-08,303.57,305.09,300.04,302.4,0.831
2014-04-09,303.47,308.85,302.7,308.32,0.57
2014-04-10,309.1,309.13,295.95,295.95,0.876
2014-04-11,295.75,297.58,292.2,293.71,0.93
2014-04-14,298.21,298.99,294.9,298.47,0.729
2014-04-15,299.87,301.75,295.0,300.71,0.634
2014-04-16,301.75,310.65,301.75,310.15,1.09
2014-04-17,312.95,313.21,300.75,308.38,1.012
2014-04-21,308.13,308.32,305.19,305.88,0.651
2014-04-22,306.25,310.26,305.02,308.27,0.582
2014-04-23,308.01,309.93,305.92,307.6,0.485
2014-04-24,305.58,307.59,302.79,303.62,0.545
2014-04-25,302.99,303.59,299.18,300.45,0.394
2014-04-28,302.02,303.62,295.37,298.5,0.808
2014-04-29,301.48,302.58,299.81,300.5,0.492
2014-04-30,299.13,302.14,298.0,301.0,0.423
2014-05-01,299.98,302.77,298.01,301.05,0.589
2014-05-02,300.8,304.25,298.76,299.0,0.605
2014-05-05,298.25,299.55,295.28,298.5,0.51
2014-05-06,298.24,299.26,296.12,296.31,0.591
2014-05-07,296.79,299.55,295.11,299.0,0.612
2014-05-08,298.4,302.87,298.4,300.38,0.582
2014-05-09,300.24,302.67,298.62,302.34,0.524
2014-05-12,297.42,306.5,297.42,304.58,0.694
2014-05-13,304.99,307.36,302.07,302.96,0.595
2014-05-14,303.16,304.06,301.17,301.8,0.475
2014-05-15,301.22,301.75,295.15,297.02,0.662
2014-05-16,300.8,300.8,294.66,297.53,0.545
2014-05-19,297.18,299.67,296.2,299.0,0.402
2014-05-20,299.0,300.2,295.0,296.43,0.437
2014-05-21,297.41,301.0,297.41,299.9,0.45
2014-05-22,299.13,301.75,298.03,300.57,0.411
2014-05-23,300.43,301.21,299.22,300.69,0.358
2014-05-27,303.17,305.9,301.91,304.63,0.464
2014-05-28,304.77,305.81,301.26,301.47,0.623
2014-05-29,302.83,305.23,301.95,304.82,0.406
2014-05-30,304.28,305.99,303.32,304.9,0.365
2014-06-02,304.96,306.64,302.33,306.03,0.404
2014-06-03,304.87,310.34,304.26,308.61,0.719
2014-06-04,307.41,311.1,306.43,310.75,0.558
2014-06-05,309.55,310.85,306.46,309.93,0.566
2014-06-06,311.74,314.57,310.59,313.96,0.457
2014-06-09,312.96,315.75,312.54,314.57,0.402
2014-06-10,314.15,315.75,312.13,314.7,0.393
2014-06-11,312.83,313.98,309.81,311.39,0.408
2014-06-12,311.54,311.86,307.24,308.82,0.52
2014-06-13,309.64,311.0,308.09,309.45,0.341
2014-06-16,308.45,309.99,306.51,309.38,0.472
2014-06-17,307.69,312.19,305.84,312.05,0.453
2014-06-18,312.25,320.68,310.45,319.85,0.935
2014-06-19,320.08,321.14,316.28,318.8,0.701
2014-06-20,319.58,320.53,316.76,318.05,0.67
2014-06-23,317.16,318.93,316.21,317.92,0.467
2014-06-24,316.99,319.99,315.16,316.26,0.584
2014-06-25,315.39,318.68,314.06,317.0,0.515
2014-06-26,317.25,317.81,312.54,315.22,0.605
2014-06-27,315.0,317.67,313.81,317.09,0.521
2014-06-30,317.11,320.64,316.5,319.6,0.503
2014-07-01,321.7,324.86,320.35,322.38,0.495
2014-07-02,322.7,322.9,319.86,321.87,0.54
2014-07-03,320.99,324.5,320.59,323.6,0.276
2014-07-07,321.26,322.76,320.12,321.18,0.387
2014-07-08,321.02,321.18,317.67,318.31,0.451
2014-07-09,320.5,321.7,318.92,320.96,0.346
2014-07-10,316.48,317.84,314.02,315.9,0.539
2014-07-11,316.1,318.69,314.5,317.81,0.615
2014-07-14,319.23,323.81,319.05,323.26,0.651
2014-07-15,323.01,326.2,322.22,323.74,1.063
2014-07-16,327.04,331.9,322.54,325.17,0.883
2014-07-17,322.99,325.9,317.31,317.79,0.762
2014-07-18,318.11,321.72,317.66,320.86,0.673
2014-07-21,318.07,320.56,317.46,318.62,0.558
2014-07-22,319.15,321.39,318.64,319.06,0.52
2014-07-23,319.88,320.0,316.5,316.55,0.689
2014-07-24,318.28,319.17,316.44,317.36,0.396
2014-07-25,315.67,316.76,313.62,314.91,0.508
2014-07-28,314.9,317.58,313.25,316.43,0.559
2014-07-29,317.15,319.25,314.39,314.54,0.454
2014-07-30,316.17,317.15,312.63,314.82,0.504
2014-07-31,311.75,311.99,304.73,304.73,0.844
2014-08-01,300.7,308.08,300.0,303.45,0.77
2014-08-04,306.49,306.49,303.29,305.37,0.881
2014-08-05,304.13,305.64,300.37,301.1,0.755
2014-08-06,299.79,305.98,299.34,304.02,0.669
2014-08-07,305.51,307.74,301.52,302.97,0.432
2014-08-08,304.44,308.11,302.61,307.8,0.396
2014-08-11,309.2,310.78,308.12,308.44,0.356
2014-08-12,307.69,311.38,307.61,310.88,0.554
2014-08-13,312.93,314.25,311.7,313.0,0.384
2014-08-14,313.32,314.87,312.9,314.72,0.334
2014-08-15,316.46,317.15,312.25,315.11,0.588
2014-08-18,317.08,319.86,316.39,319.73,0.465
2014-08-19,319.52,321.85,318.81,321.55,0.709
2014-08-20,321.41,324.96,319.8,324.72,0.527
2014-08-21,324.45,326.4,322.96,326.29,0.516
2014-08-22,325.1,327.69,324.3,326.0,0.458
2014-08-25,327.63,333.48,327.47,332.96,0.707
2014-08-26,334.11,337.28,333.15,336.47,0.697
2014-08-27,336.55,337.65,332.02,333.55,0.554
2014-08-28,330.65,331.38,328.08,328.84,0.555
2014-08-29,330.0,330.81,328.57,330.53,0.492
