Date,Open,High,Low,Close,Volume
2014-01-02,52.52,53.16,52.14,52.27,5.648
2014-01-03,52.41,53.18,52.37,52.85,4.485
2014-01-06,53.07,53.1,52.43,52.64,7.742
2014-01-07,52.6,53.46,52.5,52.56,8.961
2014-01-08,52.48,53.44,52.3,53.42,6.431
2014-01-09,53.69,55.09,53.64,55.03,10.348
2014-01-10,55.82,56.28,55.42,56.18,14.48
2014-01-13,55.96,56.83,55.31,55.42,12.153
2014-01-14,55.49,55.98,54.83,55.68,9.995
2014-01-15,55.7,55.72,54.3,54.5,10.135
2014-01-16,54.25,55.07,54.14,54.8,9.356
2014-01-17,54.92,55.07,54.26,54.36,8.914
2014-01-21,54.43,55.18,54.22,54.59,7.88
2014-01-22,54.74,55.18,54.59,54.81,6.549
2014-01-23,54.31,54.31,52.71,53.95,14.121
2014-01-24,54.6,55.47,50.31,50.94,29.291
2014-01-27,51.08,51.09,49.45,49.72,19.683
2014-01-28,49.92,51.5,49.91,51.07,13.141
2014-01-29,50.72,51.23,49.85,50.22,11.328
2014-01-30,50.61,51.06,50.17,50.49,7.528
2014-01-31,50.04,50.47,49.76,49.97,7.725
2014-02-03,50.13,50.29,48.54,48.64,10.15
2014-02-04,48.78,49.38,48.51,48.94,7.643
2014-02-05,48.58,49.0,47.52,48.54,12.44
2014-02-06,48.81,49.18,48.6,48.98,8.136
2014-02-07,48.98,50.37,48.96,50.33,8.543
2014-02-10,50.9,52.17,50.62,52.12,11.13
2014-02-11,51.66,52.98,51.38,52.62,10.454
2014-02-12,52.62,53.33,52.54,52.85,8.098
2014-02-13,52.6,53.5,52.51,53.49,6.062
2014-02-14,53.41,54.47,53.4,54.37,8.204
2014-02-18,54.24,54.96,54.21,54.63,7.658
2014-02-19,54.23,54.62,53.42,53.46,8.397
2014-02-20,53.64,53.9,53.44,53.85,12.438
2014-02-21,53.41,54.57,53.38,54.14,7.107
2014-02-24,54.24,54.77,54.23,54.31,6.621
2014-02-25,54.33,54.53,53.63,53.68,7.25
2014-02-26,53.64,54.04,53.45,53.57,5.892
2014-02-27,53.56,54.1,53.5,53.95,6.487
2014-02-28,53.91,54.92,53.4,53.77,7.803
2014-03-03,53.17,53.68,52.91,53.49,5.198
