Date,Open,High,Low,Close,Volume
2014-01-02,100.22,101.36,99.55,100.39,0.895
2014-01-03,100.73,102.7,100.07,101.59,0.687
2014-01-06,101.84,103.21,101.7,102.72,0.981
2014-01-07,102.71,103.83,102.13,103.38,1.128
2014-01-08,103.51,104.01,102.34,102.69,0.909
2014-01-09,102.93,102.93,101.74,102.74,0.934
2014-01-10,103.15,104.98,102.75,104.44,0.929
2014-01-13,104.06,104.94,103.16,103.6,0.769
2014-01-14,104.05,104.99,103.6,104.56,0.97
2014-01-15,104.25,105.35,104.25,105.19,0.914
2014-01-16,104.88,105.66,104.68,104.87,0.554
2014-01-17,105.12,105.24,104.14,104.74,0.992
2014-01-21,105.1,106.93,105.1,106.21,0.977
2014-01-22,106.57,107.81,106.41,107.29,0.706
2014-01-23,106.26,107.12,105.94,106.9,0.663
2014-01-24,106.75,106.85,104.89,104.89,0.834
2014-01-27,104.95,105.63,103.93,104.31,0.81
2014-01-28,104.36,105.99,104.36,105.32,0.762
2014-01-29,104.86,106.84,104.19,105.8,1.057
2014-01-30,106.53,108.34,106.48,108.0,0.872
2014-01-31,107.03,108.63,106.64,108.09,1.014
2014-02-03,107.93,108.42,105.82,106.06,0.83
2014-02-04,106.67,107.94,105.94,107.74,0.916
2014-02-05,107.58,107.72,106.19,106.73,0.717
2014-02-06,106.98,108.66,106.77,108.49,0.954
2014-02-07,108.92,109.99,107.92,109.18,1.089
2014-02-10,109.15,110.24,108.41,109.92,0.738
2014-02-11,109.68,110.38,109.32,109.64,0.99
2014-02-12,109.72,110.29,109.03,110.13,0.504
2014-02-13,109.47,111.24,109.47,110.11,0.727
2014-02-14,110.21,111.23,109.74,110.96,0.362
2014-02-18,110.77,111.35,109.85,111.32,0.69
2014-02-19,110.93,111.97,110.48,110.84,0.515
2014-02-20,110.86,111.74,110.04,110.66,0.655
2014-02-21,110.7,111.69,110.3,110.91,0.583
2014-02-24,110.91,111.54,110.6,110.63,0.694
2014-02-25,110.67,112.72,110.25,112.1,0.837
2014-02-26,112.58,112.94,110.98,111.4,0.625
2014-02-27,111.36,112.25,109.73,110.93,0.718
2014-02-28,110.79,112.96,110.59,112.43,1.084
2014-03-03,111.98,112.84,110.98,112.17,0.64
2014-03-04,113.0,114.06,112.56,113.59,0.939
2014-03-05,113.47,113.67,111.16,112.99,0.904
2014-03-06,113.46,113.46,111.61,112.44,0.764
2014-03-07,112.44,112.44,110.17,110.94,0.904
2014-03-10,110.85,111.06,109.94,110.68,0.688
2014-03-11,111.48,113.72,111.23,112.91,1.206
2014-03-12,112.17,113.0,111.43,111.57,0.82
2014-03-13,111.87,111.9,110.77,111.65,0.64
2014-03-14,111.59,112.79,111.4,111.85,0.487
2014-03-17,112.3,113.0,111.67,112.19,0.645
2014-03-18,112.24,113.29,111.87,113.21,0.588
2014-03-19,113.38,114.44,111.37,112.0,1.12
2014-03-20,111.45,112.88,110.49,112.84,0.892
2014-03-21,113.87,114.59,112.67,113.95,1.095
2014-03-24,113.97,114.14,112.18,113.16,0.746
2014-03-25,113.61,114.05,112.88,113.64,0.482
2014-03-26,113.8,113.92,112.17,112.34,0.955
2014-03-27,111.63,113.11,111.39,113.04,0.776
2014-03-28,113.38,114.19,113.38,113.89,0.523
2014-03-31,114.2,115.2,113.2,114.53,0.685
2014-04-01,114.58,115.76,113.82,115.71,0.884
2014-04-02,115.36,116.25,114.9,115.5,0.787
2014-04-03,115.69,115.92,114.84,115.5,0.613
2014-04-04,114.79,117.0,114.79,116.31,0.783
2014-04-07,116.2,117.45,115.64,116.57,1.303
2014-04-08,116.57,117.41,115.97,117.26,0.72
2014-04-09,117.28,117.49,116.01,116.26,0.969
2014-04-10,116.61,117.28,114.23,114.45,0.965
2014-04-11,113.96,116.0,113.86,115.35,1.291
2014-04-14,115.84,116.47,114.24,115.44,0.776
2014-04-15,115.48,117.07,115.35,116.79,1.087
2014-04-16,117.11,117.55,115.89,116.89,1.182
2014-04-17,116.54,117.49,116.2,117.43,0.691
2014-04-21,118.0,118.24,117.12,117.59,0.677
2014-04-22,117.33,118.26,117.06,118.01,0.619
2014-04-23,118.02,118.5,116.96,117.37,0.835
2014-04-24,117.52,118.36,117.02,118.22,0.583
2014-04-25,118.12,118.38,116.98,117.37,0.455
2014-04-28,118.1,118.46,117.11,118.3,0.673
2014-04-29,118.32,118.41,117.22,117.53,0.6
2014-04-30,118.29,118.98,116.56,117.14,1.11
2014-05-01,117.33,118.37,116.47,118.23,0.814
2014-05-02,117.93,118.97,117.2,117.85,1.195
2014-05-05,117.49,118.17,117.23,117.8,0.712
2014-05-06,117.63,117.9,116.91,117.06,0.854
2014-05-07,117.74,118.94,117.22,118.7,0.689
2014-05-08,118.66,119.5,118.52,119.06,0.496
2014-05-09,119.66,120.16,118.64,119.43,0.683
2014-05-12,119.53,119.99,119.06,119.79,0.584
2014-05-13,120.0,120.54,118.3,118.76,0.585
2014-05-14,118.94,119.11,117.93,118.78,0.494
2014-05-15,118.68,119.2,117.6,119.17,0.865
2014-05-16,118.7,120.18,118.23,120.14,0.758
2014-05-19,119.88,120.2,118.7,120.0,0.776
