Date,Open,High,Low,Close,Volume
2014-01-02,26.19,26.25,26.04,26.12,2.447
2014-01-03,26.1,26.2,26.01,26.06,1.804
2014-01-06,26.15,26.2,25.88,25.94,2.198
2014-01-07,25.99,26.4,25.99,26.38,4.522
2014-01-08,26.2,26.24,25.99,26.16,3.761
2014-01-09,26.14,26.28,25.97,26.26,3.008
2014-01-10,26.33,26.41,26.23,26.35,2.743
2014-01-13,26.23,26.45,26.08,26.12,2.779
2014-01-14,26.13,26.39,26.13,26.37,2.898
2014-01-15,26.4,26.6,26.2,26.27,3.17
2014-01-16,26.26,26.52,26.09,26.5,3.351
2014-01-17,26.38,26.4,25.96,26.01,2.394
2014-01-21,26.16,26.17,25.88,26.12,2.578
2014-01-22,26.09,26.29,26.03,26.19,2.5
2014-01-23,26.06,26.1,25.74,25.88,3.364
2014-01-24,25.75,25.81,25.49,25.49,3.383
2014-01-27,25.53,25.75,25.42,25.67,4.023
2014-01-28,25.6,25.63,25.26,25.52,7.642
2014-01-29,25.18,25.22,24.61,24.79,6.742
2014-01-30,24.9,25.02,24.66,24.75,3.102
2014-01-31,24.58,24.96,24.47,24.74,3.692
2014-02-03,24.71,24.74,23.85,23.89,4.77
2014-02-04,23.94,24.06,23.77,23.98,3.72
2014-02-05,23.88,24.01,23.74,23.91,3.465
2014-02-06,23.97,23.97,23.62,23.89,6.08
2014-02-07,23.98,24.16,23.9,24.01,4.96
2014-02-10,24.07,24.2,23.92,24.16,5.028
2014-02-11,22.58,23.04,22.26,22.63,19.785
2014-02-12,22.68,22.68,22.5,22.54,8.926
2014-02-13,22.49,22.61,22.41,22.57,4.798
2014-02-14,22.54,22.93,22.53,22.85,6.621
2014-02-18,22.85,22.86,22.54,22.72,5.185
2014-02-19,22.69,22.72,22.47,22.52,3.625
2014-02-20,22.52,22.54,22.22,22.23,11.301
2014-02-21,22.21,22.29,22.04,22.18,11.118
2014-02-24,22.2,22.3,22.08,22.21,6.518
2014-02-25,22.25,22.29,22.06,22.12,5.268
2014-02-26,22.12,22.23,22.04,22.05,5.893
2014-02-27,22.07,22.12,21.86,21.99,5.553
2014-02-28,22.02,22.23,21.99,22.1,4.685
2014-03-03,22.04,22.19,22.0,22.09,5.845
2014-03-04,22.31,22.4,22.21,22.37,6.484
2014-03-05,22.4,22.67,22.38,22.55,5.979
2014-03-06,22.57,22.77,22.55,22.68,4.349
