Date,Open,High,Low,Close,Volume
2014-01-02,48.63,48.71,47.57,47.78,0.522
2014-01-03,48.07,48.64,47.85,48.41,0.649
2014-01-06,48.48,48.66,47.73,47.73,0.551
2014-01-07,47.96,48.16,47.2,47.5,0.515
2014-01-08,47.49,47.71,46.68,46.88,0.625
2014-01-09,46.88,47.23,46.37,46.63,0.61
2014-01-10,46.55,46.88,46.29,46.72,0.494
2014-01-13,46.86,46.86,45.19,45.42,0.526
2014-01-14,45.44,46.97,45.4,46.61,0.925
2014-01-15,46.61,46.88,46.08,46.7,0.47
2014-01-16,46.56,46.67,45.91,45.97,0.481
2014-01-17,45.83,47.18,45.69,46.74,1.332
2014-01-21,47.68,47.78,46.71,46.73,0.648
2014-01-22,46.91,47.77,46.81,47.56,0.568
2014-01-23,47.52,47.77,46.96,47.54,0.829
2014-01-24,47.48,47.55,46.68,46.88,0.678
2014-01-27,47.08,47.29,45.84,45.94,0.753
2014-01-28,46.21,47.11,46.03,47.03,0.726
2014-01-29,46.85,47.23,46.59,46.59,0.682
2014-01-30,47.2,48.39,46.9,48.17,0.787
2014-01-31,47.56,49.15,47.51,48.75,0.79
2014-02-03,48.82,49.02,45.92,46.04,1.283
2014-02-04,46.85,48.13,46.43,47.79,1.053
2014-02-05,47.79,48.05,47.0,47.53,0.475
2014-02-06,47.79,48.46,47.66,48.43,0.665
2014-02-07,48.73,50.23,48.27,50.06,0.706
2014-02-10,50.54,51.07,50.06,50.95,0.922
2014-02-11,50.95,52.02,50.95,51.3,0.935
2014-02-12,51.42,52.54,51.26,52.53,0.721
2014-02-13,52.35,53.66,52.24,53.1,0.997
2014-02-14,53.16,53.5,52.34,52.77,0.63
2014-02-18,52.97,53.15,52.55,52.94,0.434
2014-02-19,52.77,52.9,51.81,51.87,0.541
2014-02-20,51.95,52.25,50.93,51.25,0.763
2014-02-21,51.36,51.5,50.68,50.76,0.63
2014-02-24,51.13,51.48,50.85,50.86,0.501
2014-02-25,50.92,51.12,50.35,50.47,0.348
2014-02-26,50.65,51.14,50.31,50.51,0.408
2014-02-27,50.49,50.81,50.16,50.7,0.371
2014-02-28,50.78,51.58,50.68,50.8,0.528
2014-03-03,50.12,52.14,49.83,52.09,0.88
2014-03-04,52.19,53.29,52.19,53.21,0.637
2014-03-05,53.2,53.84,52.97,53.83,0.557
2014-03-06,53.84,54.76,53.61,53.97,0.562
2014-03-07,54.2,54.26,53.68,53.86,0.341
2014-03-10,53.66,53.92,53.07,53.09,0.436
2014-03-11,53.04,53.16,52.51,52.76,0.424
2014-03-12,52.44,53.3,52.19,53.26,0.329
2014-03-13,53.53,54.06,53.31,53.77,0.675
2014-03-14,53.78,55.23,53.74,55.04,0.998
2014-03-17,55.34,55.74,54.91,55.11,0.663
2014-03-18,55.11,55.41,53.66,53.69,0.826
2014-03-19,53.75,53.91,52.65,52.84,0.711
2014-03-20,52.62,53.29,52.51,53.28,0.546
2014-03-21,53.42,53.55,52.6,52.64,0.786
2014-03-24,52.88,53.24,52.02,53.19,0.68
2014-03-25,53.6,54.68,53.28,53.58,0.998
2014-03-26,53.84,54.12,52.66,52.71,0.597
2014-03-27,52.66,53.14,52.02,53.11,0.865
2014-03-28,53.18,53.38,52.14,52.42,0.626
2014-03-31,52.93,53.43,52.5,53.22,0.544
2014-04-01,53.33,53.58,52.47,52.96,1.064
2014-04-02,52.67,52.69,51.17,51.95,1.052
2014-04-03,51.91,52.15,51.08,51.48,0.795
2014-04-04,51.8,52.03,49.96,50.53,1.02
2014-04-07,50.49,50.75,48.54,48.58,0.832
2014-04-08,48.58,48.77,47.63,48.06,1.057
2014-04-09,49.18,49.42,48.56,49.24,1.072
2014-04-10,49.09,49.25,48.07,48.07,0.652
2014-04-11,47.9,48.49,47.32,47.72,0.586
2014-04-14,47.87,48.05,46.97,47.42,0.931
2014-04-15,47.47,48.05,46.36,47.43,0.805
2014-04-16,47.96,48.55,47.69,48.43,0.426
2014-04-17,48.35,49.45,48.1,49.08,0.726
2014-04-21,49.04,49.19,48.45,48.94,0.367
2014-04-22,48.96,49.77,48.54,49.59,0.512
2014-04-23,49.52,49.88,49.21,49.52,0.359
2014-04-24,49.86,50.01,49.21,49.77,0.372
2014-04-25,49.49,49.63,49.23,49.31,0.361
2014-04-28,49.49,49.87,48.71,49.34,0.304
2014-04-29,49.56,49.95,49.36,49.75,0.272
2014-04-30,49.85,50.21,49.31,50.17,0.392
2014-05-01,50.16,50.29,49.53,50.27,0.374
2014-05-02,50.3,50.52,49.6,49.63,0.366
2014-05-05,49.35,50.24,48.92,50.11,0.433
2014-05-06,49.93,50.29,48.35,48.89,0.79
2014-05-07,48.7,49.17,47.3,48.02,0.9
2014-05-08,47.87,49.05,47.78,47.93,0.496
2014-05-09,47.93,47.96,47.17,47.78,0.368
2014-05-12,48.01,48.75,47.96,48.47,0.386
2014-05-13,48.39,48.6,47.76,47.82,0.355
2014-05-14,47.72,47.72,47.15,47.18,0.369
2014-05-15,46.94,47.09,45.8,46.13,0.952
2014-05-16,46.21,46.46,45.4,45.81,0.766
2014-05-19,45.55,46.21,45.55,45.93,0.806
2014-05-20,45.81,46.12,45.29,45.37,0.661
2014-05-21,45.49,46.45,45.49,46.11,0.722
2014-05-22,46.21,46.84,46.13,46.41,0.459
2014-05-23,46.54,47.15,46.52,46.84,0.548
2014-05-27,46.95,47.9,46.95,47.79,0.664
2014-05-28,47.85,48.09,47.07,47.81,0.733
2014-05-29,48.07,48.11,47.47,47.75,0.527
2014-05-30,47.75,48.06,47.68,47.82,0.544
2014-06-02,47.84,47.99,47.09,47.42,0.472
2014-06-03,46.95,47.05,45.24,45.35,1.397
2014-06-04,45.04,45.21,44.2,45.13,1.651
2014-06-05,45.36,45.63,44.89,45.49,0.997
2014-06-06,45.84,46.33,45.69,45.93,0.748
2014-06-09,45.79,46.21,45.61,45.93,0.519
2014-06-10,45.3,45.72,44.87,44.92,0.944
2014-06-11,44.76,45.48,44.38,45.37,0.917
2014-06-12,45.36,46.92,45.29,46.47,0.874
2014-06-13,46.6,47.5,46.47,47.37,1.115
2014-06-16,47.19,47.69,47.08,47.42,1.003
2014-06-17,47.24,48.68,47.21,48.42,0.874
2014-06-18,48.39,48.6,47.45,47.46,1.111
2014-06-19,47.62,47.7,46.06,46.67,1.287
2014-06-20,46.65,46.86,46.11,46.12,1.085
2014-06-23,46.2,46.58,46.02,46.45,0.605
2014-06-24,46.11,46.42,45.54,45.69,0.64
2014-06-25,45.39,46.51,45.39,45.99,0.714
2014-06-26,45.93,46.38,45.61,46.18,0.491
2014-06-27,46.09,46.69,45.98,46.32,0.461
2014-06-30,46.23,46.56,46.11,46.44,0.555
2014-07-01,46.31,46.78,46.12,46.22,0.705
2014-07-02,46.14,46.3,45.56,45.7,0.763
2014-07-03,45.76,46.08,45.67,45.73,0.562
2014-07-07,45.71,45.97,45.2,45.58,0.688
2014-07-08,45.27,45.72,44.6,44.7,1.116
2014-07-09,45.05,45.36,44.37,44.94,0.576
2014-07-10,44.21,44.62,44.05,44.23,0.549
2014-07-11,44.23,44.44,43.93,44.29,0.572
2014-07-14,44.62,45.22,44.61,44.98,0.464
2014-07-15,44.58,45.08,44.34,44.54,0.717
2014-07-16,44.64,44.86,43.9,44.12,0.58
2014-07-17,44.02,45.53,43.93,45.44,1.179
2014-07-18,45.39,46.28,45.32,46.2,0.926
2014-07-21,45.84,46.82,45.8,46.79,0.762
2014-07-22,46.87,46.95,45.37,45.37,1.886
2014-07-23,45.61,45.92,45.15,45.72,0.576
2014-07-24,45.85,46.23,45.68,45.98,0.412
2014-07-25,45.82,46.2,45.43,46.08,0.462
2014-07-28,46.01,46.63,45.8,46.44,0.392
2014-07-29,46.39,46.77,45.94,45.99,0.622
2014-07-30,46.21,46.54,45.86,46.34,0.452
2014-07-31,46.35,46.65,45.74,45.74,0.95
2014-08-01,45.74,46.99,44.37,46.91,1.309
2014-08-04,47.07,47.32,46.06,46.43,0.768
2014-08-05,46.05,46.9,46.03,46.85,0.671
2014-08-06,46.63,47.38,46.63,47.32,0.604
