Date,Open,High,Low,Close,Volume
2014-01-02,43.86,44.03,43.45,43.58,3.408
2014-01-03,43.36,44.03,43.3,43.67,1.149
2014-01-06,43.97,44.09,43.31,43.32,1.794
2014-01-07,43.34,44.11,43.29,44.01,1.695
2014-01-08,44.19,44.34,43.82,43.98,1.916
2014-01-09,43.96,44.35,43.86,44.23,1.546
2014-01-10,44.14,44.46,43.92,44.4,1.832
2014-01-13,44.25,44.56,43.78,43.91,1.761
2014-01-14,44.1,44.55,44.04,44.51,1.619
2014-01-15,44.67,44.93,44.36,44.76,1.58
2014-01-16,44.65,44.75,43.67,44.52,1.536
2014-01-17,44.47,44.53,44.17,44.28,1.307
2014-01-21,44.68,44.88,44.5,44.76,1.262
2014-01-22,44.92,45.03,44.66,44.87,1.746
2014-01-23,44.54,44.64,44.06,44.18,1.395
2014-01-24,43.92,44.06,43.53,43.53,1.964
2014-01-27,43.55,43.78,43.32,43.33,1.893
2014-01-28,43.41,44.03,43.37,43.99,1.919
2014-01-29,43.69,43.69,43.08,43.14,2.322
2014-01-30,43.42,44.02,43.39,43.85,1.277
2014-01-31,43.45,43.75,42.94,43.29,2.07
2014-02-03,43.4,43.69,42.07,42.13,2.388
2014-02-04,42.25,42.99,42.24,42.95,2.52
2014-02-05,42.87,43.54,42.32,43.44,3.258
2014-02-06,42.95,44.26,42.94,44.2,2.402
2014-02-07,44.33,44.81,44.24,44.4,2.356
2014-02-10,44.31,44.76,44.06,44.74,1.399
2014-02-11,44.78,45.38,44.56,45.33,2.128
2014-02-12,45.43,45.78,45.34,45.5,3.446
2014-02-13,45.24,45.99,45.15,45.96,2.794
2014-02-14,45.56,46.18,45.46,46.15,1.83
2014-02-18,46.06,46.5,45.93,46.34,2.112
2014-02-19,46.2,46.53,46.05,46.15,1.718
2014-02-20,46.24,46.99,46.13,46.88,2.687
2014-02-21,46.99,47.46,46.8,47.34,2.712
2014-02-24,47.42,47.89,47.23,47.25,2.89
2014-02-25,47.38,47.51,46.94,46.99,2.08
2014-02-26,47.14,47.21,46.46,46.47,2.099
2014-02-27,46.46,46.93,46.23,46.75,1.604
2014-02-28,46.82,47.45,46.74,47.08,1.677
2014-03-03,46.67,46.96,46.4,46.44,2.174
2014-03-04,46.74,47.1,46.43,46.94,3.088
2014-03-05,46.68,47.52,46.68,47.46,2.327
2014-03-06,47.49,47.86,47.42,47.74,2.112
2014-03-07,47.85,47.9,47.29,47.42,2.011
2014-03-10,47.41,47.46,46.98,47.07,1.454
2014-03-11,47.23,47.27,46.69,46.92,1.806
2014-03-12,46.68,47.01,46.56,46.91,1.173
2014-03-13,47.12,47.17,46.27,46.3,1.585
2014-03-14,46.25,47.02,46.25,46.5,1.816
2014-03-17,46.93,47.94,46.75,47.87,2.626
2014-03-18,47.86,47.98,47.6,47.67,1.485
2014-03-19,47.66,47.72,47.14,47.56,2.23
2014-03-20,47.42,47.92,47.34,47.75,2.086
2014-03-21,47.75,47.87,47.22,47.37,3.403
2014-03-24,47.37,47.55,46.44,46.47,2.058
2014-03-25,46.84,46.93,46.39,46.56,2.336
2014-03-26,46.73,46.75,46.28,46.29,1.531
2014-03-27,46.27,46.49,46.08,46.44,2.342
2014-03-28,46.58,46.89,46.55,46.85,0.953
2014-03-31,47.14,48.04,47.1,47.76,2.309
2014-04-01,47.61,47.81,47.15,47.6,1.778
2014-04-02,47.66,47.96,47.55,47.8,2.159
2014-04-03,47.93,47.93,47.41,47.66,1.609
2014-04-04,47.92,47.92,46.86,46.88,1.757
2014-04-07,46.86,46.98,45.97,46.0,3.017
2014-04-08,46.21,46.29,45.48,46.19,3.948
2014-04-09,46.41,46.5,46.07,46.46,1.686
2014-04-10,46.45,47.07,45.96,45.96,2.397
2014-04-11,45.99,46.13,45.22,45.24,1.983
2014-04-14,45.52,45.75,45.14,45.36,2.738
2014-04-15,45.26,45.33,44.2,44.56,4.51
2014-04-16,44.51,44.99,44.48,44.85,4.617
2014-04-17,44.82,45.34,44.6,45.19,2.331
2014-04-21,45.34,45.44,45.06,45.13,2.302
2014-04-22,45.08,45.16,44.83,44.9,3.039
2014-04-23,45.0,45.17,44.96,45.03,2.819
2014-04-24,46.75,46.75,45.0,46.51,4.361
2014-04-25,46.5,46.5,45.72,45.75,2.858
2014-04-28,45.85,46.37,45.7,45.97,2.415
2014-04-29,45.61,45.82,45.3,45.54,3.797
2014-04-30,45.28,45.5,45.1,45.44,2.003
2014-05-01,45.56,45.92,45.31,45.85,1.484
2014-05-02,45.43,46.31,45.43,46.25,2.168
2014-05-05,46.07,46.66,46.07,46.39,1.246
2014-05-06,46.22,46.53,46.07,46.1,1.205
2014-05-07,46.33,46.58,46.01,46.49,1.087
2014-05-08,46.45,46.7,45.97,46.18,1.216
2014-05-09,46.16,46.97,46.02,46.95,1.42
2014-05-12,46.99,47.57,46.93,47.52,2.333
2014-05-13,47.55,47.73,47.34,47.54,1.125
2014-05-14,47.55,47.64,47.21,47.28,1.343
2014-05-15,46.98,47.12,46.39,46.55,1.31
2014-05-16,46.57,46.68,46.12,46.65,1.862
2014-05-19,46.61,47.13,46.44,46.8,1.508
2014-05-20,46.78,46.99,46.37,46.57,1.169
2014-05-21,46.57,46.75,45.98,46.0,2.203
2014-05-22,45.96,46.08,45.38,45.82,2.8
2014-05-23,45.94,46.09,45.74,45.85,2.099
2014-05-27,45.93,46.11,45.28,45.3,3.427
2014-05-28,45.32,45.92,45.32,45.85,3.269
2014-05-29,46.14,46.17,45.68,45.97,2.173
2014-05-30,45.86,45.88,45.52,45.64,2.484
2014-06-02,45.68,46.05,45.4,45.66,3.167
2014-06-03,45.53,45.89,45.23,45.67,2.241
2014-06-04,45.46,46.1,45.46,45.95,1.963
2014-06-05,46.14,46.14,44.8,45.1,3.62
2014-06-06,45.21,45.73,45.09,45.66,1.443
2014-06-09,45.65,45.91,45.49,45.78,1.301
2014-06-10,45.5,45.67,45.14,45.27,2.645
2014-06-11,45.2,45.35,44.74,44.76,2.924
2014-06-12,44.76,45.15,44.68,44.76,1.381
2014-06-13,44.63,44.78,44.3,44.58,2.215
2014-06-16,44.33,44.79,43.96,44.72,1.971
2014-06-17,44.71,45.21,44.61,45.18,2.021
2014-06-18,45.22,46.08,45.0,45.94,9.176
2014-06-19,45.92,47.61,45.9,47.53,7.581
2014-06-20,47.62,47.78,47.27,47.62,3.461
2014-06-23,47.63,47.8,47.37,47.58,1.787
2014-06-24,47.41,47.41,47.0,47.09,1.584
2014-06-25,47.05,47.56,46.9,47.55,1.862
2014-06-26,47.47,47.78,47.21,47.64,1.611
2014-06-27,47.53,48.13,47.51,47.92,4.286
2014-06-30,47.87,48.06,47.59,47.78,5.479
2014-07-01,48.0,48.05,47.35,47.93,4.546
2014-07-02,48.02,48.43,47.89,48.04,1.496
