Date,Open,High,Low,Close,Volume
2014-01-02,73.14,73.2,71.23,71.63,3.66
2014-01-03,71.71,72.21,70.91,71.24,3.206
2014-01-06,71.56,71.96,71.21,71.27,2.994
2014-01-07,71.46,72.78,71.34,72.77,3.655
2014-01-08,72.58,72.85,71.93,72.02,5.108
2014-01-09,72.36,72.56,71.33,71.77,2.571
2014-01-10,71.56,72.09,71.56,71.85,1.739
2014-01-13,71.82,72.19,71.51,71.6,2.503
2014-01-14,71.86,73.24,71.76,72.91,2.61
2014-01-15,73.1,74.48,72.92,74.28,2.661
2014-01-16,74.48,74.7,73.26,73.72,1.887
2014-01-17,74.37,74.76,73.14,74.22,3.598
2014-01-21,74.5,74.73,73.64,74.38,1.684
2014-01-22,74.4,75.0,73.51,73.77,4.641
2014-01-23,74.05,74.97,72.55,73.2,7.065
2014-01-24,73.33,73.4,71.36,71.37,5.264
2014-01-27,71.31,71.69,70.43,70.84,3.327
2014-01-28,70.8,71.83,70.8,71.0,2.423
2014-01-29,70.36,70.93,70.17,70.47,3.394
2014-01-30,70.73,71.84,70.7,71.42,2.676
2014-01-31,70.67,71.55,70.46,70.96,2.692
2014-02-03,70.96,71.14,68.83,68.96,3.18
2014-02-04,69.29,69.34,68.44,69.08,3.04
2014-02-05,68.87,69.27,68.56,69.12,3.207
2014-02-06,69.27,70.68,69.06,70.53,2.722
2014-02-07,70.82,71.73,69.79,71.56,3.01
2014-02-10,71.55,72.41,71.55,72.39,2.431
2014-02-11,72.57,73.51,72.34,73.32,2.497
2014-02-12,73.42,73.64,73.02,73.15,1.366
2014-02-13,72.91,74.69,72.71,74.55,2.901
2014-02-14,74.34,75.04,74.17,75.02,1.711
2014-02-18,75.14,75.28,74.29,74.4,1.919
2014-02-19,74.01,75.2,73.67,74.51,2.237
2014-02-20,74.58,76.54,74.58,76.29,2.637
2014-02-21,76.36,76.53,74.78,74.88,2.108
2014-02-24,74.99,75.7,74.69,74.72,1.406
2014-02-25,74.49,74.86,74.03,74.26,1.968
2014-02-26,74.26,74.51,73.38,73.7,1.555
2014-02-27,73.79,75.53,73.75,75.46,1.636
2014-02-28,75.64,75.91,74.62,75.9,11.71
2014-03-03,75.08,75.44,74.03,74.75,2.233
2014-03-04,75.41,75.89,74.34,74.8,2.912
2014-03-05,74.91,74.91,73.83,74.51,3.293
2014-03-06,74.53,75.08,74.37,74.9,2.542
2014-03-07,74.92,74.97,73.12,74.63,3.122
2014-03-10,74.54,75.1,74.22,74.74,2.257
2014-03-11,74.72,75.43,74.56,75.11,1.93
2014-03-12,74.91,75.8,74.82,75.74,2.186
2014-03-13,75.85,75.93,74.96,75.18,2.19
2014-03-14,75.01,75.86,74.88,74.94,1.228
2014-03-17,75.0,75.47,74.73,74.88,1.927
2014-03-18,74.8,75.31,74.56,74.82,1.28
2014-03-19,74.98,75.33,73.38,73.67,1.47
2014-03-20,73.51,74.52,73.15,74.17,1.224
2014-03-21,74.65,74.82,73.4,73.7,3.586
2014-03-24,74.05,74.71,72.81,74.13,1.746
2014-03-25,74.28,74.77,73.16,73.69,1.828
2014-03-26,74.07,74.44,73.41,73.42,1.312
2014-03-27,73.51,75.33,73.32,75.18,2.612
2014-03-28,75.18,75.54,74.44,74.61,1.433
2014-03-31,75.08,75.16,73.71,73.78,2.511
2014-04-01,74.13,74.9,74.0,74.76,1.735
2014-04-02,74.6,75.22,74.52,74.63,1.536
2014-04-03,74.9,75.2,74.39,75.06,1.302
2014-04-04,75.38,75.48,74.4,74.75,2.842
2014-04-07,74.64,75.05,74.09,74.4,3.36
2014-04-08,74.07,75.17,74.07,74.61,2.702
2014-04-09,74.65,75.18,74.04,74.45,1.66
2014-04-10,74.38,75.33,73.35,73.37,3.139
2014-04-11,73.06,73.22,72.0,72.1,2.326
2014-04-14,72.65,73.91,72.49,73.04,1.853
2014-04-15,73.2,73.5,72.9,73.5,2.038
2014-04-16,74.09,74.52,73.96,74.0,2.746
2014-04-17,73.93,74.46,73.61,73.92,2.177
2014-04-21,74.18,74.75,73.95,74.75,1.915
2014-04-22,74.62,75.27,74.51,75.01,1.698
2014-04-23,74.84,74.97,74.08,74.85,3.159
2014-04-24,74.81,75.04,73.12,73.84,4.183
2014-04-25,73.51,73.57,72.64,72.78,1.935
2014-04-28,73.13,73.14,71.29,71.73,2.53
2014-04-29,72.02,72.49,71.55,71.8,2.174
2014-04-30,71.83,72.78,71.54,72.73,2.586
2014-05-01,72.86,73.59,72.63,73.54,1.842
2014-05-02,73.4,75.65,73.35,74.57,3.503
2014-05-05,74.25,76.5,74.21,76.46,2.591
2014-05-06,76.22,76.82,76.14,76.7,2.503
2014-05-07,77.02,77.82,77.0,77.7,3.237
2014-05-08,77.58,77.95,77.07,77.2,1.911
2014-05-09,77.21,77.5,76.83,77.24,2.207
2014-05-12,77.42,77.61,76.9,77.34,1.662
2014-05-13,77.32,77.6,77.02,77.23,2.124
2014-05-14,77.33,77.51,76.95,77.28,1.82
2014-05-15,76.94,77.09,76.15,76.82,1.64
2014-05-16,76.77,77.42,76.41,76.8,1.58
2014-05-19,76.74,76.88,76.18,76.37,1.485
2014-05-20,76.27,76.66,75.61,75.94,1.105
2014-05-21,76.12,76.79,76.05,76.56,1.711
2014-05-22,76.63,76.82,76.28,76.39,1.599
2014-05-23,76.43,76.6,75.54,76.0,1.722
2014-05-27,76.17,76.7,75.76,76.42,1.174
