Date,Open,High,Low,Close,Volume
2014-01-02,39.64,39.99,39.61,39.81,2.954
2014-01-03,39.92,40.02,39.65,39.85,2.656
2014-01-06,39.82,39.84,39.17,39.23,3.6
2014-01-07,39.67,39.87,39.24,39.49,3.764
2014-01-08,39.76,39.77,39.11,39.4,4.237
2014-01-09,39.53,40.0,39.35,39.96,4.468
2014-01-10,40.3,41.29,40.18,41.25,6.45
2014-01-13,40.99,41.89,40.94,41.42,7.47
2014-01-14,41.49,41.68,41.19,41.52,3.387
2014-01-15,41.55,41.76,41.42,41.58,4.416
2014-01-16,41.46,41.59,41.22,41.53,2.253
2014-01-17,41.63,41.66,41.22,41.36,2.298
2014-01-21,41.63,41.7,40.51,40.83,3.915
2014-01-22,41.29,41.39,40.76,41.08,3.539
2014-01-23,40.89,40.91,40.35,40.65,2.908
2014-01-24,40.18,40.18,39.11,39.15,6.148
2014-01-27,40.17,40.21,39.02,39.37,5.824
2014-01-28,40.39,40.81,40.27,40.59,5.928
2014-01-29,40.25,40.27,39.35,39.54,4.496
2014-01-30,39.99,40.22,39.73,40.04,2.034
2014-01-31,39.3,39.64,39.15,39.19,3.268
2014-02-03,39.42,39.43,37.96,38.75,9.866
2014-02-04,38.93,39.17,38.66,39.05,2.653
2014-02-05,38.93,39.05,38.6,38.62,3.498
2014-02-06,39.24,40.16,39.18,40.13,3.158
2014-02-07,40.36,40.43,39.59,39.91,2.905
2014-02-10,39.79,40.36,39.67,40.31,2.514
2014-02-11,39.78,40.49,39.75,40.28,3.118
2014-02-12,40.29,40.48,40.2,40.4,1.754
2014-02-13,40.0,40.26,39.86,40.24,1.558
2014-02-14,40.31,40.77,40.08,40.76,1.518
2014-02-18,40.69,40.8,39.39,39.76,4.268
2014-02-19,39.65,39.67,39.12,39.18,2.781
2014-02-20,39.22,39.25,38.85,39.11,2.814
2014-02-21,39.01,39.55,39.01,39.42,2.318
2014-02-24,39.28,39.96,39.27,39.69,1.946
2014-02-25,40.0,40.23,39.65,40.08,2.24
2014-02-26,40.1,40.33,39.91,40.22,2.582
2014-02-27,40.26,40.63,40.22,40.45,3.672
2014-02-28,39.93,39.99,39.56,39.66,6.653
2014-03-03,38.68,39.06,38.5,38.52,4.306
2014-03-04,39.15,39.66,38.97,39.62,3.26
2014-03-05,39.3,39.37,38.95,39.28,3.186
2014-03-06,38.65,39.32,38.61,39.19,5.334
2014-03-07,39.1,39.58,38.89,39.5,3.938
2014-03-10,39.16,39.3,38.78,39.01,2.365
2014-03-11,38.76,39.17,38.73,38.75,3.247
2014-03-12,38.6,39.34,38.45,39.3,3.887
2014-03-13,39.13,39.28,38.24,38.51,4.511
2014-03-14,38.43,38.7,38.18,38.42,2.688
2014-03-17,38.64,38.94,38.59,38.82,1.639
2014-03-18,39.19,39.85,39.06,39.61,3.146
2014-03-19,39.59,39.77,39.12,39.37,2.664
2014-03-20,39.21,40.08,39.06,39.99,2.67
2014-03-21,40.33,40.41,39.9,39.98,5.817
2014-03-24,40.17,40.2,39.7,40.0,5.796
2014-03-25,38.67,39.36,37.62,38.02,12.73
2014-03-26,37.9,38.14,37.55,37.64,5.9
2014-03-27,37.68,37.71,37.07,37.32,3.923
2014-03-28,37.28,37.68,37.06,37.24,3.961
2014-03-31,37.55,37.86,37.42,37.86,3.056
2014-04-01,37.83,38.42,37.83,38.4,2.766
2014-04-02,38.1,38.18,37.78,38.04,2.827
2014-04-03,38.42,38.5,38.16,38.46,3.565
2014-04-04,38.77,38.9,37.78,37.9,3.825
2014-04-07,38.13,38.22,37.65,37.68,2.762
2014-04-08,37.85,38.15,37.67,38.0,3.131
2014-04-09,38.01,38.29,37.78,38.08,1.949
2014-04-10,38.0,38.26,37.37,37.42,2.075
2014-04-11,36.97,37.2,36.79,37.03,3.255
2014-04-14,36.61,36.82,36.23,36.48,4.294
2014-04-15,36.43,36.53,35.79,36.22,3.386
2014-04-16,36.47,36.54,36.28,36.54,2.282
2014-04-17,36.76,37.39,36.68,37.32,2.806
2014-04-21,37.32,37.51,37.1,37.23,2.035
2014-04-22,37.42,37.74,37.3,37.37,2.899
2014-04-23,37.56,37.8,37.39,37.42,2.312
2014-04-24,37.86,38.23,37.56,38.17,3.163
2014-04-25,38.15,38.34,38.03,38.06,2.732
2014-04-28,38.04,38.73,37.84,38.62,4.088
2014-04-29,38.76,39.74,38.75,39.54,4.488
2014-04-30,39.55,39.6,39.25,39.31,3.107
2014-05-01,39.3,39.38,38.59,38.66,3.856
2014-05-02,39.07,39.1,38.68,38.81,3.636
