Date,Open,High,Low,Close,Volume
2014-01-02,55.15,55.47,54.89,54.99,0.734
2014-01-03,55.04,55.58,54.91,55.3,0.471
2014-01-06,55.26,55.33,53.84,54.04,1.226
2014-01-07,54.18,54.95,54.18,54.66,0.761
2014-01-08,54.67,54.67,53.02,53.76,1.264
2014-01-09,53.88,54.18,52.59,54.03,1.3
2014-01-10,54.09,54.7,53.79,54.15,0.74
2014-01-13,54.15,54.18,53.51,53.86,0.89
2014-01-14,53.96,55.43,53.87,55.4,1.179
2014-01-15,55.48,56.18,55.29,55.78,0.84
2014-01-16,55.7,56.21,55.58,56.06,1.001
2014-01-17,56.02,56.21,54.86,55.1,1.152
2014-01-21,55.52,55.89,54.54,54.69,0.856
2014-01-22,54.72,55.16,54.02,55.05,1.175
2014-01-23,54.21,55.19,54.21,54.89,1.66
2014-01-24,52.59,55.5,51.23,52.67,4.116
2014-01-27,53.18,53.18,51.35,51.43,2.504
2014-01-28,51.42,51.83,50.6,51.42,1.944
2014-01-29,51.23,52.39,51.13,51.5,1.262
2014-01-30,51.91,52.21,51.2,51.51,0.952
2014-01-31,51.04,51.8,50.61,50.64,1.387
2014-02-03,50.74,50.97,48.78,48.83,1.78
2014-02-04,49.15,49.82,49.15,49.6,1.728
2014-02-05,49.5,49.89,48.83,49.58,1.531
2014-02-06,49.86,50.87,49.79,50.67,2.136
2014-02-07,51.76,52.56,50.27,51.21,1.646
2014-02-10,51.2,51.7,50.67,51.3,1.39
2014-02-11,51.2,51.63,51.01,51.44,1.425
2014-02-12,51.53,52.48,51.46,52.24,1.782
2014-02-13,51.81,53.15,51.79,52.8,1.422
2014-02-14,52.79,53.31,52.68,53.1,0.756
2014-02-18,53.35,53.35,51.91,52.42,1.51
2014-02-19,52.43,52.9,51.89,52.33,0.93
2014-02-20,52.38,52.95,52.16,52.92,0.823
2014-02-21,52.95,53.09,52.1,52.12,0.917
2014-02-24,52.11,53.07,51.97,52.56,0.764
2014-02-25,52.55,52.94,52.11,52.34,0.743
2014-02-26,52.4,53.31,52.4,52.92,0.68
2014-02-27,52.84,53.66,52.75,53.63,0.926
2014-02-28,53.58,53.81,53.07,53.39,1.003
2014-03-03,52.89,53.01,51.9,52.17,1.414
2014-03-04,52.83,52.93,52.36,52.86,0.757
2014-03-05,52.92,52.93,52.34,52.42,0.701
2014-03-06,52.52,53.46,52.42,53.36,1.141
2014-03-07,53.6,54.29,53.35,54.01,1.578
2014-03-10,53.82,54.19,52.94,53.42,1.139
2014-03-11,53.56,54.29,53.42,53.48,0.968
2014-03-12,53.15,53.94,52.8,53.84,0.886
2014-03-13,54.05,54.77,53.21,53.34,1.024
2014-03-14,53.16,54.17,53.03,53.72,0.898
2014-03-17,54.0,54.68,53.92,54.25,0.672
2014-03-18,54.36,54.89,54.36,54.48,0.765
2014-03-19,54.7,55.69,54.27,54.99,0.782
2014-03-20,54.82,55.17,54.51,54.85,0.563
2014-03-21,55.36,56.2,55.05,55.21,1.167
2014-03-24,55.51,55.84,54.84,54.96,0.666
2014-03-25,55.19,55.66,54.57,55.06,0.921
2014-03-26,55.51,55.52,53.97,53.97,0.684
2014-03-27,53.9,54.22,53.25,53.55,1.055
2014-03-28,53.88,54.08,53.48,53.94,0.698
2014-03-31,54.4,55.58,54.4,55.51,0.647
2014-04-01,55.68,56.18,55.51,56.03,0.791
2014-04-02,56.08,56.61,55.82,56.6,0.536
2014-04-03,56.77,57.25,56.65,56.83,0.694
2014-04-04,57.4,57.86,56.43,56.82,0.668
2014-04-07,56.7,56.82,54.6,54.93,0.796
2014-04-08,55.13,55.7,54.73,55.59,1.004
2014-04-09,55.68,56.02,55.23,55.66,1.092
2014-04-10,55.52,56.29,54.89,55.01,0.575
2014-04-11,54.82,55.23,54.48,54.65,0.604
2014-04-14,55.03,56.13,54.83,55.55,0.991
2014-04-15,55.53,56.22,54.98,56.21,0.674
2014-04-16,56.79,57.51,56.69,57.02,0.94
2014-04-17,57.08,57.94,56.69,57.57,1.053
2014-04-21,57.63,58.47,57.29,58.12,1.514
2014-04-22,60.47,61.82,59.94,60.09,3.37
2014-04-23,60.18,60.31,58.91,59.59,1.163
2014-04-24,59.7,59.98,58.97,59.2,0.86
2014-04-25,59.08,59.42,58.72,59.28,0.894
2014-04-28,59.84,60.42,59.01,59.72,1.021
2014-04-29,60.06,60.88,59.97,60.79,1.193
2014-04-30,60.7,61.6,60.4,61.43,1.368
2014-05-01,61.17,61.29,60.76,61.21,1.086
2014-05-02,61.23,61.98,61.11,61.18,0.801
2014-05-05,60.78,61.77,60.69,61.41,0.916
2014-05-06,61.2,61.35,60.83,61.08,1.103
2014-05-07,61.13,61.26,60.15,60.71,1.262
2014-05-08,60.54,60.67,59.8,60.11,1.266
2014-05-09,60.15,60.42,59.25,59.52,1.398
2014-05-12,59.79,60.91,59.79,60.89,0.911
2014-05-13,60.95,61.06,60.08,60.16,0.92
2014-05-14,60.23,60.36,59.59,59.72,0.63
2014-05-15,59.7,59.77,57.75,58.38,1.351
2014-05-16,58.63,59.48,57.85,59.46,1.45
2014-05-19,59.41,60.44,59.41,59.71,0.914
2014-05-20,59.57,60.18,59.0,59.11,0.856
2014-05-21,59.29,60.6,59.22,60.44,0.895
2014-05-22,60.39,61.44,60.21,60.73,1.001
2014-05-23,60.7,61.23,60.6,61.18,0.764
2014-05-27,61.41,61.83,60.78,61.21,0.901
2014-05-28,61.16,61.49,60.54,61.22,1.032
2014-05-29,61.52,62.75,61.37,62.73,0.974
2014-05-30,62.61,62.91,62.03,62.7,1.492
2014-06-02,62.91,62.97,62.37,62.82,0.704
2014-06-03,62.49,63.56,62.46,63.18,0.612
2014-06-04,63.0,63.36,62.85,63.1,0.612
2014-06-05,63.27,64.07,62.78,63.87,0.719
2014-06-06,64.04,64.29,63.69,64.28,0.557
2014-06-09,64.3,64.46,63.73,63.78,0.697
2014-06-10,63.52,63.88,63.12,63.57,0.907
2014-06-11,63.59,64.43,63.28,64.4,1.258
2014-06-12,64.32,64.89,63.93,64.19,1.093
2014-06-13,64.05,64.3,63.56,64.16,0.561
2014-06-16,64.0,64.12,63.57,63.93,0.598
2014-06-17,63.9,64.59,63.72,63.84,0.529
2014-06-18,64.07,64.69,63.93,64.53,0.595
2014-06-19,64.28,64.65,64.16,64.65,0.506
2014-06-20,64.71,64.87,64.39,64.65,0.584
2014-06-23,64.91,65.17,64.52,64.69,0.563
2014-06-24,64.56,65.04,63.49,63.52,0.683
2014-06-25,63.6,64.33,63.59,64.11,0.706
2014-06-26,64.12,64.29,63.07,63.4,0.919
2014-06-27,63.26,64.06,62.95,64.06,2.693
2014-06-30,64.22,64.73,63.97,64.28,1.122
2014-07-01,64.63,65.26,64.14,65.03,0.865
2014-07-02,65.03,66.33,64.91,65.61,1.115
2014-07-03,65.71,66.27,65.71,66.05,0.65
2014-07-07,65.88,66.35,65.43,65.8,0.854
2014-07-08,65.99,66.06,65.5,65.74,0.678
2014-07-09,65.88,65.94,64.57,65.06,1.309
2014-07-10,64.03,64.32,63.74,64.12,1.073
2014-07-11,64.12,64.54,63.9,64.27,1.058
2014-07-14,64.64,64.64,63.82,64.37,1.263
2014-07-15,64.96,65.24,64.2,64.46,1.35
2014-07-16,64.83,65.05,64.08,64.1,1.157
2014-07-17,64.01,64.32,63.21,63.3,2.16
2014-07-18,65.5,65.62,62.19,62.63,4.089
2014-07-21,62.74,63.32,61.69,62.09,2.734
2014-07-22,62.3,62.72,62.14,62.59,1.619
2014-07-23,62.62,62.94,62.22,62.26,1.179
2014-07-24,62.56,62.61,62.1,62.44,0.896
2014-07-25,62.43,63.01,61.98,62.18,0.98
2014-07-28,62.25,62.88,62.07,62.63,1.0
2014-07-29,62.84,62.88,59.6,60.16,3.053
2014-07-30,60.41,60.64,59.27,59.38,1.369
2014-07-31,59.15,59.15,58.02,58.21,1.367
2014-08-01,57.92,58.71,57.57,58.33,1.281
2014-08-04,58.6,59.33,58.52,59.23,0.969
2014-08-05,58.73,59.12,58.25,58.38,0.961
2014-08-06,58.03,59.04,58.03,58.74,0.752
2014-08-07,58.77,59.08,57.67,57.96,0.943
2014-08-08,57.94,58.52,57.68,58.47,0.646
2014-08-11,58.88,59.29,58.65,59.15,1.051
2014-08-12,59.05,59.32,58.67,59.1,0.775
2014-08-13,59.27,59.47,58.98,59.35,0.696
