Date,Open,High,Low,Close,Volume
2014-01-02,33.13,33.15,32.61,32.75,1.036
2014-01-03,32.94,32.98,32.58,32.76,1.041
2014-01-06,32.9,32.97,32.65,32.85,1.511
2014-01-07,32.89,33.03,32.78,32.97,1.091
2014-01-08,32.9,32.92,32.56,32.68,1.114
2014-01-09,32.86,32.9,32.56,32.76,2.099
2014-01-10,32.74,32.92,32.64,32.89,1.453
2014-01-13,32.86,32.99,32.53,32.63,1.252
2014-01-14,32.76,32.97,32.56,32.97,1.102
2014-01-15,32.97,33.15,32.82,32.95,0.769
2014-01-16,32.9,33.08,32.76,33.01,1.054
2014-01-17,32.96,33.15,32.75,32.76,1.413
2014-01-21,32.94,33.07,32.59,32.78,0.996
2014-01-22,32.92,32.92,32.63,32.76,0.864
2014-01-23,32.57,32.86,32.31,32.79,1.799
2014-01-24,32.76,33.1,32.53,32.53,1.093
2014-01-27,32.53,32.62,32.25,32.35,1.477
2014-01-28,32.36,32.69,32.27,32.6,1.93
2014-01-29,32.36,32.4,31.81,31.82,1.817
2014-01-30,32.06,32.36,31.94,32.25,1.341
2014-01-31,32.06,32.36,31.75,32.29,2.131
2014-02-03,32.33,32.4,31.01,31.03,3.908
2014-02-04,30.98,32.03,30.5,31.88,3.951
2014-02-05,32.24,32.24,31.51,31.52,1.869
2014-02-06,31.56,31.74,31.33,31.67,1.309
2014-02-07,31.91,32.11,31.77,31.98,1.146
2014-02-10,31.97,32.43,31.73,32.35,2.339
2014-02-11,32.31,32.65,32.19,32.49,1.273
2014-02-12,32.5,32.54,32.1,32.22,1.459
2014-02-13,32.02,32.33,31.83,32.19,1.355
2014-02-14,32.2,32.65,32.05,32.65,1.369
2014-02-18,32.78,32.87,32.51,32.73,2.111
2014-02-19,32.64,33.04,32.64,32.78,2.35
2014-02-20,32.83,33.22,32.72,33.13,1.194
2014-02-21,33.25,33.4,33.06,33.08,1.178
2014-02-24,33.17,33.83,33.17,33.72,1.668
2014-02-25,33.64,33.83,33.5,33.66,1.237
2014-02-26,33.74,33.99,33.59,33.72,1.541
2014-02-27,33.62,33.89,33.51,33.88,1.157
2014-02-28,33.88,34.28,33.6,33.99,1.369
2014-03-03,33.87,34.06,33.65,34.06,1.894
2014-03-04,34.3,34.71,34.24,34.33,1.827
2014-03-05,34.31,34.4,34.07,34.12,1.59
2014-03-06,34.12,34.3,34.1,34.13,0.681
2014-03-07,34.22,34.29,34.02,34.21,0.784
2014-03-10,34.22,34.4,34.17,34.24,1.211
2014-03-11,34.27,34.38,34.06,34.19,1.423
2014-03-12,33.51,34.15,33.44,34.08,2.22
2014-03-13,34.1,34.24,33.85,33.96,2.127
2014-03-14,33.94,34.26,33.91,34.19,1.666
2014-03-17,34.37,34.72,34.26,34.38,1.136
2014-03-18,34.45,34.46,34.2,34.29,1.299
2014-03-19,34.2,34.42,33.85,33.99,1.508
2014-03-20,33.99,34.28,33.81,34.01,1.872
2014-03-21,33.96,34.33,33.78,33.81,3.013
2014-03-24,34.03,34.33,33.88,33.96,2.246
2014-03-25,34.1,34.35,33.97,34.12,1.629
2014-03-26,34.29,34.4,34.11,34.17,1.116
2014-03-27,34.21,34.63,34.0,34.08,1.456
2014-03-28,34.13,34.22,33.97,34.06,0.867
2014-03-31,34.26,34.55,33.97,34.53,1.237
2014-04-01,34.47,34.49,34.09,34.28,1.06
2014-04-02,34.2,34.43,34.09,34.28,1.104
2014-04-03,34.35,34.43,34.22,34.33,0.985
2014-04-04,34.41,34.5,33.97,33.98,2.145
2014-04-07,33.9,34.26,33.83,34.16,1.392
2014-04-08,34.11,34.42,33.97,34.34,1.299
2014-04-09,34.52,34.7,34.33,34.53,1.137
2014-04-10,34.48,34.71,34.08,34.11,1.52
2014-04-11,34.11,34.26,33.92,33.96,1.51
2014-04-14,34.09,34.32,34.01,34.17,1.062
2014-04-15,34.26,34.37,34.03,34.22,1.434
2014-04-16,34.38,34.62,34.35,34.54,0.825
2014-04-17,34.55,34.62,34.33,34.59,0.907
2014-04-21,34.53,34.86,34.35,34.65,1.023
2014-04-22,34.65,34.71,34.21,34.26,1.748
2014-04-23,34.29,34.35,34.06,34.22,2.08
2014-04-24,34.28,34.37,34.13,34.21,1.34
2014-04-25,34.22,34.4,34.15,34.35,0.89
2014-04-28,34.49,34.88,34.46,34.78,1.799
2014-04-29,34.78,34.92,34.46,34.53,1.591
2014-04-30,34.51,34.7,34.31,34.51,2.74
2014-05-01,34.49,34.53,33.75,34.03,3.195
2014-05-02,34.03,34.29,33.78,34.27,1.814
2014-05-05,34.02,34.21,33.86,34.08,1.282
2014-05-06,34.01,34.13,33.83,33.86,0.886
2014-05-07,33.89,34.15,33.88,34.02,1.897
