Date,Open,High,Low,Close,Volume
2014-01-02,137.15,137.68,134.48,134.76,1.12
2014-01-03,134.86,135.3,133.02,133.37,0.678
2014-01-06,133.99,137.02,133.75,135.0,0.66
2014-01-07,135.26,138.25,135.13,138.08,1.026
2014-01-08,137.92,138.28,135.92,136.09,0.942
2014-01-09,136.33,136.99,135.15,136.01,1.095
2014-01-10,136.34,137.25,135.0,136.42,0.787
2014-01-13,135.93,136.38,133.48,134.22,0.915
2014-01-14,134.84,137.63,134.13,137.34,1.764
2014-01-15,137.5,137.9,134.95,136.04,1.376
2014-01-16,136.26,137.4,132.44,134.96,0.939
2014-01-17,134.56,135.52,134.0,134.29,0.985
2014-01-21,134.29,135.19,133.19,133.5,1.161
2014-01-22,133.54,135.15,132.6,135.0,0.629
2014-01-23,134.58,134.73,133.11,133.46,0.722
2014-01-24,132.41,133.56,130.58,131.42,1.314
2014-01-27,131.31,140.74,131.31,136.92,4.42
2014-01-28,137.85,139.46,136.34,136.65,1.204
2014-01-29,135.87,138.95,135.27,138.24,3.02
2014-01-30,138.46,139.78,137.43,138.77,1.301
2014-01-31,137.1,138.72,136.84,137.0,1.355
2014-02-03,137.73,140.24,135.02,136.12,1.477
2014-02-04,136.85,139.32,136.15,138.86,1.86
2014-02-05,138.75,138.8,136.95,137.35,0.803
2014-02-06,138.2,138.69,136.41,136.5,1.443
2014-02-07,137.13,138.55,136.82,137.5,2.632
2014-02-10,137.96,138.23,137.28,137.62,1.699
2014-02-11,137.51,139.45,137.01,137.9,1.815
2014-02-12,138.3,139.13,137.14,137.57,1.665
2014-02-13,124.94,130.0,124.76,128.91,9.911
2014-02-14,128.71,129.41,126.75,129.35,2.924
2014-02-18,128.34,133.01,128.34,131.5,1.617
2014-02-19,131.13,131.99,129.0,130.44,2.774
2014-02-20,130.85,133.18,130.58,131.84,1.592
2014-02-21,132.02,132.02,124.0,125.08,5.432
2014-02-24,125.0,127.06,122.5,123.58,3.138
2014-02-25,123.37,123.96,120.5,121.34,2.934
2014-02-26,121.76,122.37,120.86,121.25,2.091
2014-02-27,121.79,124.44,121.5,124.14,1.336
2014-02-28,124.07,127.09,124.02,126.77,2.533
2014-03-03,125.4,125.69,122.3,125.69,1.535
2014-03-04,126.19,128.33,125.55,128.22,1.912
2014-03-05,128.4,129.61,126.86,127.41,1.859
2014-03-06,127.1,128.08,125.81,126.64,1.58
2014-03-07,128.66,128.99,125.47,127.0,1.839
2014-03-10,128.27,129.75,126.18,128.54,1.101
2014-03-11,128.2,129.15,127.36,127.74,1.182
2014-03-12,127.22,128.82,126.0,127.27,0.912
2014-03-13,127.4,127.4,125.05,125.72,0.687
2014-03-14,126.5,127.68,125.97,127.0,0.919
2014-03-17,127.8,128.26,126.0,126.49,0.714
2014-03-18,126.66,128.05,125.8,125.99,0.831
2014-03-19,125.6,126.57,124.87,126.47,0.748
2014-03-20,126.02,127.33,125.51,126.7,1.069
2014-03-21,127.42,127.97,126.32,127.25,1.472
2014-03-24,127.38,127.53,124.79,125.75,1.156
2014-03-25,126.17,126.72,123.79,124.12,0.722
2014-03-26,124.55,125.92,122.98,123.11,1.389
2014-03-27,122.67,124.41,120.75,121.26,1.586
2014-03-28,123.21,124.51,122.27,122.41,1.3
2014-03-31,123.38,125.08,121.65,123.2,0.822
2014-04-01,123.71,125.86,123.39,125.64,0.868
2014-04-02,128.1,128.1,125.47,126.5,0.549
2014-04-03,126.4,127.15,124.23,124.9,0.981
2014-04-04,125.86,125.86,122.45,122.72,0.895
2014-04-07,123.24,123.91,118.39,118.94,1.645
2014-04-08,119.01,121.53,117.2,121.15,1.297
2014-04-09,121.95,124.15,121.36,124.04,0.998
2014-04-10,123.48,125.0,120.82,121.99,0.864
2014-04-11,120.66,121.87,118.33,118.46,1.203
2014-04-14,119.47,120.78,118.21,119.41,1.002
2014-04-15,119.65,120.14,116.78,118.07,0.813
2014-04-16,118.86,119.71,117.49,118.11,1.25
2014-04-17,117.1,118.43,116.9,117.83,1.727
2014-04-21,120.61,125.07,120.41,123.61,1.308
2014-04-22,123.74,127.42,123.43,126.96,1.962
2014-04-23,128.01,129.0,126.89,128.1,1.736
2014-04-24,128.97,130.94,127.84,130.49,2.178
2014-04-25,129.93,130.39,128.26,130.01,1.912
2014-04-28,132.34,142.7,132.34,140.05,7.014
2014-04-29,139.35,139.86,135.29,137.15,2.276
2014-04-30,135.2,137.82,134.81,135.53,1.843
2014-05-01,135.36,137.61,134.31,136.68,1.386
2014-05-02,137.9,138.28,136.14,137.21,0.712
2014-05-05,136.77,138.56,136.36,138.41,0.666
2014-05-06,138.05,139.52,137.61,138.42,0.966
2014-05-07,138.83,139.79,138.0,139.52,1.291
