Date,Open,High,Low,Close,Volume
2014-01-02,86.99,87.45,86.19,86.2,1.022
2014-01-03,86.29,87.0,86.08,86.4,0.855
2014-01-06,86.81,86.85,86.08,86.13,1.186
2014-01-07,86.29,88.56,86.29,88.35,1.468
2014-01-08,88.25,88.35,87.74,87.91,1.422
2014-01-09,87.95,90.51,87.95,90.05,1.981
2014-01-10,90.41,90.63,88.78,89.21,1.056
2014-01-13,88.93,89.82,88.73,88.78,0.96
2014-01-14,88.73,89.84,88.56,89.49,0.867
2014-01-15,89.64,90.02,89.34,89.86,1.298
2014-01-16,89.5,89.66,88.59,88.82,1.538
2014-01-17,89.08,89.63,88.21,89.46,0.997
2014-01-21,89.81,90.55,89.36,90.13,1.207
2014-01-22,90.35,90.48,89.29,89.66,0.968
2014-01-23,88.72,89.62,88.63,89.54,1.123
2014-01-24,89.41,89.44,86.5,86.7,1.566
2014-01-27,86.55,87.75,86.13,87.0,1.31
2014-01-28,86.96,87.48,85.9,85.94,1.535
2014-01-29,85.48,87.43,84.75,85.88,1.426
2014-01-30,86.62,88.05,86.59,87.65,0.984
2014-01-31,86.7,87.13,85.98,86.31,1.421
2014-02-03,86.46,86.66,84.45,84.52,1.368
2014-02-04,84.75,85.01,83.68,84.95,1.09
2014-02-05,84.23,85.73,84.11,85.07,1.494
2014-02-06,85.51,85.57,84.68,85.37,1.552
2014-02-07,80.11,80.93,76.13,77.47,8.995
2014-02-10,77.45,77.47,76.29,76.74,4.078
2014-02-11,76.7,77.74,76.37,77.22,4.186
2014-02-12,77.39,77.63,75.68,75.94,3.878
2014-02-13,75.7,76.44,75.37,76.14,4.298
2014-02-14,75.99,78.11,75.94,77.71,4.841
2014-02-18,77.86,78.66,77.56,77.59,3.108
2014-02-19,77.5,77.84,76.37,76.44,2.027
2014-02-20,76.76,77.58,76.48,77.1,3.099
2014-02-21,76.68,78.28,76.68,77.34,2.497
2014-02-24,77.1,79.63,77.02,79.19,3.548
2014-02-25,79.0,79.17,77.85,78.16,2.112
2014-02-26,78.03,78.57,77.42,78.02,1.38
2014-02-27,78.2,78.48,77.49,77.8,1.256
2014-02-28,77.88,80.04,77.65,79.59,2.568
2014-03-03,78.77,79.34,78.17,78.61,1.579
2014-03-04,79.21,79.9,79.09,79.71,1.654
2014-03-05,79.81,80.0,78.96,79.73,1.401
2014-03-06,80.0,80.28,79.02,79.07,1.455
2014-03-07,79.33,79.52,78.68,79.05,1.477
2014-03-10,78.79,79.71,78.57,79.66,1.442
2014-03-11,79.68,80.47,79.65,79.96,1.824
2014-03-12,79.07,79.76,78.9,79.3,2.655
2014-03-13,79.63,79.78,77.67,77.68,2.587
2014-03-14,77.72,77.97,76.41,76.55,2.505
2014-03-17,76.92,77.93,76.63,77.78,2.099
2014-03-18,77.67,77.92,77.33,77.69,2.102
2014-03-19,77.9,80.94,77.73,80.28,3.519
2014-03-20,80.31,83.83,80.15,82.79,4.129
2014-03-21,83.56,84.37,82.0,82.04,3.232
2014-03-24,82.25,82.82,80.56,80.82,1.887
2014-03-25,81.61,81.62,80.1,80.31,1.286
2014-03-26,80.41,80.87,79.77,80.0,1.682
2014-03-27,80.11,80.11,76.79,77.49,3.325
2014-03-28,78.07,79.55,77.89,79.41,2.533
2014-03-31,80.18,84.28,80.13,83.73,5.922
2014-04-01,83.93,84.73,83.0,83.05,2.67
2014-04-02,82.94,83.11,82.22,82.49,1.439
2014-04-03,82.38,83.21,82.31,83.02,2.19
2014-04-04,83.35,83.74,81.74,81.8,1.61
2014-04-07,81.47,82.23,80.66,80.87,2.375
2014-04-08,80.79,81.91,80.35,81.32,1.848
2014-04-09,81.52,82.23,81.24,81.58,1.66
2014-04-10,81.58,82.0,78.77,79.09,2.103
2014-04-11,78.69,78.99,76.96,77.11,2.11
2014-04-14,77.79,77.92,76.46,77.35,1.681
2014-04-15,77.73,77.78,76.27,77.33,1.27
2014-04-16,77.89,77.89,76.44,76.78,1.639
2014-04-17,73.48,76.14,73.47,75.64,2.86
2014-04-21,76.1,76.77,75.68,76.3,1.322
2014-04-22,76.3,77.64,76.16,77.28,1.637
2014-04-23,77.15,77.65,76.51,77.36,0.835
2014-04-24,78.12,79.67,77.74,79.48,2.207
2014-04-25,79.25,79.7,78.22,78.95,1.506
2014-04-28,79.02,79.06,77.66,77.76,2.091
2014-04-29,78.15,78.15,77.8,77.85,1.725
2014-04-30,78.35,80.25,78.05,80.04,3.213
2014-05-01,82.97,83.45,81.7,82.05,2.381
2014-05-02,82.46,83.74,82.15,82.66,2.186
