Date,Open,High,Low,Close,Volume
2014-01-02,52.15,52.19,51.25,51.45,0.541
2014-01-03,51.5,51.67,51.01,51.13,0.416
2014-01-06,51.18,51.39,50.85,51.0,0.554
2014-01-07,51.02,51.31,50.92,51.05,0.53
2014-01-08,51.07,51.07,50.64,50.89,1.037
2014-01-09,50.9,51.18,50.83,51.11,0.57
2014-01-10,51.41,51.49,51.04,51.15,0.544
2014-01-13,50.99,51.24,50.4,50.51,0.804
2014-01-14,50.54,50.89,50.46,50.8,0.342
2014-01-15,51.06,51.12,50.62,50.87,0.511
2014-01-16,50.59,50.75,50.35,50.51,0.528
2014-01-17,50.48,50.6,50.21,50.52,1.408
2014-01-21,50.9,50.99,50.25,50.48,0.891
2014-01-22,50.69,50.79,50.42,50.7,0.677
2014-01-23,50.54,50.75,49.97,50.14,0.93
2014-01-24,49.7,49.84,48.8,48.81,0.9
2014-01-27,48.6,49.14,47.52,48.77,0.893
2014-01-28,48.82,49.31,48.78,49.26,0.631
2014-01-29,48.83,49.14,48.58,48.61,0.533
2014-01-30,49.03,49.26,48.79,49.23,0.409
2014-01-31,48.32,48.85,47.96,48.45,0.914
2014-02-03,48.55,48.7,47.48,47.61,0.989
2014-02-04,47.69,47.82,47.07,47.25,1.143
2014-02-05,47.07,47.43,46.94,47.1,0.791
2014-02-06,46.5,46.68,45.08,45.21,1.464
2014-02-07,45.23,45.73,44.9,45.73,1.376
2014-02-10,45.63,45.78,45.22,45.78,0.946
2014-02-11,45.8,46.48,45.69,46.32,0.853
2014-02-12,46.47,46.67,46.25,46.51,0.71
2014-02-13,46.15,46.93,46.01,46.92,0.699
2014-02-14,46.75,47.0,46.61,47.0,0.611
2014-02-18,46.88,47.3,46.83,47.17,0.642
2014-02-19,46.96,47.1,46.51,46.56,0.753
2014-02-20,46.66,46.86,46.32,46.79,0.483
2014-02-21,46.93,46.97,46.5,46.75,0.489
2014-02-24,46.77,47.03,46.63,46.65,0.632
2014-02-25,46.73,47.17,46.42,46.54,0.372
2014-02-26,46.56,46.62,46.28,46.46,0.453
2014-02-27,46.42,46.73,46.24,46.65,0.457
2014-02-28,46.7,47.1,46.51,46.88,0.569
2014-03-03,46.68,46.73,46.24,46.46,0.411
2014-03-04,46.85,47.21,46.79,47.12,0.723
2014-03-05,47.09,47.17,46.89,47.09,0.416
2014-03-06,47.1,47.8,47.07,47.65,0.637
2014-03-07,47.82,47.99,47.58,47.84,0.548
2014-03-10,47.7,47.83,47.5,47.67,0.466
2014-03-11,47.71,47.84,47.29,47.43,0.504
2014-03-12,47.27,47.66,47.12,47.63,0.389
2014-03-13,47.9,47.95,47.17,47.18,0.586
2014-03-14,47.18,47.6,47.15,47.3,0.56
2014-03-17,47.17,47.31,46.76,47.01,0.856
2014-03-18,47.04,47.52,46.97,47.42,0.34
2014-03-19,47.43,47.5,46.95,47.07,0.384
2014-03-20,46.93,47.62,46.66,47.58,0.42
2014-03-21,47.99,48.1,47.45,47.92,1.594
2014-03-24,47.99,48.16,47.78,47.98,0.537
2014-03-25,48.19,48.31,47.74,47.95,0.318
2014-03-26,48.1,48.35,47.98,48.01,0.455
