Date,Open,High,Low,Close,Volume
2014-01-02,64.89,65.03,64.0,64.3,3.004
2014-01-03,64.21,64.49,63.99,64.18,2.114
2014-01-06,64.44,64.55,63.99,64.14,2.584
2014-01-07,64.49,64.58,64.03,64.2,2.872
2014-01-08,64.17,64.2,63.41,63.54,3.286
2014-01-09,64.13,65.28,63.8,65.02,4.826
2014-01-10,65.12,65.46,64.88,65.08,2.956
2014-01-13,64.9,65.39,64.54,64.69,3.141
2014-01-14,64.7,64.99,64.56,64.85,2.48
2014-01-15,64.86,64.97,64.35,64.78,2.287
2014-01-16,64.58,65.12,64.39,64.98,2.636
2014-01-17,64.91,65.11,64.68,64.7,3.937
2014-01-21,65.05,65.41,64.29,64.74,2.829
2014-01-22,64.54,64.7,63.87,64.01,2.323
2014-01-23,63.43,63.74,63.23,63.44,3.264
2014-01-24,63.39,63.95,62.39,62.39,5.429
2014-01-27,62.47,62.65,61.95,62.11,4.637
2014-01-28,62.2,62.93,62.2,62.87,3.378
2014-01-29,62.79,62.79,61.43,61.59,5.682
2014-01-30,63.44,63.81,61.13,61.49,5.456
2014-01-31,60.61,61.59,60.0,61.23,6.832
2014-02-03,61.22,61.3,59.75,60.17,6.868
2014-02-04,60.35,60.67,60.14,60.35,5.221
2014-02-05,60.15,60.79,60.02,60.42,5.981
2014-02-06,60.51,60.84,60.27,60.6,4.191
2014-02-07,60.78,61.15,60.54,60.86,3.651
2014-02-10,60.84,61.62,60.81,61.52,4.452
2014-02-11,61.67,62.48,61.39,62.4,3.701
2014-02-12,62.41,62.74,61.68,61.92,3.972
2014-02-13,61.45,62.41,61.44,62.31,3.091
2014-02-14,62.38,62.9,61.81,62.68,3.116
2014-02-18,62.86,62.86,62.0,62.39,2.951
2014-02-19,61.97,62.19,61.44,61.53,3.358
2014-02-20,61.48,62.11,61.35,61.86,2.658
2014-02-21,61.96,62.54,61.53,61.56,3.166
2014-02-24,61.81,62.47,61.58,61.95,3.236
2014-02-25,62.04,62.23,61.68,62.07,3.961
2014-02-26,62.11,62.54,61.86,61.95,3.026
2014-02-27,61.74,62.21,61.62,62.12,2.47
2014-02-28,62.39,63.15,62.09,62.83,3.366
2014-03-03,62.23,62.63,62.0,62.22,2.715
2014-03-04,62.67,63.26,62.67,63.01,2.938
2014-03-05,62.82,62.95,62.54,62.62,2.401
2014-03-06,62.78,63.19,62.64,63.02,2.666
2014-03-07,63.09,63.23,62.85,63.13,1.993
2014-03-10,62.94,63.2,62.86,63.05,1.956
2014-03-11,63.17,63.82,63.06,63.29,3.367
2014-03-12,62.91,63.4,62.87,63.22,2.369
2014-03-13,63.32,63.88,63.11,63.23,2.633
2014-03-14,63.14,63.99,63.06,63.83,3.62
2014-03-17,64.05,64.69,63.91,64.4,2.838
2014-03-18,64.52,64.59,64.21,64.34,2.149
2014-03-19,64.27,64.32,63.14,63.39,2.286
2014-03-20,63.3,63.7,63.07,63.59,1.979
2014-03-21,64.06,64.13,63.32,63.46,5.963
2014-03-24,63.77,64.05,63.26,63.31,2.418
2014-03-25,63.72,64.3,63.31,63.77,3.161
2014-03-26,63.87,64.55,63.7,64.27,2.737
2014-03-27,64.25,65.92,63.99,64.06,8.116
2014-03-28,64.04,64.6,63.72,64.1,2.858
2014-03-31,64.5,64.92,64.03,64.87,3.568
2014-04-01,64.87,65.1,64.03,64.22,3.089
2014-04-02,64.33,64.6,63.87,64.3,2.97
2014-04-03,64.49,64.66,64.21,64.28,2.426
2014-04-04,64.57,64.65,64.13,64.22,2.435
2014-04-07,63.92,65.3,63.91,64.92,4.229
2014-04-08,64.84,65.67,64.74,65.63,4.401
2014-04-09,65.6,65.98,65.46,65.73,3.409
2014-04-10,65.59,66.31,65.39,65.94,6.901
2014-04-11,65.76,66.27,65.25,65.31,4.838
2014-04-14,65.66,66.01,65.53,65.86,3.04
2014-04-15,66.09,66.47,65.83,66.37,4.173
2014-04-16,66.57,67.4,66.41,67.18,3.576
2014-04-17,66.75,67.17,66.53,66.94,3.599
2014-04-21,66.7,67.05,66.15,66.84,2.132
2014-04-22,66.91,67.09,66.35,66.36,3.284
2014-04-23,66.38,66.57,65.8,65.87,3.688
2014-04-24,66.05,66.46,65.95,66.43,3.992
2014-04-25,66.5,66.94,65.92,66.24,3.17
2014-04-28,66.66,67.95,66.58,67.86,4.539
2014-04-29,67.75,67.82,67.03,67.04,4.474
2014-04-30,67.31,67.68,67.08,67.3,3.84
2014-05-01,67.18,67.42,66.54,67.01,2.652
2014-05-02,66.9,67.33,66.8,67.1,2.539
2014-05-05,66.87,67.14,66.67,66.9,2.033
2014-05-06,66.63,67.15,66.61,66.71,2.013
2014-05-07,66.76,67.4,66.76,67.23,2.191
2014-05-08,67.14,67.36,66.88,67.1,1.714
2014-05-09,67.02,67.73,67.02,67.65,2.418
2014-05-12,67.75,67.75,67.07,67.19,1.691
2014-05-13,67.21,67.39,67.0,67.26,1.797
2014-05-14,67.22,67.58,66.9,66.96,1.604
2014-05-15,66.74,67.09,66.31,66.41,2.44
2014-05-16,66.3,66.97,66.3,66.92,2.84
2014-05-19,66.56,66.81,66.32,66.73,1.832
2014-05-20,66.7,66.92,66.38,66.56,1.779
2014-05-21,66.69,66.85,66.46,66.81,1.706
2014-05-22,66.71,66.8,66.37,66.61,2.679
2014-05-23,66.8,67.16,66.5,66.73,3.254
2014-05-27,66.89,66.94,66.52,66.71,3.614
2014-05-28,66.7,66.71,66.1,66.12,3.281
2014-05-29,66.38,66.96,66.26,66.92,6.367
2014-05-30,66.94,68.47,66.85,68.4,7.885
2014-06-02,68.13,68.27,67.81,68.21,2.925
2014-06-03,68.03,68.15,67.12,67.24,3.144
2014-06-04,67.34,67.73,66.98,67.71,2.66
2014-06-05,67.84,68.2,67.71,67.96,2.873
2014-06-06,68.05,68.2,67.86,68.02,2.942
2014-06-09,67.89,68.64,67.88,68.44,2.26
