Date,Open,High,Low,Close,Volume
2014-01-02,25.9,25.95,25.64,25.73,19.522
2014-01-03,25.82,25.85,25.42,25.53,13.371
2014-01-06,25.57,25.81,25.33,25.51,17.988
2014-01-07,25.67,26.6,25.56,26.42,37.161
2014-01-08,26.34,26.73,26.26,26.38,29.732
2014-01-09,26.45,26.58,26.16,26.44,20.919
2014-01-10,26.51,26.86,26.29,26.77,21.308
2014-01-13,26.75,26.84,26.0,26.08,23.042
2014-01-14,26.26,26.42,25.99,26.41,17.589
2014-01-15,26.62,27.33,26.58,27.03,29.155
2014-01-16,27.03,27.15,26.61,26.77,20.263
2014-01-17,26.66,26.83,26.54,26.77,24.301
2014-01-21,27.02,27.16,26.53,26.66,17.16
2014-01-22,26.64,26.89,26.5,26.87,16.375
2014-01-23,26.61,26.79,26.42,26.54,18.491
2014-01-24,26.36,26.44,26.09,26.2,28.67
2014-01-27,26.25,26.93,25.92,26.25,37.906
2014-01-28,27.0,27.07,26.41,26.67,33.005
2014-01-29,26.64,26.73,26.25,26.53,30.432
2014-01-30,26.66,27.17,26.49,27.09,28.998
2014-01-31,26.44,27.35,26.44,27.23,32.12
2014-02-03,27.37,27.48,26.26,26.39,38.305
2014-02-04,26.46,26.8,26.09,26.76,28.05
2014-02-05,26.55,26.83,26.42,26.69,18.229
2014-02-06,26.87,27.08,26.7,27.01,15.802
2014-02-07,27.19,27.42,27.09,27.32,19.533
2014-02-10,27.39,27.39,27.1,27.17,13.889
2014-02-11,27.16,27.52,27.14,27.5,15.864
2014-02-12,27.61,27.64,27.51,27.62,16.028
2014-02-13,26.76,27.15,26.39,26.49,166.54
2014-02-14,26.5,27.06,26.5,26.85,71.65
2014-02-18,26.98,26.99,26.59,26.76,40.541
2014-02-19,26.64,26.68,25.6,25.78,80.406
2014-02-20,25.89,26.07,25.67,25.88,51.477
2014-02-21,26.03,26.03,25.5,25.52,48.105
2014-02-24,25.86,25.93,25.57,25.58,32.76
2014-02-25,25.63,25.73,25.09,25.39,40.828
2014-02-26,25.46,25.46,25.1,25.34,30.516
2014-02-27,25.33,25.68,25.25,25.54,35.473
2014-02-28,25.65,26.04,25.56,25.84,38.39
2014-03-03,25.54,25.64,25.31,25.5,33.501
2014-03-04,25.7,25.8,25.61,25.68,25.82
2014-03-05,25.68,26.13,25.57,25.94,33.18
2014-03-06,26.06,26.16,25.92,26.06,25.728
2014-03-07,26.16,26.18,25.72,25.82,25.983
2014-03-10,25.83,25.94,25.66,25.76,19.885
2014-03-11,25.85,25.88,25.5,25.61,23.852
2014-03-12,25.5,25.59,25.31,25.49,22.211
2014-03-13,25.56,25.59,25.08,25.23,30.253
2014-03-14,25.16,25.4,25.09,25.32,31.716
2014-03-17,25.49,25.5,25.31,25.39,25.698
2014-03-18,25.36,25.36,24.99,25.11,32.672
2014-03-19,25.1,25.15,24.75,24.94,42.754
2014-03-20,25.0,25.48,24.95,25.31,30.96
2014-03-21,25.34,25.66,24.95,25.0,47.989
2014-03-24,25.12,25.25,24.67,25.15,36.854
2014-03-25,25.17,25.25,24.69,24.83,36.882
2014-03-26,24.87,25.18,24.78,24.81,38.86
2014-03-27,24.7,24.8,24.5,24.55,25.188
2014-03-28,24.69,24.92,24.5,24.78,31.931
2014-03-31,24.92,25.19,24.89,25.02,34.758
2014-04-01,25.17,25.19,24.82,24.97,27.944
2014-04-02,25.01,25.49,25.01,25.45,31.894
2014-04-03,25.38,25.66,25.36,25.56,28.816
2014-04-04,25.59,25.81,25.08,25.09,36.551
2014-04-07,25.06,25.1,24.32,24.54,43.991
2014-04-08,24.59,24.59,24.14,24.42,47.069
2014-04-09,24.39,24.94,24.33,24.9,40.874
2014-04-10,24.84,24.97,24.19,24.21,38.223
2014-04-11,24.08,24.35,23.95,23.98,34.034
2014-04-14,24.1,24.42,24.05,24.33,32.36
2014-04-15,24.38,24.48,23.87,24.2,35.995
2014-04-16,24.38,24.61,24.25,24.58,41.937
2014-04-17,24.48,24.75,24.38,24.55,30.276
2014-04-21,24.69,24.94,24.66,24.94,31.706
2014-04-22,25.3,25.81,25.25,25.42,73.148
2014-04-23,25.49,25.71,25.37,25.6,33.428
2014-04-24,25.67,25.97,25.57,25.68,33.769
2014-04-25,25.63,25.7,25.43,25.49,32.738
2014-04-28,25.76,25.91,25.39,25.85,43.184
2014-04-29,26.0,26.0,25.61,25.77,34.264
2014-04-30,25.76,26.0,25.66,25.88,30.432
2014-05-01,25.91,26.06,25.86,26.06,26.996
2014-05-02,26.21,26.21,25.84,26.01,26.765
2014-05-05,25.92,26.24,25.86,26.23,27.093
2014-05-06,26.05,26.17,25.8,25.91,32.064
2014-05-07,26.01,26.09,25.65,25.87,28.598
2014-05-08,25.83,25.88,25.39,25.55,37.925
2014-05-09,25.53,25.57,25.05,25.5,30.733
2014-05-12,25.56,25.6,25.24,25.33,29.711
2014-05-13,25.42,25.43,25.01,25.06,50.113
2014-05-14,25.08,25.12,24.84,24.92,31.636
2014-05-15,24.9,25.17,24.58,25.16,33.025
2014-05-16,25.11,25.16,24.92,25.09,25.462
2014-05-19,25.12,25.47,24.89,25.45,28.003
2014-05-20,25.4,25.47,25.22,25.33,24.99
2014-05-21,25.3,25.69,25.26,25.67,25.162
2014-05-22,25.64,26.0,25.62,25.85,22.345
2014-05-23,25.93,26.06,25.89,25.99,18.252
2014-05-27,26.03,26.14,25.92,26.03,18.779
2014-05-28,26.08,26.08,25.78,25.92,17.307
2014-05-29,26.03,26.09,25.89,26.03,18.987
2014-05-30,26.09,26.15,25.92,26.1,21.664
2014-06-02,26.06,26.38,26.04,26.28,20.537
