Date,Open,High,Low,Close,Volume
2014-01-02,140.43,140.98,138.28,138.56,1.534
2014-01-03,138.77,140.0,138.34,139.16,1.092
2014-01-06,140.22,141.67,138.25,138.72,1.354
2014-01-07,138.87,140.25,138.8,139.89,0.88
2014-01-08,139.59,140.23,138.83,139.35,0.977
2014-01-09,140.15,140.62,137.94,138.67,0.867
2014-01-10,139.36,139.54,137.8,138.1,1.034
2014-01-13,137.59,138.42,135.76,136.15,1.4
2014-01-14,137.0,137.49,136.37,137.13,1.096
2014-01-15,137.49,138.25,137.36,137.79,1.105
2014-01-16,137.05,138.55,137.05,137.84,0.931
2014-01-17,138.96,139.07,137.51,137.74,1.319
2014-01-21,138.04,138.5,135.76,136.41,1.625
2014-01-22,136.5,136.55,134.8,134.88,1.586
2014-01-23,134.5,135.49,131.52,132.08,2.393
2014-01-24,131.1,131.22,126.06,126.31,3.022
2014-01-27,128.32,128.68,124.03,125.95,2.529
2014-01-28,126.61,128.71,126.53,128.63,1.568
2014-01-29,126.87,130.02,126.5,128.59,2.103
2014-01-30,129.65,129.92,128.04,128.48,1.419
2014-01-31,126.73,128.01,126.06,126.98,1.887
2014-02-03,127.13,127.92,123.15,123.7,2.322
2014-02-04,123.76,126.7,122.64,126.4,2.494
2014-02-05,126.24,127.14,125.48,126.67,2.487
2014-02-06,123.5,131.49,123.5,130.78,3.444
2014-02-07,132.5,135.57,131.94,134.33,2.567
2014-02-10,133.91,133.99,132.4,133.02,1.505
2014-02-11,133.12,136.45,132.9,135.52,2.142
2014-02-12,135.69,139.05,135.56,138.59,2.336
2014-02-13,136.94,141.23,136.89,140.92,2.298
2014-02-14,140.9,143.6,140.65,142.12,2.221
2014-02-18,142.42,143.2,141.58,143.1,1.583
2014-02-19,141.39,143.03,139.76,139.98,2.056
2014-02-20,140.38,141.77,139.82,141.75,2.298
2014-02-21,142.45,143.83,141.84,142.83,1.89
2014-02-24,143.87,148.6,143.76,146.01,2.489
2014-02-25,144.69,146.58,143.07,145.63,1.828
2014-02-26,145.0,147.33,144.55,145.9,1.365
2014-02-27,145.33,145.57,143.49,145.3,1.734
2014-02-28,145.59,146.76,145.12,145.92,1.194
2014-03-03,144.17,144.17,142.09,143.0,1.801
2014-03-04,144.69,146.33,144.51,145.7,1.597
2014-03-05,146.09,147.0,144.83,145.26,1.105
2014-03-06,145.93,146.89,145.86,146.12,0.887
2014-03-07,146.8,146.98,144.95,145.62,0.891
2014-03-10,144.4,145.33,143.06,143.9,0.978
2014-03-11,145.43,145.85,142.37,142.9,1.355
2014-03-12,141.8,143.11,140.58,143.07,1.598
2014-03-13,143.52,143.96,139.79,140.62,1.078
2014-03-14,140.24,141.24,139.16,139.36,1.063
2014-03-17,140.86,143.31,140.86,142.79,1.197
2014-03-18,142.55,143.74,142.12,142.68,0.879
2014-03-19,142.45,143.3,141.58,142.76,1.085
2014-03-20,142.4,143.96,142.03,143.55,0.703
2014-03-21,144.76,145.45,143.39,144.35,1.374
2014-03-24,144.51,145.12,141.48,142.36,1.496
2014-03-25,143.89,145.2,143.26,144.34,1.319
2014-03-26,145.48,147.47,143.92,143.99,1.465
2014-03-27,143.72,144.78,142.36,144.08,1.153
2014-03-28,144.22,147.78,144.22,146.0,1.375
2014-03-31,148.35,150.34,147.51,148.99,2.115
2014-04-01,149.39,149.98,147.77,148.95,1.597
2014-04-02,149.29,150.07,148.38,149.34,1.181
2014-04-03,149.42,150.27,148.62,149.43,1.405
2014-04-04,150.99,151.0,146.52,147.08,1.405
2014-04-07,146.82,147.67,143.71,144.69,1.499
2014-04-08,144.43,146.81,143.21,146.7,1.428
2014-04-09,146.96,148.5,146.36,147.92,1.134
2014-04-10,147.92,149.14,144.0,144.09,1.464
2014-04-11,143.03,144.36,141.65,142.05,1.144
2014-04-14,143.48,144.46,142.1,143.26,0.918
2014-04-15,143.38,144.06,139.01,141.76,2.154
2014-04-16,143.5,145.32,142.44,145.3,1.211
2014-04-17,145.32,146.86,145.15,146.28,1.02
2014-04-21,146.2,146.88,144.85,146.57,0.539
2014-04-22,146.76,147.87,146.01,146.8,0.925
2014-04-23,146.93,148.17,146.52,147.35,0.982
2014-04-24,148.39,149.7,147.38,149.06,1.927
2014-04-25,148.01,148.72,146.57,147.18,1.664
2014-04-28,147.57,148.07,142.86,145.2,1.916
2014-04-29,151.02,151.8,148.17,150.81,2.621
2014-04-30,150.36,151.39,149.73,150.85,1.342
2014-05-01,150.46,152.76,150.06,151.48,1.131
2014-05-02,151.23,152.75,150.47,150.88,1.103
2014-05-05,150.02,150.84,148.85,150.29,0.969
2014-05-06,149.75,151.05,147.87,148.41,1.336
2014-05-07,149.01,150.25,148.16,149.56,1.586
2014-05-08,149.58,152.08,149.03,151.16,1.377
2014-05-09,150.84,150.84,148.84,149.94,0.803
2014-05-12,150.52,153.49,150.52,153.32,0.898
