Date,Open,High,Low,Close,Volume
2014-01-02,14.74,14.82,14.61,14.76,2.011
2014-01-03,14.75,14.79,14.65,14.73,1.104
2014-01-06,14.79,14.84,14.58,14.66,1.466
2014-01-07,14.66,15.05,14.54,15.05,1.508
2014-01-08,15.13,15.38,15.1,15.36,2.079
2014-01-09,15.38,15.68,15.38,15.43,2.551
2014-01-10,15.43,15.43,15.02,15.06,2.706
2014-01-13,15.1,15.35,15.05,15.14,1.768
2014-01-14,15.14,15.31,15.0,15.29,1.868
2014-01-15,15.31,15.63,15.15,15.53,2.035
2014-01-16,15.52,15.72,15.41,15.5,2.119
2014-01-17,15.44,15.45,15.2,15.43,1.665
2014-01-21,15.5,15.5,15.3,15.41,1.911
2014-01-22,15.46,15.46,15.23,15.36,1.906
2014-01-23,15.54,15.77,15.48,15.64,3.278
2014-01-24,15.57,15.57,15.3,15.37,1.506
2014-01-27,15.36,15.41,15.12,15.26,1.807
2014-01-28,15.08,15.26,14.98,15.07,4.241
2014-01-29,14.95,15.41,14.88,15.07,2.307
2014-01-30,15.19,15.43,15.11,15.23,2.31
2014-01-31,15.03,15.17,14.97,15.15,2.629
2014-02-03,15.19,15.2,14.71,14.78,3.782
2014-02-04,14.85,14.99,14.22,14.7,5.396
2014-02-05,14.9,15.74,14.65,15.45,5.796
2014-02-06,15.46,15.53,15.18,15.39,2.503
2014-02-07,15.35,15.46,15.25,15.35,1.521
2014-02-10,15.3,15.38,15.07,15.36,1.654
2014-02-11,15.35,15.41,15.23,15.28,1.902
2014-02-12,15.25,15.35,14.5,14.56,3.501
2014-02-13,14.53,14.86,14.53,14.86,2.814
2014-02-14,14.89,15.29,14.83,15.23,1.869
2014-02-18,15.24,15.49,15.24,15.4,1.291
2014-02-19,15.34,15.47,15.05,15.08,1.501
2014-02-20,15.14,15.34,15.05,15.32,1.054
2014-02-21,15.38,15.54,15.34,15.38,1.895
2014-02-24,15.36,15.86,15.34,15.85,2.048
2014-02-25,15.9,15.99,15.59,15.64,2.033
2014-02-26,15.65,15.86,15.58,15.7,1.042
2014-02-27,15.7,15.81,15.65,15.71,1.051
2014-02-28,15.76,16.02,15.73,15.92,1.868
2014-03-03,15.86,15.89,15.5,15.68,1.758
2014-03-04,15.88,16.06,15.77,15.97,2.817
2014-03-05,15.92,15.97,15.73,15.79,1.59
2014-03-06,15.78,15.93,15.68,15.71,1.45
2014-03-07,15.81,15.86,15.7,15.86,3.015
2014-03-10,15.84,16.04,15.77,16.04,1.636
2014-03-11,16.09,16.22,15.96,16.0,1.899
2014-03-12,15.89,16.11,15.81,16.1,1.254
2014-03-13,16.17,16.18,15.85,15.9,1.494
2014-03-14,15.86,16.08,15.76,15.77,1.478
2014-03-17,15.81,16.05,15.7,15.94,0.953
2014-03-18,15.94,16.18,15.94,16.12,1.392
2014-03-19,16.17,16.3,16.03,16.19,1.827
2014-03-20,16.19,16.42,16.19,16.3,1.294
2014-03-21,16.41,16.59,16.29,16.29,1.93
2014-03-24,16.41,16.44,15.94,15.95,2.037
2014-03-25,16.02,16.14,15.6,15.76,2.616
2014-03-26,15.85,15.96,15.63,15.72,1.386
2014-03-27,15.74,15.79,15.35,15.35,1.932
