Date,Open,High,Low,Close,Volume
2014-01-02,30.81,30.99,30.57,30.76,1.283
2014-01-03,30.77,31.03,30.62,30.89,0.875
2014-01-06,30.96,31.12,30.25,30.57,3.604
2014-01-07,30.1,31.13,30.04,30.99,3.142
2014-01-08,30.94,31.16,30.81,31.02,2.052
2014-01-09,31.07,31.67,31.04,31.46,2.668
2014-01-10,31.45,31.79,31.34,31.53,3.143
2014-01-13,31.47,31.5,30.97,31.01,2.426
2014-01-14,31.1,31.74,31.1,31.59,1.471
2014-01-15,31.55,32.49,31.55,32.27,2.695
2014-01-16,32.23,32.83,32.18,32.65,2.048
2014-01-17,32.63,32.88,32.35,32.42,1.598
2014-01-21,32.72,32.72,31.95,32.35,1.324
2014-01-22,32.43,32.49,31.8,31.84,1.76
2014-01-23,31.6,31.94,31.41,31.58,1.968
2014-01-24,31.55,31.55,30.53,30.67,3.812
2014-01-27,30.73,31.29,30.37,30.95,2.327
2014-01-28,30.99,31.17,30.75,30.93,1.36
2014-01-29,30.89,31.32,30.62,30.76,1.938
2014-01-30,31.14,31.34,30.93,31.31,1.029
2014-01-31,30.83,31.24,30.6,31.07,0.946
2014-02-03,30.82,30.88,29.31,29.33,5.891
2014-02-04,29.4,30.12,29.24,29.84,2.871
2014-02-05,29.85,30.11,29.58,29.93,0.886
2014-02-06,30.01,30.24,29.76,30.04,1.099
2014-02-07,30.14,30.89,30.12,30.85,2.026
2014-02-10,30.84,31.22,30.73,31.21,1.655
2014-02-11,31.18,31.69,31.14,31.54,1.828
2014-02-12,31.54,31.81,31.38,31.65,1.171
2014-02-13,31.48,31.97,31.48,31.64,1.404
2014-02-14,31.6,31.69,31.06,31.24,2.825
2014-02-18,31.3,31.86,31.21,31.85,1.502
2014-02-19,31.7,32.03,31.53,31.75,1.238
2014-02-20,31.73,32.18,31.35,32.13,0.954
2014-02-21,31.81,32.21,31.57,31.89,1.011
2014-02-24,31.86,32.42,31.85,32.08,1.25
2014-02-25,32.09,32.15,31.65,32.15,0.846
2014-02-26,32.18,32.46,31.79,32.36,1.271
2014-02-27,32.31,32.53,31.92,32.41,1.204
2014-02-28,32.59,32.8,31.83,32.05,1.383
2014-03-03,31.97,32.42,31.89,32.03,2.574
2014-03-04,32.32,33.13,32.26,33.1,2.432
2014-03-05,33.11,33.17,32.72,32.72,1.524
2014-03-06,32.72,33.24,32.4,32.52,2.994
2014-03-07,34.16,36.33,33.25,34.12,6.33
2014-03-10,33.88,34.17,33.46,33.56,2.794
2014-03-11,33.61,33.73,33.21,33.26,1.664
2014-03-12,33.01,33.71,32.74,33.61,3.068
2014-03-13,33.71,34.05,33.27,33.39,1.764
2014-03-14,33.18,33.66,33.03,33.09,1.36
2014-03-17,33.27,33.61,33.17,33.42,1.553
2014-03-18,33.6,34.38,33.37,34.15,2.298
2014-03-19,34.15,34.73,34.06,34.4,1.871
2014-03-20,34.33,34.83,34.1,34.65,1.885
2014-03-21,34.87,34.87,33.5,33.5,3.756
2014-03-24,33.67,33.97,33.2,33.6,2.564
2014-03-25,33.92,33.99,33.19,33.49,1.194
2014-03-26,33.73,33.87,33.29,33.31,1.54
2014-03-27,33.36,33.4,32.81,32.89,1.396
2014-03-28,33.01,33.25,32.8,33.08,0.981
2014-03-31,33.47,34.4,33.12,34.34,2.553
2014-04-01,34.23,34.83,34.13,34.59,2.052
2014-04-02,34.64,34.85,34.19,34.35,2.378
2014-04-03,34.35,34.57,34.03,34.38,2.238
2014-04-04,34.53,34.74,33.1,33.15,2.047
2014-04-07,33.09,33.11,32.16,32.67,2.196
2014-04-08,32.66,32.85,32.34,32.61,1.978
2014-04-09,32.69,33.19,32.25,33.18,1.387
2014-04-10,33.08,33.08,31.46,31.52,2.718
2014-04-11,31.24,31.42,30.87,30.91,2.325
2014-04-14,31.23,31.77,31.06,31.7,2.292
2014-04-15,31.82,32.29,31.0,31.67,2.81
2014-04-16,31.99,32.49,31.64,32.29,1.843
2014-04-17,32.13,32.46,31.58,32.17,1.599
2014-04-21,31.52,32.36,31.52,32.01,0.625
2014-04-22,32.21,32.62,31.98,32.52,1.292
2014-04-23,32.49,32.56,32.19,32.33,0.822
2014-04-24,32.52,32.74,32.2,32.63,1.524
2014-04-25,32.37,32.56,32.08,32.28,1.395
2014-04-28,32.47,32.76,32.09,32.53,1.427
2014-04-29,32.75,33.14,32.53,32.95,1.396
2014-04-30,32.83,33.03,32.69,32.98,1.282
2014-05-01,33.03,33.35,32.74,33.07,0.81
2014-05-02,33.17,33.62,33.02,33.45,1.054
2014-05-05,33.15,33.64,33.1,33.53,1.166
2014-05-06,33.4,33.62,33.09,33.46,1.264
2014-05-07,33.65,33.65,32.83,33.39,1.274
2014-05-08,33.42,33.89,32.97,33.05,0.988
2014-05-09,33.03,33.42,32.45,33.18,1.142
2014-05-12,33.51,34.15,33.27,33.81,1.167
2014-05-13,33.93,34.12,33.54,33.68,0.573
2014-05-14,33.56,33.88,33.3,33.35,1.456
2014-05-15,33.32,33.32,32.68,33.06,1.42
2014-05-16,33.23,33.31,32.85,33.31,0.795
2014-05-19,33.22,33.64,33.2,33.46,0.582
2014-05-20,33.4,33.42,31.75,32.77,3.457
2014-05-21,32.96,33.12,32.47,32.5,1.624
2014-05-22,32.51,32.81,32.4,32.49,1.547
2014-05-23,32.5,32.63,32.33,32.54,0.929
2014-05-27,32.79,32.87,32.35,32.47,1.442
2014-05-28,32.5,32.55,31.84,31.86,2.992
2014-05-29,32.01,32.28,31.84,32.1,1.876
2014-05-30,32.16,32.4,32.02,32.26,1.9
2014-06-02,32.41,32.79,32.2,32.77,1.537
2014-06-03,32.56,33.15,32.56,32.74,1.647
2014-06-04,32.67,32.86,32.51,32.77,0.907
2014-06-05,32.69,32.92,32.46,32.78,1.792
2014-06-06,32.71,33.39,31.91,33.34,6.306
2014-06-09,33.35,33.5,32.69,33.29,2.722
2014-06-10,33.33,33.41,32.99,33.14,0.981
2014-06-11,33.12,33.28,32.92,33.26,0.817
2014-06-12,33.21,33.36,32.79,32.86,1.441
2014-06-13,32.93,32.93,32.49,32.66,1.694
