Date,Open,High,Low,Close,Volume
2014-01-02,118.71,119.3,117.74,117.81,1.618
2014-01-03,118.21,118.36,117.13,117.29,1.294
2014-01-06,117.49,117.75,115.89,116.4,2.12
2014-01-07,116.39,116.56,115.38,115.86,2.292
2014-01-08,116.04,116.04,113.92,114.05,4.6
2014-01-09,116.2,119.1,114.05,118.51,5.759
2014-01-10,118.2,118.65,116.66,117.85,2.79
2014-01-13,117.06,117.53,114.58,114.77,3.164
2014-01-14,115.2,116.83,115.12,116.23,2.321
2014-01-15,116.07,116.69,115.25,116.24,1.848
2014-01-16,116.44,116.47,115.3,115.56,1.938
2014-01-17,115.6,116.61,115.43,116.29,2.708
2014-01-21,115.61,116.11,114.84,114.93,2.111
2014-01-22,115.01,115.16,113.69,113.75,2.502
2014-01-23,113.5,113.53,112.4,112.8,2.162
2014-01-24,112.69,112.87,111.92,112.13,3.183
2014-01-27,112.56,113.73,112.03,113.08,3.785
2014-01-28,113.53,114.76,113.44,114.38,2.362
2014-01-29,114.05,114.19,112.11,112.23,2.356
2014-01-30,112.75,113.49,112.09,112.73,1.626
2014-01-31,111.29,113.28,111.13,112.36,2.144
2014-02-03,112.96,113.0,110.05,110.18,3.112
2014-02-04,110.73,111.33,109.5,110.89,2.53
2014-02-05,110.22,110.8,109.8,110.51,2.374
2014-02-06,113.01,114.58,113.0,114.26,3.739
2014-02-07,114.08,114.61,113.38,114.04,2.194
2014-02-10,114.04,114.1,112.58,113.85,1.872
2014-02-11,113.91,115.15,113.5,114.99,1.769
2014-02-12,114.88,115.43,114.3,114.81,1.738
2014-02-13,114.14,115.93,114.14,115.81,1.583
2014-02-14,115.16,116.49,114.5,116.1,1.518
2014-02-18,116.3,116.41,114.92,115.36,2.056
2014-02-19,115.11,115.3,114.27,114.91,1.803
2014-02-20,114.57,115.55,113.88,115.06,1.837
2014-02-21,115.4,115.49,112.92,113.19,3.654
2014-02-24,113.46,114.81,113.2,113.94,2.282
2014-02-25,114.0,115.89,114.0,115.46,1.921
2014-02-26,115.5,116.83,115.37,115.88,1.924
2014-02-27,116.03,116.42,115.28,116.22,1.374
2014-02-28,116.5,117.47,115.89,116.8,2.103
2014-03-03,116.22,117.07,115.11,115.75,1.667
2014-03-04,116.61,116.91,115.85,116.65,1.808
2014-03-05,116.57,116.95,115.81,116.47,2.306
2014-03-06,113.15,114.64,112.27,113.26,8.922
2014-03-07,113.8,114.01,113.14,113.5,2.906
2014-03-10,113.21,114.59,113.0,114.59,2.319
2014-03-11,114.56,114.75,113.92,114.71,2.202
2014-03-12,114.39,115.62,114.25,115.21,2.173
2014-03-13,115.66,115.79,114.19,114.41,2.52
2014-03-14,114.95,114.95,113.33,113.45,2.29
2014-03-17,114.14,114.46,113.39,113.46,2.189
2014-03-18,113.9,114.12,113.02,113.85,2.501
2014-03-19,113.54,114.25,112.46,112.85,1.636
2014-03-20,112.56,113.22,112.13,113.16,1.408
2014-03-21,114.41,114.58,113.3,113.83,4.442
2014-03-24,113.99,114.0,112.89,113.37,2.502
2014-03-25,113.82,114.46,113.79,113.93,2.199
2014-03-26,114.28,114.47,112.46,112.49,1.906
2014-03-27,112.5,112.94,111.82,112.03,2.039
2014-03-28,112.35,112.79,111.15,111.66,2.796
2014-03-31,111.94,112.28,111.57,111.68,2.12
2014-04-01,112.21,112.55,111.51,111.86,2.566
2014-04-02,111.9,112.01,110.94,111.55,3.297
2014-04-03,111.74,112.15,111.28,111.7,2.329
2014-04-04,111.95,112.0,110.63,110.65,2.716
2014-04-07,110.73,111.13,110.36,110.79,3.119
2014-04-08,110.56,112.74,110.38,112.66,3.864
2014-04-09,112.72,113.14,112.11,113.05,2.9
2014-04-10,114.12,114.44,111.94,112.08,3.305
2014-04-11,111.44,112.78,111.4,112.08,3.098
2014-04-14,112.49,113.0,111.53,112.56,2.519
2014-04-15,112.58,112.96,111.45,112.06,2.124
2014-04-16,112.8,113.64,112.27,113.49,2.455
2014-04-17,113.52,114.03,113.12,113.5,1.659
2014-04-21,113.51,114.1,113.4,114.1,1.827
2014-04-22,114.0,114.23,113.51,113.56,2.315
2014-04-23,113.48,114.99,113.33,114.79,1.991
2014-04-24,114.9,115.31,114.14,115.03,1.939
2014-04-25,114.85,115.3,114.2,115.01,1.721
2014-04-28,115.1,116.61,115.1,115.59,3.019
2014-04-29,115.38,115.95,115.16,115.4,1.58
2014-04-30,115.04,115.76,114.76,115.68,1.634
2014-05-01,115.68,116.0,114.94,115.56,1.168
2014-05-02,116.14,116.14,115.06,115.15,1.321
2014-05-05,115.06,115.06,113.93,114.49,1.398
2014-05-06,114.28,114.49,112.77,112.83,1.945
2014-05-07,112.83,113.09,111.61,111.98,2.951
2014-05-08,113.08,114.82,112.97,114.73,2.557
2014-05-09,114.55,115.67,114.3,115.39,1.955
2014-05-12,115.78,116.91,115.58,116.51,1.94
2014-05-13,116.32,116.6,116.08,116.29,1.229
2014-05-14,115.73,116.1,114.86,115.13,1.255
2014-05-15,114.76,114.8,113.62,114.35,1.883
2014-05-16,114.58,115.82,114.36,115.61,2.145
2014-05-19,115.09,116.55,114.87,116.37,2.213
2014-05-20,115.79,116.11,114.98,115.13,2.127
2014-05-21,115.1,115.32,114.16,114.52,1.713
2014-05-22,114.53,115.0,114.4,114.73,1.06
2014-05-23,115.07,115.15,114.51,114.94,1.1
2014-05-27,115.0,115.22,113.62,113.87,2.584
2014-05-28,114.0,114.95,113.96,114.24,2.389
2014-05-29,114.58,115.19,113.51,114.14,2.977
2014-05-30,114.61,116.09,114.01,116.02,2.622
2014-06-02,115.84,116.14,115.54,115.68,1.082
2014-06-03,115.47,116.0,115.27,115.51,1.127
2014-06-04,115.29,116.49,115.27,116.31,1.293
2014-06-05,117.0,117.94,116.72,117.75,2.614
2014-06-06,117.69,118.24,117.58,118.23,1.665
2014-06-09,118.21,118.85,117.47,117.78,1.623
2014-06-10,117.37,117.73,116.9,117.1,1.089
2014-06-11,116.46,116.94,115.98,116.24,1.117
2014-06-12,116.13,116.43,115.07,115.44,1.423
2014-06-13,115.7,115.7,114.67,115.3,1.23
2014-06-16,115.32,115.46,114.95,115.43,1.503
2014-06-17,115.4,115.79,115.14,115.45,1.506
2014-06-18,115.66,116.34,115.07,116.27,2.113
2014-06-19,116.57,116.58,115.78,116.26,1.636
2014-06-20,116.65,116.65,115.09,115.36,2.958
2014-06-23,115.2,115.32,114.51,115.22,1.502
2014-06-24,115.53,116.51,115.08,116.31,1.907
2014-06-25,116.0,116.45,115.68,116.27,1.189
2014-06-26,116.24,116.5,115.28,115.64,1.252
