Date,Open,High,Low,Close,Volume
2014-01-02,43.08,43.23,42.68,43.04,2.169
2014-01-03,42.66,42.78,42.36,42.42,2.343
2014-01-06,42.68,42.83,42.24,42.4,2.519
2014-01-07,42.7,42.99,42.56,42.87,2.033
2014-01-08,42.84,42.9,42.3,42.59,2.115
2014-01-09,42.5,42.56,42.01,42.49,1.956
2014-01-10,42.76,43.03,42.49,42.83,1.546
2014-01-13,42.61,42.91,42.16,42.25,2.073
2014-01-14,42.39,42.83,42.25,42.63,1.777
2014-01-15,42.78,42.78,42.15,42.31,1.559
2014-01-16,42.3,43.01,42.22,42.85,1.399
2014-01-17,42.67,42.74,41.62,41.79,3.205
2014-01-21,42.15,42.37,41.76,42.1,2.231
2014-01-22,42.33,42.6,42.23,42.32,1.06
2014-01-23,41.99,42.1,41.59,41.86,1.781
2014-01-24,41.8,42.89,41.74,42.29,3.984
2014-01-27,42.28,42.38,41.77,41.93,1.921
2014-01-28,41.98,42.28,41.7,41.97,1.424
2014-01-29,41.5,41.5,40.54,41.1,2.644
2014-01-30,41.35,41.45,41.01,41.16,1.223
2014-01-31,40.69,41.62,40.65,41.21,1.682
2014-02-03,41.38,41.38,39.78,39.88,2.059
2014-02-04,40.1,40.14,39.65,40.05,1.33
2014-02-05,39.66,40.12,39.6,39.84,1.479
2014-02-06,39.95,40.08,39.62,40.02,1.463
2014-02-07,40.11,40.49,39.89,40.32,1.012
2014-02-10,40.24,40.74,40.15,40.65,1.135
2014-02-11,40.5,40.92,40.41,40.9,1.56
2014-02-12,40.9,41.29,40.69,40.86,1.666
2014-02-13,40.6,41.17,40.6,40.97,2.355
2014-02-14,42.5,43.75,42.0,43.01,5.164
2014-02-18,43.05,43.36,42.61,43.25,2.728
2014-02-19,43.22,43.63,43.16,43.55,2.421
2014-02-20,43.46,43.76,43.35,43.69,1.633
2014-02-21,43.76,44.06,43.57,43.98,4.12
2014-02-24,44.05,44.44,44.03,44.19,1.559
2014-02-25,44.3,44.44,43.76,43.94,2.156
2014-02-26,44.05,44.14,43.25,43.25,2.602
2014-02-27,43.22,43.52,42.97,43.13,2.566
2014-02-28,43.21,43.55,43.08,43.31,1.318
2014-03-03,42.93,43.34,42.85,43.03,1.429
2014-03-04,43.42,44.04,43.41,43.99,2.189
2014-03-05,43.96,44.06,43.54,43.78,1.157
2014-03-06,43.85,43.89,43.52,43.72,1.133
2014-03-07,43.76,44.02,43.48,43.91,1.019
2014-03-10,43.88,43.93,43.67,43.87,1.184
2014-03-11,43.85,44.16,43.5,43.62,1.104
2014-03-12,43.4,44.24,43.39,44.21,1.019
2014-03-13,44.32,44.6,43.81,44.02,1.324
2014-03-14,43.81,44.5,43.8,44.05,1.514
2014-03-17,44.18,44.22,43.68,43.89,1.046
2014-03-18,44.04,44.58,43.73,44.37,1.186
2014-03-19,44.33,44.45,43.87,43.99,1.268
2014-03-20,43.97,44.64,43.91,44.64,1.731
2014-03-21,44.93,44.99,44.44,44.54,1.893
2014-03-24,44.56,44.74,44.04,44.25,1.901
2014-03-25,44.59,44.64,44.03,44.32,1.245
2014-03-26,44.41,44.5,44.0,44.05,0.651
2014-03-27,44.1,44.34,43.96,44.15,0.612
2014-03-28,44.27,44.63,44.14,44.56,0.944
2014-03-31,44.82,44.98,44.67,44.88,0.678
2014-04-01,43.93,44.95,43.88,44.56,1.064
2014-04-02,44.53,44.68,44.32,44.57,0.963
2014-04-03,44.76,44.92,44.26,44.87,1.314
2014-04-04,44.64,44.7,44.26,44.31,1.044
2014-04-07,44.3,44.96,44.3,44.81,1.72
2014-04-08,44.87,45.1,44.47,44.68,1.304
2014-04-09,44.75,45.03,44.63,44.95,0.776
2014-04-10,44.97,45.48,44.65,44.69,1.091
2014-04-11,44.43,44.84,44.05,44.26,0.977
2014-04-14,44.67,44.81,44.3,44.6,0.794
2014-04-15,44.68,44.68,44.03,44.17,1.024
2014-04-16,44.48,44.73,44.31,44.68,0.895
2014-04-17,44.52,44.63,44.36,44.54,0.762
2014-04-21,44.49,44.68,44.28,44.42,0.788
2014-04-22,44.47,44.81,44.27,44.73,0.924
2014-04-23,44.71,45.12,44.71,44.93,0.814
2014-04-24,44.91,45.17,44.77,44.87,0.715
2014-04-25,44.84,44.98,44.49,44.94,0.564
2014-04-28,45.09,45.76,45.02,45.68,1.204
2014-04-29,45.77,46.02,45.38,45.4,0.752
2014-04-30,45.31,45.5,45.01,45.49,0.688
2014-05-01,45.39,45.46,44.9,45.2,0.625
2014-05-02,45.2,45.35,44.89,44.99,0.472
2014-05-05,44.88,45.2,44.79,45.19,0.532
2014-05-06,45.18,45.26,44.81,44.9,0.662
2014-05-07,45.03,45.36,45.0,45.32,1.017
2014-05-08,45.37,45.61,45.03,45.24,0.622
2014-05-09,45.22,45.45,45.12,45.4,0.924
2014-05-12,45.57,45.7,45.36,45.49,0.849
2014-05-13,45.58,45.85,45.54,45.63,0.855
2014-05-14,45.65,45.84,45.28,45.31,0.949
2014-05-15,45.16,45.47,44.96,45.03,0.868
2014-05-16,44.96,45.21,44.82,45.12,1.319
2014-05-19,42.55,44.39,41.92,44.06,4.735
2014-05-20,43.92,44.27,43.63,44.04,2.507
2014-05-21,43.7,44.38,43.54,44.37,1.519
2014-05-22,44.32,44.33,43.99,44.25,0.63
2014-05-23,44.34,44.4,43.95,44.06,0.827
2014-05-27,44.09,44.78,44.05,44.7,1.032
2014-05-28,44.68,44.97,44.56,44.61,0.83
2014-05-29,44.67,45.15,44.45,45.14,1.389
2014-05-30,45.33,46.06,45.12,45.9,2.408
2014-06-02,45.86,45.91,45.43,45.47,0.906
2014-06-03,45.59,45.59,45.28,45.4,1.004
2014-06-04,45.29,45.79,45.18,45.72,0.966
2014-06-05,45.87,46.47,45.69,46.37,2.024
2014-06-06,46.25,46.49,46.11,46.37,0.885
2014-06-09,46.25,46.28,45.68,45.86,1.294
2014-06-10,45.75,45.96,45.49,45.65,1.294
2014-06-11,45.6,45.68,45.29,45.43,0.573
2014-06-12,45.32,45.54,45.12,45.26,0.57
2014-06-13,45.3,45.52,45.12,45.32,0.467
2014-06-16,45.28,45.73,45.2,45.65,0.611
2014-06-17,45.54,45.77,45.41,45.69,0.623
2014-06-18,45.46,46.05,45.34,46.01,0.744
2014-06-19,46.0,46.67,45.97,46.61,0.897
2014-06-20,46.61,46.61,46.21,46.43,1.228
2014-06-23,46.4,46.4,45.82,46.07,1.188
2014-06-24,45.94,46.02,45.59,45.66,0.761
2014-06-25,45.48,45.48,45.1,45.32,0.936
2014-06-26,45.25,45.27,45.01,45.26,0.703
2014-06-27,45.16,45.92,45.16,45.67,0.934
2014-06-30,45.67,46.2,45.5,45.81,0.859
2014-07-01,45.84,46.23,45.66,46.06,0.653
2014-07-02,46.09,46.23,45.95,46.19,0.743
2014-07-03,45.87,46.07,45.63,45.87,0.586
2014-07-07,45.75,45.93,45.54,45.66,0.818
2014-07-08,45.72,46.0,45.36,45.42,1.286
2014-07-09,45.52,45.63,45.26,45.3,0.741
2014-07-10,44.93,45.33,44.88,45.27,0.578
2014-07-11,45.3,45.48,45.15,45.29,0.692
2014-07-14,45.44,45.57,45.16,45.27,0.571
2014-07-15,44.51,44.87,44.05,44.14,2.056
2014-07-16,44.14,44.75,43.92,44.56,2.632
2014-07-17,44.44,44.46,43.7,43.74,1.545
2014-07-18,43.87,43.96,43.48,43.95,3.02
2014-07-21,43.65,44.34,43.53,44.16,1.643
2014-07-22,44.05,44.28,44.05,44.14,0.975
2014-07-23,44.08,44.26,43.76,43.76,0.732
2014-07-24,43.85,43.98,43.4,43.53,1.526
2014-07-25,43.47,43.68,43.45,43.5,0.973
2014-07-28,43.56,43.81,43.25,43.46,0.846
2014-07-29,43.53,43.76,43.24,43.27,1.054
2014-07-30,43.3,43.44,42.73,42.79,1.078
2014-07-31,42.57,42.6,41.51,41.59,1.48
2014-08-01,41.52,42.08,41.39,41.96,1.121
2014-08-04,42.01,42.26,41.86,42.23,0.621
2014-08-05,42.1,42.24,41.75,41.81,1.112
2014-08-06,41.72,42.51,41.66,42.2,1.669
2014-08-07,42.38,42.48,42.0,42.14,0.816
2014-08-08,42.23,42.7,42.09,42.67,0.666
2014-08-11,42.67,43.3,42.67,43.16,0.98
2014-08-12,43.05,43.2,42.96,43.12,0.446
2014-08-13,43.25,43.46,43.13,43.37,0.491
2014-08-14,43.57,43.89,43.53,43.72,0.653
2014-08-15,43.78,43.96,43.18,43.47,0.85
2014-08-18,43.74,44.24,43.67,43.86,1.037
2014-08-19,43.91,44.22,43.85,44.11,0.43
2014-08-20,44.1,44.33,43.97,44.22,0.575
2014-08-21,44.32,44.59,44.31,44.45,0.477
2014-08-22,44.45,44.69,43.95,44.01,0.662
2014-08-25,44.22,44.3,43.91,44.27,1.481
2014-08-26,44.22,44.58,44.22,44.45,0.518
2014-08-27,44.42,44.61,44.38,44.6,0.551
2014-08-28,44.49,44.78,44.45,44.77,0.756
2014-08-29,44.78,44.84,44.54,44.82,0.72
2014-09-02,44.75,45.12,44.43,44.64,0.743
2014-09-03,44.69,44.77,44.44,44.47,0.68
2014-09-04,44.48,44.68,44.14,44.25,0.626
2014-09-05,44.29,44.54,44.05,44.54,0.888
2014-09-08,43.43,43.93,42.9,43.39,2.18
2014-09-09,43.31,43.33,42.92,43.22,1.109
2014-09-10,43.27,43.61,43.01,43.42,0.844
2014-09-11,43.32,44.13,43.27,44.12,1.169
2014-09-12,44.03,44.16,43.28,43.4,0.863
2014-09-15,43.43,43.53,43.1,43.5,0.758
2014-09-16,43.51,43.8,43.43,43.6,0.558
2014-09-17,43.42,43.45,42.96,43.1,0.911
2014-09-18,43.35,43.48,43.1,43.4,0.741
2014-09-19,43.59,43.64,43.03,43.06,1.713
