Date,Open,High,Low,Close,Volume
2014-01-02,4.58,4.61,4.56,4.58,6.411
2014-01-03,4.58,4.62,4.53,4.54,5.912
2014-01-06,4.54,4.57,4.5,4.54,5.003
2014-01-07,4.53,4.56,4.52,4.55,5.535
2014-01-08,4.56,4.56,4.51,4.53,5.577
2014-01-09,4.56,4.56,4.49,4.51,3.229
2014-01-10,4.51,4.54,4.49,4.54,2.742
2014-01-13,4.52,4.53,4.45,4.47,4.319
2014-01-14,4.49,4.51,4.47,4.51,2.382
2014-01-15,4.51,4.53,4.48,4.5,4.322
2014-01-16,4.49,4.51,4.46,4.47,2.916
2014-01-17,4.47,4.49,4.45,4.47,3.552
2014-01-21,4.5,4.53,4.47,4.49,3.777
2014-01-22,4.48,4.54,4.48,4.53,2.862
2014-01-23,4.51,4.54,4.44,4.47,4.156
2014-01-24,4.44,4.46,4.34,4.34,4.625
2014-01-27,4.32,4.38,4.28,4.32,4.081
2014-01-28,4.33,4.34,4.28,4.32,3.722
2014-01-29,4.28,4.33,4.24,4.28,2.792
2014-01-30,4.31,4.32,4.27,4.32,3.158
2014-01-31,4.26,4.31,4.2,4.28,3.562
2014-02-03,4.26,4.26,4.07,4.08,11.51
2014-02-04,4.11,4.19,4.08,4.18,6.046
2014-02-05,4.17,4.18,4.11,4.14,4.994
2014-02-06,4.14,4.19,4.12,4.18,4.398
2014-02-07,4.19,4.24,4.18,4.24,4.803
2014-02-10,4.23,4.25,4.2,4.24,3.329
2014-02-11,4.24,4.32,4.24,4.32,3.837
2014-02-12,4.34,4.36,4.31,4.34,5.974
2014-02-13,4.32,4.4,4.3,4.35,7.525
2014-02-14,4.35,4.35,4.28,4.28,6.268
2014-02-18,4.28,4.3,4.22,4.23,9.642
2014-02-19,4.2,4.32,4.17,4.28,8.682
2014-02-20,4.28,4.32,4.27,4.29,2.51
2014-02-21,4.31,4.35,4.26,4.34,4.488
2014-02-24,4.35,4.45,4.34,4.42,10.667
2014-02-25,4.43,4.44,4.35,4.4,6.345
2014-02-26,4.33,4.49,4.24,4.44,16.286
2014-02-27,4.46,4.62,4.46,4.55,9.176
2014-02-28,4.56,4.6,4.53,4.55,6.521
2014-03-03,4.53,4.55,4.48,4.52,3.741
2014-03-04,4.56,4.61,4.55,4.58,5.34
2014-03-05,4.57,4.6,4.54,4.6,3.45
2014-03-06,4.58,4.64,4.58,4.6,4.749
2014-03-07,4.62,4.64,4.59,4.6,2.334
2014-03-10,4.59,4.63,4.58,4.61,2.658
2014-03-11,4.61,4.61,4.54,4.55,2.099
