Date,Open,High,Low,Close,Volume
2014-01-02,55.2,55.21,54.41,54.86,2.73
2014-01-03,54.93,55.39,54.52,55.12,1.969
2014-01-06,55.2,55.24,54.03,54.23,2.533
2014-01-07,54.43,55.12,54.29,54.95,2.787
2014-01-08,55.19,57.13,54.76,56.94,7.037
2014-01-09,57.01,57.01,55.65,56.29,4.968
2014-01-10,56.52,57.04,55.81,56.95,3.518
2014-01-13,56.97,57.37,55.86,56.21,5.306
2014-01-14,56.21,57.68,55.65,57.51,4.925
2014-01-15,57.5,59.85,57.47,59.72,8.746
2014-01-16,59.49,59.65,58.85,59.21,5.645
2014-01-17,59.26,59.91,58.85,59.86,4.333
2014-01-21,60.27,61.07,59.65,60.95,6.131
2014-01-22,60.99,61.45,60.5,61.14,3.516
2014-01-23,60.08,60.15,58.92,60.08,4.876
2014-01-24,59.48,59.56,58.25,58.4,4.804
2014-01-27,58.51,58.67,56.95,57.08,5.137
2014-01-28,57.6,59.43,57.28,59.37,5.535
2014-01-29,58.56,59.22,57.79,57.96,4.078
2014-01-30,59.04,61.49,58.71,60.97,5.946
2014-01-31,60.03,61.26,60.0,60.53,4.612
2014-02-03,61.1,61.2,58.07,58.47,5.45
2014-02-04,59.42,61.35,59.06,60.96,5.948
2014-02-05,60.57,61.88,59.76,61.63,4.861
2014-02-06,61.85,62.75,61.1,61.7,5.18
2014-02-07,62.06,62.67,61.22,61.55,7.538
2014-02-10,61.58,61.7,60.64,61.04,5.846
2014-02-11,61.25,61.8,61.15,61.23,6.376
2014-02-12,61.55,61.86,61.1,61.48,4.786
2014-02-13,61.19,63.32,61.18,63.13,4.76
2014-02-14,63.47,63.54,62.4,62.8,3.655
2014-02-18,63.33,63.94,62.29,63.73,3.78
2014-02-19,63.36,63.96,62.85,63.02,4.93
2014-02-20,63.21,63.25,61.99,63.01,5.739
2014-02-21,63.35,64.65,63.35,63.59,5.516
2014-02-24,62.75,64.33,61.8,63.91,5.699
2014-02-25,63.92,64.0,63.29,63.66,4.896
2014-02-26,63.78,64.74,62.69,63.74,7.286
2014-02-27,63.52,66.35,63.51,66.22,9.346
2014-02-28,66.04,67.0,60.97,62.37,18.892
2014-03-03,60.65,61.71,59.82,61.49,9.303
2014-03-04,62.18,63.37,62.01,63.07,7.927
2014-03-05,63.07,63.75,62.94,63.68,5.464
2014-03-06,63.75,63.87,62.73,63.14,3.959
2014-03-07,63.2,63.36,59.73,60.74,11.239
2014-03-10,60.74,60.98,59.58,59.78,6.012
2014-03-11,59.99,62.36,59.52,61.02,9.907
2014-03-12,60.4,61.53,59.64,61.52,5.573
2014-03-13,61.8,62.17,58.42,59.06,9.257
2014-03-14,58.99,59.29,57.61,58.16,6.783
2014-03-17,58.61,59.27,58.02,58.32,6.285
2014-03-18,58.49,59.63,57.98,59.63,6.019
2014-03-19,59.46,59.8,57.92,58.43,4.919
2014-03-20,58.35,59.38,57.76,59.12,4.708
2014-03-21,59.74,59.91,56.77,57.03,10.228
2014-03-24,57.51,57.55,55.67,56.36,6.299
2014-03-25,56.81,58.1,55.26,56.65,7.581
2014-03-26,57.08,57.21,55.14,55.21,6.485
2014-03-27,55.0,56.66,53.86,55.97,6.206
2014-03-28,56.07,56.94,55.59,55.75,5.11
2014-03-31,56.17,57.18,56.14,57.09,6.521
2014-04-01,57.61,58.89,57.6,58.8,5.357
2014-04-02,59.05,59.35,57.71,58.15,4.8
2014-04-03,58.07,58.24,55.54,55.74,6.053
2014-04-04,56.25,56.61,54.05,54.41,6.497
2014-04-07,54.14,55.51,53.07,53.97,6.018
2014-04-08,54.18,55.52,53.12,55.21,8.81
2014-04-09,55.76,57.1,55.29,56.95,7.377
2014-04-10,56.95,57.08,54.23,54.55,10.912
2014-04-11,53.82,54.5,52.76,52.87,6.425
2014-04-14,53.49,54.76,53.08,53.78,4.86
2014-04-15,53.95,55.38,52.88,55.23,6.138
2014-04-16,55.96,56.08,54.51,55.98,4.517
2014-04-17,55.71,56.44,55.1,56.1,3.817
2014-04-21,56.08,56.49,55.39,56.11,3.01
2014-04-22,56.02,57.4,55.95,57.08,4.663
2014-04-23,56.52,56.62,55.08,55.64,4.229
2014-04-24,56.28,56.6,53.17,54.73,6.003
2014-04-25,54.33,54.37,52.41,52.8,5.321
2014-04-28,53.04,53.13,48.28,49.13,17.648
2014-04-29,49.23,51.31,48.18,50.76,10.348
2014-04-30,50.6,51.74,49.83,51.65,6.858
2014-05-01,51.9,53.68,51.79,52.08,6.405
2014-05-02,52.08,53.04,51.62,52.44,6.516
2014-05-05,52.97,53.83,52.0,53.65,7.026
2014-05-06,53.18,53.71,51.66,51.78,6.947
2014-05-07,51.71,51.8,49.18,50.43,9.039
2014-05-08,50.22,52.08,49.57,50.15,6.499
2014-05-09,49.99,50.75,49.32,50.28,5.307
2014-05-12,50.9,53.65,50.85,53.43,6.558
2014-05-13,53.86,54.21,52.2,52.28,5.321
2014-05-14,52.03,53.02,51.72,51.88,3.277
2014-05-15,52.25,52.3,50.6,51.42,4.762
2014-05-16,51.6,51.93,50.49,51.8,4.646
2014-05-19,51.95,53.43,51.66,53.23,4.816
2014-05-20,53.82,54.15,52.39,52.89,10.654
2014-05-21,52.6,53.0,49.62,50.19,20.537
2014-05-22,50.29,54.25,49.93,53.27,13.736
2014-05-23,52.65,53.66,52.11,53.41,6.646
2014-05-27,52.89,54.61,52.85,54.36,5.931
2014-05-28,54.15,54.36,53.34,53.34,5.946
2014-05-29,53.12,54.96,53.04,54.4,6.813
2014-05-30,55.5,55.54,52.48,52.63,9.683
2014-06-02,52.63,52.85,51.64,52.38,4.07
