Date,Open,High,Low,Close,Volume
2014-01-02,9.54,9.56,9.4,9.42,13.44
2014-01-03,9.42,9.59,9.42,9.48,13.898
2014-01-06,9.52,9.58,9.36,9.41,15.22
2014-01-07,9.43,9.48,9.4,9.45,11.528
2014-01-08,9.42,9.47,9.35,9.41,15.072
2014-01-09,9.43,9.56,9.41,9.55,13.744
2014-01-10,9.59,9.65,9.54,9.63,13.729
2014-01-13,9.61,9.66,9.44,9.48,20.57
2014-01-14,9.54,9.66,9.47,9.63,24.035
2014-01-15,9.65,9.75,9.61,9.74,36.124
2014-01-16,9.15,9.17,8.92,9.08,82.08
2014-01-17,9.13,9.13,9.02,9.08,35.178
2014-01-21,9.12,9.17,8.97,9.01,28.709
2014-01-22,9.07,9.13,9.05,9.07,23.528
2014-01-23,9.06,9.11,8.96,9.01,25.809
2014-01-24,8.91,8.95,8.73,8.73,28.119
2014-01-27,8.7,8.79,8.63,8.71,22.274
2014-01-28,8.73,8.9,8.73,8.84,14.726
2014-01-29,8.73,8.79,8.67,8.71,21.857
2014-01-30,8.8,8.96,8.79,8.92,16.594
2014-01-31,8.8,9.02,8.76,8.97,22.281
2014-02-03,8.98,9.02,8.61,8.67,28.647
2014-02-04,8.69,8.85,8.67,8.78,26.09
2014-02-05,8.76,8.85,8.73,8.84,20.206
2014-02-06,8.88,9.02,8.87,9.01,15.774
2014-02-07,9.06,9.15,9.01,9.08,17.081
2014-02-10,9.06,9.07,8.97,9.02,13.932
2014-02-11,9.06,9.15,9.05,9.1,12.549
2014-02-12,9.13,9.18,9.08,9.13,14.019
2014-02-13,9.06,9.12,9.01,9.12,16.61
2014-02-14,9.1,9.2,9.09,9.18,17.434
2014-02-18,9.17,9.18,9.06,9.14,13.072
2014-02-19,9.1,9.2,9.02,9.03,22.691
2014-02-20,9.06,9.13,9.02,9.12,25.436
2014-02-21,9.14,9.21,9.1,9.11,16.81
2014-02-24,9.11,9.28,9.11,9.23,19.577
2014-02-25,9.22,9.24,9.08,9.1,20.163
2014-02-26,9.09,9.18,9.05,9.07,16.743
2014-02-27,9.05,9.16,9.03,9.15,15.35
2014-02-28,9.16,9.32,9.16,9.24,17.992
2014-03-03,9.17,9.25,9.12,9.2,17.228
2014-03-04,9.32,9.47,9.31,9.43,21.825
2014-03-05,9.48,9.55,9.45,9.51,18.242
2014-03-06,9.54,9.62,9.52,9.58,14.98
2014-03-07,9.67,9.7,9.59,9.62,16.155
2014-03-10,9.63,9.66,9.53,9.63,16.714
2014-03-11,9.66,9.69,9.56,9.61,18.388
2014-03-12,9.55,9.63,9.47,9.63,30.82
2014-03-13,9.67,9.73,9.43,9.49,27.001
2014-03-14,9.52,9.52,9.42,9.46,16.022
2014-03-17,9.52,9.62,9.49,9.54,11.65
2014-03-18,9.56,9.61,9.55,9.58,9.576
2014-03-19,9.59,9.65,9.48,9.52,14.944
2014-03-20,9.49,9.62,9.48,9.54,12.166
2014-03-21,9.65,9.7,9.57,9.59,16.802
2014-03-24,9.62,9.68,9.49,9.56,17.72
2014-03-25,9.82,9.82,9.66,9.69,21.999
2014-03-26,9.73,9.74,9.55,9.55,16.216
2014-03-27,9.54,9.58,9.41,9.42,18.338
2014-03-28,9.46,9.56,9.46,9.53,11.893
2014-03-31,9.58,9.69,9.55,9.66,13.233
2014-04-01,9.69,9.72,9.63,9.71,12.816
