Date,Open,High,Low,Close,Volume
2014-01-02,59.25,59.37,58.68,59.06,0.58
2014-01-03,59.14,59.8,59.01,59.35,0.526
2014-01-06,59.41,59.62,58.89,59.04,0.635
2014-01-07,59.11,59.45,58.95,59.35,0.566
2014-01-08,59.42,59.46,58.5,59.19,1.496
2014-01-09,60.93,60.93,58.84,59.37,0.6
2014-01-10,59.45,59.45,58.94,59.27,0.55
2014-01-13,59.18,59.33,58.22,58.48,0.504
2014-01-14,58.54,59.06,58.21,58.99,0.436
2014-01-15,58.99,59.96,58.99,59.33,0.588
2014-01-16,59.14,59.56,59.09,59.31,0.379
2014-01-17,59.12,59.42,58.97,59.13,1.185
2014-01-21,59.62,59.84,59.17,59.84,0.533
2014-01-22,59.93,59.94,59.43,59.58,0.492
2014-01-23,59.1,59.22,58.12,58.45,0.657
2014-01-24,57.99,58.13,57.1,57.16,0.531
2014-01-27,57.27,57.71,56.83,56.99,0.601
2014-01-28,56.95,57.58,56.89,57.06,0.395
2014-01-29,56.49,57.52,56.49,56.97,0.62
2014-01-30,57.37,57.8,56.99,57.65,0.413
2014-01-31,57.06,57.35,56.78,57.07,0.457
2014-02-03,57.13,57.34,55.47,55.62,0.572
2014-02-04,55.66,56.35,55.35,55.92,0.524
2014-02-05,55.6,56.51,55.45,56.38,0.426
2014-02-06,56.34,56.82,55.97,56.47,0.347
2014-02-07,56.81,58.2,56.3,58.13,0.769
2014-02-10,58.03,58.23,57.07,57.68,0.854
2014-02-11,57.61,58.31,57.19,58.1,0.683
2014-02-12,58.1,58.68,58.01,58.49,0.627
2014-02-13,58.26,58.98,58.13,58.85,0.326
2014-02-14,58.87,59.31,58.64,59.18,0.423
2014-02-18,59.44,59.71,59.06,59.52,0.876
2014-02-19,59.42,59.56,58.84,58.93,0.469
2014-02-20,59.07,59.53,58.45,59.3,0.682
2014-02-21,61.5,62.7,60.7,61.66,2.852
2014-02-24,61.87,63.28,58.91,59.52,2.822
2014-02-25,59.64,60.01,59.29,59.96,0.708
2014-02-26,59.95,60.46,59.8,60.22,0.477
2014-02-27,60.25,60.34,59.7,60.33,0.403
2014-02-28,60.36,60.72,60.19,60.66,0.525
2014-03-03,60.0,60.3,59.42,60.03,0.419
2014-03-04,60.6,61.11,60.17,60.92,0.565
2014-03-05,60.79,61.0,60.19,60.55,0.369
2014-03-06,60.73,61.08,60.49,60.96,0.442
2014-03-07,61.16,61.61,61.01,61.37,0.38
2014-03-10,61.23,61.56,60.76,60.85,0.667
2014-03-11,61.04,61.26,60.2,60.37,0.392
2014-03-12,60.13,60.45,59.81,60.18,0.577
2014-03-13,60.44,60.55,59.42,59.62,0.598
2014-03-14,59.45,59.91,59.35,59.39,0.371
2014-03-17,59.6,60.06,59.46,59.66,0.578
2014-03-18,59.74,60.65,59.55,60.23,0.55
2014-03-19,60.23,60.62,59.28,59.59,0.501
2014-03-20,61.69,62.0,59.79,60.59,0.982
2014-03-21,61.29,61.29,59.65,59.71,1.544
2014-03-24,59.58,60.0,58.88,59.15,0.686
2014-03-25,59.48,59.68,59.19,59.42,0.409
2014-03-26,59.59,59.83,58.69,58.72,0.35
2014-03-27,58.86,59.05,58.47,58.71,0.458
2014-03-28,58.87,59.29,58.63,58.99,0.455
2014-03-31,59.21,59.88,58.99,59.61,0.785
2014-04-01,59.77,60.27,59.65,60.21,0.786
2014-04-02,60.23,60.43,59.46,59.66,0.604
2014-04-03,59.77,59.99,58.85,59.09,0.649
2014-04-04,59.22,59.3,58.09,58.24,0.511
2014-04-07,58.32,58.6,57.71,57.74,0.574
2014-04-08,57.65,58.23,57.5,58.01,0.518
2014-04-09,58.07,58.28,57.53,58.23,0.692
2014-04-10,58.3,58.46,56.73,56.76,0.662
2014-04-11,56.59,57.2,56.25,56.48,0.804
2014-04-14,56.96,57.31,55.81,56.31,0.581
2014-04-15,56.3,56.7,55.65,56.34,0.429
2014-04-16,56.71,57.1,56.47,56.96,0.482
2014-04-17,56.98,57.77,56.89,57.63,0.485
2014-04-21,57.59,57.76,57.19,57.39,0.31
2014-04-22,57.29,57.91,57.02,57.8,0.584
2014-04-23,57.88,58.02,57.59,57.84,0.492
2014-04-24,58.01,58.5,57.79,58.07,0.574
2014-04-25,58.05,58.38,57.34,57.55,0.485
2014-04-28,57.66,58.09,57.21,57.9,0.568
2014-04-29,58.07,58.56,57.9,58.12,0.491
2014-04-30,57.89,59.14,57.73,58.93,0.692
2014-05-01,59.16,59.28,58.25,58.74,0.562
2014-05-02,58.55,59.43,58.49,59.04,0.687
2014-05-05,58.53,59.13,58.5,59.06,0.478
2014-05-06,58.99,59.24,58.7,58.99,0.624
2014-05-07,59.06,59.81,58.77,59.71,0.895
2014-05-08,59.57,60.15,59.51,59.55,0.556
2014-05-09,59.66,59.81,59.24,59.8,0.595
2014-05-12,59.92,60.73,59.8,60.37,0.712
2014-05-13,60.52,60.69,60.23,60.6,0.687
2014-05-14,60.73,60.73,60.33,60.39,0.5
2014-05-15,60.04,60.27,59.59,60.17,0.437
2014-05-16,60.1,60.56,59.7,60.54,0.526
2014-05-19,60.51,61.22,60.29,61.17,0.509
2014-05-20,61.09,61.29,60.42,60.62,0.551
2014-05-21,60.78,61.26,60.7,61.11,0.436
2014-05-22,61.04,61.71,60.97,61.54,0.501
2014-05-23,61.54,61.81,61.2,61.63,0.604
2014-05-27,61.87,61.9,61.62,61.74,0.682
2014-05-28,61.68,62.14,61.66,61.89,0.448
2014-05-29,62.01,62.26,61.81,62.1,0.409
2014-05-30,62.11,62.26,61.83,62.12,0.654
2014-06-02,63.13,63.13,61.7,62.22,0.563
2014-06-03,62.09,62.29,62.0,62.18,0.356
2014-06-04,61.99,62.26,61.88,62.18,0.363
2014-06-05,62.42,62.78,62.11,62.75,0.428
2014-06-06,62.71,63.13,62.71,63.13,0.333
2014-06-09,63.07,63.91,63.05,63.67,0.362
2014-06-10,63.59,63.68,63.33,63.62,0.299
2014-06-11,63.44,63.84,62.99,63.3,0.438
2014-06-12,63.12,63.34,62.81,63.04,0.305
2014-06-13,63.16,63.43,62.97,63.11,0.29
2014-06-16,62.97,63.36,62.86,63.09,0.394
2014-06-17,62.93,63.69,62.71,63.43,0.284
2014-06-18,63.31,63.6,62.99,63.51,0.34
2014-06-19,63.41,63.87,63.2,63.86,0.346
2014-06-20,64.14,64.32,63.8,64.1,1.153
2014-06-23,64.24,64.25,63.01,63.18,0.461
2014-06-24,63.12,63.24,62.44,62.53,0.567
2014-06-25,62.22,63.01,62.22,62.97,0.297
2014-06-26,63.1,63.33,62.51,62.65,0.28
2014-06-27,62.3,63.09,62.3,63.02,1.426
2014-06-30,62.93,63.57,62.75,63.54,0.512
2014-07-01,63.63,64.4,63.48,64.03,0.493
2014-07-02,64.01,64.24,63.61,63.9,0.253
2014-07-03,63.97,64.44,63.82,64.37,0.165
2014-07-07,64.27,64.27,63.67,63.89,0.364
2014-07-08,63.94,64.07,63.33,63.5,0.345
2014-07-09,63.73,64.45,63.27,63.62,0.239
2014-07-10,62.77,63.28,62.22,63.16,0.238
2014-07-11,63.11,63.13,62.48,62.56,0.495
2014-07-14,62.99,63.59,62.99,63.24,0.409
2014-07-15,63.24,63.56,62.59,62.85,0.527
2014-07-16,63.35,64.91,63.0,64.51,1.145
2014-07-17,64.16,64.44,63.36,63.45,0.624
2014-07-18,63.71,64.14,63.41,64.04,0.569
2014-07-21,63.84,64.01,63.58,63.77,0.47
2014-07-22,64.23,64.47,63.86,64.38,0.516
2014-07-23,64.27,64.38,63.97,64.03,0.341
2014-07-24,64.33,64.49,64.01,64.11,0.219
2014-07-25,64.01,64.29,63.37,63.52,0.351
2014-07-28,63.42,63.71,62.99,63.56,0.28
2014-07-29,63.53,63.8,63.1,63.12,0.26
2014-07-30,63.44,64.08,62.93,63.4,0.323
2014-07-31,63.07,63.07,62.49,62.6,0.391
2014-08-01,62.35,62.91,62.24,62.6,0.387
2014-08-04,62.86,64.1,62.6,63.99,0.914
2014-08-05,63.61,64.25,63.13,63.56,0.694
2014-08-06,63.04,63.35,62.75,62.99,0.476
2014-08-07,63.2,63.54,62.86,63.11,0.37
2014-08-08,63.3,64.48,62.92,64.4,0.456
2014-08-11,64.77,65.29,64.43,65.0,0.736
2014-08-12,65.0,65.44,64.86,65.27,0.721
2014-08-13,65.41,65.58,65.32,65.51,0.449
2014-08-14,65.46,65.71,65.4,65.5,0.356
2014-08-15,63.85,65.86,62.65,65.38,0.565
2014-08-18,65.7,66.09,65.65,65.83,0.776
2014-08-19,65.87,66.02,65.75,65.89,0.46
2014-08-20,65.96,66.03,65.65,65.96,0.464
2014-08-21,65.96,66.04,65.72,65.91,0.557
2014-08-22,65.75,66.19,65.41,65.73,0.607
2014-08-25,66.15,66.25,65.85,66.06,0.253
2014-08-26,66.26,66.39,65.94,66.02,0.328
2014-08-27,66.01,66.22,65.64,65.83,0.224
2014-08-28,65.54,66.11,65.42,65.88,0.218
2014-08-29,66.15,66.5,65.62,66.14,0.414
2014-09-02,66.42,66.88,66.13,66.63,0.454
2014-09-03,66.91,67.11,66.3,66.36,0.305
2014-09-04,66.66,66.85,66.38,66.56,0.615
2014-09-05,66.38,66.8,66.13,66.66,0.432
2014-09-08,66.47,66.78,66.07,66.32,0.299
2014-09-09,66.36,66.66,66.05,66.35,0.44
2014-09-10,66.44,66.5,65.99,66.42,0.207
2014-09-11,66.04,66.53,65.83,66.45,0.243
2014-09-12,66.35,66.48,66.05,66.34,0.298
2014-09-15,66.59,67.19,66.33,66.87,0.564
2014-09-16,66.71,67.1,66.2,66.86,0.468
2014-09-17,67.13,67.24,66.45,66.92,0.434
2014-09-18,66.99,67.32,66.83,67.22,0.309
2014-09-19,67.58,67.59,67.02,67.16,1.428
2014-09-22,67.12,67.29,66.72,67.09,0.387
2014-09-23,66.97,67.22,66.41,66.43,0.325
2014-09-24,66.44,67.06,66.35,66.9,0.298
2014-09-25,66.69,66.85,65.81,65.99,0.332
2014-09-26,66.03,66.58,65.88,66.27,0.281
2014-09-29,65.84,66.44,65.79,65.95,0.687
2014-09-30,67.59,71.61,67.26,70.59,2.351
2014-10-01,70.22,70.5,68.39,68.65,1.039
2014-10-02,68.53,68.63,67.43,68.29,0.677
2014-10-03,68.54,70.48,68.4,70.34,1.241
2014-10-06,70.69,71.08,69.73,69.9,0.613
2014-10-07,69.45,69.75,68.63,68.72,0.594
2014-10-08,68.9,71.0,68.9,70.98,0.77
2014-10-09,71.01,71.28,69.28,69.46,0.626
2014-10-10,69.4,69.74,68.53,68.56,0.644
2014-10-13,68.77,68.91,67.31,67.44,0.534
2014-10-14,67.99,68.42,67.58,67.74,0.752
2014-10-15,67.11,68.37,66.76,68.06,1.1
2014-10-16,67.47,68.67,66.75,68.43,0.788
2014-10-17,68.77,69.7,68.77,69.29,1.342
2014-10-20,69.29,69.35,68.7,69.05,0.812
2014-10-21,69.62,71.17,69.37,71.17,0.817
2014-10-22,71.42,71.72,70.33,70.35,0.689
2014-10-23,71.01,71.37,70.74,71.04,1.51
2014-10-24,71.06,71.36,70.8,71.22,0.702
2014-10-27,71.11,71.35,70.62,71.27,0.635
2014-10-28,71.66,71.83,71.29,71.81,0.745
2014-10-29,72.0,72.17,71.2,71.81,0.453
2014-10-30,71.47,72.86,71.17,72.69,0.502
2014-10-31,73.7,73.95,72.72,73.24,0.676
2014-11-03,73.24,73.86,72.45,72.54,0.631
2014-11-04,71.94,72.3,71.11,71.42,1.358
2014-11-05,70.16,71.09,70.0,70.41,0.793
2014-11-06,70.56,71.14,70.31,71.09,0.616
2014-11-07,71.5,71.5,70.94,71.0,0.734
2014-11-10,71.13,71.52,70.88,71.11,0.683
2014-11-11,71.07,71.47,70.85,71.1,0.406
2014-11-12,70.82,71.49,70.75,71.31,0.512
2014-11-13,71.42,72.06,70.82,71.16,0.481
2014-11-14,71.27,72.15,70.93,71.76,0.852
2014-11-17,71.6,71.85,71.2,71.81,0.556
2014-11-18,71.7,72.52,71.38,71.98,0.611
2014-11-19,71.84,72.0,71.05,71.79,0.616
2014-11-20,71.51,72.23,71.26,71.93,0.423
2014-11-21,72.69,73.0,71.74,71.92,1.377
2014-11-24,72.14,72.98,71.94,72.86,0.575
2014-11-25,73.01,73.23,72.64,73.06,0.611
2014-11-26,72.96,73.45,72.73,73.03,0.572
2014-11-28,73.28,73.59,73.0,73.15,0.263
2014-12-01,72.91,73.15,71.7,71.8,0.9
2014-12-02,71.6,72.52,71.25,72.38,0.571
2014-12-03,72.61,73.19,72.2,73.13,0.411
2014-12-04,72.91,73.43,72.57,72.82,0.414
2014-12-05,72.8,73.16,72.51,73.05,0.565
2014-12-08,72.98,73.55,72.71,73.0,0.572
2014-12-09,72.5,73.52,72.25,73.41,0.778
2014-12-10,73.22,73.55,71.87,71.87,0.628
2014-12-11,71.83,73.64,71.67,72.8,0.488
2014-12-12,72.36,72.78,71.02,71.03,0.51
2014-12-15,71.28,72.07,70.61,71.53,0.728
2014-12-16,71.54,72.58,71.49,71.53,0.606
2014-12-17,71.5,73.06,71.1,72.84,1.109
2014-12-18,73.83,74.66,73.1,74.49,1.576
2014-12-19,76.89,79.35,76.83,79.23,3.208
2014-12-22,79.7,80.18,79.4,79.64,1.173
2014-12-23,79.91,80.35,79.59,79.64,0.991
2014-12-24,79.88,80.22,79.47,79.86,0.521
2014-12-26,80.28,80.34,79.65,79.82,0.307
2014-12-29,79.82,80.15,79.5,79.57,0.443
2014-12-30,79.67,79.81,78.96,79.02,0.505
2014-12-31,79.21,79.82,78.39,78.44,0.307
2015-01-02,78.91,79.1,77.57,78.45,0.456
2015-01-05,78.15,78.45,76.85,77.02,0.811
2015-01-06,77.49,77.7,75.9,76.87,1.181
2015-01-07,77.64,77.65,76.31,76.47,0.838
2015-01-08,77.46,78.03,77.0,77.73,0.88
2015-01-09,77.95,77.97,76.76,77.12,0.754
2015-01-12,77.05,77.51,75.9,76.63,0.605
2015-01-13,77.31,78.04,76.78,77.51,1.416
2015-01-14,77.32,77.73,77.08,77.57,1.518
2015-01-15,77.81,78.26,77.31,77.66,1.271
2015-01-16,77.76,78.95,77.69,78.93,1.243
2015-01-20,78.95,79.24,78.26,78.79,0.938
2015-01-21,78.52,79.53,78.37,79.45,0.781
2015-01-22,79.68,79.94,78.88,79.83,1.751
2015-01-23,79.63,80.08,79.3,79.78,0.861
2015-01-26,80.42,80.93,79.49,79.97,0.912
2015-01-27,79.56,80.46,79.48,79.88,0.854
2015-01-28,80.04,80.34,78.28,78.35,0.881
2015-01-29,78.18,80.04,78.01,79.88,0.775
2015-01-30,79.19,79.82,78.69,78.7,0.934
2015-02-02,78.78,80.06,77.96,80.03,0.548
2015-02-03,80.67,80.99,79.78,80.69,0.929
2015-02-04,80.76,81.4,79.74,80.01,0.76
2015-02-05,80.41,80.81,80.28,80.5,0.417
2015-02-06,80.49,80.83,79.79,80.04,0.448
2015-02-09,80.0,80.31,79.46,79.67,0.277
2015-02-10,80.4,80.63,79.45,80.58,0.421
2015-02-11,80.34,81.14,80.05,80.94,0.516
2015-02-12,81.17,82.22,80.8,82.21,0.528
2015-02-13,82.23,82.51,81.33,81.64,0.436
2015-02-17,82.36,82.43,81.53,81.86,0.345
2015-02-18,81.73,82.03,81.32,81.9,0.318
2015-02-19,81.88,82.2,81.69,81.99,0.363
2015-02-20,81.74,82.63,80.79,82.47,0.474
2015-02-23,82.5,82.73,81.86,82.69,0.468
2015-02-24,82.5,83.34,82.36,83.17,0.56
2015-02-25,83.38,84.08,83.01,83.7,0.518
2015-02-26,83.49,84.18,83.49,84.01,0.484
2015-02-27,83.78,83.98,83.26,83.48,0.407
2015-03-02,83.52,84.59,83.25,84.51,0.372
2015-03-03,84.15,84.26,83.52,84.21,0.444
2015-03-04,83.84,83.87,83.19,83.77,0.519
2015-03-05,83.75,83.75,82.77,82.94,0.379
2015-03-06,82.32,83.01,81.81,82.28,0.413
2015-03-09,82.61,84.1,82.35,83.84,0.519
2015-03-10,82.95,83.13,81.78,81.78,0.473
2015-03-11,82.18,82.38,81.42,81.67,0.362
2015-03-12,82.08,82.91,81.79,82.86,0.658
2015-03-13,82.93,83.18,81.37,82.56,0.52
2015-03-16,83.27,85.45,83.27,85.37,0.895
2015-03-17,85.33,85.53,84.02,85.26,0.579
2015-03-18,85.24,86.34,84.25,86.16,0.757
2015-03-19,87.95,88.23,82.56,83.96,1.564
2015-03-20,84.3,84.34,82.55,82.55,1.54
2015-03-23,82.55,84.1,82.2,83.83,0.836
2015-03-24,83.94,84.07,83.41,83.73,0.538
2015-03-25,84.01,84.01,81.48,81.7,1.361
2015-03-26,81.33,81.79,80.76,81.13,0.698
2015-03-27,80.95,82.47,80.91,82.38,0.765
2015-03-30,82.83,83.24,82.53,82.74,0.45
2015-03-31,82.73,82.78,81.44,81.63,0.913
2015-04-01,81.79,82.02,80.66,81.71,0.695
2015-04-02,81.78,82.82,81.78,82.69,0.529
2015-04-06,82.1,82.58,81.69,81.82,0.735
2015-04-07,81.71,82.04,81.1,81.99,0.966
2015-04-08,82.11,82.66,81.32,82.13,0.762
2015-04-09,82.14,82.52,81.24,81.64,0.477
2015-04-10,81.85,82.49,81.6,82.33,0.47
2015-04-13,81.25,81.75,81.16,81.32,0.559
2015-04-14,81.04,81.8,80.4,81.68,0.642
2015-04-15,81.95,82.63,81.95,82.23,0.681
2015-04-16,82.09,82.3,81.55,82.13,0.525
2015-04-17,81.49,81.9,80.97,81.38,0.573
2015-04-20,81.71,82.01,81.52,81.74,0.604
2015-04-21,82.08,82.25,81.9,82.04,0.53
2015-04-22,82.08,82.26,81.54,82.05,0.587
2015-04-23,81.71,82.51,81.71,82.31,0.524
2015-04-24,82.37,82.56,82.05,82.13,0.649
2015-04-27,82.12,82.4,81.56,81.62,0.416
2015-04-28,81.63,81.88,81.17,81.49,0.585
2015-04-29,81.2,81.33,80.64,80.69,0.512
2015-04-30,80.32,80.78,79.51,79.95,0.954
2015-05-01,80.23,81.28,80.23,81.27,0.491
2015-05-04,81.44,81.94,81.26,81.52,0.474
2015-05-05,81.99,82.21,80.96,81.0,0.538
2015-05-06,80.97,81.13,80.19,80.73,0.534
2015-05-07,80.72,81.35,80.42,81.12,0.427
2015-05-08,81.91,82.61,81.14,82.41,0.438
2015-05-11,82.16,83.97,82.0,83.42,1.243
2015-05-12,83.1,83.45,82.15,82.47,0.835
2015-05-13,82.85,84.44,82.61,84.15,0.957
2015-05-14,84.61,85.18,84.2,85.12,0.544
2015-05-15,85.09,85.68,84.92,85.45,0.419
2015-05-18,85.24,86.52,85.19,86.32,0.529
2015-05-19,86.59,86.74,86.17,86.22,0.558
2015-05-20,86.16,86.67,86.03,86.31,0.548
2015-05-21,86.24,86.56,86.07,86.24,0.442
2015-05-22,85.56,86.44,84.58,86.01,0.39
2015-05-26,85.91,86.28,85.29,85.81,0.479
2015-05-27,85.8,86.29,85.57,86.16,0.455
2015-05-28,86.24,86.38,86.03,86.28,0.393
2015-05-29,86.38,86.83,86.08,86.09,0.681
2015-06-01,86.39,86.68,85.82,86.35,0.495
2015-06-02,85.81,86.3,85.77,85.95,0.682
2015-06-03,86.28,86.44,86.1,86.21,0.731
2015-06-04,86.15,86.44,85.23,85.33,0.567
2015-06-05,85.17,85.5,84.71,85.46,0.362
2015-06-08,85.39,85.76,85.1,85.19,0.475
2015-06-09,85.29,85.66,84.98,85.51,0.269
2015-06-10,85.97,86.67,85.38,86.38,0.295
2015-06-11,86.71,86.77,86.35,86.44,0.429
2015-06-12,85.89,86.22,85.06,86.05,0.276
2015-06-15,85.25,85.53,83.87,84.36,0.914
2015-06-16,84.45,85.55,84.45,85.3,0.36
2015-06-17,85.5,85.78,85.03,85.57,0.297
2015-06-18,85.95,86.73,85.95,86.47,0.41
2015-06-19,86.4,87.06,86.1,86.8,1.097
2015-06-22,87.0,87.68,86.86,87.54,0.37
2015-06-23,87.89,87.99,87.35,87.44,0.727
2015-06-24,85.86,87.51,85.86,86.56,0.624
2015-06-25,86.98,86.98,85.75,85.84,0.585
2015-06-26,86.01,86.18,85.02,85.41,1.379
2015-06-29,85.01,85.47,84.18,84.25,0.447
2015-06-30,84.82,85.24,84.54,84.59,0.459
2015-07-01,85.26,85.42,84.96,85.33,0.5
2015-07-02,85.67,85.76,84.69,85.21,0.383
2015-07-06,84.6,85.38,84.6,85.1,0.334
2015-07-07,85.29,85.48,83.91,84.74,0.755
2015-07-08,84.26,84.69,83.58,83.74,0.633
2015-07-09,84.71,84.93,84.0,84.16,0.411
2015-07-10,85.2,85.4,84.52,85.05,0.454
2015-07-13,85.85,86.09,85.19,86.02,0.346
2015-07-14,86.11,86.48,85.67,86.28,0.226
2015-07-15,86.24,86.4,85.86,86.08,0.497
2015-07-16,86.67,87.29,86.37,86.78,0.913
2015-07-17,86.5,86.51,84.63,85.55,1.075
2015-07-20,86.0,87.0,85.66,86.1,0.699
2015-07-21,86.18,86.76,85.18,85.19,0.584
2015-07-22,85.76,87.07,85.2,86.94,0.857
2015-07-23,86.86,86.99,85.57,85.74,0.484
2015-07-24,85.23,85.56,84.12,84.25,0.464
2015-07-27,84.2,84.41,83.66,83.77,0.432
2015-07-28,84.09,84.83,83.43,84.82,0.427
2015-07-29,84.86,85.33,84.32,85.27,0.508
2015-07-30,84.72,85.49,84.27,85.26,0.262
2015-07-31,85.72,86.0,85.41,85.5,0.573
2015-08-03,85.81,86.2,85.04,86.13,0.347
2015-08-04,86.3,87.05,85.86,86.95,0.595
2015-08-05,87.92,87.95,87.17,87.61,0.858
2015-08-06,87.71,87.71,86.89,87.22,0.472
2015-08-07,86.75,87.61,86.33,87.43,0.536
2015-08-10,88.2,88.72,88.16,88.34,0.467
2015-08-11,87.56,88.0,87.29,87.92,0.377
2015-08-12,87.0,88.01,86.75,87.85,0.507
2015-08-13,87.95,88.63,87.48,88.09,0.497
2015-08-14,88.06,88.7,87.86,88.49,0.416
2015-08-17,88.3,89.2,87.74,89.14,0.376
2015-08-18,89.35,89.74,88.81,88.86,0.49
2015-08-19,88.3,88.35,87.15,87.64,0.522
2015-08-20,87.04,87.71,86.6,86.6,0.564
2015-08-21,86.34,86.97,84.87,84.87,0.712
2015-08-24,80.99,83.58,78.0,81.53,1.174
2015-08-25,83.32,83.53,81.12,81.23,1.017
2015-08-26,83.21,84.24,81.72,84.01,0.992
2015-08-27,84.53,85.78,84.31,85.5,0.698
2015-08-28,84.94,85.75,84.69,85.37,0.519
2015-08-31,84.86,85.62,84.52,84.99,0.64
2015-09-01,83.6,84.36,82.71,83.06,0.761
2015-09-02,83.93,84.68,83.55,84.62,0.568
2015-09-03,85.07,85.63,84.8,85.09,0.51
2015-09-04,84.02,84.66,83.48,83.75,0.459
2015-09-08,85.15,86.38,84.86,86.37,0.636
2015-09-09,87.03,87.25,84.93,85.04,0.698
2015-09-10,84.92,85.68,84.92,85.21,0.622
2015-09-11,84.87,85.85,84.86,85.76,0.305
2015-09-14,85.88,85.88,85.24,85.32,0.431
2015-09-15,85.57,86.72,84.9,86.53,0.49
2015-09-16,86.42,86.66,85.97,86.33,0.719
2015-09-17,86.49,87.64,86.19,86.64,0.745
2015-09-18,85.42,86.68,85.26,86.42,2.424
2015-09-21,86.98,87.6,86.45,87.32,0.716
2015-09-22,86.24,86.6,85.47,86.01,0.79
2015-09-23,86.3,86.81,85.66,86.58,0.518
2015-09-24,85.88,86.92,85.03,86.15,0.752
2015-09-25,86.93,89.73,86.38,88.4,1.088
2015-09-28,88.04,88.35,85.73,85.75,0.626
2015-09-29,85.99,85.99,84.18,84.8,0.935
2015-09-30,85.45,86.34,84.76,85.75,0.849
2015-10-01,86.16,86.28,84.77,85.49,0.72
2015-10-02,84.26,86.38,83.48,86.31,1.087
2015-10-05,87.27,88.14,86.68,87.6,0.693
2015-10-06,87.19,88.0,85.46,85.74,0.797
2015-10-07,86.39,87.47,85.96,87.34,0.625
2015-10-08,87.35,89.48,86.66,89.27,0.782
2015-10-09,89.61,90.41,88.99,89.82,0.56
2015-10-12,90.06,91.37,89.73,91.04,0.649
2015-10-13,88.91,92.37,88.91,91.46,0.952
