Date,Open,High,Low,Close,Volume
2014-01-02,71.16,71.37,70.18,70.4,4.486
2014-01-03,70.55,70.78,70.26,70.55,3.886
2014-01-06,70.75,70.83,69.3,69.31,6.345
2014-01-07,69.53,69.75,69.22,69.67,4.524
2014-01-08,69.78,69.93,69.15,69.77,5.068
2014-01-09,70.45,70.59,69.33,69.92,4.961
2014-01-10,69.81,70.0,68.83,69.51,6.859
2014-01-13,69.33,69.68,68.43,68.55,3.638
2014-01-14,68.62,68.84,68.14,68.49,5.836
2014-01-15,68.63,69.0,67.88,68.29,5.842
2014-01-16,68.19,68.28,67.76,68.13,5.865
2014-01-17,68.21,68.26,67.82,67.97,4.551
2014-01-21,68.61,68.62,68.06,68.32,6.549
2014-01-22,68.65,69.66,68.6,69.17,6.294
2014-01-23,68.71,68.78,68.1,68.47,5.634
2014-01-24,68.37,68.43,67.63,67.63,5.717
2014-01-27,67.66,67.95,67.07,67.53,7.289
2014-01-28,67.66,68.78,67.66,68.52,5.159
2014-01-29,68.0,68.06,67.16,67.35,8.339
2014-01-30,67.79,68.24,67.33,67.65,5.06
2014-01-31,66.79,68.07,66.07,67.72,7.388
2014-02-03,67.52,67.67,65.68,65.79,7.016
2014-02-04,66.45,66.77,65.71,66.11,6.138
2014-02-05,65.06,66.0,64.95,65.44,10.093
2014-02-06,65.47,66.14,65.31,66.11,5.928
2014-02-07,66.01,66.98,65.96,66.44,6.206
2014-02-10,66.42,67.0,66.36,66.94,8.584
2014-02-11,69.71,69.71,68.21,68.77,13.618
2014-02-12,68.65,69.1,68.39,68.54,5.948
2014-02-13,68.2,69.57,68.09,69.48,6.028
2014-02-14,69.35,70.19,69.12,69.9,5.127
2014-02-18,70.48,70.55,70.04,70.32,6.868
2014-02-19,70.16,70.72,69.92,70.1,5.624
2014-02-20,70.21,71.38,70.07,71.31,5.608
2014-02-21,71.18,71.66,71.13,71.2,4.908
2014-02-24,71.47,72.12,71.35,71.37,4.916
2014-02-25,71.48,72.2,71.37,72.16,4.868
2014-02-26,72.18,72.63,72.0,72.2,5.26
2014-02-27,72.13,72.3,71.69,72.16,5.0
2014-02-28,72.25,73.62,72.14,73.14,7.556
